title,href
Replication Data for: Racial or Spatial Voting? The Effects of Candidate Ethnicity and Ethnic Group Endorsements  in Local Elections,/dataset.xhtml?persistentId=doi:10.7910/DVN/XYUWYJ
Replication Data for: Cue-Taking in Congress: Interest Group Signals from Dear Colleague Letters,/dataset.xhtml?persistentId=doi:10.7910/DVN/JNEQYJ
Replication Data for: Priorities for Preventive Action: Explaining Americans' Divergent Reactions to 100 Public Risks,/dataset.xhtml?persistentId=doi:10.7910/DVN/ZSJA25
Replication Data for: Lost in Aggregation: Improving Event Analysis with Report-Level Data,/dataset.xhtml?persistentId=doi:10.7910/DVN/OOIEAO
Replication Data for: Building Cooperation Among Groups in Conflict: An Experiment on Intersectarian Cooperation in Lebanon,/dataset.xhtml?persistentId=doi:10.7910/DVN/CQXHTH
Replication Data for: No Harm in Checking: Using Factual Manipulation Checks to Assess Attentiveness in Experiments,/dataset.xhtml?persistentId=doi:10.7910/DVN/GSQG1K
"Replication Data for: Making Bureaucracy Work: Patronage Networks, Performance Incentives, and Economic Development in China",/dataset.xhtml?persistentId=doi:10.7910/DVN/XZ0IZE
Replication Data for: All Male Panels? Representation and Democratic Legitimacy,/dataset.xhtml?persistentId=doi:10.7910/DVN/7190MT
"Replication Data for: Hawks, Doves, and Peace: An Experimental Approach",/dataset.xhtml?persistentId=doi:10.7910/DVN/YWZBUJ
Replication Data for: Public-Sector Unions and the Size of Government,/dataset.xhtml?persistentId=doi:10.7910/DVN/WGWMAV
Replication Data for: An Equivalence Approach to Balance and Placebo Tests,/dataset.xhtml?persistentId=doi:10.7910/DVN/RYNSDG
Replication Data for: The Persistent Effect of U.S. Civil Rights Protests on Political Attitudes,/dataset.xhtml?persistentId=doi:10.7910/DVN/WKJJ3Z
"Replication Data for: Ethnic parties, ethnic tensions? Results of an original election panel study",/dataset.xhtml?persistentId=doi:10.7910/DVN/ICISE4
Replication Data for: Remittances and Protest in Dictatorships,/dataset.xhtml?persistentId=doi:10.7910/DVN/TVZQG6
"Replication Data for: Cooperative Autocracies: Leader Survival, Creditworthiness and Bilateral Investment Treaties",/dataset.xhtml?persistentId=doi:10.7910/DVN/I1HVCJ
Replication Data for: Compulsory Voting and Parties’ Vote Seeking Strategies,/dataset.xhtml?persistentId=doi:10.7910/DVN/QBHGRC
Replication Data for: Narcissism and Political Orientations,/dataset.xhtml?persistentId=doi:10.7910/DVN/9IKGYY
Replication Data for: Coalitional Instability and the Three-Fifths Compromise,/dataset.xhtml?persistentId=doi:10.7910/DVN/6IOACK
Replication Data for: The Two Income-Participation Gaps,/dataset.xhtml?persistentId=doi:10.7910/DVN/XU8ZWB
"Replication Data for: ""Targeting Ordinary Voters or Political Elites?: Why Pork is Distributed Along Partisan Lines in India""",/dataset.xhtml?persistentId=doi:10.7910/DVN/ROLEY5
Replication Data for: Inferring Roll Call Scores from Campaign Contributions Using Supervised Machine Learning,/dataset.xhtml?persistentId=doi:10.7910/DVN/7EWDRF
Replication Data for: Is There More Violence in the Middle?,/dataset.xhtml?persistentId=doi:10.7910/DVN/LNUYXZ
Replication Data for: Does Compliance Pay?  Social Standards and Firm-level Trade,/dataset.xhtml?persistentId=doi:10.7910/DVN/2E2M9Z
"Replication Dataset for: Prejudice, Strategic Discrimination,  and the Electoral Connection: Evidence from a pair of field experiments in Brazil",/dataset.xhtml?persistentId=doi:10.7910/DVN/SEHMGR
Replication Data for: Chains of Love? Global Production and the Firm-Level Diffusion of Labor Standards,/dataset.xhtml?persistentId=doi:10.7910/DVN/ZYRC8S
"Replication Data for ""Partisan Elites as Culprits? How Party Cues Shape Partisan Perceptual Gaps""",/dataset.xhtml?persistentId=doi:10.7910/DVN/TJ1ZXX
Replication Data for: Legislative Capacity and Credit Risk,/dataset.xhtml?persistentId=doi:10.7910/DVN/WYA1S2
Replication Data for: Putting Politics First:  The Impact of Politics on American Religious and Secular Orientations ,/dataset.xhtml?persistentId=doi:10.7910/DVN/BRRZSK
Replication Data for: When Common Identities Decrease Trust:  An Experimental Study of Partisan Women,/dataset.xhtml?persistentId=doi:10.7910/DVN/I4KVD1
Replication Data for: International Constraints and  Electoral Decisions: Does the Room to Maneuver Attenuate Economic Voting?,/dataset.xhtml?persistentId=doi:10.7910/DVN/K7OCDX
Replication Data for: Tree-based models for political science data ,/dataset.xhtml?persistentId=doi:10.7910/DVN/8ZJBLI
Replication Data for: Encouraging Political Voices of Underrepresented Citizens through Coproduction. Evidence from a Randomized Field Trial,/dataset.xhtml?persistentId=doi:10.7910/DVN/MZKJDR
"Replication Data for: ""How conditioning on post-treatment variables can ruin your experiment and what to do about it""",/dataset.xhtml?persistentId=doi:10.7910/DVN/EZSJ1S
"Replication Data for: Born weak, growing strong: Anti-government protests as a signal of rebel strength in the context of civil wars",/dataset.xhtml?persistentId=doi:10.7910/DVN/MYDZNF
"Replication Data for: Election Timing, Electorate Composition, and Policy Outcomes: Evidence from School Districts",/dataset.xhtml?persistentId=doi:10.7910/DVN/8R3LTP
"Replication Data for: Tell me who is your leader, and I will tell you who you are: Foreign leaders' perceived personality and public attitudes toward their countries and citizenry",/dataset.xhtml?persistentId=doi:10.7910/DVN/SNLKUE
Replication Data for: The Trade Origins of Economic Nationalism: Import Competition and Voting Behavior in Western Europe,/dataset.xhtml?persistentId=doi:10.7910/DVN/NRAQRH
"Replication Data for: ""Electoral Effects of Biased Media: Russian Television in Ukraine""",/dataset.xhtml?persistentId=doi:10.7910/DVN/HI1X4O
"Replication Data for: The Who, When, and Where of Executive Nominations: Integrating Agency Independence and Appointee Ideology",/dataset.xhtml?persistentId=doi:10.7910/DVN/B9SCDJ
"Replication Data for: Should I Stay or Should I Go? Leaders, Exile, and the Dilemmas of International Justice",/dataset.xhtml?persistentId=doi:10.7910/DVN/H13U6G
"Replication Data for ""Audience Costs and the Dynamics of War and Peace""",/dataset.xhtml?persistentId=doi:10.7910/DVN/XBNJD9
"Replication Data for: Disgust, Anxiety, and Political Learning in the Face of Threat",/dataset.xhtml?persistentId=doi:10.7910/DVN/JTV6W6
Replication Data for: Sectarian Framing in the Syrian Civil War,/dataset.xhtml?persistentId=doi:10.7910/DVN/ACYZIC
Replication Data for: The Conditional Nature of Political Risk: How Home Institutions Influence the Location of Foreign Direct Investment,/dataset.xhtml?persistentId=doi:10.7910/DVN/SRPTCV
"Replication Data for: ""Making Austerity Popular: The Media and Mass Attitudes Towards Fiscal Policy""",/dataset.xhtml?persistentId=doi:10.7910/DVN/9AWUYJ
"Replication Data for: Gender, Political Knowledge and Descriptive Representation: The Impact of Long-Term Socialization",/dataset.xhtml?persistentId=doi:10.7910/DVN/PL2XFD
Replication Data for: Prominent Role Models: High-Profile Female Politicians and the Emergence of Women as Candidates for Public Office,/dataset.xhtml?persistentId=doi:10.7910/DVN/D5DEHM
Replication Data for: Defending the Realm: The Appointment of Female Defense Ministers Worldwide,/dataset.xhtml?persistentId=doi:10.7910/DVN/TR4OUK
Replication Data for: Bankrolling Repression? Modeling Third-Party Influence on Protests and Repression,/dataset.xhtml?persistentId=doi:10.7910/DVN/KYI9AR
Replication Data for: The Popularity Costs of Economic Crisis Under Electoral Authoritarianism: Evidence from Russia,/dataset.xhtml?persistentId=doi:10.7910/DVN/XKC4R4
Replication Data for: Differential Registration Bias in Voter File Data: A Sensitivity Analysis Approach,/dataset.xhtml?persistentId=doi:10.7910/DVN/LCDBRU
Replication Data for: The Public Cost of Unilateral Action,/dataset.xhtml?persistentId=doi:10.7910/DVN/XRJ43D
Replication Data for: Economic Voting in Latin America: Rules and Responsibility ,/dataset.xhtml?persistentId=doi:10.7910/DVN/4XI0UG
Replication Data for: Issue Voting as a Constrained Choice Problem,/dataset.xhtml?persistentId=doi:10.7910/DVN/QO6EMT
Replication Data for: Leader Influence and Reputation Formation in World Politics,/dataset.xhtml?persistentId=doi:10.7910/DVN/HIQ4BV
Replication Data for: Disloyal Brokers and Weak Parties,/dataset.xhtml?persistentId=doi:10.7910/DVN/BPON3K
Replication Data for: The Economic Consequences of Partisanship in a Polarized Era,/dataset.xhtml?persistentId=doi:10.7910/DVN/R3GZZW
Replication Data for: Elite Influence? Religion and the Electoral Success of the Nazis,/dataset.xhtml?persistentId=doi:10.7910/DVN/J2FA5R
Replication Data for: How The Public Defines Terrorism,/dataset.xhtml?persistentId=doi:10.7910/DVN/LD6NL8
Replication Data for: The Legacy of Political Violence across Generations,/dataset.xhtml?persistentId=doi:10.7910/DVN/VEPHLS
Replication Data for:  Making Washington Work:  Legislative Entrepreneurship and the Personal Vote from the Gilded Age to the Great Depression,/dataset.xhtml?persistentId=doi:10.7910/DVN/EL6ZCZ
Replication Data for: No Need to Watch:  How the Effects of Partisan Media Can Spread via Inter-Personal Discussions,/dataset.xhtml?persistentId=doi:10.7910/DVN/TJKIWN
Replication Data for: How Do Interest Groups Seek Access to Committees?,/dataset.xhtml?persistentId=doi:10.7910/DVN/PGCVDP
Replication Data for: Political Brokers: Partisans or Agents? Evidence from the Mexican Teacher's Union,/dataset.xhtml?persistentId=doi:10.7910/DVN/BFLPBK
Replication Data for: Extending the Use and Prediction Precision of Subnational Public Opinion Estimation,/dataset.xhtml?persistentId=doi:10.7910/DVN/I0VEMG
Replication Data for: Have Your Cake and Eat it Too? Cointegration and Dynamic Inference from Autoregressive Distributed Lag Models,/dataset.xhtml?persistentId=doi:10.7910/DVN/MPQQC0
Replication Data for: Regression Discontinuity Designs Based on Population Thresholds:   Pitfalls and Solutions  ,/dataset.xhtml?persistentId=doi:10.7910/DVN/PGXO5O
Replication Data for: Do Rural Migrants Divide Ethnically in the City? Ethnographic and Experimental Evidence from India,/dataset.xhtml?persistentId=doi:10.7910/DVN/RW10GZ
Replication Data for: When Are Agenda Setters Valuable?,/dataset.xhtml?persistentId=doi:10.7910/DVN/GTXZ4J
Replication Data for: A Bottom-Up Theory of Public Opinion about Foreign Policy,/dataset.xhtml?persistentId=doi:10.7910/DVN/QSXDUN
Replication Data for: The Fulfillment of Parties' Election Pledges: A Comparative Study on the Impact of Power Sharing,/dataset.xhtml?persistentId=doi:10.7910/DVN/YJUIBI
Replication Data for:  Multiple Dimensions of Bureaucratic Discrimination: Evidence from German Welfare Offices,/dataset.xhtml?persistentId=doi:10.7910/DVN/NMJ4W9
Replication data for: The Elusive Search for Presidential Power,/dataset.xhtml?persistentId=doi:10.7910/DVN/26652
Replication Data for: Front-door Difference-in-Differences Estimators,/dataset.xhtml?persistentId=doi:10.7910/DVN/XZFHCP
Replication Data for: Reconsidering the Role of Politics in Leaving Religion – The Importance of Affiliation,/dataset.xhtml?persistentId=doi:10.7910/DVN/VWZZLO
Replication Data for: How Do Indifferent Voters Decide? The Political Importance of Implicit Attitudes,/dataset.xhtml?persistentId=doi:10.7910/DVN/WZV20D
Replication Data for: Paths of Recruitment: Rational Social Prospecting in Petition Canvassing,/dataset.xhtml?persistentId=doi:10.7910/DVN/GZA3GY
Replication Data for: Cities as Lobbyists,/dataset.xhtml?persistentId=doi:10.7910/DVN/RSD5BV
Replication Data for: Strategies of Resistance: Diversification and Diffusion,/dataset.xhtml?persistentId=doi:10.7910/DVN/GDFJ4N
Replication Data for: How to Elect More Women: Gender and Candidate Success in a Field Experiment,/dataset.xhtml?persistentId=doi:10.7910/DVN/UQAIZI
Replication Data for: Mobilizing the Public Against the President: Congress and the Political Costs of Unilateral Action,/dataset.xhtml?persistentId=doi:10.7910/DVN/LVHIYG
Replication Data for: The Vicarious Bases of Perceived Injustice,/dataset.xhtml?persistentId=doi:10.7910/DVN/QTG6FQ
Replication data for: Making Young Voters: The Impact of Preregistration on Youth Turnout,/dataset.xhtml?persistentId=doi:10.7910/DVN/27672
Replication Data for: To Revoke or Not Revoke? The Political Determinants of Executive Order Longevity,/dataset.xhtml?persistentId=doi:10.7910/DVN/LZGQOH
