file,#,# reg
ajps/21768/table2_fig1_fig2.do,465,0
ajps/21768/figure3.do,61,0
ajps/BRRZSK/Panel data management and analysis.do,463,0
ajps/BRRZSK/experiment 1_recodes_for_cfa.do,78,0
ajps/BRRZSK/Experiment dofile.do,174,8
ajps/28750/Replication File.do,62,0
ajps/XU8ZWB/GSS_script.do,432,7
ajps/XU8ZWB/CNLSY79_script.do,305,8
ajps/XU8ZWB/multi_study_graphs_script.do,233,0
ajps/MJSMJB/SI_replication.do,805,9
ajps/MJSMJB/UK_replication.do,449,24
ajps/MJSMJB/US_replication.do,276,8
ajps/29375/ReplicationCode.do,1863,8
ajps/ZFLG25/Foos&de Rooij_AJPS_replication_10June2016.do,351,0
ajps/21782/AJPSrep.do,157,25
ajps/MWNBXO/Replication Do File.do,57,13
ajps/18846/AcculturatingContexts_2006Pew.Replication.DoFile.do,3,0
ajps/18846/AcculturatingContexts_2005CID.Replication.DoFile.do,3,0
ajps/29040/Gottlieb_GreaterExpectations_AJPS.do,248,0
ajps/19187/broockman_intrinsic_motivation.do,27,6
ajps/21043/HKS_AJPS_2013_Replication.do,195,0
ajps/CJMKGX/AProrok_AJPS_replication_supplementaryinfo.do,169,0
ajps/CJMKGX/AProrok_AJPS_replication_main.do,90,0
ajps/OJCQ5O/country level measures and histograms.do,57,0
ajps/OJCQ5O/policyanalysis.do,123,0
ajps/OJCQ5O/cross country analysis.do,273,164
ajps/OJCQ5O/cutoffs figure.do,18,0
ajps/OJCQ5O/basic code.do,62,0
ajps/OJCQ5O/nor09extract.do,14,0
ajps/29095/Analysis_File_Performance_Federalism.do,13,0
ajps/27597/CodeFinalModels.do,71,0
ajps/22127/cem.do,368,24
ajps/22127/Tables1_4.do,194,1
ajps/22127/genmatch.do,469,0
ajps/22127/Table5.do,60,7
ajps/22127/Table6.do,59,8
ajps/22127/Appendix_6_8.do,174,42
ajps/19467/Household_level_dataset_AJPS_analysis.do,158,0
ajps/19467/Chiefdom_level_dataset_AJPS_analysis.do,36,8
ajps/21431/SM_Replication Syntax.do,537,2
ajps/22417/WayWeeks-AJPS.do,227,0
ajps/VT4KJA/MNCs&Corruption.do,7,0
ajps/VT4KJA/ForeignPresence&ETCs.do,16,1
ajps/RSD5BV/Figure 1.do,10,0
ajps/25505/rep_estimates.do,348,7
ajps/21801/1996-2006 CPS replication.do,3,0
ajps/21801/2006 CCES replication.do,11,0
ajps/29129/Table Replication Code for AJPS Feb 2015.do,25,6
ajps/BXXWWW/ajps_HVW_replication_tables.do,70,2
ajps/BXXWWW/ajps_HVW_replication_ratios_in_text.do,32,0
ajps/WGWMAV/AJPS Replication Code.do,586,6
ajps/TJKIWN/druckman_levendusky_mclain_replication_for_appendix.do,50,2
ajps/TJKIWN/druckman_levendusky_mclain_replication.do,67,2
ajps/TJKIWN/druckman_levendusky_mclain_pre-test replication.do,17,0
ajps/24387/GibsonNelson AJPS Replication.do,69,11
ajps/K7OCDX/AJPSKosmidisCodeRtM.do,249,13
ajps/K7OCDX/Original2Replication.do,64,0
ajps/27113/ajps_replication.do,41,0
ajps/MZKJDR/Replication dofile - Encouraging Political Voices.do,160,56
ajps/QBHGRC/DALP Preparation.do,550,0
ajps/QBHGRC/Arg2017 Preparation.do,161,0
ajps/QBHGRC/Study 1 Replication.do,334,11
ajps/QBHGRC/Study 2 Replication.do,821,0
ajps/VWZZLO/ANES_cumulative.do,40,7
ajps/VWZZLO/2006_do.do,30,0
ajps/VWZZLO/2012_do.do,65,4
ajps/VWZZLO/PALS_do.do,39,0
ajps/RPD7KA/Stata DO FILE_2005 CID Data_Zip Code Level Analysis.do,4,0
ajps/RPD7KA/Stata DO FILE_2005 CID Data_County Level Analysis.do,4,0
ajps/JTV6W6/Study 1 Replication Code.do,302,0
ajps/JTV6W6/Study 1 Pretest Replication Code.do,13,0
ajps/JTV6W6/Pilot Replication Code.do,127,0
ajps/19465/01_ProcessSurveyDataForFigure1.do,56,0
ajps/19465/02_AnalyzeFieldExperiment.do,301,6
ajps/EL6ZCZ/McKibben/McKibben/mck_1.do,270,0
ajps/EL6ZCZ/MWW Figure 2 and Figure 3/MWW Figure 2 and Figure 3/Figures_2_3.do,74,0
ajps/EL6ZCZ/Main/Main/mww_1.do,1063,0
ajps/EL6ZCZ/Farm Value/Farm Value/Population/pop_1.do,70,0
ajps/EL6ZCZ/Farm Value/Farm Value/farm_value_1.do,87,0
ajps/EL6ZCZ/Committees/Committees/stew_1.do,185,0
ajps/EL6ZCZ/District Population/District Population/dist_pop_1.do,41,0
ajps/EL6ZCZ/Gubernatorial Returns/Gubernatorial Returns/cqgov_1.do,110,0
ajps/9TPNOT/Turnout Replication Code.do,22,4
ajps/193ZDD/BeazerWooAJPS.appendix.tableA1-A8.do,145,3
ajps/5HEB4I/commitment_followup_analysis.do,57,0
ajps/5HEB4I/commitment_analysis.do,214,7
ajps/5HEB4I/commitment_figure3.do,61,0
ajps/27371/AnalysisFinalSubmission.do,234,0
ajps/26467/nyhan-montgomery/Nyhan Montgomery replication/nyhan-montgomery.do,11,0
ajps/27672/HolbeinHillygus_erratum_11232016.do,23,14
ajps/25707/AJPS Replication Do.29Apr14.do,267,0
ajps/20351/DeSante Replication Script.do,193,4
ajps/OX5CZF/MTX_2015_do.do,130,31
ajps/DSDNX6/ajps_replication_do.do,544,0
ajps/ZSJA25/Risk_Code_IndexIJK.do,42,0
ajps/ZSJA25/Explanation_Code_Writeins.do,64,0
ajps/ZSJA25/Risk_Code_Bootstrap_Extract.do,3131,0
ajps/ZSJA25/Explanation_Code_Statements.do,310,0
ajps/ZSJA25/Master.do,741,25
ajps/ZSJA25/Risk_Code_Bootstrap.do,433,0
ajps/ZSJA25/Risk_Code_Bootstrap_Prep.do,54,0
ajps/27466/FuhrmannSechserAJPS/Replication Material to Post/Fuhrmann-Sechser-Appendices.do,67,0
ajps/23972/SALTY.do,259,0
ajps/KL7J6Z/do_file_for_Figure_SM1.do,4,0
ajps/KL7J6Z/do_file_for_AJPS_corrected.do,763,121
ajps/KAQVNP/policy blueprint coding.do,113,0
ajps/KAQVNP/analytics.do,71,10
ajps/KAQVNP/institutional vignette coding.do,93,0
ajps/DJ2DPZ/Fig_2_RDD.do,7,0
ajps/DJ2DPZ/Fig_3.do,21,1
ajps/DJ2DPZ/Fig_2_DiD.do,21,0
ajps/DJ2DPZ/Fig_1.do,17,0
ajps/ZYRC8S/20180125_MaleskyMosley_AppendicesB&C.do,40,0
ajps/ZYRC8S/20180125_MaleskyMosley_AppendixI_HetEffects.do,105,39
ajps/ZYRC8S/20180125_MaleskyMosley_MainResults.do,77,14
ajps/ZYRC8S/20180302_MaleskyMosley_MarkupCodes.do,56,0
ajps/ZYRC8S/20180125_MaleskyMosley_Balance.do,18,5
ajps/ZYRC8S/20180125_MaleskyMosley_MarkupInteractions.do,53,16
ajps/ZYRC8S/20180125_MaleskyMosley_Setup.do,103,0
ajps/ZYRC8S/20180125_MaleskyMosley_PairedComparison.do,20,8
ajps/OOIEAO/SectionIII_Sims.do,137,4
ajps/OOIEAO/SectionIII_Application.do,32,3
ajps/HIQ4BV/analysis.do,261,33
ajps/21992/lgbtrally_replication.do,72,11
ajps/18689/Political quid pro quo.do,357,18
ajps/I4KVD1/Klar Replication Data.do,36,6
ajps/24859/EnforcementPolitics.do,195,0
ajps/X88LYH/Do-File.do,164,0
ajps/X88LYH/Dataset Reconstruction.do,627,0
ajps/21008/Reoffering_analysis_vf_deposited2013.do,14,0
ajps/21008/Main_analysis_vf_deposited_spring2013.do,96,7
ajps/21008/Individual Level CES_revised_vf_deposited_spring2013.do,61,0
ajps/MIXK94/ButlerDynes_ReplicationCode.do,379,50
ajps/PL2XFD/cses_coding and merging.do,444,0
ajps/PL2XFD/cses_merging_modules.do,101,0
ajps/PL2XFD/analyses.do,1202,4
ajps/GSQG1K/NoHarm_Replication.do,608,11
ajps/NC06GQ/Main Results - Figure 3.do,38,0
ajps/NC06GQ/Main Results - Table 2.do,36,0
ajps/YJUIBI/AJPS_CPPG_replication_10April2017.do,305,1
ajps/21452/KS AJPS replication individual level models.do,5,0
ajps/21452/KS AJPS replication Gallup models.do,11,0
ajps/21452/Iraq votes replication.do,17,0
ajps/21452/KS AJPS replication aggregate models.do,4,0
