title,href,filename,file_href
Replication Data for: Facial Dominance and Electoral Success in Times of War and Peace,/dataset.xhtml?persistentId=doi:10.7910/DVN/SOQH9L,AMT_experiment.tab,/file.xhtml?persistentId=doi:10.7910/DVN/SOQH9L/3HQJTI&version=1.0
Replication Data for: Facial Dominance and Electoral Success in Times of War and Peace,/dataset.xhtml?persistentId=doi:10.7910/DVN/SOQH9L,Berinsky-Chatfield-Lenz Replication File.do,/file.xhtml?persistentId=doi:10.7910/DVN/SOQH9L/YQJ1SM&version=1.0
Replication Data for: Facial Dominance and Electoral Success in Times of War and Peace,/dataset.xhtml?persistentId=doi:10.7910/DVN/SOQH9L,Codebook.docx,/file.xhtml?persistentId=doi:10.7910/DVN/SOQH9L/ZJBNOT&version=1.0
Replication Data for: Facial Dominance and Electoral Success in Times of War and Peace,/dataset.xhtml?persistentId=doi:10.7910/DVN/SOQH9L,Little and LP Replication Data.tab,/file.xhtml?persistentId=doi:10.7910/DVN/SOQH9L/XKCGGF&version=1.0
Replication Data for: Facial Dominance and Electoral Success in Times of War and Peace,/dataset.xhtml?persistentId=doi:10.7910/DVN/SOQH9L,Senate.tab,/file.xhtml?persistentId=doi:10.7910/DVN/SOQH9L/ZZKZIM&version=1.0
Replication Data for: Facial Dominance and Electoral Success in Times of War and Peace,/dataset.xhtml?persistentId=doi:10.7910/DVN/SOQH9L,SSI_experiment.tab,/file.xhtml?persistentId=doi:10.7910/DVN/SOQH9L/WYJ3NW&version=1.0
Replication Data for: How Large Are The Political Costs of Fiscal Austerity?,/dataset.xhtml?persistentId=doi:10.7910/DVN/E2OS8R,Analysis.do,/file.xhtml?persistentId=doi:10.7910/DVN/E2OS8R/EAM6W6&version=1.0
Replication Data for: How Large Are The Political Costs of Fiscal Austerity?,/dataset.xhtml?persistentId=doi:10.7910/DVN/E2OS8R,Data.tab,/file.xhtml?persistentId=doi:10.7910/DVN/E2OS8R/MHFUXT&version=1.0
Replication Data for: How Large Are The Political Costs of Fiscal Austerity?,/dataset.xhtml?persistentId=doi:10.7910/DVN/E2OS8R,readme.txt,/file.xhtml?persistentId=doi:10.7910/DVN/E2OS8R/WKRSZO&version=1.0
Replication Data for: How Large Are The Political Costs of Fiscal Austerity?,/dataset.xhtml?persistentId=doi:10.7910/DVN/E2OS8R,TableA17.tab,/file.xhtml?persistentId=doi:10.7910/DVN/E2OS8R/CWGGZ7&version=1.0
"Expertise, Networks, and Interpersonal Influence in Congress",/dataset.xhtml?persistentId=doi:10.7910/DVN/OAPCH9,appendix.R,/file.xhtml?persistentId=doi:10.7910/DVN/OAPCH9/NTJBRI&version=1.0
"Expertise, Networks, and Interpersonal Influence in Congress",/dataset.xhtml?persistentId=doi:10.7910/DVN/OAPCH9,base_cueing_analysis.R,/file.xhtml?persistentId=doi:10.7910/DVN/OAPCH9/LZYRIT&version=1.0
