year,command,count
2017,replace,3842
2017,generate,3047
2018,replace,2709
2016,replace,1915
2018,generate,1697
2018,label,1531
2017,regress,1414
2016,generate,1189
2017,local,1161
2017,egen,1068
2015,gr_edit,826
2017,rename,815
2017,stsplit,691
2018,tabulate,668
2017,keep,665
2018,regress,657
2017,estimates:store,546
2017,use,544
2017,drop,535
2018,recode,503
2016,estimates:store,502
2016,label,408
2017,tabulate,384
2017,summarize,368
2016,local,348
2017,eststo,343
2017,xtreg,312
2015,generate,305
2018,egen,291
2017,recode,290
2015,replace,284
2017,set,283
2017,label,279
2017,save,277
2016,egen,259
2018,drop,250
2017,matrix,250
2016,xtreg,249
2017,stcox,230
2018,estimates:store,226
2017,graph,225
2017,display,225
2016,xtabond2,223
2018,summarize,220
2015,scalar,210
2018,global,208
2018,geodist,193
2018,rename,192
2017,table,192
2016,foreach,186
2017,xtpcse,180
2018,xtpcse,176
2018,logit,168
2017,clear,167
2017,merge,166
2017,scalar,165
2017,logit,165
2017,sort,156
2015,regress,152
2019,estimates:store,152
2017,destring,150
2016,use,149
2015,estimates:store,144
2017,ologit,144
2017,outreg2,142
2018,foreach,141
2018,outreg2,140
2017,lincom,140
2016,drop,136
2018,if,134
2017,ttest,134
2018,regsave,133
2017,order,130
2018,matrix,129
2018,margins,125
2017,margins,125
2018,ttest,124
2018,lincom,123
2017,esttab,123
2018,use,120
2017,test,118
2015,matrix,116
2016,lincom,116
2017,global,115
2016,global,114
2018,stphplot,112
2017,append,112
2019,xtmixed,108
2015,graph,106
2019,xtreg,106
2017,nbreg,105
2017,rdrobust,99
2019,replace,98
2016,if,98
2015,xtnbreg,97
2018,local,96
2019,logit,96
2017,tsset,96
2016,recode,95
2017,foreach,94
2018,graph,91
2016,rename,90
2018,esttab,88
2018,stcox,86
2016,summarize,86
2017,xtdpdsys,86
2016,tabulate,84
2016,esttab,84
2018,prtest,83
2018,xtreg,83
2016,save,82
2017,estat,79
2018,set,77
2016,sort,77
2016,regress,77
2018,estadd,76
2017,twoway,76
2019,global,74
2016,forvalues,74
2015,eststo,73
2017,mixed,72
2016,margins,70
2016,graph,67
2017,unique,67
2017,meologit,67
2018,estat,66
2017,forvalues,66
2015,drop,65
2015,recode,65
2018,eststo,64
2018,twoway,64
2017,xtset,64
2017,outreg,64
2015,areg,63
2018,scalar,63
2017,svy:mean,63
2018,forvalues,62
2015,summarize,58
2016,keep,58
2017,xtabond,58
2017,list,58
2015,use,57
2016,matrix,57
2017,import,57
2017,preserve,56
2017,eret,56
2017,fvset,56
2018,sort,55
2019,graph,55
2017,restore,55
2019,outreg2,54
2017,cd,54
2017,ice,54
2017,estimates,54
2019,use,52
2015,local,51
2015,label,51
2019,eststo,51
2017,melogit,49
2018,log,48
2016,set,48
2017,cites,48
2018,oprobit,47
2018,probit,47
2017,do,47
2017,probit,47
2015,set,46
2018,marginsplot,46
2018,simqi,46
2016,logit,46
2018,sts,45
2017,predict,45
2015,tabulate,44
2018,keep,44
2016,svy:regress,44
2015,logit,43
2015,egen,43
2018,clear,43
2018,stset,43
2018,kdensity,43
2017,log,43
2017,alpha,42
2019,regress,41
2016,outreg2,41
2017,xtmelogit,41
2017,_pctile,41
2018,putexcel,40
2019,esttab,40
2016,eststo,40
2017,correlate,40
2017,estimates:restore,40
2017,tebalance,40
2017,parmest,40
2018,count,39
2018,save,39
2016,display,39
2016,log,39
2016,clear,39
2019,probit,38
2016,merge,38
2018,xtivreg2,37
2016,preserve,37
2017,while,37
2019,set,36
2019,test,36
2016,marginsplot,36
2017,somersd,36
2015,line,35
2019,areg,35
2017,marginsplot,35
2017,summary,35
2017,newey,35
2015,forvalues,34
2015,display,33
2017,erase,33
2018,alpha,31
2018,esize,31
2016,else,30
2016,restore,30
2017,tempname,30
2017,saveold,29
2018,setx,28
2017,collapse,28
2017,tostring,28
2018,lpoly,27
2018,mvdecode,27
2019,margins,27
2017,mean,27
2017,estimates:replay,27
2017,estimates:save,27
2017,estimates:use,27
2017,mibeta,27
2015,foreach,26
2018,merge,26
2016,cd,26
2017,estimates:sto,26
2017,_simp,26
2018,cd,25
2018,display,25
2018,coefplot,25
2018,jackknife,25
2019,local,25
2015,sort,24
2015,preserve,24
2015,esttab,24
2015,ci,24
2018,xtmixed,24
2016,svy:mean,24
2017,gatt,24
2018,pwcorr,23
2018,clogit,23
2017,sem,23
2015,keep,22
2015,xtreg,22
2019,generate,22
2019,keep,22
2019,label,22
2017,estout,22
2017,program,22
2017,glm,22
2017,mimrgns,22
2015,svmat,21
2015,svy:regress,21
2018,mibeta,21
2019,drop,21
2019,display,21
2019,egen,21
2015,streg,20
2018,stcurve,20
2018,ta,20
2019,estout,20
2017,eq,20
2017,areg,20
2017,stset,20
2017,mlogit,20
2017,teffects,20
2015,predict,19
2018,predict,19
2016,tempfile,19
2017,using,19
2015,rename,18
2015,list,18
2018,test,18
2018,medeff,18
2016,count,18
2016,scalar,18
2017,xtmixed,18
2017,net,18
2017,rdplot,18
2015,xtlogit,17
2018,list,17
2018,mimrgns,17
2016,append,17
2017,spearman,17
2015,save,16
2015,estout,16
2015,twoway,16
2015,outreg2,16
2018,lroc,16
2018,cem,16
2019,rename,16
2019,tabulate,16
2016,file,16
2017,gllamm,16
2017,listcoef,16
2017,estimates:table,16
2017,return,16
2015,estimates:stats,15
2018,testparm,15
2016,do,15
2016,xtmixed,15
2018,xtset,14
2016,pwcorr,14
2016,tempvar,14
2017,version:mlogit,14
2015,collapse,13
2015,clear,13
2015,simqi,13
2018,correlate,13
2018,codebook,13
2016,svy:tabulate,13
2017,suest,13
2017,coefplot,13
2017,estpost,13
2017,end,13
2015,format,12
2018,format,12
2019,xtset,12
2016,twoway,12
2016,collapse,12
2016,tabstat,12
2017,oprobit,12
2017,ivregress,12
2017,xtlogit,12
2015,log,11
2015,setx,11
2015,levelsof,11
2018,nbreg,11
2019,twoway,11
2016,probit,11
2017,xtgee,11
2015,restore,10
2015,tis,10
2015,iis,10
2018,centile,10
2018,svmat,10
2018,histogram,10
2018,oneway,10
2018,expand,10
2018,renpfix,10
2018,append,10
2019,sort,10
2016,list,10
2016,svyset,10
2016,winsor,10
2016,saveold,10
2016,svmat,10
2016,carryvalues,10
2016,lincomest,10
2016,lpoly,10
2017,tabstat,10
2017,clogit,10
2017,regsave,10
2017,ranksum,10
2015,margins,9
2015,ttest,9
2015,histogram,9
2015,gsem,9
2015,estat,9
2015,_pctile,9
2018,saveold,9
2018,factor,9
2019,rd,9
2016,estadd,9
2016,correlate,9
2017,estadd,9
2017,xtdpd,9
2017,estimates:clear,9
2017,mprobit,9
2015,insheet,8
2015,gsort,8
2015,do,8
2018,edvreg,8
2018,heckprob,8
2018,estimates:clear,8
2018,firthlogit,8
2019,oneway,8
2019,recode,8
2019,tobit,8
2016,areg,8
2016,estimates:res,8
2016,estimates,8
2017,polychoric,8
2017,factormat,8
2017,setx,8
2017,scatter,8
2017,svmat,8
2017,binscatter,8
2017,bootstrap:indireff,8
2015,svy:tabulate,7
2015,tabstat,7
2015,xtset,7
2015,estimates:table,7
2015,estsimp,7
2015,l,7
2018,ssc,7
2018,preserve,7
2018,restore,7
2019,rdplot,7
2019,save,7
2016,estat,7
2016,xtset,7
2016,test,7
2017,reg3hdfe,7
2017,drawnorm,7
2015,svy:mean,6
2015,ologit,6
2015,global,6
2015,alpha,6
2015,postutil,6
2015,postfile,6
2015,while,6
2015,post,6
2015,postclose,6
2015,stset,6
2015,clogit,6
2018,cgmwildboot,6
2018,mat2txt,6
2018,net,6
2018,omscore,6
2018,grc1leg,6
2018,ologit,6
2018,estsimp,6
2018,bsample,6
2018,eq,6
2019,clear,6
2019,cd,6
2019,predict,6
2019,foreach,6
2016,exit,6
2016,estout,6
2016,program,6
2016,est2rowlbl,6
2016,est2tex,6
2016,est2vec,6
2016,mrunning,6
2016,while,6
2016,compress,6
2016,renpfix,6
2016,parmest,6
2016,post,6
2017,factor,6
2017,extract,6
2017,xtgls,6
2017,_dots,6
2017,tw,6
2017,xtunitroot,6
2017,estimates:stats,6
2017,cmp,6
2017,median,6
2015,svyset,5
2018,encode,5
2018,combomarginsplot,5
2018,collapse,5
2019,summarize,5
2016,move,5
2016,erase,5
