title,href,date
Replication Data for Systematic Measurement Error in Election Violence Data: Causes and Consequences,/dataset.xhtml?persistentId=doi:10.7910/DVN/LFD20F,"Apr 3, 2019"
Replication Data for: How Do Observers Assess Resolve?,/dataset.xhtml?persistentId=doi:10.7910/DVN/VSVMY7,"Mar 18, 2019"
Replication Data for Benchmarking across Borders: An Update and Response,/dataset.xhtml?persistentId=doi:10.7910/DVN/MX5NIV,"Mar 14, 2019"
Replication Data for: Ethics in elite experiments. A perspective of officials and voters,/dataset.xhtml?persistentId=doi:10.7910/DVN/HGACUS,"Mar 4, 2019"
Replication Data for: Conceptions of National Identity and Ambivalence towards Immigration ,/dataset.xhtml?persistentId=doi:10.7910/DVN/A48JP7,"Mar 4, 2019"
Replication Data for Reconceptualising dimensions of political competition in Europe: A demand side approach,/dataset.xhtml?persistentId=doi:10.7910/DVN/1B1MXY,"Feb 26, 2019"
Development or Rent-Seeking? How Political Influence Shapes Public Works Provision in India,/dataset.xhtml?persistentId=doi:10.7910/DVN/4YXPHO,"Feb 26, 2019"
"Replication Data for: Contingent Advantage?  Sovereign Borrowing, Democratic Institutions, and Global Capital Cycles",/dataset.xhtml?persistentId=doi:10.7910/DVN/HPTPDQ,"Feb 21, 2019"
Replication Data for: Economic Sanctions and Government Spending Adjustments: The Case of Disaster Preparedness,/dataset.xhtml?persistentId=doi:10.7910/DVN/YZSZFY,"Feb 21, 2019"
Replication Data for: Beyond positive and negative: New perspectives on feedback effects in public opinion on the welfare state,/dataset.xhtml?persistentId=doi:10.7910/DVN/OEM7DW,"Feb 13, 2019"
"""European mood"" bi-annual data, EU27 member states (1973-2014), Replication Data",/dataset.xhtml?persistentId=doi:10.7910/DVN/V42M9J,"Feb 5, 2019"
"Replication Data for: Personnel Politics: Elections, Clientelistic Competition, and Teacher Hiring in Indonesia",/dataset.xhtml?persistentId=doi:10.7910/DVN/0BFF0K,"Jan 29, 2019"
"Replication Data for: In the Shadow of Conflict: How Emotions, Threat Perceptions, and Victimization Influence Foreign Policy Attitudes",/dataset.xhtml?persistentId=doi:10.7910/DVN/QS0CDY,"Dec 12, 2018"
Replication Data for: Reexamining the Effect of Mass Shootings on Public Support for Gun Control,/dataset.xhtml?persistentId=doi:10.7910/DVN/YJQIXP,"Dec 11, 2018"
"Replication Data for: ""Do Islamic State's Deadly Attacks Disengage, Deter, or Mobilize Supporters?""",/dataset.xhtml?persistentId=doi:10.7910/DVN/H6RZA7,"Dec 4, 2018"
Are transfer dependent governments more creditworthy? Reassessing the fiscal federal foundations of subnational default risk,/dataset.xhtml?persistentId=doi:10.7910/DVN/8FHRCQ,"Dec 4, 2018"
"Replication Data for: ""Revolutionary Homophobia: Explaining State Repression of Sexual Minorities""",/dataset.xhtml?persistentId=doi:10.7910/DVN/QNKFDL,"Dec 4, 2018"
Replication Data for The Future is a Moving Target: Predicting Political Instability,/dataset.xhtml?persistentId=doi:10.7910/DVN/XMGVO2,"Dec 4, 2018"
Agenda Control and Electoral Success in the U.S. House,/dataset.xhtml?persistentId=doi:10.7910/DVN/KTGFRE,"Nov 8, 2018"
"Replication Data for: Roll call votes in the German Bundestag. A new dataset, 1949-2013 ",/dataset.xhtml?persistentId=doi:10.7910/DVN/VBWHRO,"Nov 6, 2018"
