year,dataset,command,count
2017,PZB01G,regress,581
2016,LKWOJL,xtabond2,221
2017,HRDQAJ,regress,192
2016,LKWOJL,xtreg,184
2017,85X0HW,stcox,174
2018,QS0CDY,regress,157
2018,AVIA6Z,xtpcse,152
2019,YZSZFY,xtmixed,108
2017,GNGJQR,xtreg,108
2017,SIREAP,nbreg,103
2017,B1CMUS,ologit,100
2017,UMKD0K,rdrobust,99
2015,YBT8WZ,xtnbreg,97
2019,LFD20F,logit,96
2018,NVPJK0,regress,90
2019,0BFF0K,xtreg,90
2018,7KPGDO,stcox,86
2017,GNGJQR,xtabond,86
2018,KGL6YO,regress,82
2017,BFCD08,regress,79
2017,GNGJQR,regress,78
2015,P4JTOD,regress,73
2018,FKWZHF,logit,72
2017,XWTQYE,meologit,67
2017,0H226U,xtreg,66
2017,PKKF3W,regress,61
2015,29498,areg,60
2018,LIWMYQ,regress,60
2017,VFJ4EB,xtpcse,58
2017,SIREAP,regress,56
2017,VFJ4EB,outreg,56
2015,29552,regress,50
2017,XWTQYE,melogit,49
2018,EM3AZ2,regress,48
2017,DOEXU2,regress,48
2016,ETKANT,xtreg,46
2017,MG11FA,mixed,45
2017,FDY0ZN,xtreg,45
2017,N5LOQN,logit,44
2018,QNKFDL,logit,42
2017,XT08HW,ologit,42
2018,KGL6YO,oprobit,41
2016,BGHLAX,svy:regress,41
2018,YJQIXP,xtreg,40
2017,UMKD0K,regress,40
2018,XA4VBO,xtreg,38
2019,HPTPDQ,probit,38
2017,V7QQCR,stcox,38
2018,AVIA6Z,xtivreg2,37
2017,MKINN2,xtpcse,36
2015,ONZJ7F,logit,35
2017,08V0ZM,xtmelogit,35
2017,KEJD7R,newey,35
2018,8FHRCQ,regress,31
2018,F05CTI,regress,31
2017,OOUDMQ,xtabond,30
2017,1AI3TL,regress,30
2017,9GFJEA,regress,29
2017,EIZWXX,probit,28
2017,AQCDSB,regress,28
2017,VEXSWO,xtpcse,28
2018,OCNIWD,regress,27
2018,6WPVWI,regress,27
2017,29544,xtpcse,27
2017,SIREAP,xtreg,27
2018,VVDOUK,regress,26
2019,4YXPHO,areg,26
2017,HG0YSS,regress,26
2019,4YXPHO,regress,25
2016,4OYGZ3,logit,25
2017,HJUKKO,xtpcse,25
2018,QCGKV5,xtpcse,24
2017,B1CMUS,regress,24
2017,L0ZERG,sem,24
2018,XMGVO2,logit,23
2017,QGMHHQ,glm,22
2018,KGL6YO,probit,21
2017,HG4QYB,mixed,21
2015,WGL5AV,streg,20
2018,LIWMYQ,logit,20
2016,O9TFAQ,regress,20
2015,N9ETAF,regress,19
2018,6WPVWI,xtmixed,19
2018,N5EGWL,regress,18
2017,KNXSY7,xtmixed,18
2017,SIREAP,logit,18
2018,09JRXK,regress,17
2017,TJMSMD,regress,17
2018,TIYCHO,regress,16
2018,RKVKY3,regress,16
2018,09JRXK,probit,16
2017,SRC9HN,gllamm,16
2017,JDNTRA,logit,16
2017,QGMHHQ,areg,16
2017,PKKF3W,xtreg,16
2017,B1CMUS,logit,16
2016,93NQHC,xtmixed,15
2017,MKINN2,xtreg,15
2017,JRSFS9,logit,15
2017,JDNTRA,sem,14
2017,WI3S84,regress,14
2017,PTMJF0,version:mlogit,14
2017,PTMJF0,mlogit,14
2018,OCNIWD,clogit,13
2016,VEBZGW,regress,13
2015,WJLY7G,svy:regress,12
2015,YBT8WZ,xtreg,12
2017,KNXSY7,regress,12
2017,GNGJQR,probit,12
2017,IEX6BE,regress,12
2017,IEX6BE,xtreg,12
2017,JOSCG1,stcox,12
2017,MKINN2,logit,12
2017,JRSFS9,regress,12
2015,29792,xtlogit,11
2018,HSELCA,nbreg,11
2016,NCI9RM,logit,11
2017,JDNTRA,regress,11
2017,QGMHHQ,regress,11
2015,N9ETAF,xtreg,10
2015,UMNENW,regress,10
2018,NVPJK0,clogit,10
2019,HPTPDQ,xtreg,10
2017,08V0ZM,logit,10
2017,ZYCCZM,logit,10
2017,0H226U,regress,10
2015,P4JTOD,gsem,9
2015,P4JTOD,svy:regress,9
2018,LZMEIV,regress,9
2019,4YXPHO,rd,9
2016,EC0BKU,logit,9
2016,LKWOJL,regress,9
2017,SIREAP,xtgee,9
2017,PKKF3W,xtdpd,9
2017,PZB01G,mprobit,9
2018,EDNX2Z,edvreg,8
2018,7KPGDO,heckprob,8
2018,USKUR2,probit,8
2018,QNKFDL,firthlogit,8
2019,LFD20F,regress,8
2019,LFD20F,areg,8
2019,HPTPDQ,tobit,8
2016,DR9RZY,regress,8
2016,NIBSUD,regress,8
