year,dataset,command,count
2016,9O0YIO,matrix,3300
2016,9O0YIO,scalar,1687
2016,9O0YIO,drop,1318
2016,9O0YIO,xsvmat,1185
2016,9O0YIO,merge,888
2016,9O0YIO,use,733
2016,9O0YIO,saveold,569
2016,9O0YIO,replace,564
2016,9O0YIO,generate,499
2016,9O0YIO,regress,470
2016,9O0YIO,xtreg,435
2016,9O0YIO,egen,417
2016,9O0YIO,_pctile,417
2016,9O0YIO,predict,390
2016,SYACXH,replace,361
2016,LJXGBB,logit,284
2016,9O0YIO,xtset,271
2016,9O0YIO,set,204
2016,9O0YIO,preserve,135
2016,9O0YIO,drawnorm,135
2016,9O0YIO,restore,135
2016,GPJ6MA,outreg2,133
2016,9O0YIO,clear,119
2016,9O0YIO,display,117
2016,9O0YIO,log,116
2016,9O0YIO,append,108
2016,J3PK3T,generate,97
2016,3RPBBT,margins,96
2019,LHUDKV,tabulate,94
2017,VUMBKB,label,88
2016,SYACXH,recode,79
2016,3RPBBT,generate,78
2016,9O0YIO,local,78
2016,3RPBBT,replace,77
2016,N1MIGD,matrix,72
2016,N1MIGD,mat2txt,72
2016,N1MIGD,replace,70
2016,472BUO,xtpcse,66
2016,N1MIGD,lincom,66
2016,J3PK3T,scalar,64
2016,ZTJO4G,margins,62
2016,ZTJO4G,marginsplot,62
2010,CUSP4K,generate,60
2016,GPJ6MA,ologit,60
2016,J3PK3T,summarize,60
2016,9O0YIO,cd,55
2016,J3PK3T,centile,54
2016,SYACXH,generate,52
2016,EBKYJO,replace,51
2016,3AJ7ZX,recode,51
2019,LHUDKV,replace,48
2019,LHUDKV,prtest,48
2016,G29DGC,tabulate,48
2010,3DVDZV,scalar,46
2016,GPJ6MA,regress,45
2016,9O0YIO,summarize,43
2016,BYZDYE,generate,42
2016,LJXGBB,eststo,42
2016,ZXIDXZ,replace,42
2016,DDNLGC,test,42
2016,LJXGBB,esttab,41
2019,LHUDKV,generate,40
2019,LHUDKV,label,40
2016,9O0YIO,postutil,39
2016,9O0YIO,postfile,39
2016,9O0YIO,while,39
2016,9O0YIO,tempname,39
2016,9O0YIO,post,39
2016,9O0YIO,postclose,39
2018,0TIKAL,Iteration,38
2016,GPJ6MA,zinb,38
2016,BYZDYE,recode,37
2016,ZXIDXZ,generate,37
2017,VUMBKB,logit,37
2016,GPJ6MA,estat,36
2016,GPJ6MA,testparm,36
2016,N1MIGD,estat,36
2017,VUMBKB,outreg2,35
2016,ZTJO4G,logit,34
2016,YBO9GM,generate,34
2016,3RPBBT,recode,33
2016,GPJ6MA,logit,32
2016,GPJ6MA,relogit,30
2016,GPJ6MA,nbreg,30
2016,SYACXH,label,30
2016,ZTJO4G,xtgee,29
2016,N1MIGD,set,28
2016,3RPBBT,tabulate,27
2016,3AJ7ZX,tabulate,26
2016,GPJ6MA,summarize,25
2010,CUSP4K,recode,24
2010,CUSP4K,xtlogit,24
2010,CUSP4K,relogitq,24
2016,EBKYJO,generate,24
2016,JSSREL,setx,24
2016,JSSREL,simqi,23
2016,A1MXIX,xtivreg2,22
2016,YBO9GM,xtpcse,21
2010,ZBGVYX,xtivreg2,20
2016,A1MXIX,estimates:store,20
2016,4QSK8Z,xtivreg2,20
2016,LJXGBB,mcp,20
2016,J3PK3T,test,20
2016,KMLYEY,probit,19
2016,SYWU60,regress,18
2016,L6T8GD,estimates:store,18
2016,N1MIGD,areg,18
2016,N1MIGD,xtreg,18
2016,YAAUMQ,setx,18
2016,YAAUMQ,simqi,18
2016,ZXIDXZ,recode,18
2016,3AJ7ZX,rename,18
2016,GPJ6MA,sort,17
2018,OCGMZV,generate,16
2018,OCGMZV,label,16
2016,N1MIGD,predict,16
2016,LOPO9L,xtscc,16
2018,GBQS6G,logit,15
2016,ZZOJQC,margins,15
2018,OCGMZV,logit,14
2019,LHUDKV,recode,14
2016,SYWU60,estimates:store,14
2016,3RPBBT,svy:logit,14
2016,G29DGC,list,14
2016,LJXGBB,relogit,14
2018,GBQS6G,simqi,13
2016,472BUO,eststo,13
2016,472BUO,esttab,13
2016,KMLYEY,prvalue,13
2016,G29DGC,summarize,13
2016,9H9ROX,xtreg,13
2017,VUMBKB,drop,13
2010,VBJNWH,heckprob,12
2010,VBJNWH,setx,12
2010,CUSP4K,estimates:store,12
2010,CUSP4K,hausman,12
2010,CUSP4K,relogit,12
2010,CUSP4K,setx,12
2010,3DVDZV,generate,12
2018,GBQS6G,estimates:store,12
2018,VZBJUC,tabulate,12
2016,L6T8GD,xtreg,12
2016,GRRBI2,label,12
2016,3RPBBT,testparm,12
2016,ZOYYMJ,xtreg,12
2016,ELCDQS,simqi,12
2016,9H9ROX,adjust,12
2016,3AJ7ZX,drop,12
2016,3AJ7ZX,setx,12
2016,3AJ7ZX,simqi,12
2010,VBJNWH,probit,11
2016,LJXGBB,use,11
2010,ZBGVYX,adjust,10
2018,GBQS6G,fitstat,10
2019,LHUDKV,ttest,10
2016,GPJ6MA,generate,10
2016,ZZOJQC,correlate,10
2016,N1MIGD,clear,10
2016,3RPBBT,label,10
2016,YAAUMQ,probit,10
2016,4QSK8Z,adjust,10
2016,LJXGBB,correlate,10
2016,9H9ROX,xtfevd,10
2016,3AJ7ZX,replace,10
2018,0TIKAL,label,9
2018,OCGMZV,estimates:store,9
2018,VZBJUC,logit,9
2016,3RPBBT,svy:mlogit,9
2016,J3PK3T,ologit,9
2016,J3PK3T,drop,9
2016,3AJ7ZX,clear,9
2016,3AJ7ZX,use,9
2016,3AJ7ZX,keep,9
2016,3AJ7ZX,exlogistic,9
2010,VBJNWH,tabulate,8
2010,CUSP4K,tssmooth,8
2010,DFQZIZ,mlogit,8
2016,EBKYJO,recode,8
2016,3RPBBT,rename,8
2016,JSSREL,logit,8
2016,JSSREL,estsimp,8
2016,JSSREL,drop,8
2016,YBO9GM,set,8
2016,SYACXH,impute,8
2016,9O0YIO,rename,8
2016,A1MXIX,xtreg,8
2016,J3PK3T,set,8
2016,HKCRBU,probit,8
2010,VBJNWH,replace,7
2010,3DVDZV,use,7
2018,GBQS6G,eststo,7
2018,GBQS6G,esttab,7
2018,GBQS6G,generate,7
2016,RYPUEF,logit,7
2016,SYWU60,estout,7
2016,ZTJO4G,centile,7
2016,ZZOJQC,replace,7
2016,BYZDYE,tabulate,7
2016,2F3GAT,egen,7
2016,2F3GAT,logit,7
2016,A1MXIX,generate,7
2016,3AJ7ZX,generate,7
2017,VUMBKB,prgen,7
2017,VUMBKB,twoway,7
2010,VBJNWH,drop,6
2010,VBJNWH,simqi,6
2010,3DVDZV,set,6
2010,3DVDZV,display,6
2010,3DVDZV,egen,6
2010,3DVDZV,_pctile,6
2018,GBQS6G,epcp,6
2018,0TIKAL,probit,6
2016,L6T8GD,xttobit,6
2016,3RPBBT,use,6
2016,3RPBBT,svy:tabulate,6
2016,YBO9GM,tsset,6
2016,YBO9GM,eststo,6
2016,YBO9GM,esttab,6
2016,YBO9GM,replace,6
2016,9O0YIO,cmp,6
2016,LTQI6R,logit,6
2016,2YI6DY,stcox,6
2016,ZOYYMJ,estat,6
2016,LJXGBB,graph,6
2016,LJXGBB,twoway,6
2016,J3PK3T,label,6
2016,J3PK3T,display,6
2016,J3PK3T,egen,6
2016,J3PK3T,_pctile,6
2016,BSAARV,Table,6
2016,BSAARV,anova,6
2016,3AJ7ZX,logit,6
2016,3AJ7ZX,estsimp,6
2010,VBJNWH,generate,5
2010,VBJNWH,summarize,5
2010,3DVDZV,logit,5
2018,GBQS6G,replace,5
2018,OCGMZV,local,5
2016,KMLYEY,summarize,5
2016,IHQMJP,regress,5
2016,IHQMJP,poisson,5
2016,IHQMJP,nbreg,5
2016,ZZOJQC,summarize,5
2016,N1MIGD,generate,5
2016,N1MIGD,rename,5
2016,YBO9GM,clear,5
2016,9O0YIO,reg3,5
2016,9O0YIO,insheet,5
2016,9O0YIO,outsheet,5
2016,J3PK3T,oprobit,5
2016,J3PK3T,preserve,5
2016,J3PK3T,drawnorm,5
2016,HKCRBU,set,5
2016,DDNLGC,logit,5
2017,VUMBKB,heckprob,5
2010,ZBGVYX,heckman,4
2010,CUSP4K,clear,4
2010,CUSP4K,use,4
2010,CUSP4K,tsset,4
2010,CUSP4K,drop,4
2010,3DVDZV,clear,4
2010,3DVDZV,local,4
2018,GBQS6G,preserve,4
2018,GBQS6G,setx,4
2018,GBQS6G,restore,4
2018,OCGMZV,sort,4
2019,LHUDKV,save,4
2016,KMLYEY,esttab,4
2016,EBKYJO,regress,4
2016,GPJ6MA,label,4
2016,SYWU60,heckman,4
2016,SYWU60,predict,4
2016,SYWU60,generate,4
2016,N1MIGD,cd,4
2016,N1MIGD,use,4
2016,N1MIGD,egen,4
2016,3RPBBT,drop,4
2016,YBO9GM,reg3,4
2016,YBO9GM,estimates:store,4
2016,YBO9GM,regress,4
2016,YBO9GM,hausman,4
