title,href,date
Replication Data for: Multilateralism and the Use of Force: Experimental Evidence on the Views of Foreign Policy Elites,/dataset.xhtml?persistentId=doi:10.7910/DVN/LHUDKV,"Mar 25, 2019"
"Replication Data for: To sign or not to sign. Hegemony, Global Internet Governance, and the International Telecommunication Regulations",/dataset.xhtml?persistentId=doi:10.7910/DVN/OCGMZV,"Apr 23, 2018"
Replication Data for: Male vs. Female Career Ambassadors: Is the U.S. Foreign Service Still Biased?,/dataset.xhtml?persistentId=doi:10.7910/DVN/VZBJUC,"Apr 23, 2018"
"Replication Data for: Democracy, Transparency, and Secrecy in Crisis",/dataset.xhtml?persistentId=doi:10.7910/DVN/0TIKAL,"Feb 6, 2018"
"Replication Data for: Interdependence, Networks, and Public Policy Support",/dataset.xhtml?persistentId=doi:10.7910/DVN/HQBRHO,"Feb 6, 2018"
Replication Data for: International Treaty Ratification and Leader Turnover,/dataset.xhtml?persistentId=doi:10.7910/DVN/GBQS6G,"Feb 6, 2018"
Replication Data for: Teaching Cooperation: The effect of shared neoliberalism on sanctioning behavior,/dataset.xhtml?persistentId=doi:10.7910/DVN/VUMBKB,"Nov 21, 2017"
"Replication Data for: Making Concurrence-Seeking Visible: Groupthink, Discourse Networks, and the Iraq War 2003",/dataset.xhtml?persistentId=doi:10.7910/DVN/FII5ZL,"Jul 13, 2017"
Replication Data for: The Argentina-Brazil Regional Power Transition,/dataset.xhtml?persistentId=doi:10.7910/DVN/HJQKTH,"Feb 21, 2017"
Replication Data for  Norm Entrepreneurship in Foreign Policy:  William Hague and the Prevention of Sexual Violence in Conflict,/dataset.xhtml?persistentId=doi:10.7910/DVN/5SPLEY,"Feb 16, 2017"
Replication Data for: Vodka or Bourbon? Foreign Policy Preferences Toward Russia and the US in Georgia,/dataset.xhtml?persistentId=doi:10.7910/DVN/A3HBWB,"Feb 16, 2017"
Public Goods and Donor Priorities: The Political Economy of Development Aid for Infectious Disease Control,/dataset.xhtml?persistentId=doi:10.7910/DVN/VQATCM,"Feb 16, 2017"
"Don't Know Much about Foreign Policy: Assessing the Impact of ""Don't Know"" and ""No Opinion"" Responses on Inferences about Foreign Policy Attitudes",/dataset.xhtml?persistentId=doi:10.7910/DVN/3RPBBT,"Aug 15, 2016"
Replication Data for: RUSSIAN IMAGES OF THE EUROPEAN UNION: BEFORE AND AFTER MAIDAN,/dataset.xhtml?persistentId=doi:10.7910/DVN/EQ1YYY,"Jul 25, 2016"
Replication Data for: Beyond Norms. A configurational analysis of the EU’s Arab Spring sanctions ,/dataset.xhtml?persistentId=doi:10.7910/DVN/G4SZXG,"Jul 2, 2016"
Replication Data for: Does the presence of foreign troops affect stability in the host country?,/dataset.xhtml?persistentId=doi:10.7910/DVN/A1MXIX,"Jul 2, 2016"
"Replication Data for: Capabilities, Cooperation, and Culture: Mapping American Ambivalence toward China",/dataset.xhtml?persistentId=doi:10.7910/DVN/VOVFDU,"Apr 18, 2016"
"Replication Data for: Coup d'etat or Coup d'Autocracy? How Coups Impact Democratization, 1950-2008",/dataset.xhtml?persistentId=doi:10.7910/DVN/RYPUEF,"Apr 18, 2016"
Replication Data for: U.S. Military Aid and Recipient State Cooperation,/dataset.xhtml?persistentId=doi:10.7910/DVN/4QSK8Z,"Apr 18, 2016"
Replication Data for: NATO Burden Sharing 1999–2010: An Altered Alliance,/dataset.xhtml?persistentId=doi:10.7910/DVN/3MNPJ1,"Apr 18, 2016"
Replication Data for: Security Commitments and Nuclear Proliferation,/dataset.xhtml?persistentId=doi:10.7910/DVN/HK6PKL,"Apr 18, 2016"
Replication Data for: The Effects of Rivalry on Rivalry: Accommodation and the Management of Threats,/dataset.xhtml?persistentId=doi:10.7910/DVN/HAMSQO,"Apr 18, 2016"
Replication Data for: ,/dataset.xhtml?persistentId=doi:10.7910/DVN/LTQI6R,"Apr 18, 2016"
Replication Data for: Conflict Management Efforts of Allies in Interstate Disputes,/dataset.xhtml?persistentId=doi:10.7910/DVN/JSSREL,"Apr 18, 2016"
Replication Data for: Broadening the Debate about War: the Inclusion of Foreign Critics in Media Coverage and its Potential Impact on Public opinion,/dataset.xhtml?persistentId=doi:10.7910/DVN/NZFZAW,"Apr 18, 2016"
"Replication Data for: The Taming of the Red Dragon: the Militarized Worldview and China's Use of Force, 1949-2001",/dataset.xhtml?persistentId=doi:10.7910/DVN/LUSKZH,"Apr 18, 2016"
Replication Data for: Ideas and Change in Foreign Policy Instruments: Soft Power and the Case of the Turkish International Cooperation and Development Agency (TIKA),/dataset.xhtml?persistentId=doi:10.7910/DVN/4UZU8I,"Apr 18, 2016"
"Replication Data for: The Domestic Politics of Humanitarian Intervention: Public Opinion, Partisanship and Ideology",/dataset.xhtml?persistentId=doi:10.7910/DVN/SWPFZA,"Apr 18, 2016"
Replication Data for: A Story of Institutional Misfit: Congress and US Economic Sanctions,/dataset.xhtml?persistentId=doi:10.7910/DVN/2YI6DY,"Apr 18, 2016"
Replication Data for: Divine Direction: How Providential Religious Beliefs Shape Foreign Policy Attitudes,/dataset.xhtml?persistentId=doi:10.7910/DVN/3AJ7ZX,"Apr 18, 2016"
Replication Data for: ,/dataset.xhtml?persistentId=doi:10.7910/DVN/GRRBI2,"Apr 14, 2016"
"Replication Data for: Leaders' Cognitive Complexity, Distrust, and the Diversionary Use of Force",/dataset.xhtml?persistentId=doi:10.7910/DVN/59HSGE,"Apr 14, 2016"
Replication Data for: International Trade and United States Relations with China,/dataset.xhtml?persistentId=doi:10.7910/DVN/DDNLGC,"Apr 14, 2016"
"Replication Data for: Military Leadership, Institutional Change, and Priorities in Military Spending",/dataset.xhtml?persistentId=doi:10.7910/DVN/472BUO,"Apr 14, 2016"
Replication Data for: Presidential and Media Leadership of Public Opinion on Iraq,/dataset.xhtml?persistentId=doi:10.7910/DVN/I3JH3G,"Apr 14, 2016"
Replication Data for: The Stabilizing Effects of International Politics on Bilateral Trade Flows,/dataset.xhtml?persistentId=doi:10.7910/DVN/N1MIGD,"Apr 14, 2016"
Replication Data for: Does Compensating the Losers Increase Support for Trade? An Experimental Test of the Embedded Liberalism Thesis,/dataset.xhtml?persistentId=doi:10.7910/DVN/SHK9QJ,"Apr 14, 2016"
"Replication Data for Gender, International Status and Ambassador Appointments",/dataset.xhtml?persistentId=doi:10.7910/DVN/UHURK9,"Apr 11, 2016"
"Replication Data for ""Leadership Preferences in Ethno-Territorial Conflicts: An Experimental Approach""",/dataset.xhtml?persistentId=doi:10.7910/DVN/2GKL6J,"Apr 11, 2016"
"Replication Data for: Terrorism, Counterterrorism Aid, and Foreign Direct Investment",/dataset.xhtml?persistentId=doi:10.7910/DVN/BV7YUU,"Feb 26, 2016"
Replication Data for: Identity and Security Interests in the Indo-US Relationship,/dataset.xhtml?persistentId=doi:10.7910/DVN/CFJVVK,"Feb 26, 2016"
Replication Data for: International Contributions to Nicaraguan Democracy: The Role of Foreign Municipal Donations for Social Development,/dataset.xhtml?persistentId=doi:10.7910/DVN/V0MKZR,"Feb 26, 2016"
"Replication Data for: The Foreign Policy Attitudes of Indian Elites: Variance, Structure, and Common Denominators",/dataset.xhtml?persistentId=doi:10.7910/DVN/BYZDYE,"Feb 26, 2016"
Replication Data for: Democratic Participation in the Air Strikes against Islamic State A Qualitative Comparative Analysis,/dataset.xhtml?persistentId=doi:10.7910/DVN/11SAJZ,"Feb 26, 2016"
Replication Data for: Why Governments Cede Sovereignty: Evidence from Regional Human Rights Courts,/dataset.xhtml?persistentId=doi:10.7910/DVN/6M4LFJ,"Feb 26, 2016"
Replication Data for: How the Piper is Paid: Regime Type and the Financing of Interstate Wars,/dataset.xhtml?persistentId=doi:10.7910/DVN/9O0YIO,"Feb 15, 2016"
"Replication Data for: Democracy, Inclusion and Failure in Counter-Insurgency",/dataset.xhtml?persistentId=doi:10.7910/DVN/T27NQO,"Feb 15, 2016"
Replication Data for: Detention as a Peacemaking Strategy: The 2007-08 Iraq Surge and US Detention Policy,/dataset.xhtml?persistentId=doi:10.7910/DVN/TX160A,"Feb 15, 2016"
"Replication Data for: Religious Roots of War Attitudes in the United States: Insights from Iraq, Afghanistan, and the Persian Gulf",/dataset.xhtml?persistentId=doi:10.7910/DVN/SYACXH,"Feb 15, 2016"
"Replication Data for: Soft Power, Religion and anti-Americanism in the Middle East",/dataset.xhtml?persistentId=doi:10.7910/DVN/ZXIDXZ,"Feb 15, 2016"
Replication Data for: Public Support for Economic Sanctions: An Experimental Analysis,/dataset.xhtml?persistentId=doi:10.7910/DVN/BSAARV,"Feb 15, 2016"
Replication Data for: The Hard Power of Natural Resources: Oil and the Outbreak of Militarized Interstate Disputes,/dataset.xhtml?persistentId=doi:10.7910/DVN/LJXGBB,"Feb 14, 2016"
Replication Data for: Priming Assad: An Experiment of Ethnic Priming and Attitudes toward Military Action in Syria,/dataset.xhtml?persistentId=doi:10.7910/DVN/EBKYJO,"Feb 14, 2016"
"Replication Data for: Hawks and Doves Reconsidered: Parties, Leaders, and Foreign Policy in Democracies",/dataset.xhtml?persistentId=doi:10.7910/DVN/ELCDQS,"Feb 14, 2016"
Replication Data for: The Domestic Politics of U.S. Treaty Ratification: Bilateral Treaties from 1949-2012,/dataset.xhtml?persistentId=doi:10.7910/DVN/EK1WTZ,"Feb 14, 2016"
Replication Data for: Security Assistance for the Long Term: Economic Modernization and Institutionalized Military Professionalism,/dataset.xhtml?persistentId=doi:10.7910/DVN/IHQMJP,"Feb 14, 2016"
Replication Data for: Diversion for All? Domestic Political Problems and Relative Power,/dataset.xhtml?persistentId=doi:10.7910/DVN/HKCRBU,"Feb 14, 2016"
Replication Data for: AIDING STRANGERS: GENERALIZED TRUST AND THE MORAL BASIS OF PUBLIC SUPPORT FOR FOREIGN AID ,/dataset.xhtml?persistentId=doi:10.7910/DVN/XQQ23M,"Feb 14, 2016"
Replication Data for: International Contributions to Nicaraguan Democracy: The Role of Foreign Municipal Donations for Social Development,/dataset.xhtml?persistentId=doi:10.7910/DVN/H1B3TJ,"Feb 13, 2016"
"Replication Data for: Killing the Messenger: Political System Openness as a Determinant of Journalist Killing, 1992-2008",/dataset.xhtml?persistentId=doi:10.7910/DVN/GPJ6MA,"Feb 13, 2016"
Replication Data for: Conditional Relationships between Drought and Civil War in sub-Saharan Africa ,/dataset.xhtml?persistentId=doi:10.7910/DVN/ZTJO4G,"Feb 13, 2016"
Replication Data for: How NGOs Influence States’ Foreign Policy Behaviors: Analysis of Interaction Between States and NGOs With a New Dataset ,/dataset.xhtml?persistentId=doi:10.7910/DVN/L6T8GD,"Feb 13, 2016"
"Replication Data for: The Flipside of Flip-Flopping: Leader Inconsistency, Citizen Preferences and the War in Iraq",/dataset.xhtml?persistentId=doi:10.7910/DVN/WL89Q2,"Feb 4, 2016"
Replication Data for: Going for the Gold versus Distributing the Green: Foreign Policy Substitutability and Complementarity in Status Enhancement Strategies,/dataset.xhtml?persistentId=doi:10.7910/DVN/ZOYYMJ,"Feb 4, 2016"
Replication Data for: The Localized and Spatial Effects of US Troop Deployments on Host-state Defense Spending,/dataset.xhtml?persistentId=doi:10.7910/DVN/YBO9GM,"Jan 28, 2016"
Replication Data for: Why Military Forces Respond to Terrorism with Torture,/dataset.xhtml?persistentId=doi:10.7910/DVN/J3PK3T,"Jan 28, 2016"
Replication Data for: Unmasking the Black Knights: Sanctions Busters and Their Effects on the Success of Economic Sanctions,/dataset.xhtml?persistentId=doi:10.7910/DVN/KMLYEY,"Jan 28, 2016"
Replication Data for: Military Coalitions and the Outcome of Interstate Wars,/dataset.xhtml?persistentId=doi:10.7910/DVN/YAAUMQ,"Jan 28, 2016"
Replication Data for: Economic Sanctions and the Domestic Sources of Defiance to Foreign Pressure in Target Countries: The Case of Government Predation,/dataset.xhtml?persistentId=doi:10.7910/DVN/9H9ROX,"Jan 28, 2016"
Replication Data for: Why Do Some Organizations Kill While Others Do Not: An Examination of Middle Eastern Organizations,/dataset.xhtml?persistentId=doi:10.7910/DVN/ZFEBHI,"Jan 28, 2016"
"Replication Data for: Terrorism, Counterterrorism Aid, and Foreign Direct Investment",/dataset.xhtml?persistentId=doi:10.7910/DVN/DX4HLQ,"Jan 28, 2016"
Replication Data for: Does Armed Conflict Reduce Foreign Direct Investment in the Petroleum Sector,/dataset.xhtml?persistentId=doi:10.7910/DVN/LOPO9L,"Jan 28, 2016"
Replication Data for: US Disaster Aid and Bilateral Trade Growth,/dataset.xhtml?persistentId=doi:10.7910/DVN/SYWU60,"Jan 23, 2016"
Replication Data for: The Political Economy of Chinese Foreign Direct Investment in Developing Areas,/dataset.xhtml?persistentId=doi:10.7910/DVN/CSDWHN,"Jan 23, 2016"
Replication Data for: Foreign Policy Ideology and Conflict Preferences: A Look at Afghanistan and Libya ,/dataset.xhtml?persistentId=doi:10.7910/DVN/ZZOJQC,"Jan 23, 2016"
Replication Data for: What Friends Are Made Of: Bilateral Linkages and Domestic Drivers of Foreign Policy Alignment with China ,/dataset.xhtml?persistentId=doi:10.7910/DVN/2F3GAT,"Jan 23, 2016"
Replication Data for: Victim’s Justice in the Aftermath of Political Violence: Why Do Countries Award Reparations? ,/dataset.xhtml?persistentId=doi:10.7910/DVN/3D1GD3,"Jan 23, 2016"
Replication Data for: The war that wasn't there? Framing Italy’s “peace mission” in Afghanistan ,/dataset.xhtml?persistentId=doi:10.7910/DVN/I3UIG5,"Jan 23, 2016"
Replication Data for: Complex Interstate Rivals ,/dataset.xhtml?persistentId=doi:10.7910/DVN/G29DGC,"Jan 23, 2016"
Replication data for: Bombing to Bargain?,/dataset.xhtml?persistentId=doi:10.7910/DVN/DFQZIZ,"Nov 7, 2010"
Replication data for: Defense Pacts: A Prescritption for Peace,/dataset.xhtml?persistentId=doi:10.7910/DVN/VBJNWH,"Nov 7, 2010"
U.S. Military Aid and Recipient State Cooperation,/dataset.xhtml?persistentId=doi:10.7910/DVN/ZBGVYX,"Nov 7, 2010"
"Replication data for: Testing the Biden Hypotheses: Leader Tenure, Age, and International Conflict",/dataset.xhtml?persistentId=doi:10.7910/DVN/3DVDZV,"Nov 7, 2010"
"Replication data for: Politics, Early Warning Systems, and Credit Rating Agencies",/dataset.xhtml?persistentId=doi:10.7910/DVN/CUSP4K,"Nov 7, 2010"
