title,href,date,filename,file_href
Replication Data for: Multilateralism and the Use of Force: Experimental Evidence on the Views of Foreign Policy Elites,/dataset.xhtml?persistentId=doi:10.7910/DVN/LHUDKV,"Mar 25, 2019",AllGroups_dropINC_AnonymousS12.tab,/file.xhtml?persistentId=doi:10.7910/DVN/LHUDKV/TZFCJG&version=1.0
Replication Data for: Multilateralism and the Use of Force: Experimental Evidence on the Views of Foreign Policy Elites,/dataset.xhtml?persistentId=doi:10.7910/DVN/LHUDKV,"Mar 25, 2019",AppendixC2_UTEX0032_QuestionnaireCombined.pdf,/file.xhtml?persistentId=doi:10.7910/DVN/LHUDKV/TGNW93&version=1.0
Replication Data for: Multilateralism and the Use of Force: Experimental Evidence on the Views of Foreign Policy Elites,/dataset.xhtml?persistentId=doi:10.7910/DVN/LHUDKV,"Mar 25, 2019",FPAReplication.do,/file.xhtml?persistentId=doi:10.7910/DVN/LHUDKV/6IQUHM&version=1.0
Replication Data for: Multilateralism and the Use of Force: Experimental Evidence on the Views of Foreign Policy Elites,/dataset.xhtml?persistentId=doi:10.7910/DVN/LHUDKV,"Mar 25, 2019",FPAReplication.log,/file.xhtml?persistentId=doi:10.7910/DVN/LHUDKV/4RLO3G&version=1.0
Replication Data for: Multilateralism and the Use of Force: Experimental Evidence on the Views of Foreign Policy Elites,/dataset.xhtml?persistentId=doi:10.7910/DVN/LHUDKV,"Mar 25, 2019",LeaderSurvey.pdf,/file.xhtml?persistentId=doi:10.7910/DVN/LHUDKV/QLOP2S&version=1.0
Replication Data for: Multilateralism and the Use of Force: Experimental Evidence on the Views of Foreign Policy Elites,/dataset.xhtml?persistentId=doi:10.7910/DVN/LHUDKV,"Mar 25, 2019",UTEX0032_OUTPUT_New_S12.tab,/file.xhtml?persistentId=doi:10.7910/DVN/LHUDKV/0IB31W&version=1.0
Replication Data for: Multilateralism and the Use of Force: Experimental Evidence on the Views of Foreign Policy Elites,/dataset.xhtml?persistentId=doi:10.7910/DVN/LHUDKV,"Mar 25, 2019",UTEX0032_OUTPUT_S12-1.tab,/file.xhtml?persistentId=doi:10.7910/DVN/LHUDKV/GYNHDV&version=1.0
"Replication Data for: To sign or not to sign. Hegemony, Global Internet Governance, and the International Telecommunication Regulations",/dataset.xhtml?persistentId=doi:10.7910/DVN/OCGMZV,"Apr 23, 2018",Rep do file.do,/file.xhtml?persistentId=doi:10.7910/DVN/OCGMZV/BNWGMU&version=1.0
"Replication Data for: To sign or not to sign. Hegemony, Global Internet Governance, and the International Telecommunication Regulations",/dataset.xhtml?persistentId=doi:10.7910/DVN/OCGMZV,"Apr 23, 2018",Replication data set-1.tab,/file.xhtml?persistentId=doi:10.7910/DVN/OCGMZV/WXWDO5&version=1.0
"Replication Data for: To sign or not to sign. Hegemony, Global Internet Governance, and the International Telecommunication Regulations",/dataset.xhtml?persistentId=doi:10.7910/DVN/OCGMZV,"Apr 23, 2018",Replication data set.dta,/file.xhtml?persistentId=doi:10.7910/DVN/OCGMZV/7CDFYM&version=1.0
Replication Data for: Male vs. Female Career Ambassadors: Is the U.S. Foreign Service Still Biased?,/dataset.xhtml?persistentId=doi:10.7910/DVN/VZBJUC,"Apr 23, 2018",All career ambassadors.dta,/file.xhtml?persistentId=doi:10.7910/DVN/VZBJUC/JZOVTE&version=1.0
Replication Data for: Male vs. Female Career Ambassadors: Is the U.S. Foreign Service Still Biased?,/dataset.xhtml?persistentId=doi:10.7910/DVN/VZBJUC,"Apr 23, 2018",Do-file Male vs. Female Career Ambassadors.do,/file.xhtml?persistentId=doi:10.7910/DVN/VZBJUC/XEHCO6&version=1.0
Replication Data for: Male vs. Female Career Ambassadors: Is the U.S. Foreign Service Still Biased?,/dataset.xhtml?persistentId=doi:10.7910/DVN/VZBJUC,"Apr 23, 2018",Main FPA dataset.dta,/file.xhtml?persistentId=doi:10.7910/DVN/VZBJUC/Y1WDDU&version=1.0
Replication Data for: Male vs. Female Career Ambassadors: Is the U.S. Foreign Service Still Biased?,/dataset.xhtml?persistentId=doi:10.7910/DVN/VZBJUC,"Apr 23, 2018","Total number of career ambassadors per year, by sex.dta",/file.xhtml?persistentId=doi:10.7910/DVN/VZBJUC/8ZVWFQ&version=1.0
"Replication Data for: Democracy, Transparency, and Secrecy in Crisis",/dataset.xhtml?persistentId=doi:10.7910/DVN/0TIKAL,"Feb 6, 2018",DataFPABellMartinezMachain.dta,/file.xhtml?persistentId=doi:10.7910/DVN/0TIKAL/XBG1RL&version=1.0
"Replication Data for: Democracy, Transparency, and Secrecy in Crisis",/dataset.xhtml?persistentId=doi:10.7910/DVN/0TIKAL,"Feb 6, 2018",LogFPABellMartinezMachain.do,/file.xhtml?persistentId=doi:10.7910/DVN/0TIKAL/WX2NKN&version=1.0
"Replication Data for: Democracy, Transparency, and Secrecy in Crisis",/dataset.xhtml?persistentId=doi:10.7910/DVN/0TIKAL,"Feb 6, 2018",ReplicationFPABellMartinezMachain.do,/file.xhtml?persistentId=doi:10.7910/DVN/0TIKAL/Y8JXBN&version=1.0
"Replication Data for: Interdependence, Networks, and Public Policy Support",/dataset.xhtml?persistentId=doi:10.7910/DVN/HQBRHO,"Feb 6, 2018",ChaudoinWilf_FPA_data.tab,/file.xhtml?persistentId=doi:10.7910/DVN/HQBRHO/DTHGBU&version=1.0
"Replication Data for: Interdependence, Networks, and Public Policy Support",/dataset.xhtml?persistentId=doi:10.7910/DVN/HQBRHO,"Feb 6, 2018",ChaudoinWilf_Replication_Final.R,/file.xhtml?persistentId=doi:10.7910/DVN/HQBRHO/XDPPDR&version=1.0
"Replication Data for: Interdependence, Networks, and Public Policy Support",/dataset.xhtml?persistentId=doi:10.7910/DVN/HQBRHO,"Feb 6, 2018",MANIFEST.TXT,/file.xhtml?persistentId=doi:10.7910/DVN/HQBRHO/LZXNSN&version=1.0
Replication Data for: International Treaty Ratification and Leader Turnover,/dataset.xhtml?persistentId=doi:10.7910/DVN/GBQS6G,"Feb 6, 2018",FPA Country-Treaty-Year.dta,/file.xhtml?persistentId=doi:10.7910/DVN/GBQS6G/OC7RLX&version=1.0
Replication Data for: International Treaty Ratification and Leader Turnover,/dataset.xhtml?persistentId=doi:10.7910/DVN/GBQS6G,"Feb 6, 2018",FPA Data.dta,/file.xhtml?persistentId=doi:10.7910/DVN/GBQS6G/LW1UKQ&version=1.0
Replication Data for: International Treaty Ratification and Leader Turnover,/dataset.xhtml?persistentId=doi:10.7910/DVN/GBQS6G,"Feb 6, 2018",FPA Dofile.do,/file.xhtml?persistentId=doi:10.7910/DVN/GBQS6G/5251KV&version=1.0
Replication Data for: International Treaty Ratification and Leader Turnover,/dataset.xhtml?persistentId=doi:10.7910/DVN/GBQS6G,"Feb 6, 2018",FPA Stata Log File.smcl,/file.xhtml?persistentId=doi:10.7910/DVN/GBQS6G/NZSIQG&version=1.0
Replication Data for: Teaching Cooperation: The effect of shared neoliberalism on sanctioning behavior,/dataset.xhtml?persistentId=doi:10.7910/DVN/VUMBKB,"Nov 21, 2017",FPA Publication Do File.do,/file.xhtml?persistentId=doi:10.7910/DVN/VUMBKB/MKDOEA&version=1.0
