year,dataset,command,count
2016,9O0YIO,regress,470
2016,9O0YIO,xtreg,435
2016,LJXGBB,logit,284
2016,472BUO,xtpcse,66
2016,GPJ6MA,ologit,60
2016,GPJ6MA,regress,45
2016,GPJ6MA,zinb,38
2017,VUMBKB,logit,37
2016,ZTJO4G,logit,34
2016,GPJ6MA,logit,32
2016,GPJ6MA,relogit,30
2016,GPJ6MA,nbreg,30
2016,ZTJO4G,xtgee,29
2010,CUSP4K,xtlogit,24
2016,A1MXIX,xtivreg2,22
2016,YBO9GM,xtpcse,21
2010,ZBGVYX,xtivreg2,20
2016,4QSK8Z,xtivreg2,20
2016,KMLYEY,probit,19
2016,SYWU60,regress,18
2016,N1MIGD,areg,18
2016,N1MIGD,xtreg,18
2018,GBQS6G,logit,15
2018,OCGMZV,logit,14
2016,3RPBBT,svy:logit,14
2016,LJXGBB,relogit,14
2016,9H9ROX,xtreg,13
2010,VBJNWH,heckprob,12
2010,CUSP4K,relogit,12
2016,L6T8GD,xtreg,12
2016,ZOYYMJ,xtreg,12
2010,VBJNWH,probit,11
2016,YAAUMQ,probit,10
2018,VZBJUC,logit,9
2016,3RPBBT,svy:mlogit,9
2016,J3PK3T,ologit,9
2010,DFQZIZ,mlogit,8
2016,JSSREL,logit,8
2016,JSSREL,estsimp,8
2016,SYACXH,impute,8
2016,A1MXIX,xtreg,8
2016,HKCRBU,probit,8
2016,RYPUEF,logit,7
2016,2F3GAT,logit,7
2018,0TIKAL,probit,6
2016,L6T8GD,xttobit,6
2016,9O0YIO,cmp,6
2016,LTQI6R,logit,6
2016,2YI6DY,stcox,6
2016,BSAARV,anova,6
2016,3AJ7ZX,logit,6
2016,3AJ7ZX,estsimp,6
2010,3DVDZV,logit,5
2016,IHQMJP,regress,5
2016,IHQMJP,poisson,5
2016,IHQMJP,nbreg,5
2016,9O0YIO,reg3,5
2016,J3PK3T,oprobit,5
2016,DDNLGC,logit,5
2017,VUMBKB,heckprob,5
2010,ZBGVYX,heckman,4
2016,EBKYJO,regress,4
2016,SYWU60,heckman,4
2016,YBO9GM,reg3,4
2016,YBO9GM,regress,4
2016,T27NQO,ologit,4
2016,BYZDYE,regress,4
2016,4QSK8Z,heckman,4
2016,ELCDQS,logit,4
2016,ELCDQS,relogit,4
2010,ZBGVYX,outreg,3
2010,3DVDZV,heckprob,3
2016,SYWU60,cmp,3
2016,4QSK8Z,outreg,3
2016,WL89Q2,logit,3
2018,GBQS6G,stcox,2
2016,GRRBI2,probit,2
2016,N1MIGD,arch,2
2016,3RPBBT,svy:probit,2
2016,YAAUMQ,oprobit,2
2016,YAAUMQ,estsimp,2
2016,LTQI6R,estsimp,2
2016,DDNLGC,ologit,2
2016,DDNLGC,tobit,2
2010,VBJNWH,estsimp,1
2018,GBQS6G,estsimp,1
2016,KMLYEY,relogit,1
2016,GPJ6MA,xtgee,1
2016,GPJ6MA,ivreg2,1
2016,ZZOJQC,logit,1
2016,ZZOJQC,mlogit,1
2016,GRRBI2,hetprob,1
2016,LOPO9L,reg3,1
2016,YAAUMQ,biprobit,1
2016,YAAUMQ,heckprob,1
2016,9O0YIO,btscs,1
2016,A1MXIX,probit,1
2016,ELCDQS,estsimp,1
2016,HKCRBU,estsimp,1
2016,BSAARV,probit,1
