year,dataset,command,count
2018,WFOVZZ,replace,270
2017,1CCXS9,reghdfe,212
2018,WFOVZZ,tabulate,158
2018,WFOVZZ,generate,144
2018,GCXFYS,nlcom,126
2017,PPW3SI,replace,125
2018,UCQAVW,generate,113
2019,HMKHFB,replace,112
2018,RQHRKE,estimates:store,72
2016,KKQOAS,lincom,71
2018,WFOVZZ,poisson,68
2016,KKQOAS,generate,68
2018,RQHRKE,heckman,67
2018,SAKE9D,xtreg,61
2018,UCQAVW,replace,59
2018,WFOVZZ,recode,56
2018,OBMCZJ,matrix,54
2018,WFOVZZ,margins,52
2017,1CCXS9,global,50
2018,OBMCZJ,outreg2,44
2017,PPW3SI,clear,43
2017,PPW3SI,forvalues,43
2019,HMKHFB,estimates:store,41
2018,ELYTJ3,local,39
2018,RQHRKE,margins,36
2019,RURFHL,summarize,36
2017,3II9L6,graph,36
2018,OBMCZJ,replace,35
2017,PPW3SI,drop,33
2019,HMKHFB,nbreg,32
2018,OBMCZJ,generate,31
2017,1CCXS9,generate,31
2018,RDOUJV,generate,30
2017,1CCXS9,replace,30
2016,KKQOAS,xtpcse,29
2017,1CCXS9,esttab,29
2017,MLLJ2P,newey,29
2017,MLLJ2P,regress,29
2017,1CCXS9,eststo,28
2018,G3BKWG,regress,26
2018,G3BKWG,estimates:store,26
2018,Z6EZG3,generate,26
2017,MLLJ2P,estat,26
2018,RQHRKE,label,24
2018,RQHRKE,esize,24
2018,RDOUJV,xtgls,24
2018,GCXFYS,generate,24
2017,PPW3SI,save,24
2017,PPW3SI,matrix,24
2018,RQHRKE,esttab,23
2017,PPW3SI,foreach,23
2017,PPW3SI,generate,23
2017,SLYX0L,xtnbreg,22
2018,WFOVZZ,logit,21
2018,OBMCZJ,regress,20
2018,DG7QZU,ologit,19
2018,OBMCZJ,test,19
2017,PPW3SI,use,19
2018,RQHRKE,replace,18
2018,DG7QZU,fitstat,18
2018,WFOVZZ,summarize,18
2019,HMKHFB,regress,18
2017,UA2E21,xtpcse,18
2017,UA2E21,outreg2,18
2017,3II9L6,margins,18
2018,OBMCZJ,ttest,17
2018,GCXFYS,replace,17
2018,GCXFYS,drop,17
2016,KKQOAS,egen,17
2018,DG7QZU,margins,16
2018,ELYTJ3,outreg2,16
2018,WFOVZZ,nbreg,16
2018,TLNMPB,logit,16
2018,UCQAVW,regress,16
2019,1VDZE9,setx,16
2017,PPW3SI,egen,16
2017,PPW3SI,local,16
2018,G3BKWG,use,15
2018,OBMCZJ,xtreg,15
2018,OBMCZJ,probit,15
2019,HMKHFB,generate,15
2016,KKQOAS,use,15
2017,1CCXS9,mean,15
2018,OBMCZJ,margins,14
2016,N61EAI,logit,14
2018,WFOVZZ,tabstat,13
2018,WFOVZZ,ci,13
2017,PPW3SI,recode,13
2018,DG7QZU,tabulate,12
2018,DG7QZU,gologit2,12
2018,OBMCZJ,local,12
2018,OBMCZJ,cumul,12
2018,ES9IZ6,graph,12
2017,PPW3SI,svmat,12
2016,KKQOAS,replace,11
2016,0T5AN0,logit,11
2017,1CCXS9,xtset,11
2017,1CCXS9,maptile,11
2017,1CCXS9,graph,11
2017,7WLGSD,meologit,11
2017,PPW3SI,display,11
2018,G3BKWG,coefplot,10
2018,RQHRKE,generate,10
2018,SOT2WM,regress,10
2018,SOT2WM,estimates:store,10
2018,ES9IZ6,gnbreg,10
2016,XZUSNT,margins,10
2016,XZUSNT,marginsplot,10
2017,3II9L6,tabulate,10
2018,G3BKWG,cem,9
2019,HMKHFB,estout1,9
2019,1VDZE9,tabulate,9
2017,1CCXS9,predict,9
2017,UA2E21,egen,9
2018,OBMCZJ,marginsplot,8
2018,5EZOHY,xtreg,8
2018,5EZOHY,estimates:store,8
