title,href,date
Replication Data for: The Polarization of Energy Policy in the US Congress,/dataset.xhtml?persistentId=doi:10.7910/DVN/2BBRQ6,"May 19, 2019"
Replication For: Holding Agencies Accountable: Exploring the Effect of Oversight on Citizens’ Approval of Members of Congress,/dataset.xhtml?persistentId=doi:10.7910/DVN/RURFHL,"May 1, 2019"
Replication Data for: It Could Happen to You: How Perceptions of Personal Risk Shape Support for Social Welfare Policy in the American States,/dataset.xhtml?persistentId=doi:10.7910/DVN/1VDZE9,"Apr 28, 2019"
Replication Data for: Who feeds information to regulators? Stakeholder diversity in European Union regulatory agency consultations,/dataset.xhtml?persistentId=doi:10.7910/DVN/KOP4D7,"Apr 11, 2019"
Replication Data for: Bargaining over Maternity Pay: Evidence from UK Universities,/dataset.xhtml?persistentId=doi:10.7910/DVN/HMKHFB,"Feb 18, 2019"
Replication Data for: “Public Preferences for Zika Policy and Responsibility in the Absence of Partisan Cues.”,/dataset.xhtml?persistentId=doi:10.7910/DVN/WFOVZZ,"Dec 28, 2018"
Replication Data for: THE EVOLUTION OF PUBLIC POLICY ATTITUDES: COMPARING THE MECHANISMS OF POLICY SUPPORT ACROSS THE STAGES OF A POLICY CYCLE ,/dataset.xhtml?persistentId=doi:10.7910/DVN/UCQAVW,"Dec 28, 2018"
"Replication Data for: Busemeyer, Marius R./Goerres, Achim: Policy Feedback in the Local Context: Analyzing Fairness Perceptions of Public Childcare Fees in a German Town, Journal of Public Policy",/dataset.xhtml?persistentId=doi:10.7910/DVN/5EZOHY,"Dec 11, 2018"
Replication Data for: Speaking Truth to Power: Political Advisers’ and Civil Servants’ Responses to Perceived Harmful Policy Proposal,/dataset.xhtml?persistentId=doi:10.7910/DVN/DG7QZU,"Dec 4, 2018"
Replication Data for: What’s Fair? Preferences for Tax Progressivity in the Wake of the Financial Crisis,/dataset.xhtml?persistentId=doi:10.7910/DVN/WKCZ9Z,"Dec 4, 2018"
Replication Data for: Appointments and Attrition: Time and Executive Disadvantage in the Appointments Process,/dataset.xhtml?persistentId=doi:10.7910/DVN/RQHRKE,"Nov 28, 2018"
Replication Data for: How Bureaucratic Leadership Shapes Policy Outcomes: Partisan Politics and Affluent Citizens’ Incomes in the American States,/dataset.xhtml?persistentId=doi:10.7910/DVN/GCXFYS,"Oct 3, 2018"
"Replication Data for: ""Party Government and Policy Responsiveness. Evidence from Three Parliamentary Democracies""",/dataset.xhtml?persistentId=doi:10.7910/DVN/UI7OFK,"Sep 28, 2018"
"Replication Data for: Lobbying, Learning, and Policy Reinvention: An Examination of the American States’ Drunk Driving Laws",/dataset.xhtml?persistentId=doi:10.7910/DVN/Z6EZG3,"Sep 20, 2018"
Replication Data for: The Importance of Salience: Public Opinion and  State Policy Action on Climate Change,/dataset.xhtml?persistentId=doi:10.7910/DVN/ES9IZ6,"Sep 19, 2018"
Replication Data for: The Political Economy of Budget Trade-offs,/dataset.xhtml?persistentId=doi:10.7910/DVN/RXMV9W,"Aug 30, 2018"
Replication Data for: Can policy forums overcome echo chamber effects by enabling policy learning? Evidence from the Irish climate change policy network,/dataset.xhtml?persistentId=doi:10.7910/DVN/DAE3PG,"Aug 29, 2018"
The Democratic Deficit on Salient Issues: Immigration and Healthcare in the States,/dataset.xhtml?persistentId=doi:10.7910/DVN/1WDJVC,"Aug 24, 2018"
More Bang for Your Buck: Tax Compliance in the United States and Italy,/dataset.xhtml?persistentId=doi:10.7910/DVN/OBMCZJ,"Aug 13, 2018"
"Replication Data for: ""Congressional Capacity and the Abolition of Legislative Service Organizations""",/dataset.xhtml?persistentId=doi:10.7910/DVN/G3BKWG,"Aug 10, 2018"
Replication Data for: Corrective Policy Reactions: Positive and Negative Budgetary Punctuations,/dataset.xhtml?persistentId=doi:10.7910/DVN/SBVFUL,"Jul 18, 2018"
Replication Data for: Going beyond dyadic consultation relationships: Information exchange in multi-step participation procedures,/dataset.xhtml?persistentId=doi:10.7910/DVN/ELYTJ3,"Jul 17, 2018"
Replication Data for: Choosing Lobbying Sides:  The General Data Protection Regulation of the EU,/dataset.xhtml?persistentId=doi:10.7910/DVN/HKRSBN,"Jul 5, 2018"
"Replication Data for: Left to Right: Labor Market Policy, Labor Market Status, and Political Affinities",/dataset.xhtml?persistentId=doi:10.7910/DVN/TLNMPB,"Jun 25, 2018"
Replication Data for: Lawmaking in American Legislatures: An Empirical Investigation,/dataset.xhtml?persistentId=doi:10.7910/DVN/SOT2WM,"Jun 20, 2018"
Replication Data for: How Do Social Security Expenditures Vary by State?,/dataset.xhtml?persistentId=doi:10.7910/DVN/RDOUJV,"Jun 20, 2018"
Replication Data for Do Markets Make Good Commissioners?: A Quasi-Experimental Analysis of Retail Electric Restructuring in Ohio,/dataset.xhtml?persistentId=doi:10.7910/DVN/TPIPQK,"Jun 17, 2018"
Replication Data for The drivers of regulatory networking: policy learning between homophily and convergence,/dataset.xhtml?persistentId=doi:10.7910/DVN/W9FU5T,"Jun 17, 2018"
"Replication Data for: Swift, brokered and broad-based information exchange: How network structure facilitates stakeholders to monitor EU policy implementation",/dataset.xhtml?persistentId=doi:10.7910/DVN/K8MWBX,"Jun 17, 2018"
"Redistributing under fiscal constraint: partisanship, debt, inequality and labor market regulation",/dataset.xhtml?persistentId=doi:10.7910/DVN/SAKE9D,"Jun 17, 2018"
Replication Data for: Political and Legal Antecedents of Affirmative Action:  A Comparative Framework,/dataset.xhtml?persistentId=doi:10.7910/DVN/JWAWST,"Jun 8, 2018"
Replication Data for: Change or Stability in the Structure of Interest Group Networks? Evidence from Scottish Public Policy Consultations,/dataset.xhtml?persistentId=doi:10.7910/DVN/LFFJRV,"Jun 8, 2018"
"Replication data for Policy accommodation versus electoral turnover: Policy representation in Britain, 1945-2015",/dataset.xhtml?persistentId=doi:10.7910/DVN/RKHLSH,"Jun 8, 2018"
Interdependent policy instrument preferences: a two-mode network approach,/dataset.xhtml?persistentId=doi:10.7910/DVN/SX7ESZ,"Jun 7, 2018"
Replication Data for The Evolution of Human Trafficking Policy and Its Effect On Human Trafficking Attitudes,/dataset.xhtml?persistentId=doi:10.7910/DVN/BG1FEO,"May 31, 2018"
Policy convergence as a multi-faceted concept:  The case of renewable energy policies in the EU,/dataset.xhtml?persistentId=doi:10.7910/DVN/DPHUCO,"Oct 4, 2017"
Replication Data for: Board on the Job: Public-Pension Governance in the U.S. States,/dataset.xhtml?persistentId=doi:10.7910/DVN/1CCXS9,"Oct 4, 2017"
Replication Data for: The Impact of Intra-EU Migration on Welfare Chauvinism,/dataset.xhtml?persistentId=doi:10.7910/DVN/7WLGSD,"Oct 4, 2017"
Replication Data for Opportunities to Crash the Party: Advocacy Coalitions and the Nonpartisan Primary,/dataset.xhtml?persistentId=doi:10.7910/DVN/3II9L6,"Oct 4, 2017"
"Replication For: ""Does green taxation drive countries toward the carbon efficiency frontier?""",/dataset.xhtml?persistentId=doi:10.7910/DVN/SH8AFG,"Oct 4, 2017"
"Replication Data for ""The partisan politics of early childhood education in the German Länder""",/dataset.xhtml?persistentId=doi:10.7910/DVN/UA2E21,"Oct 4, 2017"
"Replication Data for: Policy Failures, Blame Games, and Changes to Policy Practice",/dataset.xhtml?persistentId=doi:10.7910/DVN/C79XP7,"Oct 4, 2017"
Replication Data for: Competition in Local Land Use Planning?,/dataset.xhtml?persistentId=doi:10.7910/DVN/PPW3SI,"Oct 4, 2017"
"Replication Data for: Pivotal Politics and the Ideological Content of Landmark Laws""",/dataset.xhtml?persistentId=doi:10.7910/DVN/MLLJ2P,"Oct 2, 2017"
Agency Rulemaking in a Separation of Powers System,/dataset.xhtml?persistentId=doi:10.7910/DVN/SLYX0L,"Sep 25, 2017"
Replication Data for: A Dynamic Linear Modeling Approach to Public Policy Change,/dataset.xhtml?persistentId=doi:10.7910/DVN/H95OL1,"Aug 10, 2017"
Replication Data for: Contingent Technocracy: Bureaucratic independence in developing countries ,/dataset.xhtml?persistentId=doi:10.7910/DVN/XZUSNT,"Sep 28, 2016"
Replication Data for: THE EFFECT OF A STATE INCOME TAX ON MIGRATION: THE EXAMPLE OF CONNECTICUT,/dataset.xhtml?persistentId=doi:10.7910/DVN/JLL5WU,"Sep 14, 2016"
Replication Data for: Who Lobbies the Lobbyists? State Medicaid Bureaucrats' Engagement in the Legislative Process,/dataset.xhtml?persistentId=doi:10.7910/DVN/N61EAI,"Sep 13, 2016"
Replication Data for: Gubernatorial Use of Executive Orders: Unilateral Action and Policy Adoption,/dataset.xhtml?persistentId=doi:10.7910/DVN/ARVEN3,"Jul 20, 2016"
Replication Data for: Europeanisation beyond the EU: Tobacco Advertisement Restrictions in Swiss Cantons,/dataset.xhtml?persistentId=doi:10.7910/DVN/0T5AN0,"Jul 15, 2016"
Lessons Learned:  How Parents Respond to School Mandates and Sanctions,/dataset.xhtml?persistentId=doi:10.7910/DVN/YJYPFE,"Jul 15, 2016"
Defending the status quo across venues and coalitions: Evidence from California interest groups,/dataset.xhtml?persistentId=doi:10.7910/DVN/ZYPHVD,"Jul 13, 2016"
Replication Data for: The fiscal benefits of repeated cooperation: coalitions and debt dynamics in 36 democracies,/dataset.xhtml?persistentId=doi:10.7910/DVN/KKQOAS,"Apr 7, 2016"
Replication Data to ''Explaining varying lobbying styles across the Atlantic An empirical test of the cultural and institutional explanations'',/dataset.xhtml?persistentId=doi:10.7910/DVN/7UWPDI,"Mar 24, 2016"
