title,href,date,filename,file_href
Replication Data for: The Polarization of Energy Policy in the US Congress,/dataset.xhtml?persistentId=doi:10.7910/DVN/2BBRQ6,"May 19, 2019",Figure1_code.R,/file.xhtml?persistentId=doi:10.7910/DVN/2BBRQ6/LZJLP9&version=1.0
Replication Data for: The Polarization of Energy Policy in the US Congress,/dataset.xhtml?persistentId=doi:10.7910/DVN/2BBRQ6,"May 19, 2019",Figure1_Data.tab,/file.xhtml?persistentId=doi:10.7910/DVN/2BBRQ6/CE6632&version=1.0
Replication Data for: The Polarization of Energy Policy in the US Congress,/dataset.xhtml?persistentId=doi:10.7910/DVN/2BBRQ6,"May 19, 2019",Figure2_3_code.R,/file.xhtml?persistentId=doi:10.7910/DVN/2BBRQ6/BZWO6H&version=1.0
Replication Data for: The Polarization of Energy Policy in the US Congress,/dataset.xhtml?persistentId=doi:10.7910/DVN/2BBRQ6,"May 19, 2019",Figure2_3_data_House.tab,/file.xhtml?persistentId=doi:10.7910/DVN/2BBRQ6/LEKR4M&version=1.0
Replication Data for: The Polarization of Energy Policy in the US Congress,/dataset.xhtml?persistentId=doi:10.7910/DVN/2BBRQ6,"May 19, 2019",Figure2_3_data_Senate.tab,/file.xhtml?persistentId=doi:10.7910/DVN/2BBRQ6/02ZV26&version=1.0
Replication Data for: The Polarization of Energy Policy in the US Congress,/dataset.xhtml?persistentId=doi:10.7910/DVN/2BBRQ6,"May 19, 2019",Figure4_code_House.R,/file.xhtml?persistentId=doi:10.7910/DVN/2BBRQ6/KB9YEG&version=1.0
Replication Data for: The Polarization of Energy Policy in the US Congress,/dataset.xhtml?persistentId=doi:10.7910/DVN/2BBRQ6,"May 19, 2019",Figure4_code_Senate.R,/file.xhtml?persistentId=doi:10.7910/DVN/2BBRQ6/IILOEQ&version=1.0
Replication Data for: The Polarization of Energy Policy in the US Congress,/dataset.xhtml?persistentId=doi:10.7910/DVN/2BBRQ6,"May 19, 2019",figure4_house.bug,/file.xhtml?persistentId=doi:10.7910/DVN/2BBRQ6/G0UR7U&version=1.0
Replication Data for: The Polarization of Energy Policy in the US Congress,/dataset.xhtml?persistentId=doi:10.7910/DVN/2BBRQ6,"May 19, 2019",figure4_senate.bug,/file.xhtml?persistentId=doi:10.7910/DVN/2BBRQ6/CFUAZL&version=1.0
Replication Data for: The Polarization of Energy Policy in the US Congress,/dataset.xhtml?persistentId=doi:10.7910/DVN/2BBRQ6,"May 19, 2019",Figure4_Table2_Data_House.tab,/file.xhtml?persistentId=doi:10.7910/DVN/2BBRQ6/HOJUGC&version=1.0
Replication For: Holding Agencies Accountable: Exploring the Effect of Oversight on Citizens’ Approval of Members of Congress,/dataset.xhtml?persistentId=doi:10.7910/DVN/RURFHL,"May 1, 2019",replication_JPP.do,/file.xhtml?persistentId=doi:10.7910/DVN/RURFHL/RKPPV1&version=1.0
Replication For: Holding Agencies Accountable: Exploring the Effect of Oversight on Citizens’ Approval of Members of Congress,/dataset.xhtml?persistentId=doi:10.7910/DVN/RURFHL,"May 1, 2019",replication_JPP.tab,/file.xhtml?persistentId=doi:10.7910/DVN/RURFHL/GUOEPS&version=1.0
Replication Data for: It Could Happen to You: How Perceptions of Personal Risk Shape Support for Social Welfare Policy in the American States,/dataset.xhtml?persistentId=doi:10.7910/DVN/1VDZE9,"Apr 28, 2019",ItCouldHappentoYou_CSV_Dataset.tab,/file.xhtml?persistentId=doi:10.7910/DVN/1VDZE9/YPLFN0&version=1.0
Replication Data for: It Could Happen to You: How Perceptions of Personal Risk Shape Support for Social Welfare Policy in the American States,/dataset.xhtml?persistentId=doi:10.7910/DVN/1VDZE9,"Apr 28, 2019",ItCouldHappentoYou_Figures1_3.R,/file.xhtml?persistentId=doi:10.7910/DVN/1VDZE9/1I4OSZ&version=1.0
Replication Data for: It Could Happen to You: How Perceptions of Personal Risk Shape Support for Social Welfare Policy in the American States,/dataset.xhtml?persistentId=doi:10.7910/DVN/1VDZE9,"Apr 28, 2019",ItCouldHappentoYou_Replication.do,/file.xhtml?persistentId=doi:10.7910/DVN/1VDZE9/JZKMXT&version=1.0
Replication Data for: It Could Happen to You: How Perceptions of Personal Risk Shape Support for Social Welfare Policy in the American States,/dataset.xhtml?persistentId=doi:10.7910/DVN/1VDZE9,"Apr 28, 2019",ItCouldHappentoYou_Replication.tab,/file.xhtml?persistentId=doi:10.7910/DVN/1VDZE9/1RXPJ4&version=1.0
Replication Data for: Who feeds information to regulators? Stakeholder diversity in European Union regulatory agency consultations,/dataset.xhtml?persistentId=doi:10.7910/DVN/KOP4D7,"Apr 11, 2019",actors.tab,/file.xhtml?persistentId=doi:10.7910/DVN/KOP4D7/BA1TGJ&version=1.0
Replication Data for: Who feeds information to regulators? Stakeholder diversity in European Union regulatory agency consultations,/dataset.xhtml?persistentId=doi:10.7910/DVN/KOP4D7,"Apr 11, 2019",committee hhi.sas,/file.xhtml?persistentId=doi:10.7910/DVN/KOP4D7/JRDNQQ&version=1.0
Replication Data for: Who feeds information to regulators? Stakeholder diversity in European Union regulatory agency consultations,/dataset.xhtml?persistentId=doi:10.7910/DVN/KOP4D7,"Apr 11, 2019",consultations.tab,/file.xhtml?persistentId=doi:10.7910/DVN/KOP4D7/1LTBOR&version=1.0
