year,dataset,command,count
2017,1CCXS9,reghdfe,212
2018,WFOVZZ,poisson,68
2018,RQHRKE,heckman,67
2018,SAKE9D,xtreg,61
2019,HMKHFB,nbreg,32
2016,KKQOAS,xtpcse,29
2017,MLLJ2P,newey,29
2017,MLLJ2P,regress,29
2018,G3BKWG,regress,26
2018,RDOUJV,xtgls,24
2017,SLYX0L,xtnbreg,22
2018,WFOVZZ,logit,21
2018,OBMCZJ,regress,20
2018,DG7QZU,ologit,19
2019,HMKHFB,regress,18
2017,UA2E21,xtpcse,18
2018,WFOVZZ,nbreg,16
2018,TLNMPB,logit,16
2018,UCQAVW,regress,16
2018,OBMCZJ,xtreg,15
2018,OBMCZJ,probit,15
2016,N61EAI,logit,14
2018,DG7QZU,gologit2,12
2016,0T5AN0,logit,11
2017,7WLGSD,meologit,11
2018,SOT2WM,regress,10
2018,ES9IZ6,gnbreg,10
2018,5EZOHY,xtreg,8
2019,1VDZE9,logit,8
2019,1VDZE9,estsimp,8
2017,3II9L6,logit,8
2018,ELYTJ3,logit,7
2018,RQHRKE,regress,6
2018,ELYTJ3,regress,6
2018,TLNMPB,ologit,6
2018,TLNMPB,regress,6
2018,Z6EZG3,xtreg,6
2018,GCXFYS,xtreg,6
2018,HKRSBN,ologit,6
2019,RURFHL,ologit,6
2018,GCXFYS,regress,5
2019,HMKHFB,poisson,5
2016,XZUSNT,regress,5
2018,HKRSBN,meologit,4
2018,OBMCZJ,xtprobit,3
2018,WFOVZZ,tobit,3
2016,XZUSNT,xtreg,3
2016,N61EAI,regress,3
2017,PPW3SI,regress,3
2017,SH8AFG,xtregar,3
2018,ELYTJ3,oprobit,2
2018,ELYTJ3,xtreg,2
2018,RDOUJV,regress,2
2018,RDOUJV,xtreg,2
2018,RDOUJV,xtpcse,2
2018,HKRSBN,logit,2
2018,HKRSBN,mlogit,2
2019,HMKHFB,gnbreg,2
2016,XZUSNT,etregress,2
2018,ES9IZ6,nbreg,1
2018,TLNMPB,meologit,1
2019,RURFHL,anova,1
2016,XZUSNT,xtpcse,1
