year,command,count
2016,replace,7324
2018,replace,5425
2016,generate,1371
2014,generate,1238
2015,generate,1183
2018,label,849
2015,replace,776
2018,generate,776
2017,generate,755
2014,egen,717
2015,local,587
2015,display,544
2016,estimates:store,540
2016,scalar,481
2016,regress,479
2016,summarize,471
2016,local,453
2016,eststo,445
2016,ologit,417
2015,label,405
2019,replace,405
2015,scalar,399
2016,xtreg,356
2019,generate,325
2016,svy:tabulate,323
2017,replace,310
2016,matrix,301
2018,summarize,295
2016,display,285
2015,matrix,271
2016,foreach,263
2016,use,258
2014,matrix,257
2016,set,256
2017,local,242
2018,drop,237
2016,label,236
2016,drop,236
2016,tabulate,235
2017,label,232
2016,gr_edit,229
2017,scalar,226
2015,regress,221
2017,matrix,214
2014,drop,210
2019,mata,208
2015,egen,205
2015,drop,201
2018,egen,200
2015,use,193
2017,summarize,187
2014,label,185
2018,local,183
2017,use,183
2018,matrix,182
2017,graph,181
2019,label,180
2016,graph,178
2018,foreach,172
2014,regress,170
2013,generate,166
2016,margins,161
2016,esttab,159
2015,summarize,158
2019,xtreg,154
2013,label,151
2016,keep,138
2017,egen,137
2018,tabulate,136
2015,keep,133
2016,areg,133
2016,test,132
2017,display,130
2015,graph,123
2015,save,119
2013,matrix,118
2014,forvalues,116
2016,egen,114
2018,regress,112
2018,graph,110
2019,margins,110
2019,matrix,109
2016,sort,105
2018,recode,104
2017,foreach,104
2016,twoway,103
2015,return,102
2015,for,101
2017,svmat,100
2018,use,97
2019,local,97
2015,foreach,96
2016,prvalue,96
2015,log,91
2013,outreg,91
2016,Iteration,91
2015,_pctile,90
2019,regress,90
2016,lincom,90
2017,drop,90
2013,rename,89
2016,recode,89
2015,set,86
2018,keep,86
2014,replace,85
2016,simqi,85
2018,outreg2,84
2013,regress,84
2013,ml,84
2015,biprobit,83
2019,codebook,83
2016,marginsplot,83
2017,regress,83
2015,esttab,82
2019,use,80
2016,logit,80
2016,if,79
2018,xtivreg2,78
2016,preserve,78
2016,restore,78
2016,clear,78
2015,tabulate,76
2015,rename,75
2019,estadd,75
2017,collapse,72
2017,xtpcse,72
2015,test,71
2016,estimates:clear,67
2015,clear,66
2018,set,66
2018,lincom,65
2015,preserve,63
2016,rename,63
2017,esttab,63
2017,keep,63
2017,xtmixed,63
2017,twoway,63
2016,xtpcse,62
2016,setx,61
2016,global,60
2018,svy:mean,59
2016,outreg2,59
2015,forvalues,58
2019,graph,58
2017,probit,58
2014,test,57
2014,prvalue,56
2015,estat,56
2017,estimates:sto,56
2014,set,55
2015,restore,55
2018,sort,55
2018,logit,55
2017,xtreg,54
2015,nbreg,53
2018,save,53
2016,save,53
2016,log,53
2015,oprobit,52
2015,predict,51
2015,sort,50
2013,replace,50
2019,foreach,50
2017,forvalues,50
2014,xtreg,49
2015,xtile,49
2018,program,49
2013,foreach,49
2019,scalar,49
2016,pwcorr,49
2016,nbreg,49
2017,preserve,49
2017,restore,49
2017,eststo,49
2017,outreg2,48
2015,erase,47
2015,estimates:store,47
2018,estimates:store,47
2018,scalar,47
2016,estout,47
2013,test,46
2015,drawnorm,44
2017,predict,44
2018,clear,43
2019,summarize,43
2017,log,43
2017,set,43
2017,expand,43
2015,eststo,42
2013,recode,42
2013,scalar,42
2013,global,42
2019,clear,42
2016,svy:regress,42
2017,margins,42
2018,list,41
2019,logit,41
2015,estimates:restore,40
2018,twoway,40
2018,rename,40
2018,do,40
2016,predict,40
2017,correlate,40
2017,xtset,39
2014,graph,38
2015,logit,38
2015,ttest,38
2019,save,38
2016,ipolate,38
2014,clear,37
2015,recode,37
2016,estat,37
2016,list,37
2016,ret,37
2015,estimates:use,36
2018,log,36
2019,egen,36
2016,ml,36
2017,mlogit,36
2017,_pctile,36
2015,program,35
2015,xtreg,35
2019,global,35
2019,twoway,35
2016,estimates:sto,35
2019,drop,34
2017,estat,34
2015,merge,33
2016,program,33
2017,recode,33
2017,if,33
2017,else,33
2015,if,32
2015,mkmat,32
2015,while,32
2015,postutil,32
2015,posteffects,32
2019,tobit,32
2016,ttest,32
2016,forvalues,32
2016,xtlogit,32
2015,post,31
2015,postclose,31
2019,rename,31
2019,marginsplot,31
2019,eststo,31
2016,xtset,31
2016,mlogit,31
2017,logit,31
2017,global,31
2014,gr_edit,30
2015,estimates:des,30
2015,postfile,30
2015,tempname,30
2015,eclplot,30
2015,lincom,30
2018,end,30
2013,drop,30
2016,svy:probit,30
2015,svmat,29
2015,twoway,29
2017,marginsplot,29
2017,rename,29
2017,sort,29
2018,margins,28
2013,spatwmat,28
2013,svmat,28
2019,predict,28
2016,cd,28
2016,sigcoef,28
2018,eststo,27
2016,dwstat,27
2014,table,26
2015,margins,26
2018,tsset,26
2018,simulate,26
2013,use,26
2013,local,26
2019,keep,26
2019,estpost,26
2016,do,26
2017,drawnorm,26
2015,cd,25
2016,merge,25
2016,svyset,25
2014,lincom,24
2019,log,24
2019,tssmooth,24
2016,heckman,24
2016,melogit,24
2014,sort,23
2015,xtset,23
2015,end,23
2018,xtreg,23
2018,forvalues,23
2018,matmap,23
2018,mat2txt,23
2013,keep,23
2016,end,23
2016,_pctile,23
2017,estimates:restore,23
2017,mkmat,23
2014,cd,22
2015,tabstat,22
2018,merge,22
2016,svmat,22
2016,xtmelogit,22
2014,save,21
2015,svy:mean,21
2018,ologit,21
2017,clear,21
2015,quietly,20
2018,return,20
2019,merge,20
2016,collapse,20
2016,svy:logit,20
2017,estimates:store,20
2014,use,19
2015,version,19
2015,areg,19
2018,esttab,19
2018,if,19
2013,xtreg,19
2013,egen,19
2019,collapse,19
2019,display,19
2016,tempfile,19
2017,test,19
2017,norm,19
2014,tsset,18
2015,estimates:sto,18
2015,setx,18
2015,simqi,18
2018,preserve,18
2018,restore,18
2018,mean,18
2018,rdbwselect,18
2018,estat,18
2013,if,18
2019,esttab,18
2016,histogram,18
2016,Pr,18
2016,meqrlogit,18
2016,rd,18
2014,summarize,17
2015,global,17
2018,global,17
2013,estimates:store,17
2019,preserve,17
2014,xtpcse,16
2014,scalar,16
2014,local,16
2014,drawnorm,16
2014,expand,16
2014,correlate,16
2014,xtfevd,16
2014,svmat,16
2014,note,16
2015,collapse,16
2015,bioprobit,16
2015,ml,16
2018,marginsplot,16
2019,tsset,16
2019,recode,16
2016,rdbwselect,16
2016,version,16
2016,relogitq,16
2017,simqi,16
2015,glm,15
2015,table,15
2015,prtest,15
2018,mt_validity,15
2019,sort,15
2016,estsimp,15
2016,oprobit,15
2016,tobit,15
2014,logit,14
2014,predict,14
2014,impute,14
2014,anova,14
2014,tabstat,14
2015,expand,14
2015,else,14
2018,pwcorr,14
2013,tabulate,14
2013,program,14
2013,args,14
2013,tempvar,14
2013,end,14
2013,mkmat,14
2019,svmat,14
2016,mac,14
2016,tsset,14
2016,xpose,14
2017,save,14
2017,tabstat,14
2014,duplicates,13
2014,tabulate,13
2015,marginsplot,13
2015,correlate,13
2018,append,13
2018,reshape,13
2013,else,13
2019,set,13
2016,estpost,13
2016,ivregress,13
2016,xtregar,13
2016,simex,13
2015,append,12
2015,listtab,12
2015,tsset,12
2018,probit,12
2018,mata,12
2018,dfuller,12
2018,pperron,12
2013,summarize,12
2013,oprob,12
2019,tabulate,12
2019,restore,12
2019,if,12
2016,while,12
2016,ranksum,12
2016,estimates:restore,12
2016,mean,12
2016,gdppc10k,12
2016,lnumlang,12
2016,legalbrit,12
2016,legalfra,12
2017,spreg,12
2017,reshape,12
2014,margins,11
2014,outreg2,11
2015,tempfile,11
2015,reshape,11
2015,exit,11
2015,mkdir,11
2015,outreg2,11
2013,clear,11
2013,display,11
2019,svy:mean,11
2016,return,11
2016,probit,11
2016,grc1leg,11
2016,Wald,11
2016,Log,11
2017,ta,11
2017,merge,11
2017,signrank,11
2014,tobit,10
2014,preserve,10
2014,areg,10
2015,stcox,10
2018,collapse,10
2013,estat,10
2019,ttest,10
2019,mkmat,10
2019,spatwmat,10
2019,else,10
2019,estout,10
2016,correlate,10
2016,mkmat,10
2016,stack,10
2016,net,10
2016,Prob,10
2017,tobit,10
2017,eclplot,10
2017,estadd,10
2014,restore,9
2015,pause,9
2015,tempvar,9
2015,mysynth2,9
2015,estimates:table,9
2018,ta,9
2018,listtab,9
2013,preserve,9
