title,href,date
Replication Data for: Comparative Politics and Causal Evaluation of Structural Reforms: The Case of the UK National Minimum Wage Introduction,/dataset.xhtml?persistentId=doi:10.7910/DVN/CSX1VL,"May 21, 2019"
Replication Data for: The Electoral Implications of Politically Irrelevant Cues under Demanding Electoral Systems,/dataset.xhtml?persistentId=doi:10.7910/DVN/2PTJJV,"May 9, 2019"
Replication Data for: Social Democratic Representation and Welfare Spending: A Quantitative Case Study,/dataset.xhtml?persistentId=doi:10.7910/DVN/ZTXLHG,"Apr 30, 2019"
"Replication Data for: Quitting Globalization: Trade-Related Job Losses, Nationalism, and Resistance to FDI in the United States",/dataset.xhtml?persistentId=doi:10.7910/DVN/MUDDIH,"Apr 29, 2019"
Repressed Productive Potential and Revolt: Insights from an Insurgency in Burundi,/dataset.xhtml?persistentId=doi:10.7910/DVN/JGU9X5,"Apr 25, 2019"
"Replication Material for ""No Calm After the Storm -- Diaspora Influence on Bilateral Emergency Aid Flows""",/dataset.xhtml?persistentId=doi:10.7910/DVN/N3DFBE,"Apr 23, 2019"
Replication Data for: A Latent Variable Approach to Measuring and Explaining Peace Agreement Strength,/dataset.xhtml?persistentId=doi:10.7910/DVN/VUY8UI,"Apr 18, 2019"
Replication Data for: How Gender Affects the Efficacy of Discussion as an Information Shortcut,/dataset.xhtml?persistentId=doi:10.7910/DVN/TIIHB8,"Apr 15, 2019"
"Replication Data for: ""Fiscal Rules and Electoral Turnout""",/dataset.xhtml?persistentId=doi:10.7910/DVN/AAHT4H,"Apr 2, 2019"
Replication Data for: Historical State Stability and Economic Development in Europe,/dataset.xhtml?persistentId=doi:10.7910/DVN/LDBOSQ,"Mar 6, 2019"
Replication Data for: Labor market insecurity among the middle class - A new divide,/dataset.xhtml?persistentId=doi:10.7910/DVN/JWJQKW,"Mar 6, 2019"
"Replication Data for: Between Strategy and Protest: How Policy Demand, Political Dissatisfaction and Strategic Incentives Matter for Far Right Voting",/dataset.xhtml?persistentId=doi:10.7910/DVN/V5AOXD,"Mar 6, 2019"
Are Election Results More Unpredictable? A Forecasting Test,/dataset.xhtml?persistentId=doi:10.7910/DVN/MJKDYS,"Mar 1, 2019"
Replication Data for: Ideology and the US Congressional Vote,/dataset.xhtml?persistentId=doi:10.7910/DVN/4NNGJ9,"Feb 28, 2019"
Globalization and Comparative Compositional Inequality,/dataset.xhtml?persistentId=doi:10.7910/DVN/PC6CQC,"Feb 28, 2019"
Oil Income and the Personalization of Autocratic Politics,/dataset.xhtml?persistentId=doi:10.7910/DVN/0KL6JK,"Feb 28, 2019"
Replication Materials for: Beyond the Breaking Point? Survey Satisficing in Conjoint Experiments,/dataset.xhtml?persistentId=doi:10.7910/DVN/JYC2TH,"Feb 25, 2019"
Replication Data for: Policy over party: Comparing the effects of candidate ideology and party on affective polarization,/dataset.xhtml?persistentId=doi:10.7910/DVN/V7HWP4,"Feb 21, 2019"
Replication Data for: Bridging the Pond: Measuring Policy Positions in the United States and Europe,/dataset.xhtml?persistentId=doi:10.7910/DVN/SBHNSW,"Feb 18, 2019"
Replication Data for: Political Representation and Effects of Municipal Mergers,/dataset.xhtml?persistentId=doi:10.7910/DVN/SISHFP,"Feb 14, 2019"
"Replication Data for: ""Corpus-Based Dictionaries for Sentiment Analysis of Specialized Vocabularies""",/dataset.xhtml?persistentId=doi:10.7910/DVN/4EKHFM,"Feb 5, 2019"
Replication Data for: Interpretation: The Final Spatial Frontier,/dataset.xhtml?persistentId=doi:10.7910/DVN/RGDEET,"Jan 14, 2019"
Replication Data for: Measuring Networks in the Field,/dataset.xhtml?persistentId=doi:10.7910/DVN/THCWHJ,"Jan 14, 2019"
"Replication Data for: Online Coders, Open Codebooks: New Opportunities for Content Analysis of Political Communication",/dataset.xhtml?persistentId=doi:10.7910/DVN/LWWGKY,"Dec 21, 2018"
Replication Data for: Bridging Spatial and Saliency Theory: Party Size and Issue Selection in Campaigns,/dataset.xhtml?persistentId=doi:10.7910/DVN/INR9AQ,"Dec 12, 2018"
Replication Data for: Spatial Tools for Case Selection: Using LISA Statistics to Design Mixed-Methods Research,/dataset.xhtml?persistentId=doi:10.7910/DVN/NNJXDY,"Dec 12, 2018"
