year,dataset,command,count
2016,27825,ologit,398
2016,LOTWYP,xtreg,168
2014,22808,regress,155
2019,AAHT4H,xtreg,154
2016,DMAENL,xtreg,104
2013,B4VBVM,ml,84
2013,4QXBNS,outreg,83
2018,XDFN2E,xtivreg2,78
2016,BIZFP2,areg,74
2016,ZVQJA0,regress,71
2017,ZJDLGE,xtpcse,68
2015,27194,regress,65
2013,4QXBNS,regress,63
2015,27960,biprobit,62
2016,27496,regress,56
2016,DHK2Q6,xtreg,54
2015,27960,oprobit,52
2019,AAHT4H,regress,52
2016,ENFMZY,regress,51
2016,MBDVCJ,xtpcse,50
2014,23415,xtreg,49
2015,27960,nbreg,47
2017,OVOUAL,probit,47
2016,LOTWYP,regress,46
2016,HPXGBH,svy:regress,42
2016,27809,regress,40
2017,P5SZTR,xtmixed,40
2016,T9IKQT,areg,37
2017,D8WD6K,regress,36
2015,24129,xtreg,35
2015,27279,regress,35
2016,ODFY54,regress,35
2019,N3DFBE,tobit,32
2016,MBDVCJ,regress,32
2016,DHK2Q6,ml,32
2016,HPXGBH,svy:probit,30
2018,MPI4MW,regress,29
2017,OGXF4X,mlogit,29
2017,OGXF4X,xtreg,28
2015,26253,regress,27
2018,VEZ66S,regress,27
2017,ULCSUG,xtreg,26
2018,SLZ2OA,regress,25
2016,CTRV5Z,nbreg,25
2016,9GAUNG,nbreg,24
2016,LOTWYP,heckman,24
2016,XW0D8Q,regress,24
2016,FMZQMR,melogit,24
2016,FJP8AR,regress,23
2017,EU541C,xtmixed,23
2018,51RILE,logit,22
2016,26063,xtmelogit,22
2017,3BSCKY,regress,22
2015,29280,biprobit,21
2018,4O1T56,xtreg,21
2018,51RILE,ologit,21
2019,MJKDYS,regress,20
2016,EWISS3,logit,20
2016,B0NY7Y,svy:logit,20
2015,HWC6OA,areg,19
2013,BPW9KE,xtreg,19
2019,AAHT4H,logit,19
2016,DHK2Q6,xtlogit,19
2016,FMZQMR,meqrlogit,18
2016,FMZQMR,rd,18
2014,27742,xtpcse,16
2015,27333,ml,16
2016,TJTZT2,regress,16
2016,27809,xtreg,16
2016,ZIW50K,mlogit,16
2015,EOLEAY,glm,15
2016,FJP8AR,tobit,15
2014,25300,logit,14
2014,25300,impute,14
2014,26129,anova,14
2018,2HCGWN,regress,14
2013,B4VBVM,regress,14
2016,28458,logit,14
2016,26530,regress,14
2016,TJTZT2,xtreg,14
2016,ZT7SIU,ologit,14
2016,IQVUAG,areg,14
2015,27201,logit,13
2015,27471,regress,13
2018,GKMZHD,regress,13
2015,26498,regress,12
2018,2HCGWN,probit,12
2013,4QXBNS,oprob,12
2016,DHK2Q6,regress,12
2016,YT8KWK,regress,12
2017,XHW4CB,spreg,12
2016,26347,regress,11
2016,26651,regress,11
2017,OGXF4X,logit,11
2014,22808,tobit,10
2014,24034,areg,10
2014,26681,regress,10
2015,BKPIEV,regress,10
2015,XYPQUL,logit,10
2015,PVMZB1,stcox,10
2018,KSQ3NG,logit,10
2019,4NNGJ9,logit,10
2015,24129,regress,9
2019,N3DFBE,logit,9
2016,27825,gllamm,9
2016,DHK2Q6,xtregar,9
2016,YT8KWK,oprobit,9
2017,UBAPZL,probit,9
2015,27960,regress,8
2015,27201,regress,8
2015,26823,regress,8
2018,KSQ3NG,stcox,8
2018,TJWZCB,logit,8
2018,BZI7CT,logit,8
2013,B4VBVM,outreg,8
2019,RGDEET,regress,8
2016,28458,estsimp,8
2016,MQUAPF,xtprobit,8
2016,VLS3XL,clogit,8
2016,WXABMM,logit,8
2016,EWISS3,mlogit,8
2016,18O6D8,xttobit,8
2017,51N9A7,logit,8
2017,XL5659,regress,8
2017,OGXF4X,tobit,8
2017,YAIXFQ,regress,8
2013,BPW9KE,regress,7
2016,27765,xtpcse,7
2016,CJZB8X,logit,7
2016,IQVUAG,regress,7
2017,QUIXMK,logit,7
2015,27333,regress,6
2015,27716,logit,6
2015,27716,nbreg,6
2015,27716,regress,6
2015,6HJ5KL,mlogit,6
2015,6HJ5KL,svy:mlogit,6
2018,51RILE,firthlogit,6
2018,XDFN2E,ivreg2,6
2018,HJJJPJ,logit,6
2019,TIIHB8,regress,6
2016,BIZFP2,regress,6
2016,BIZFP2,ivregress,6
2016,MBDVCJ,xtgls,6
2016,27825,oprobit,6
2016,27825,logit,6
2016,TPARSF,logit,6
2016,FMZQMR,xtlogit,6
2014,25300,regress,5
2015,26639,logit,5
2015,6HJ5KL,regress,5
2015,6HJ5KL,svy:regress,5
2018,6WUWRB,mlogit,5
2018,51RILE,gologit2,5
2016,VXCUOU,ologit,5
2016,PZC0DM,xtpcse,5
2016,B1TZNE,logit,5
2016,WXABMM,relogit,5
2016,B0NY7Y,xtlogit,5
2016,KY4YAA,probit,5
2015,24129,bootstrap:regress,4
2015,24129,bootstrap:xtreg,4
2015,26707,regress,4
2015,27194,ologit,4
2018,ICYNIF,regress,4
2018,GKMZHD,anova,4
2013,4QXBNS,tobit,4
2019,SISHFP,regress,4
2019,AAHT4H,rdrobust,4
2016,BIZFP2,logit,4
2016,MBDVCJ,xtregar,4
2016,MBDVCJ,xtabond,4
2016,9GAUNG,zinb,4
2016,26651,areg,4
2016,S27ZCY,logit,4
2016,EWISS3,ivregress,4
2016,ENFMZY,areg,4
2016,IVPBRF,ml,4
2016,FMZQMR,mlogit,4
2017,QUIXMK,regress,4
2017,S2VOLH,xtologit,4
2017,3BSCKY,xtgls,4
2017,ZJDLGE,regress,4
2017,ZJDLGE,xtregar,4
2017,P5SZTR,xtpcse,4
2017,YAIXFQ,mlogit,4
2017,YAIXFQ,ologit,4
2015,BKPIEV,ivregress,3
2015,6HJ5KL,logit,3
2015,6HJ5KL,svy:logit,3
2015,29280,probit,3
2015,29280,ivregress,3
2015,HWC6OA,regress,3
2018,VEZ66S,ivregress,3
2018,HJJJPJ,betareg,3
2019,SISHFP,ivreg2,3
2019,TIIHB8,logit,3
2016,27825,meologit,3
2016,AXCVFN,logit,3
2016,VLS3XL,mixlogit,3
2016,ZT7SIU,var,3
2016,MOXXTL,regress,3
2016,MOXXTL,outreg,3
2016,XW0D8Q,ivregress,3
2016,FMZQMR,regress,3
2017,QPZWZM,clogit,3
2017,QPZWZM,logit,3
2017,D8WD6K,mlogit,3
2017,OVOUAL,relogit,3
2017,OGXF4X,gllamm,3
2014,25893,probit,2
2015,27333,streg,2
2015,EOLEAY,zinb,2
2015,27201,clogit,2
2015,26639,regress,2
2015,HWC6OA,ivregress,2
2018,VEZ66S,mlogit,2
2018,SLZ2OA,xtreg,2
2013,BPW9KE,heckman,2
2019,N3DFBE,relogit,2
2016,VXCUOU,estsimp,2
2016,28322,probit,2
2016,27825,regress,2
2016,TYJUPT,probit,2
2016,27765,ivreg,2
2016,DHK2Q6,logit,2
2016,FJP8AR,intreg,2
2016,ZT7SIU,estsimp,2
2016,26651,mlogit,2
2016,18O6D8,xtlogit,2
2016,IVPBRF,probit,2
2016,ZIW50K,estsimp,2
2016,YT8KWK,oprob,2
2016,FMZQMR,impute,2
2016,KY4YAA,heckprobit,2
2017,EU541C,meologit,2
2017,ULCSUG,probit,2
2017,QPZWZM,tobit,2
2017,D8WD6K,logit,2
2015,27960,poisson,1
2015,27716,estsimp,1
2015,26639,clogit,1
2015,26823,logit,1
2018,KSQ3NG,streg,1
2018,H7QR3Q,logit,1
2018,H7QR3Q,xtlogit,1
2016,28322,btscs,1
2016,AXCVFN,estsimp,1
2016,FNG2TQ,regress,1
2016,PZC0DM,rreg,1
2016,B1TZNE,regress,1
2016,ZT7SIU,mixed,1
2016,ZT7SIU,mlogit,1
2016,EWISS3,regress,1
2016,B0NY7Y,logit,1
2016,TPARSF,regress,1
2016,18O6D8,xtprobit,1
2017,S2VOLH,ologit,1
2017,XHW4CB,sureg,1
2017,OVOUAL,estsimp,1
2017,OVOUAL,reg3,1
2017,OGXF4X,estsimp,1
2017,OGXF4X,regress,1
2017,UBAPZL,oprobit,1
2017,YAIXFQ,rc_spline,1
