year,command,count
2015,replace,18924
2015,generate,6987
2018,replace,4616
2018,generate,3220
2017,replace,2596
2016,replace,2550
2015,regress,1765
2015,local,1696
2015,label,1545
2016,generate,1401
2018,rename,1325
2015,drop,1324
2018,matrix,1303
2015,recode,1096
2018,drop,1045
2017,generate,1004
2015,use,956
2015,tabulate,946
2018,summarize,880
2018,egen,855
2016,label,855
2016,drop,804
2015,matrix,796
2015,summarize,744
2018,recode,744
2015,rename,716
2015,egen,705
2016,rename,700
2015,display,683
2015,keep,639
2015,foreach,558
2018,mdesc,512
2015,setx,510
2018,regress,506
2015,sort,498
2018,tabulate,474
2018,label,473
2015,margins,459
2015,nlcom,456
2015,outreg2,434
2017,regress,431
2015,clear,423
2015,estimates:store,416
2015,ttest,405
2015,scalar,390
2018,use,390
2015,save,388
2019,xtreg,379
2019,estadd,375
2015,graph,369
2014,generate,356
2015,test,354
2019,generate,342
2015,global,341
2015,simqi,340
2017,display,327
2015,set,322
2015,if,301
2015,logit,295
2015,eststo,294
2018,forvalues,294
2015,lincom,276
2017,drop,269
2015,forvalues,265
2015,xtreg,261
2016,egen,252
2015,predict,251
2015,twoway,250
2017,local,250
2016,estadd,249
2015,merge,244
2016,regress,243
2018,estimates:store,241
2016,logit,237
2015,xtset,233
2016,keep,233
2015,mlogit,231
2017,matrix,220
2016,local,216
2017,use,216
2018,outreg2,215
2018,keep,214
2019,replace,213
2015,prvalue,206
2018,local,206
2015,log,203
2016,dprobit,200
2018,save,199
2017,ml,199
2018,xtreg,198
2014,lincom,196
2018,clear,193
2018,graph,190
2016,use,182
2016,save,174
2018,_pctile,172
2016,setx,170
2015,file,169
2018,scalar,169
2016,esttab,165
2015,ologit,161
2017,alpha,157
2016,summarize,152
2017,rename,151
2019,label,148
2019,regress,148
2016,merge,147
2015,program,146
2016,eststo,146
2017,tabulate,143
2018,ttest,142
2019,eststo,140
2017,egen,138
2018,collapse,134
2018,reshape,134
2015,end,133
2018,append,133
2018,encode,133
2017,loevh,130
2017,return,130
2016,return,129
2019,margins,128
2018,lincom,126
2015,svy:regress,125
2016,foreach,123
2017,margins,121
2019,marginsplot,120
2018,foreach,118
2016,regsave,116
2018,sort,114
2016,sort,114
2016,prvalue,114
2016,nl,113
2015,probit,112
2015,preserve,112
2015,restore,112
2016,simqi,111
2015,version,110
2015,xtfisher,110
2016,test,108
2016,recode,107
2019,matrix,106
2018,set,104
2019,recode,104
2016,ivreg2,103
2015,xtlogit,100
2016,outreg2,100
2017,recode,99
2017,label,98
2015,esttab,97
2016,_pctile,97
2015,areg,96
2018,margins,95
2015,nbreg,93
2017,graph,93
2015,else,92
2017,set,89
2017,sort,87
2015,append,86
2015,ivreg2,84
2019,xtregar,84
2014,estimates:store,82
2015,levelsof,82
2014,forvalues,80
2019,local,80
2015,estout,79
2018,logit,78
2018,test,78
2018,global,78
2017,keep,78
2015,tsset,76
2015,streg,76
2014,svy:regress,75
2016,matrix,75
2015,prtest,74
2019,esttab,74
2015,edvreg,72
2015,return,72
2019,foreach,72
2016,destring,71
2015,reshape,69
2015,args,69
2017,clear,68
2015,predictnl,67
2018,svy:mean,66
2016,ttest,66
2019,display,65
2017,foreach,63
2015,insheet,62
2015,for,62
2017,twoway,62
2018,xtlogit,61
2019,outreg2,61
2017,summarize,61
2017,log,61
2015,cd,60
2019,xtivreg2,60
2017,svy:mean,60
2015,estsimp,59
2019,rename,59
2016,quietly,59
2016,tabulate,59
2015,marginsplot,58
2019,graph,58
2018,do,57
2017,setx,57
2016,clear,56
2015,unique,55
2015,estat,55
2019,drop,55
2016,graph,55
2015,nestreg:logit,54
2015,mean,54
2017,esttab,54
2014,egen,53
2015,correlate,53
2017,eststo,53
2015,svmat,52
2015,gologit2,52
2015,collapse,52
2015,while,52
2018,twoway,52
2016,set,52
2015,xtabond2,51
2018,file,51
2015,tostring,50
2015,do,50
2015,xtpcse,50
2018,marginsplot,50
2017,quietly,50
2015,gllamm,49
2015,gr_edit,49
2018,display,49
2016,relogitll,49
2014,replace,48
2015,table,48
2015,post,48
2019,lincom,48
2017,marginsplot,48
2015,destring,47
2018,tsset,47
2016,relogit,47
2015,erase,46
2015,suest,46
2018,svmat,46
2019,probit,46
2014,rename,45
2018,merge,45
2016,estimates:store,45
2016,probit,45
2016,append,45
2017,svy:regress,45
2015,tobit,44
2014,recode,43
2015,ranksum,43
2015,bootstrap:cmp,43
2015,quietly,43
2018,mean,43
2018,preserve,43
2017,logit,43
2015,count,42
2015,m2_est,42
2015,rm,42
2018,restore,42
2016,margins,42
2018,predict,41
2017,merge,41
2015,factor,39
2019,preserve,39
2019,restore,39
2017,reghdfe,39
2015,_pctile,38
2015,vallist,38
2017,ttest,38
2015,order,37
2015,svy:tabulate,37
2015,mprobit,37
2017,xtmixed,37
2015,genmatch,36
2015,sureg,36
2017,if,36
2018,stcox,35
2019,tabulate,35
2016,erase,35
2017,for,35
2017,tempvar,35
2015,prtesti,34
2015,estadd,34
2018,list,34
2015,xtmelogit,33
2015,alpha,33
2015,polychoric,33
2015,postfile,33
2015,postclose,33
2018,svy:logit,33
2018,estat,33
2018,cumul,33
2019,use,33
2016,collapse,33
2016,display,33
2018,esttab,32
2016,predict,32
2016,count,32
2018,mixed,31
2019,summarize,31
2015,mat2txt,30
2019,xtscc,30
2017,save,30
2017,forvalues,30
2017,estat,30
2015,nestreg:mlogit,29
2019,egen,29
2017,estimates:store,29
2015,regsave,28
2015,browse,28
2018,proportion,28
2019,scalar,28
2019,xtsum,28
2016,cd,28
2016,logistic,28
2016,twoway,28
2017,order,28
2017,xtreg,28
2015,fprank,27
2015,cem,27
2019,histogram,27
2019,if,27
