title,href,date,description,keywords
Replication Data for: Do Inheritance Customs Affect Political and Social Inequality,/dataset.xhtml?persistentId=doi:10.7910/DVN/ZUH3UG,"May 6, 2019","Why are some societies more unequal than others? The French revolutionaries believed unequal inheritances among siblings to be responsible for the strict hierarchies of the Ancien Regime. To achieve equality, the revolutionaries therefore enforced equal inheritance rights. Their goal was to empower women and to disenfranchise the noble class. But, do equal inheritances succeed in leveling the societal playing field? We study Germany — a country with pronounced local-level variation in inheritance customs — and find that municipalities that historically equally apportioned wealth, to this day, elect more women into political councils and have fewer aristocrats in the social elite. Using historic data, we point to two mechanisms: wealth equality and pro-egalitarian preferences. In a final step, we also show that, counterintuitively, equitable inheritance positively predicts income inequality. We interpret this finding to mean that equitable inheritance levels the playing field by rewarding talent, not status.","Inheritance, Inequality"
"Replication Data for: Prediction, Proxies, and Power",/dataset.xhtml?persistentId=doi:10.7910/DVN/FPYKTP,"May 6, 2019","Many enduring questions in international relations theory focus on power relations, so it is important that scholars have a good measure of relative power. The standard measure of relative military power, the capability ratio, is barely better than random guessing at pre- dicting militarized dispute outcomes. We use machine learning to build a superior proxy, the Dispute Outcome Expectations score, from the same underlying data. Our measure is an order of magnitude better than the capability ratio at predicting dispute outcomes. We replicate Reed et al. (2008) and find, contrary to the original conclusions, that the probability of conflict is always highest when the state with the least benefits has a preponderance of power. In replications of 18 other dyadic analyses that use power as a control, we find that replacing the standard measure with DOE scores usually improves both in-sample and out-of-sample goodness of fit.

 Note:This analysis involves many layers of computation: multiple imputation of the underlying data, creation of an ensemble of machine learning models on the imputed datasets, predictions from that ensemble, and replications of previous studies using those predictions.

 Our replication code sets seeds in any script where random numbers are drawn, and runs in a Docker environment to ensure identical package versions across machines. Nevertheless, because of differences in machine precision and floating point computations across CPUs, the replication code may not produce results identical to those in the paper. Any differences should be small in magnitude and should not affect any substantive conclusions of the analysis.","International relations, Machine learning, Measurement"
Replication Data for: Ballot Reform as Suffrage Restriction: Evidence from Brazil's Second Republic,/dataset.xhtml?persistentId=doi:10.7910/DVN/BZ9Z2D,"May 6, 2019","Few innovations in democratic institutional design are considered as fundamental as the introduction of voting through the use of a uniform, official, and secret ballot. One account claims that the official ballot liberates dependent voters from the dictates of local elites, thereby enhancing democratic competition. Another argues that in contexts of widespread illiteracy its adoption may be tantamount to a suffrage restriction. This paper adjudicates between these views by drawing upon an original dataset of municipal-level voting returns from Brazil’s Second Republic (1945-1964). The unique staggered rollout of the official ballot during this period permits one to assess its impact with unprecedented accuracy. The article finds that the primary consequence of ballot reform was suffrage restriction. Rather than liberating poor and dependent voters, the official ballot made it exceedingly difficult for these individuals to vote. Moreover, parliamentary debates indicate that this was an anticipated and intended effect of the reform. (2019-02-08)","Vote secrecy, Suffrage restriction, Clientelism, Institutional design, Voting behavior"
"Replication Data for: Tuning In, Not Turning:  Evaluating the Impact of Ethnic Television on Political Participation",/dataset.xhtml?persistentId=doi:10.7910/DVN/QZNGVJ,"May 1, 2019","Despite the importance of ethnic television within immigrant communities, its effects on political participation are unclear. On the one hand, ethnic media can mobilize and inform voters. On the other hand, it can serve as a source of diversion and reduce the desire to participate. To evaluate these competing possibilities, we implement a geographic regression discontinuity (GRD) approach involving Federal Communication Commission reception boundaries for Spanish-language television stations in two states. Additionally, we replicate and unpack our GRD analyses using three nationally representative samples of Latinos. Across multiple studies, we find that access to Spanish-language television is associated with decreases in turnout, ethnic civic participation, and political knowledge. We conclude by discussing the implications of these findings on the ethnic politics, political communications, and social capital literatures.","Ethnic mass media, Political participation, Immigrants"
Replication Data for: Congress and Administrative Policymaking: Identifying Congressional Veto Power,/dataset.xhtml?persistentId=doi:10.7910/DVN/STXADQ,"May 1, 2019","The ability of presidents to unilaterally shape administrative policymaking challenges a foundation of congressional power: rarely can Congress statutorily veto administrative actions over presidential opposition. Consequently, Congress has turned to other means of influence, including the appropriations and oversight processes, although questions remain about the degree to which they have been effective. To investigate, I study a spatial model of administrative policymaking that assumes Congress can execute a legislative veto, as well as a baseline model where congressional influence requires a coalition with the president. I compare the two models and develop empirical tests that exploit instances where their implications differ. Applying the tests to data on federal regulatory policymaking shows consistent evidence that Congress exerts veto power over administrative activity, even over those actions endorsed by the president. I conclude by discussing some broader implications, including the extent to which existing studies understate the constraints on presidential power. (2018-10-06)","Congressional oversight, Regulation, Presidents, Congress"
Replication Data for: The Side Effects of Central Bank Independence,/dataset.xhtml?persistentId=doi:10.7910/DVN/WB0RNW,"Apr 30, 2019","Central bank independence (CBI) solves the time inconsistency problem faced by policymakers with respect to monetary policy. However, it does not solve their underlying incentives to manipulate the economy for political gains. Unable to use monetary policy, and often limited in their ability to use fiscal spending, governments can resort to financial deregulation to generate short-term political benefits. We show qualitatively and quantitatively that governments systematically weaken financial regulations in the aftermath of CBI, and that the effect of CBI is separate from an ideological shift toward liberalization. Our findings suggest that the growing financialization of the economy experienced by many countries over the last few decades is partly a by-product of central bank independence.","Central bank independence, Financial liberalization, Financial deregulation, Financialization"
Replication Data for: The Disclosure Dilemma: Nuclear Intelligence and International Organizations,/dataset.xhtml?persistentId=doi:10.7910/DVN/JQEUBQ,"Apr 29, 2019","Scholars have long argued that international organizations solve information problems through increased transparency. This article introduces a distinct problem that instead requires such institutions to keep information secret. We argue that states often seek to reveal intelligence about other states' violations of international rules and laws but are deterred by concerns about revealing the sources and methods used to collect it. Properly equipped international organizations, however, can mitigate these dilemmas by analyzing and acting on sensitive information while protecting it from wide dissemination. Using new data on intelligence disclosures to the International Atomic Energy Agency and an analysis of the full universe of nuclear proliferation cases, we demonstrate that strengthening the Agency's intelligence protection capabilities led to greater intelligence sharing and fewer suspected nuclear facilities. However, our theory suggests that this solution gives informed states a subtle form of influence and is in tension with the normative goal of international transparency. (2018-10-24)","Global governance, Nuclear weapons, Intelligence"
Replication Data for: When Diversity Works: The Effects of Coalition Composition on the Success of Lobbying Coalitions,/dataset.xhtml?persistentId=doi:10.7910/DVN/PGGBB4,"Apr 26, 2019","Lobbyists frequently join forces to influence policy, yet the success of active lobbying coalitions remains a blind spot in the literature. This article is the first to test how and when characteristics of active coalitions increase their lobbying success. Based on pluralist theory one can expect diverse coalitions, uniting different societal interests, to signal broad support to policymakers. Yet, their responsiveness to this signal (i.e. signaling benefits) and contribution incentives within the coalition (i.e. cooperation costs) are likely to vary with issue salience. This theory is tested on a unique dataset comprising 50 issues in five European countries. Results reveal a strong moderating effect of salience on the relationship between coalition diversity and success: On less salient issues, homogenous coalitions are more likely to succeed, whereas the effect reverses with higher salience, where diverse coalitions are more successful. These findings have implications for understanding political responsiveness and potential policy capture. 

 The dataset for this article is a subset of the larger 50 issue dataset generated in the GovLis Project on government responsiveness (Rasmussen, Mäder, and Reher 2018). The GovLis project is awarded to Anne Rasmussen (Principal Investigator) and funded by the Danish Council for Independent Research and the Nederlands Organisation for Scientific Research. For more information about the project and its participants see: http://govlis.eu/","Cooperation strategies, Lobbying coalitions"
Replication Data for: Social Networks and Protest Participation: Evidence from 130 Million Twitter Users,/dataset.xhtml?persistentId=doi:10.7910/DVN/RLLL1V,"Apr 26, 2019","Pinning down the role of social ties in the decision to protest has been notoriously elusive, largely due to data limitations. Social media and their global use by protesters offer an unprecedented opportunity to observe real-time social ties and online behavior, though often without an attendant measure of real-world behavior. We collect data on Twitter activity during the 2015 Charlie Hebdo protest in Paris which, unusually, record real-world protest attendance and network structure measured beyond egocentric networks. We devise a test of social theories of protest that hold that participation depends on exposure to others’ intentions and network position determines exposure. Our findings are strongly consistent with these theories, showing that protesters are significantly more connected to one another via direct, indirect, triadic, and reciprocated ties than comparable non-protesters. These results offer the first large-scale empirical support for the claim that social network structure has consequences for protest participation. 

 The data were collected by the NYU Social Media and Political Participation (SMaPP) laboratory (https://wp.nyu.edu/smapp/), of which Nagler and Tucker are co-Directors along with Richard Bonneau and John T. Jost. The SMaPP lab is supported by the INSPIRE program of the National Science Foundation (Award SES-1248077), the New York University Global Institute for Advanced Study, the Moore-Sloan Data Science Environment, and Dean Thomas Carew’s Research Investment Fund at New York University. 

 In order to run the replication end-to-end, we recommend downloading the comprehensive archive (charlie-hebdo-replication.tar.gz). The archive contains all the files with the appropriate directory structure. Once the archive is expanded, the full replication pipeline may be executed by running the script run-all.sh in the scripts directory. (2018-11-14)","Social networks, Collective action, Charlie Hebdo, Protests, Political participation"
"Replication Data for: Descriptive and Substantive Representation in Congress: Evidence from 80,000 Congressional Inquiries",/dataset.xhtml?persistentId=doi:10.7910/DVN/VJLVYU,"Apr 15, 2019","A vast literature debates the efficacy of descriptive representation in legislatures. Though studies argue it influences how communities are represented through constituency service, they are limited since legislators' service activities are unobserved. Using Freedom of Information Act (FOIA) requests, we collect 88,000 records of communication between members of the U.S. Congress and federal agencies during the 108th-113th Congress. These legislative interventions allow us to examine members' ``follow through'' with policy implementation. We find that women, racial/ethnic minorities, and veterans are more likely to work on behalf of constituents with whom they share identities. Including veterans offers leverage in understanding the role of political cleavages and shared experiences. Our findings suggest that shared experiences operate as a critical mechanism for representation, that a lack of political consensus is not necessary for substantive representation, and that the causal relationships identified by experimental work have observable implications in the daily work of Congress. (2018-12-21)","Congress, Representation, American politics"
