year,dataset,command,count
2019,WB0RNW,xtreg,264
2017,VEPHLS,regress,201
2016,FZI6NO,dprobit,200
2017,QO6EMT,ml,199
2015,25423,regress,165
2015,OJCQ5O,regress,164
2016,1HOVTU,logit,134
2017,NMJ4W9,regress,128
2016,KL7J6Z,nl,113
2018,KPJUFL,regress,110
2015,TLT65Z,mlogit,97
2018,ZYRC8S,regress,96
2016,PLLBQJ,ivreg2,85
2019,Y43XZR,xtregar,84
2018,ROLEY5,regress,79
2015,JCGCT5,regress,77
2014,OIHHPE,svy:regress,75
2015,KCPBUO,regress,75
2015,VWBP3L,xtlogit,73
2018,YWZBUJ,regress,73
2015,25540,edvreg,72
2015,27371,streg,67
2016,ZSYWHO,regress,67
2015,O3A06T,regress,64
2018,2E2M9Z,xtreg,64
2015,FHOJ3L,regress,63
2015,MIXK94,regress,60
2019,WB0RNW,xtivreg2,60
2015,GMZM4D,mlogit,56
2015,KCPBUO,ivreg2,55
2015,TLT65Z,nestreg:logit,54
2015,24591,regress,54
2015,KCPBUO,svy:regress,54
2018,2VF2J0,xtreg,54
2015,27512,regress,50
2015,SZK4NF,ologit,50
2018,2VF2J0,xtlogit,50
2015,YZQTAH,regress,49
2016,X88LYH,relogitll,49
2015,INOLBS,svy:regress,48
2015,OO8ZCC,xtpcse,48
2015,DMIDY8,regress,48
2015,DG6BS4,xtabond2,47
2015,UMIBSL,regress,47
2015,29375,areg,47
2016,DTFR60,relogit,47
2019,AGIMGY,probit,46
2017,WZV20D,svy:regress,45
2015,NUACCP,regress,44
2015,RIOEAY,bootstrap:cmp,43
2019,T8OYHT,xtreg,43
2016,NS3NMH,regress,43
2015,E5ZSZR,gologit2,42
2015,E5ZSZR,gllamm,40
2015,AARL5V,regress,40
2015,TMTCZD,xtreg,39
2015,QQ69RH,regress,38
2015,0AQGPL,regress,37
2019,Y43XZR,xtreg,37
2016,WOI8EU,regress,37
2017,PGCVDP,reghdfe,37
2017,PL2XFD,xtmixed,37
2015,CJMKGX,logit,36
2015,DVP0UW,ologit,36
2015,25707,mprobit,36
2018,2O7CN0,stcox,35
2019,ZRZGTT,regress,34
2015,4LZXTY,xtreg,33
2018,XU8ZWB,svy:logit,33
2019,SSEN5A,regress,33
2015,TLT65Z,logit,32
2015,24975,xtreg,32
2015,FERDAN,regress,32
2019,HUZGPJ,xtreg,32
2017,UQAIZI,regress,31
2018,MZKJDR,xtreg,30
2015,TLT65Z,nestreg:mlogit,29
2015,26721,logit,29
2015,NUACCP,probit,29
2015,29080,xtmelogit,29
2015,25505,regress,29
2015,O7DDIN,regress,28
2016,IXWZZO,logistic,28
2017,HIQ4BV,regress,28
2015,SRLERE,nbreg,27
2016,DSDNX6,logit,27
2015,26714,regress,26
2015,FHOJ3L,psmatch2,26
2015,OX5CZF,regress,25
2015,5CVUVU,mlogit,25
2015,24506,logit,25
2018,ZSJA25,regress,25
2018,2VF2J0,mixed,25
2015,NMJAFC,xtreg,24
2018,EWRXPU,regress,24
2016,ZFLG25,logit,24
2017,YJUIBI,logit,24
2015,MJSMJB,sureg,23
2018,CQXHTH,logit,23
2015,XS1SDX,regress,22
2015,QUHIIE,xtreg,22
2015,24506,nbreg,22
2018,EWRXPU,oprobit,22
2016,W2HZSO,regress,22
2015,TW5FHR,logit,21
2015,TLT65Z,regress,21
2015,AMMI3S,regress,21
2015,26867,regress,21
2019,WB0RNW,regress,21
2017,GDFJ4N,sureg,21
2017,QO6EMT,clogit,21
2015,E5ZSZR,omodel,20
2015,27241,xtreg,20
2015,26721,regress,20
2015,6TFUSP,regress,20
2015,GKASQ5,biprobit,20
2015,OCUJ2F,regress,20
2015,27217,areg,20
2019,AGIMGY,regress,20
2017,GTXZ4J,xtreg,20
2015,SPXP04,logit,19
2015,24797,regress,19
2015,VWBP3L,btscs,19
2015,OASXGA,logit,19
2019,DZ1NFG,regress,19
2017,UQAIZI,glm,19
2015,24707,regress,18
2015,KAQVNP,regress,18
2015,FHOJ3L,xtreg,18
2015,1YK9ON,ologit,18
2018,CQXHTH,regress,18
2018,ZSJA25,logit,18
2018,MZKJDR,regress,18
2019,PGGBB4,melogit,18
2015,6EBCGA,nbreg,17
2018,CQXHTH,xtreg,17
2019,HUZGPJ,regress,17
2016,KL7J6Z,logit,17
2016,W2HZSO,probit,17
2017,TJKIWN,regress,17
2015,WTURMZ,regress,16
2015,TLT65Z,nestreg:regress,16
2015,TLT65Z,ologit,16
2015,XS1SDX,tobit,16
2015,QQ69RH,svy:regress,16
2015,MJSMJB,estsimp,16
2015,29591,regress,16
2015,25707,mlogit,16
2018,EWRXPU,probit,16
2018,K7OCDX,mlogit,16
2018,XU8ZWB,xtmelogit,16
2018,2O7CN0,logit,16
2018,ZYRC8S,areg,16
2016,KL7J6Z,ologit,16
2016,KUWA5X,probit,16
2015,HZAG9F,regress,15
2015,24800,regress,15
2018,QC0RSU,regress,15
2015,HZAG9F,probit,14
2015,27597,logit,14
2015,INOLBS,regress,14
2015,DMIDY8,mlogit,14
2015,24800,xtabond,14
2015,4LZXTY,ivreg2,14
2015,27063,regress,14
2015,UMIBSL,areg,14
2015,GMZM4D,svy:mlogit,14
2016,LVHIYG,logit,14
2016,27672,regress,14
2015,WTURMZ,ologit,13
2015,TLT65Z,nestreg:ologit,13
2015,CJMKGX,estsimp,13
2015,XDUWWY,regress,13
2015,5HEB4I,regress,13
2015,MWNBXO,regress,13
2015,KCPBUO,probit,13
2018,K7OCDX,regress,13
2018,QBHGRC,xtreg,13
2016,K6ZOOW,nbreg,13
2016,NS3NMH,varsoc,13
2015,27241,regress,12
2015,ZMG1IQ,regress,12
2015,27662,xtnbreg,12
2015,NMJAFC,xtregar,12
2015,24859,poisson,12
2015,27466,probit,12
2018,CQXHTH,melogit,12
2018,XU8ZWB,xtologit,12
2018,XU8ZWB,svy:ologit,12
2018,KPJUFL,ivreg2,12
2016,FZI6NO,regress,12
2017,QO6EMT,mleval,12
2015,24800,xtreg,11
2015,24827,regress,11
2015,PYKLCA,xtreg,11
2015,23302,tobit,11
2015,5CVUVU,logit,11
2015,24387,regress,11
2018,GSQG1K,regress,11
2016,WOI8EU,probit,11
2016,S9MIJU,regress,11
2017,VWZZLO,regress,11
2014,25582,xtreg,10
2015,24724,stcox,10
2015,Y6I5ZI,xtreg,10
2015,24707,oprobit,10
2015,24937,regress,10
2015,MJSMJB,tlogit,10
2015,25423,xtlogit,10
2015,24507,regress,10
2015,26522,xtlogit,10
2015,SZK4NF,regress,10
2015,NMA2WY,regress,10
2015,KCPBUO,ivprobit,10
2015,1YK9ON,logit,10
2015,1YK9ON,gologit2,10
2015,NC06GQ,ologit,10
2015,25615,regress,10
2017,UQAIZI,probit,10
2015,26936,nbreg,9
2015,UPSRNO,logit,9
2015,GKASQ5,probit,9
2015,29591,xtivreg2,9
2015,23302,regress,9
2015,29129,regress,9
2019,ZRZGTT,logit,9
2016,VT4KJA,ivreg2,9
2017,VWZZLO,ologit,9
2017,VWZZLO,logit,9
2017,WZV20D,regress,9
2015,27241,ivregress,8
2015,UA9G8U,outreg,8
2015,Y6I5ZI,tobit,8
2015,ZSDJGT,regress,8
2015,24800,tobit,8
2015,LVOSAF,bootstrap:ivregress,8
2015,O7DDIN,ivreg2,8
2015,27718,areg,8
2015,27063,probit,8
2015,QUHIIE,sureg,8
2015,25707,sartsel,8
2015,VWBP3L,streg,8
2015,4FCVUR,mlogit,8
2018,CQXHTH,xttobit,8
2018,YWZBUJ,logit,8
2018,XU8ZWB,xtreg,8
2018,XU8ZWB,xtlogit,8
2018,2VF2J0,melogit,8
2018,2VF2J0,sem,8
2018,BRRZSK,regress,8
2018,MZKJDR,ivregress,8
2016,K6ZOOW,ivreg2,8
2016,NS3NMH,sem,8
2017,JTV6W6,ologit,8
2017,4XI0UG,xtreg,8
2017,QO6EMT,mlsum,8
2017,PGXO5O,DCdensity,8
2015,PBAW0O,xtreg,7
2015,OO8ZCC,regress,7
2015,RIOEAY,cmp,7
2015,27217,xtmixed,7
2018,OOIEAO,regress,7
2018,LP1SQY,probit,7
2018,XU8ZWB,svy:regress,7
2018,2O7CN0,xtreg,7
2018,BRRZSK,logit,7
2019,29040,xtmixed,7
2019,PGGBB4,mixed,7
2016,KL7J6Z,regress,7
2016,LVHIYG,estsimp,7
2016,LVHIYG,ologit,7
2016,26584,xtmelogit,7
2016,26584,xtmixed,7
2015,193ZDD,regress,6
2015,193ZDD,xtreg,6
2015,UA9G8U,regress,6
2015,OX5CZF,xtreg,6
2015,ZSDJGT,ologit,6
2015,26783,probit,6
2015,24789,regress,6
2015,4LZXTY,xtmixed,6
2015,23851,regress,6
2015,23851,logit,6
2015,24797,outreg,6
2015,DG6BS4,xtreg,6
2015,23454,regress,6
2015,29242,nbreg,6
2015,27293,regress,6
2015,GMZM4D,ologit,6
2015,WZR4UH,xtmixed,6
2015,SRLERE,logit,6
2015,JCGCT5,qreg,6
2018,CQXHTH,xtmixed,6
2018,I4KVD1,regress,6
2019,HUZGPJ,ivreg2,6
2016,IXWZZO,regress,6
2016,PLLBQJ,regress,6
2016,Q8CSU8,regress,6
2016,K6ZOOW,logit,6
2016,BXXWWW,logit,6
2016,VT4KJA,mixed,6
2017,YJUIBI,mlogit,6
2017,VEPHLS,oprobit,6
2017,JTV6W6,logit,6
2017,PL2XFD,meologit,6
2015,NY6NSO,regress,5
2015,96KNLB,regress,5
2015,ZSDJGT,logit,5
2015,DMIDY8,estsimp,5
2015,XDUWWY,logit,5
2015,CNNXPB,logit,5
2015,CNNXPB,estsimp,5
2015,26714,oprobit,5
2015,28750,logit,5
2015,25423,two_side,5
2015,LUBZFJ,logit,5
2015,QUHIIE,svy:oprobit,5
2018,WGWMAV,xtreg,5
2019,HUZGPJ,ivregress,5
2016,DSDNX6,estsimp,5
2016,NS3NMH,bootstrap:indireff,5
2016,NS3NMH,bootstrap:indireffhat,5
2017,UQAIZI,nbreg,5
2017,HIQ4BV,estsimp,5
2014,OIHHPE,cgmreg,4
2014,OIHHPE,xtmixed,4
2015,RPD7KA,xtmelogit,4
2015,26936,probit,4
2015,WTURMZ,ivreg2,4
2015,AZTWDW,regress,4
2015,E5ZSZR,ologit,4
2015,27241,xtivreg,4
2015,TW5FHR,var,4
2015,TW5FHR,vargranger,4
2015,PBAW0O,regress,4
2015,25540,regress,4
2015,25540,ivregress,4
2015,24707,mlogit,4
2015,96KNLB,logit,4
2015,E9S0VN,nbreg,4
2015,E9S0VN,logit,4
2015,OO8ZCC,ivregress,4
2015,OO8ZCC,xtreg,4
2015,DMIDY8,heckman,4
2015,O3A06T,svy:regress,4
2015,24800,xttobit,4
2015,24975,xtivreg2,4
2015,XS1SDX,probit,4
2015,9TPNOT,regress,4
2015,6EBCGA,estsimp,4
2015,23454,areg,4
2015,PYKLCA,xtlogit,4
2015,25423,xtabond2,4
2015,AHMMUA,var,4
2015,AHMMUA,vargranger,4
2015,23302,cmp,4
2015,24591,eivreg,4
2015,25707,logit,4
2015,TMTCZD,regress,4
2015,FERDAN,bootstrap:regress,4
2015,4FCVUR,logit,4
2015,27113,mlogit,4
2015,BLXMCY,xtprobit,4
2018,CQXHTH,ologit,4
2018,CQXHTH,mixed,4
2018,CQXHTH,meologit,4
2018,HI1X4O,ivreg2,4
2019,DZ1NFG,tobit,4
2019,WB0RNW,logit,4
2019,SSEN5A,svy:logit,4
2016,ZSYWHO,xtreg,4
2016,ZSYWHO,ologit,4
2016,DTFR60,zinb,4
2016,26584,regress,4
2016,26584,logit,4
2016,K6ZOOW,regress,4
2016,X88LYH,logit,4
2016,W2HZSO,estsimp,4
2016,VT4KJA,bootstrap:mixed,4
2017,VEPHLS,probit,4
2017,PL2XFD,regress,4
2017,GTXZ4J,areg,4
2014,25582,regress,3
2015,MIXK94,probit,3
2015,TLT65Z,anova,3
2015,TLT65Z,nestreg:oprobit,3
2015,Y6I5ZI,gllamm,3
2015,LVOSAF,regress,3
2015,LVOSAF,logit,3
2015,6TFUSP,xtreg,3
2015,GKASQ5,regress,3
2015,24937,DCdensity,3
2015,25531,regress,3
2015,26714,probit,3
2015,PYKLCA,gllamm,3
2015,FHOJ3L,xtlogit,3
2015,OCUJ2F,eivreg,3
2015,XA5DRD,logit,3
2015,XA5DRD,xtmixed,3
2015,AHMMUA,regress,3
2015,AHMMUA,ivregress,3
2015,24128,nbreg,3
2015,26522,gllamm,3
2015,SZK4NF,estsimp,3
2015,26867,logit,3
2015,QUHIIE,svy:regress,3
2015,WZR4UH,regress,3
2015,SRLERE,countfit,3
2015,TMTCZD,ivregress,3
2015,25615,sureg,3
2018,K7OCDX,logit,3
2018,MZKJDR,xtlogit,3
2019,8KNF3I,xtabond2,3
2019,ZRZGTT,oprobit,3
2016,IXWZZO,nbreg,3
2016,DTFR60,tobit,3
2016,K6ZOOW,sureg,3
2017,WZV20D,svy:probit,3
2015,27512,xtreg,2
2015,27512,ivreg,2
2015,26936,oprobit,2
2015,27241,mlogit,2
2015,UA9G8U,mlogit,2
2015,MIXK94,logit,2
2015,TW5FHR,regress,2
2015,CJMKGX,biprobit,2
2015,CJMKGX,relogit,2
2015,24707,probit,2
2015,E9S0VN,probit,2
2015,E9S0VN,oprobit,2
2015,E9S0VN,ivprobit,2
2015,27371,stcox,2
2015,AMMI3S,logit,2
2015,DMIDY8,impute,2
2015,DMIDY8,xtmixed,2
2015,UPSRNO,regress,2
2015,24800,estsimp,2
2015,24800,probit,2
2015,27662,nbreg,2
2015,27662,xtgee,2
2015,24975,areg,2
2015,24827,ivreg,2
2015,24827,var,2
2015,24827,vargranger,2
2015,24797,xtreg,2
2015,27063,xtgee,2
2015,MJSMJB,regress,2
2015,23302,sureg,2
2015,24859,estsimp,2
2015,27466,biprobit,2
2015,25505,xtreg,2
2015,AIRCBB,logit,2
2015,AIRCBB,estsimp,2
2015,29129,poisson,2
2018,OOIEAO,mixed,2
2018,LP1SQY,psmatch2,2
2018,ROLEY5,rd,2
2018,ROLEY5,rdrobust,2
2018,XU8ZWB,logit,2
2018,2E2M9Z,regress,2
2018,ZYRC8S,interflex,2
2019,DZ1NFG,xtreg,2
2019,AGIMGY,oprobit,2
2019,PGGBB4,regress,2
2016,IXWZZO,rd,2
2016,K6ZOOW,xtpoisson,2
2016,K6ZOOW,xtreg,2
2016,BXXWWW,regress,2
2017,XRJ43D,logit,2
2017,YJUIBI,glm,2
2017,GDFJ4N,logit,2
2017,NMJ4W9,impute,2
2017,GTXZ4J,reghdfe,2
2014,OIHHPE,regress,1
2014,OIHHPE,oprobit,1
2015,26936,estsimp,1
2015,26936,regress,1
2015,NY6NSO,oprobit,1
2015,AZTWDW,anova,1
2015,MIXK94,impute,1
2015,TLT65Z,estsimp,1
2015,INOLBS,svy:logit,1
2015,INOLBS,svy:ologit,1
2015,CJMKGX,mlogit,1
2015,96KNLB,qreg,1
2015,96KNLB,estsimp,1
2015,5HEB4I,mlogit,1
2015,27662,xtreg,1
2015,27662,xtpcse,1
2015,27662,zinb,1
2015,27662,xtgls,1
2015,WDA163,xtmixed,1
2015,23851,mlogit,1
2015,QQ69RH,ologit,1
2015,6EBCGA,xtnbreg,1
2015,DG6BS4,regress,1
2015,27063,heckman,1
2015,27063,logit,1
2015,27063,relogit,1
2015,27063,nbreg,1
2015,23454,ivreg2,1
2015,26714,mprobit,1
2015,FHOJ3L,areg,1
2015,OCUJ2F,estsimp,1
2015,29080,logit,1
2015,25423,ivreg2,1
2015,25423,streg,1
2015,23302,ologit,1
2015,NMJAFC,probit,1
2015,SZK4NF,impute,1
2015,WZR4UH,ivreg2,1
2015,WZR4UH,reg3,1
2015,WZR4UH,xtreg,1
2015,24859,nbreg,1
2015,5CVUVU,estsimp,1
2015,5CVUVU,regress,1
2015,29375,regress,1
2015,29375,ivregress,1
2015,27466,estsimp,1
2015,27466,relogit,1
2015,SRLERE,zinb,1
2015,27217,regress,1
2015,27217,tobit,1
2015,TMTCZD,clogit,1
2015,29129,rc_spline,1
2015,29129,nbreg,1
2015,25615,estsimp,1
2015,BLXMCY,xtpcse,1
2015,BLXMCY,xtreg,1
2018,K7OCDX,rollreg,1
2018,LP1SQY,pscore,1
2018,QBHGRC,regress,1
2018,ROLEY5,DCdensity,1
2018,XU8ZWB,impute,1
2018,ZYRC8S,impute,1
2018,WGWMAV,xtivreg,1
2018,H13U6G,logit,1
2018,MZKJDR,mlogit,1
2019,HUZGPJ,impute,1
