journal,command,n
ajps,replace,4616
ajps,generate,3220
ajps,rename,1325
ajps,matrix,1303
ajps,drop,1045
ajps,summarize,880
ajps,egen,855
ajps,recode,744
ajps,mdesc,512
ajps,regress,506
ajps,tabulate,474
ajps,label,473
ajps,use,390
ajps,forvalues,294
ajps,estimates,285
ajps,outreg2,215
ajps,keep,214
ajps,local,206
ajps,save,199
ajps,xtreg,198
ajps,clear,193
ajps,graph,190
ajps,_pctile,172
ajps,scalar,169
ajps,ttest,142
ajps,collapse,134
ajps,reshape,134
ajps,append,133
ajps,encode,133
ajps,lincom,126
ajps,foreach,118
ajps,sort,114
ajps,set,102
ajps,margins,95
ajps,logit,78
ajps,test,78
ajps,global,78
ajps,svy:mean,66
ajps,xtlogit,61
ajps,do,57
ajps,twoway,52
ajps,file,51
ajps,marginsplot,50
ajps,display,49
ajps,tsset,47
ajps,svmat,46
ajps,merge,45
ajps,mean,43
ajps,preserve,43
ajps,restore,42
ajps,predict,41
ajps,stcox,35
ajps,list,34
ajps,svy:logit,33
ajps,estat,33
ajps,cumul,33
ajps,mixed,32
ajps,esttab,32
ajps,proportion,28
ajps,gr_edit,24
ajps,coefplot,24
ajps,probit,23
ajps,oprobit,22
ajps,prtest,21
ajps,melogit,20
ajps,tabi,20
ajps,erase,20
ajps,xtset,19
ajps,cd,19
ajps,saveold,18
ajps,ssc,17
ajps,mlogit,17
ajps,xtile,17
ajps,format,16
ajps,xtmelogit,16
ajps,areg,16
ajps,ivreg2,16
ajps,pwcorr,14
ajps,prgen,14
ajps,svyset,13
ajps,xtologit,12
ajps,svy:ologit,12
ajps,aorder,12
ajps,end,11
ajps,tabstat,11
ajps,input,10
ajps,correlate,10
ajps,synth,10
ajps,count,10
ajps,destring,9
ajps,findit,8
ajps,xttobit,8
ajps,grc1leg,8
ajps,mi,8
ajps,svy:tabulate,8
ajps,ivregress,8
ajps,version,7
ajps,eststo,7
ajps,tssmooth,7
ajps,centile,7
ajps,svy:regress,7
ajps,import,6
ajps,xtmixed,6
ajps,insheet,6
ajps,histogram,6
ajps,tostring,6
ajps,savesome,6
ajps,order,6
ajps,stset,6
ajps,ciplot,6
ajps,bsample,5
ajps,estpost,5
ajps,factor,5
ajps,estout,5
ajps,ologit,4
ajps,meologit,4
ajps,ttesti,4
ajps,prtesti,4
ajps,net,4
ajps,mfx,4
ajps,sample,4
ajps,ebalance,4
ajps,log,4
ajps,constraint,4
ajps,boottest,4
ajps,oneway,4
ajps,sem,4
ajps,hausman,4
ajps,post,4
ajps,suest,4
ajps,table,4
ajps,kap,3
ajps,TR,3
ajps,TI,3
ajps,reclink,3
ajps,pctile,3
ajps,outsheet,3
ajps,unique,3
ajps,rotate,3
ajps,fvset,3
ajps,leebounds,3
ajps,line,3
ajps,wls0,2
ajps,alpha,2
ajps,mchange,2
ajps,psmatch2,2
ajps,pstest,2
ajps,rdplot,2
ajps,rd,2
ajps,rdrobust,2
ajps,exit,2
ajps,medeff,2
ajps,tab1,2
ajps,$CSVTOTEX,2
ajps,gsort,2
ajps,interflex,2
ajps,codebook,2
ajps,browse,2
ajps,drawnorm,2
ajps,tempname,2
ajps,tempfile,2
ajps,postfile,2
ajps,postclose,2
ajps,mvencode,2
ajps,export,2
ajps,program,2
ajps,stcurve,2
ajps,window,2
ajps,revrs,1
ajps,Control,1
ajps,Treatment,1
ajps,rollreg,1
ajps,combomarginsplot,1
ajps,pscore,1
ajps,psgraph,1
ajps,sutex2,1
ajps,DCdensity,1
ajps,duplicates,1
ajps,strdist,1
ajps,if,1
ajps,else,1
ajps,sts,1
ajps,split,1
ajps,mkcorr,1
ajps,impute,1
ajps,codebookout,1
ajps,survwgt,1
ajps,screeplot,1
ajps,loadingplot,1
ajps,expand,1
ajps,carryforward,1
ajps,assert,1
ajps,help,1
ajps,absdid,1
ajps,spmap,1
ajps,levelsof,1
ajps,ipolate,1
ajps,xtivreg,1
ajps,polychoric,1
ajps,factormat,1
ajps,zandrews,1
jop,replace,3340
jop,generate,3028
jop,recode,2758
jop,estimates,1394
jop,regress,1391
jop,label,902
jop,matrix,855
jop,local,810
jop,estadd,644
jop,foreach,630
jop,tabulate,601
jop,drop,595
jop,use,525
jop,xtreg,522
jop,summarize,511
jop,rename,483
jop,margins,470
jop,eststo,429
jop,graph,402
jop,probit,380
jop,egen,374
jop,outreg2,373
jop,ttest,352
jop,mlogit,348
jop,khb,335
jop,set,308
jop,esttab,252
jop,logit,244
jop,estout,242
jop,clear,235
jop,predict,234
jop,test,228
jop,preserve,222
jop,restore,222
jop,marginsplot,206
jop,keep,189
jop,global,189
jop,if,183
jop,oprobit,159
jop,forvalues,154
jop,for,153
jop,lincom,144
jop,save,125
jop,display,122
jop,twoway,122
jop,sort,121
jop,collapse,121
jop,areg,114
jop,xtpcse,110
jop,ivreg,108
jop,ml,105
jop,tabstat,88
jop,svy:oprobit,87
jop,simqi,87
jop,cgmreg,84
jop,reghdfe,82
jop,scalar,80
jop,append,79
jop,mean,78
jop,setx,75
jop,svmat,74
jop,ologit,74
jop,xtset,70
jop,meqrlogit,66
jop,melogit,65
jop,program,65
jop,merge,64
jop,alpha,64
jop,estpost,55
jop,erase,50
jop,coefplot,48
jop,cd,47
jop,expand,47
jop,else,45
jop,end,43
jop,estat,40
jop,clogit,39
jop,tempname,39
jop,stset,38
jop,correlate,37
jop,pwcorr,37
jop,count,37
jop,svy:regress,37
jop,stcox,37
jop,factor,36
jop,svy:tabulate,34
jop,mixed,34
jop,teffects,32
jop,suest,30
jop,list,29
jop,duplicates,29
jop,impute,29
jop,ivregress,29
jop,format,28
jop,mat2txt,28
jop,log,27
jop,prtest,27
jop,histogram,25
jop,frmttable,25
jop,glm,24
jop,streg,24
jop,lincomest,23
jop,svy:mean,23
jop,xtunitroot,22
jop,args,22
jop,tab1,21
jop,destring,21
jop,estsimp,21
jop,reshape,20
jop,tsset,20
