,ajps,jop,the_review
.csv,0.08166666666666667,0.024933214603739984,0.1592920353982301
.dat,0.0033333333333333335,0,0
.dbf,0.0033333333333333335,0.0008904719501335708,0.0008849557522123894
.tab,0.23,0.18788958147818344,0.07168141592920355
.tsv,0.0016666666666666668,0,0.0008849557522123894
.txt,0.058333333333333334,0.03561887800534283,0.02743362831858407
.xls,0.0033333333333333335,0.0026714158504007124,0.0017699115044247787
.xlsx,0.0033333333333333335,0.005342831700801425,0.0017699115044247787
.xml,0,0,0.0008849557522123894
gis_data,0.015,0.016918967052537846,0.012389380530973451
spss_data,0.0016666666666666668,0,0
stata_data,0.075,0.2413178984861977,0.18053097345132743
r_data,0.051666666666666666,0.11130899376669635,0.08584070796460178
other,0.4716666666666667,0.37310774710596617,0.45663716814159294
