year,dataset,command,count
2016,22NMPM,label,435
2013,YZ388M,replace,275
2015,26723,local,242
2019,8JY1NZ,generate,219
2015,26723,replace,193
2018,PNSUTT,replace,165
2018,PNSUTT,generate,156
2015,26723,label,150
2016,IC96GT,generate,140
2015,26723,generate,129
2014,26657,stata,117
2016,IC96GT,egen,109
2015,38YU1I,count,104
2017,VQTMSZ,lincom,104
2017,ZY9H1B,generate,95
2014,26657,while,94
2015,26723,display,92
2014,26657,do,89
2013,YZ388M,generate,86
2015,26723,rename,81
2015,26723,if,78
2019,Y1JHHV,xtreg,75
2019,Y1JHHV,estimates:store,75
2015,26723,drop,72
2016,29785,xtabond2,67
2014,26657,else,66
2014,26657,scalar,61
2014,26657,st_store,59
2014,26657,mata,58
2014,26657,st_view,58
2014,26657,generate,57
2015,26723,foreach,57
2014,26657,t,56
2017,MIVVAP,generate,55
2016,V1ZTM9,xtabond2,54
2014,26657,i,48
2019,B52BHA,replace,48
2016,V1ZTM9,xtreg,48
2018,NI2UIV,tobit,45
2018,NI2UIV,eststo,45
2017,MIVVAP,local,45
2015,38YU1I,generate,43
2016,IC96GT,replace,41
2015,38YU1I,summarize,39
2014,26657,j,38
2014,26657,mean,38
2016,IC96GT,recode,37
2016,IC96GT,sort,36
2014,26657,sqrt,35
2013,YZ388M,summarize,34
2019,B52BHA,generate,34
2017,YBGFMC,outreg,34
2017,VQTMSZ,ivreg2,32
2015,5B47AP,regress,31
2018,PNSUTT,mean,31
2015,26723,tabulate,30
2016,V1ZTM9,xtpcse,30
2014,26657,if,29
2015,26723,egen,29
2015,VTFJLM,generate,29
2016,IC96GT,mvencode,29
2017,MIVVAP,use,29
2014,26657,end,27
2015,26723,clear,27
2017,MIVVAP,graph,27
2014,27756,preserve,26
2014,27756,keep,26
2014,27756,restore,26
2014,26657,sigmavec,26
2014,26657,alfavec,26
2014,26657,set,25
2017,MIVVAP,label,25
2014,27756,summarize,24
2018,NI2UIV,generate,24
2013,YZ388M,constraint,24
2016,IC96GT,test,24
2014,27756,notes,23
2015,26723,xi,23
2013,YZ388M,clear,23
2014,27756,ranksum,22
2014,26654,estimates:store,22
2015,26723,sort,22
2015,26723,merge,22
2013,YZ388M,use,22
2016,IC96GT,drop,22
2014,27756,generate,21
2016,V1ZTM9,use,21
2016,IC96GT,oglm,21
2017,ZY9H1B,replace,21
2017,ZY9H1B,egen,21
2014,26657,r,20
2014,26657,F,20
2015,26723,matrix,20
2015,VTFJLM,replace,20
2013,YZ388M,label,20
2016,V1ZTM9,xtset,20
2015,26723,forvalues,19
2016,IC96GT,set,19
2017,MIVVAP,browse,19
2014,26657,alfams,18
2018,8VF8RV,estat,18
2013,YZ388M,save,18
2013,YZ388M,tabulate,18
2016,V1ZTM9,regress,18
2017,YBGFMC,generate,18
2015,26723,estimates:store,17
2018,NI2UIV,use,17
2019,8JY1NZ,replace,17
2014,26657,aux,16
2014,26657,k,16
2015,26723,quietly,16
2015,26723,summarize,16
2018,PNSUTT,ivreg2,16
2013,YZ388M,inspect,16
2017,XB9ACC,count,16
2014,26654,generate,15
2015,26723,global,15
2014,26657,sigmams,14
2015,38YU1I,regress,14
2018,NI2UIV,esttab,14
2016,IC96GT,summarize,14
2017,YBGFMC,ivprobit,14
2017,MIVVAP,save,14
2014,26657,sigma,13
2014,26657,alfa,13
2015,26723,estimates:table,13
2015,26723,estimates:sto,13
2015,VTFJLM,recode,13
2018,NI2UIV,drop,13
2014,27756,histogram,12
2014,26657,use,12
2014,26657,ystar,12
2014,26657,y,12
2014,26657,egen,12
2014,26657,AA,12
2014,26654,local,12
2014,26654,regress,12
2015,26723,use,12
2015,26723,continue,12
2018,8VF8RV,regress,12
2018,8VF8RV,predict,12
2018,8VF8RV,vif,12
2018,8VF8RV,summarize,12
2018,8VF8RV,ksmirnov,12
2018,8VF8RV,tobit,12
2019,8JY1NZ,estat,12
2019,30QTRI,xthreg,12
2017,YBGFMC,probit,12
2017,YBGFMC,margins,12
2017,MIVVAP,estadd,12
2017,MIVVAP,keep,12
2017,MIVVAP,lowess,12
2014,27756,label,11
2014,26657,Bread,11
2015,26723,cd,11
2015,26723,save,11
2018,NI2UIV,keep,11
2019,Y1JHHV,estimates:table,11
2019,B52BHA,probit,11
2016,IC96GT,use,11
2016,IC96GT,merge,11
2017,MIVVAP,collapse,11
2014,26657,clear,10
2014,26657,N,10
2014,26657,st_addobs,10
2014,26657,Breadtrans,10
2014,26657,z,10
2014,26657,alfavarms,10
2014,26657,x,10
2014,26657,local,10
2014,26654,oaxaca,10
2015,38YU1I,replace,10
2015,26723,set,10
2018,XEM5WL,generate,10
2018,XEM5WL,areg,10
2013,YZ388M,drop,10
2019,B52BHA,rename,10
2019,B52BHA,outreg2,10
2016,IC96GT,log,10
2017,XB9ACC,outreg2,10
2014,26657,drop,9
2014,26657,S,9
2014,26657,c,9
2014,26657,Ham,9
2014,26657,alfavar,9
2014,26657,gammavec,9
2015,26723,tsset,9
2016,V1ZTM9,clear,9
2016,V1ZTM9,set,9
2016,IC96GT,clear,9
2016,IC96GT,etime,9
2014,27756,egen,8
2014,26657,summarize,8
2014,26657,iterationsms,8
2014,26657,sigmahat,8
2014,26657,v,8
2014,26657,ysim,8
2014,26657,maxiter,8
2014,26657,alfas,8
2015,38YU1I,xtmixed,8
2015,26723,while,8
2018,XEM5WL,summarize,8
