title,href,date
Metcalfe's law and log-period power laws in the cryptocurrencies market,/dataset.xhtml?persistentId=doi:10.7910/DVN/SJL4UX,"May 15, 2019"
Regional Tax Effort in Spain,/dataset.xhtml?persistentId=doi:10.7910/DVN/8JY1NZ,"May 13, 2019"
Does fiscal consolidation hurt economic growth? Empirical evidence from Spanish regions,/dataset.xhtml?persistentId=doi:10.7910/DVN/KFQJPN,"May 7, 2019"
Media-driven polarization. Evidence from the US,/dataset.xhtml?persistentId=doi:10.7910/DVN/B52BHA,"Apr 8, 2019"
"A Replication of ‘The long-run impact of foreign aid in 36 African countries: Insights from multivariate time series analysis’ (Oxford Bulletin of Statistics and Economics, 2014)",/dataset.xhtml?persistentId=doi:10.7910/DVN/RLZEON,"Apr 3, 2019"
The difference in the intraday return-volume relationships of spot and futures: a quantile regression approach,/dataset.xhtml?persistentId=doi:10.7910/DVN/MCOVPQ,"Mar 20, 2019"
The effect of Double Taxation Treaties and Territorial Tax Systems on Foreign Direct Investment: evidence for Spain,/dataset.xhtml?persistentId=doi:10.7910/DVN/RTHLJ0,"Mar 11, 2019"
Labour contracts and the stepping-stone effect in Emilia-Romagna: A multinomial analysis,/dataset.xhtml?persistentId=doi:10.7910/DVN/1S0VPK,"Feb 26, 2019"
"When is there more employment, with individual or collective wage bargaining?",/dataset.xhtml?persistentId=doi:10.7910/DVN/X0QFRI,"Feb 14, 2019"
Metcalfe's law and herding behaviour in the cryptocurrencies market,/dataset.xhtml?persistentId=doi:10.7910/DVN/D9EJYI,"Feb 14, 2019"
Can reducing carbon emissions improve economic performance? Evidence from China,/dataset.xhtml?persistentId=doi:10.7910/DVN/Y1JHHV,"Feb 12, 2019"
The impacts of institutional quality and infrastructure on overall and intra-Africa trade,/dataset.xhtml?persistentId=doi:10.7910/DVN/7WCOJE,"Jan 24, 2019"
Estimating nonlinear intergenerational income mobility with correlation curves,/dataset.xhtml?persistentId=doi:10.7910/DVN/GD0PSY,"Jan 17, 2019"
Institutional convergence in Europe,/dataset.xhtml?persistentId=doi:10.7910/DVN/JXXNDO,"Jan 8, 2019"
Are R&D subsidies effective? The effect of industry competition,/dataset.xhtml?persistentId=doi:10.7910/DVN/30QTRI,"Jan 8, 2019"
Political competition and economic policy: empirical evidence from Pakistan,/dataset.xhtml?persistentId=doi:10.7910/DVN/03SDLZ,"Jan 3, 2019"
Does the high-tech enterprise certification policy promote innovation in China?,/dataset.xhtml?persistentId=doi:10.7910/DVN/NI2UIV,"Dec 17, 2018"
"How do taxable income responses to marginal tax rates differ by sex, marital status and age? Evidence from Spanish dual income tax rates differ by sex, marital status and age? Evidence from Spanish dual income tax",/dataset.xhtml?persistentId=doi:10.7910/DVN/PNSUTT,"Dec 11, 2018"
A method for measuring detailed demand for workers’ competences,/dataset.xhtml?persistentId=doi:10.7910/DVN/VSUMVJ,"Dec 11, 2018"
The corruption-income inequality trap: a study of Asian countries,/dataset.xhtml?persistentId=doi:10.7910/DVN/8VF8RV,"Nov 15, 2018"
"Civil society in times of change: shrinking, changing and expanding spaces and the need for new regulatory approaches",/dataset.xhtml?persistentId=doi:10.7910/DVN/FQEMZU,"Nov 9, 2018"
Storage infrastructure and agricultural yield: evidence from a capital investment subsidy scheme,/dataset.xhtml?persistentId=doi:10.7910/DVN/XEM5WL,"Oct 25, 2018"
Macroeconomic dynamics and the IS puzzle,/dataset.xhtml?persistentId=doi:10.7910/DVN/J161O0,"Sep 18, 2018"
The Greek crisis: A story of self-reinforcing feedback mechanisms,/dataset.xhtml?persistentId=doi:10.7910/DVN/EAABYT,"Sep 13, 2018"
 A financially stressed euro area,/dataset.xhtml?persistentId=doi:10.7910/DVN/SITJLX,"Aug 31, 2018"
"What drives food price volatility? Evidence based on a generalized VAR approach applied to the food, financial and energy markets",/dataset.xhtml?persistentId=doi:10.7910/DVN/RQOZIJ,"Jul 12, 2018"
How does democracy affect public debt? Evidence from the Arab world,/dataset.xhtml?persistentId=doi:10.7910/DVN/68MATY,"Jul 9, 2018"
Subjective well-being and income: a compromise between Easterlin paradox and its critiques,/dataset.xhtml?persistentId=doi:10.7910/DVN/VWYQEW,"Jun 29, 2018"
Almost first-degree stochastic dominance for transformations and its application in insurance strategy,/dataset.xhtml?persistentId=doi:10.7910/DVN/DZVT55,"Jun 1, 2018"
China’s economic integration with the Greater Mekong Sub-region: an empirical analysis by a panel dynamic gravity model,/dataset.xhtml?persistentId=doi:10.7910/DVN/V9VEBM,"May 31, 2018"
Pareto tails in socio-economic phenomena: a kinetic description,/dataset.xhtml?persistentId=doi:10.7910/DVN/5UZF0X,"May 18, 2018"
"Pollution, green union and network industry",/dataset.xhtml?persistentId=doi:10.7910/DVN/BHVX4Z,"May 17, 2018"
Profit efficiency of banks in Colombia with undesirable output: A directional distance function approach,/dataset.xhtml?persistentId=doi:10.7910/DVN/SGM6OU,"May 14, 2018"
Are R&D subsidies effective? The effect of industry competition,/dataset.xhtml?persistentId=doi:10.7910/DVN/AABQKA,"May 9, 2018"
"Learning to forecast, risk aversion, and microstructural aspects of financial stability",/dataset.xhtml?persistentId=doi:10.7910/DVN/XQ4ZEN,"Apr 23, 2018"
Exchange rates expectations and chaotic dynamics: a replication study,/dataset.xhtml?persistentId=doi:10.7910/DVN/RS8CYX,"Apr 19, 2018"
Date-stamping US housing market explosivity,/dataset.xhtml?persistentId=doi:10.7910/DVN/NSSIGL,"Mar 29, 2018"
Policies for decarbonizing a liberalized  power sector,/dataset.xhtml?persistentId=doi:10.7910/DVN/AFEGTS,"Mar 23, 2018"
What accounts for the increase in female labor force participation in Spain,/dataset.xhtml?persistentId=doi:10.7910/DVN/MOGBKV,"Mar 22, 2018"
Political competition and economic performance: empirical evidence from Pakistan,/dataset.xhtml?persistentId=doi:10.7910/DVN/FQTFW1,"Mar 13, 2018"
"Roads & SDGs, tradeoffs and synergies: learning from Brazil’s Amazon in distinguishing frontiers",/dataset.xhtml?persistentId=doi:10.7910/DVN/CELNTC,"Mar 5, 2018"
Supporting the UN’s SDG transition: methodology for sustainability assessment and current worldwide ranking,/dataset.xhtml?persistentId=doi:10.7910/DVN/X4QCTR,"Feb 28, 2018"
The democracy and economic growth nexus: do FDI and government spending matter? Evidence from the Arab world,/dataset.xhtml?persistentId=doi:10.7910/DVN/NUD3G6,"Feb 19, 2018"
