title,href,date,filename,file_href
Metcalfe's law and log-period power laws in the cryptocurrencies market,/dataset.xhtml?persistentId=doi:10.7910/DVN/SJL4UX,"May 15, 2019",for_website.rar,/file.xhtml?persistentId=doi:10.7910/DVN/SJL4UX/1SHA8E&version=1.0
Regional Tax Effort in Spain,/dataset.xhtml?persistentId=doi:10.7910/DVN/8JY1NZ,"May 13, 2019",efccaa2.tab,/file.xhtml?persistentId=doi:10.7910/DVN/8JY1NZ/TBGR2S&version=1.0
Regional Tax Effort in Spain,/dataset.xhtml?persistentId=doi:10.7910/DVN/8JY1NZ,"May 13, 2019",Response editor3.docx,/file.xhtml?persistentId=doi:10.7910/DVN/8JY1NZ/4GZSWB&version=1.0
Regional Tax Effort in Spain,/dataset.xhtml?persistentId=doi:10.7910/DVN/8JY1NZ,"May 13, 2019",tax effort.do,/file.xhtml?persistentId=doi:10.7910/DVN/8JY1NZ/3EERX4&version=1.0
Does fiscal consolidation hurt economic growth? Empirical evidence from Spanish regions,/dataset.xhtml?persistentId=doi:10.7910/DVN/KFQJPN,"May 7, 2019",STATA CODE AND RESULTS.docx,/file.xhtml?persistentId=doi:10.7910/DVN/KFQJPN/0EXUGS&version=1.0
Media-driven polarization. Evidence from the US,/dataset.xhtml?persistentId=doi:10.7910/DVN/B52BHA,"Apr 8, 2019",._.DS_Store,/file.xhtml?persistentId=doi:10.7910/DVN/B52BHA/GUJ4YF&version=4.0
Media-driven polarization. Evidence from the US,/dataset.xhtml?persistentId=doi:10.7910/DVN/B52BHA,"Apr 8, 2019",DP 2019-28_ReadMe_Data_Melki_Sekeris.pdf,/file.xhtml?persistentId=doi:10.7910/DVN/B52BHA/NHRWJ8&version=4.0
Media-driven polarization. Evidence from the US,/dataset.xhtml?persistentId=doi:10.7910/DVN/B52BHA,"Apr 8, 2019",Melki_Sekeris_regressions_2000.do,/file.xhtml?persistentId=doi:10.7910/DVN/B52BHA/0BP7CB&version=4.0
Media-driven polarization. Evidence from the US,/dataset.xhtml?persistentId=doi:10.7910/DVN/B52BHA,"Apr 8, 2019",Melki_Sekeris_regressions_2008.do,/file.xhtml?persistentId=doi:10.7910/DVN/B52BHA/SFQTNI&version=4.0
"A Replication of ‘The long-run impact of foreign aid in 36 African countries: Insights from multivariate time series analysis’ (Oxford Bulletin of Statistics and Economics, 2014)",/dataset.xhtml?persistentId=doi:10.7910/DVN/RLZEON,"Apr 3, 2019",bdi_jmt.RPF,/file.xhtml?persistentId=doi:10.7910/DVN/RLZEON/TZ0EVW&version=1.0
