year,dataset,command,count
2019,Y1JHHV,xtreg,75
2016,29785,xtabond2,67
2016,V1ZTM9,xtabond2,54
2016,V1ZTM9,xtreg,48
2018,NI2UIV,tobit,45
2017,YBGFMC,outreg,34
2017,VQTMSZ,ivreg2,32
2015,5B47AP,regress,31
2016,V1ZTM9,xtpcse,30
2016,V1ZTM9,regress,18
2018,PNSUTT,ivreg2,16
2015,38YU1I,regress,14
2017,YBGFMC,ivprobit,14
2014,26654,regress,12
2018,8VF8RV,regress,12
2018,8VF8RV,tobit,12
2017,YBGFMC,probit,12
2019,B52BHA,probit,11
2018,XEM5WL,areg,10
2015,38YU1I,xtmixed,8
2013,YZ388M,cnsreg,7
2016,TBOMYN,bootstrap:regress,7
2018,8VF8RV,ivregress,6
2019,8JY1NZ,ivregress,6
2017,MIVVAP,regress,6
2016,IC96GT,oprobit,4
2016,IC96GT,gologit2,4
2016,IC96GT,probit,4
2016,IC96GT,regress,4
2017,YBGFMC,tobit,4
2017,XB9ACC,regress,4
2017,XB9ACC,xtreg,4
2017,VQTMSZ,regress,3
2015,38YU1I,rreg,2
2015,38YU1I,qreg,2
2015,26723,regress,2
2015,VTFJLM,heckman,2
2015,VTFJLM,regress,2
2018,XEM5WL,regress,2
2019,Y1JHHV,psmatch2,2
2017,YBGFMC,ologit,2
2017,YBGFMC,ivtobit,2
2017,ZY9H1B,xtreg,2
2014,27756,regress,1
2015,26723,xtreg,1
2018,NI2UIV,probit,1
2018,NI2UIV,psmatch2,1
2018,PNSUTT,ivregress,1
2013,YZ388M,regress,1
2016,TBOMYN,regress,1
2017,DIXWZP,regress,1
2017,ZY9H1B,xtpcse,1
