title,href,date
Replication data for: Managing Intrastate Low-Intensity Armed Conflict 1993-2004: A New Dataset,/dataset.xhtml?persistentId=doi:10.7910/DVN/8VH4GA,"Feb 15, 2010"
Does Globalization Profit the Small Arms Bazaar?,/dataset.xhtml?persistentId=doi:10.7910/DVN/HQ7QDM,"Feb 15, 2010"
Empirical Studies in International Mediation,/dataset.xhtml?persistentId=doi:10.7910/DVN/LFUAI7,"Feb 15, 2010"
Time to Go? Duration Dependence in Forced Migration,/dataset.xhtml?persistentId=doi:10.7910/DVN/3IOJBC,"Feb 15, 2010"
"The Liberal Peace Revisited: The Role of Democracy, Dependence, and Development in Militarized Interstate Dispute Initiation, 1950-1999",/dataset.xhtml?persistentId=doi:10.7910/DVN/ZRJ95M,"Feb 15, 2010"
"Geographic Opportunity and Neomalthusian Willingness: Boundaries, Shared Rivers, and Conflict",/dataset.xhtml?persistentId=doi:10.7910/DVN/NUGU4U,"Feb 15, 2010"
Rethinking Models of Civil War Settlement,/dataset.xhtml?persistentId=doi:10.7910/DVN/IGNWOM,"Feb 15, 2010"
"Plus ccedila change, … : The Allocation of French ODA to Africa During and After the Cold War",/dataset.xhtml?persistentId=doi:10.7910/DVN/WFL29B,"Feb 15, 2010"
"Federal Institutions and Multinational Investors: Federalism, Government Credibility, and Foreign Direct Investment",/dataset.xhtml?persistentId=doi:10.7910/DVN/BDCKIW,"Feb 14, 2010"
"Location, Location, Location…Identifying Hot spots of International Conflict",/dataset.xhtml?persistentId=doi:10.7910/DVN/WF4KVD,"Feb 11, 2010"
Alliance Institutionalization and Alliance Performance,/dataset.xhtml?persistentId=doi:10.7910/DVN/QMO1ND,"Feb 11, 2010"
Winning the Bid: Analyzing the International Olympic Committee's Host City Selections,/dataset.xhtml?persistentId=doi:10.7910/DVN/Q41ILE,"Feb 8, 2010"
War Initiation in a Changing World,/dataset.xhtml?persistentId=doi:10.7910/DVN/FZET5K,"Feb 8, 2010"
"Repression, Grievances, Mobilization, and Rebellion: A New Test of Gurr's Model of Ethnopolitical Rebellion",/dataset.xhtml?persistentId=doi:10.7910/DVN/KVZ2QI,"Feb 8, 2010"
Southern Democracy in the Long Run: A Systemic Analysis,/dataset.xhtml?persistentId=doi:10.7910/DVN/IJLB4R,"Feb 8, 2010"
In Search of Structure: The Nonlinear Dynamics of Power Transitions,/dataset.xhtml?persistentId=doi:10.7910/DVN/ZUCUPI,"Feb 8, 2010"
Deciding to Intervene: An Analysis of International and Domestic Influences on United States Interventions in Intrastate Disputes,/dataset.xhtml?persistentId=doi:10.7910/DVN/IADDS9,"Feb 8, 2010"
The Effects of Majority State Ownership of Significant Economic Sectors on Corruption: A Cross-Regional Comparison,/dataset.xhtml?persistentId=doi:10.7910/DVN/JKLNFT,"Feb 8, 2010"
"Arab Muslim Attitudes Toward the West: Cultural, Social, and Political Explanations",/dataset.xhtml?persistentId=doi:10.7910/DVN/L4L5X6,"Feb 8, 2010"
Mediating Civil War Settlements and the Duration of Peace,/dataset.xhtml?persistentId=doi:10.7910/DVN/NW6W9Q,"Feb 8, 2010"
Who Liberalizes? Explaining Preferential Trade Liberalization,/dataset.xhtml?persistentId=doi:10.7910/DVN/AR7NSR,"Feb 8, 2010"
The Politics of Foreign Direct Investment: An Interactive Framework,/dataset.xhtml?persistentId=doi:10.7910/DVN/Y3BHVZ,"Feb 8, 2010"
Prior Commitments: Compatible Interests versus Capabilities in Alliance Behavior,/dataset.xhtml?persistentId=doi:10.7910/DVN/RIOJTE,"Feb 8, 2010"
What's Stopping You?: The Sources of Political Constraints on International Conflict Behavior in Parliamentary Democracies,/dataset.xhtml?persistentId=doi:10.7910/DVN/FYSCAI,"Feb 8, 2010"
"Subscribed Content Human Rights and Trade: Beyond the ""Spotlight""",/dataset.xhtml?persistentId=doi:10.7910/DVN/LHLWDE,"Feb 8, 2010"
