title,href,date,filename,file_href
Replication data for: Managing Intrastate Low-Intensity Armed Conflict 1993-2004: A New Dataset,/dataset.xhtml?persistentId=doi:10.7910/DVN/8VH4GA,"Feb 15, 2010",MILC_DATASET_VERSION 1.0_PUBLIK_1 okt 07.zip,/file.xhtml?persistentId=doi:10.7910/DVN/8VH4GA/VMBCQO&version=1.0
Does Globalization Profit the Small Arms Bazaar?,/dataset.xhtml?persistentId=doi:10.7910/DVN/HQ7QDM,"Feb 15, 2010",De Soysa.zip,/file.xhtml?persistentId=doi:10.7910/DVN/HQ7QDM/FRJXEB&version=1.0
Empirical Studies in International Mediation,/dataset.xhtml?persistentId=doi:10.7910/DVN/LFUAI7,"Feb 15, 2010",1999 Bercovitch Dataset.zip,/file.xhtml?persistentId=doi:10.7910/DVN/LFUAI7/DHRXYX&version=1.0
Time to Go? Duration Dependence in Forced Migration,/dataset.xhtml?persistentId=doi:10.7910/DVN/3IOJBC,"Feb 15, 2010",melander Oberg.zip,/file.xhtml?persistentId=doi:10.7910/DVN/3IOJBC/OBQY6Y&version=1.0
"The Liberal Peace Revisited: The Role of Democracy, Dependence, and Development in Militarized Interstate Dispute Initiation, 1950-1999",/dataset.xhtml?persistentId=doi:10.7910/DVN/ZRJ95M,"Feb 15, 2010",Souva Prins.zip,/file.xhtml?persistentId=doi:10.7910/DVN/ZRJ95M/24VDNB&version=1.0
"Geographic Opportunity and Neomalthusian Willingness: Boundaries, Shared Rivers, and Conflict",/dataset.xhtml?persistentId=doi:10.7910/DVN/NUGU4U,"Feb 15, 2010",Furlong Gleditsch Hegre.zip,/file.xhtml?persistentId=doi:10.7910/DVN/NUGU4U/46D3NR&version=1.0
Rethinking Models of Civil War Settlement,/dataset.xhtml?persistentId=doi:10.7910/DVN/IGNWOM,"Feb 15, 2010",revised isa 2003a.zip,/file.xhtml?persistentId=doi:10.7910/DVN/IGNWOM/IMZIO9&version=1.0
"Plus ccedila change, … : The Allocation of French ODA to Africa During and After the Cold War",/dataset.xhtml?persistentId=doi:10.7910/DVN/WFL29B,"Feb 15, 2010",Simon Quinn.xlsx,/file.xhtml?persistentId=doi:10.7910/DVN/WFL29B/WHIY3X&version=1.0
"Federal Institutions and Multinational Investors: Federalism, Government Credibility, and Foreign Direct Investment",/dataset.xhtml?persistentId=doi:10.7910/DVN/BDCKIW,"Feb 14, 2010",JensenReplication.zip,/file.xhtml?persistentId=doi:10.7910/DVN/BDCKIW/ENLOGE&version=1.0
"Location, Location, Location…Identifying Hot spots of International Conflict",/dataset.xhtml?persistentId=doi:10.7910/DVN/WF4KVD,"Feb 11, 2010",Braith_II2005_data.xls,/file.xhtml?persistentId=doi:10.7910/DVN/WF4KVD/5Y215N&version=1.0
Alliance Institutionalization and Alliance Performance,/dataset.xhtml?persistentId=doi:10.7910/DVN/QMO1ND,"Feb 11, 2010",ATOPinst.zip,/file.xhtml?persistentId=doi:10.7910/DVN/QMO1ND/AFL236&version=1.0
Alliance Institutionalization and Alliance Performance,/dataset.xhtml?persistentId=doi:10.7910/DVN/QMO1ND,"Feb 11, 2010",LeedsAnac2005.zip,/file.xhtml?persistentId=doi:10.7910/DVN/QMO1ND/ONRNO1&version=1.0
Winning the Bid: Analyzing the International Olympic Committee's Host City Selections,/dataset.xhtml?persistentId=doi:10.7910/DVN/Q41ILE,"Feb 8, 2010",poast_ii_2007_ioc_-_replication_packet_1.zip,/file.xhtml?persistentId=doi:10.7910/DVN/Q41ILE/LYAQ3L&version=1.0
War Initiation in a Changing World,/dataset.xhtml?persistentId=doi:10.7910/DVN/FZET5K,"Feb 8, 2010",Alsharabati Kugler.rar,/file.xhtml?persistentId=doi:10.7910/DVN/FZET5K/LESLD0&version=1.0
"Repression, Grievances, Mobilization, and Rebellion: A New Test of Gurr's Model of Ethnopolitical Rebellion",/dataset.xhtml?persistentId=doi:10.7910/DVN/KVZ2QI,"Feb 8, 2010",WSYdata.zip,/file.xhtml?persistentId=doi:10.7910/DVN/KVZ2QI/AF0CXJ&version=1.0
Southern Democracy in the Long Run: A Systemic Analysis,/dataset.xhtml?persistentId=doi:10.7910/DVN/IJLB4R,"Feb 8, 2010",reuveny thompson.zip,/file.xhtml?persistentId=doi:10.7910/DVN/IJLB4R/W2Q0L2&version=1.0
In Search of Structure: The Nonlinear Dynamics of Power Transitions,/dataset.xhtml?persistentId=doi:10.7910/DVN/ZUCUPI,"Feb 8, 2010",II AK.rar,/file.xhtml?persistentId=doi:10.7910/DVN/ZUCUPI/CB3YGE&version=1.0
