year,dataset,command,count
2017,ZWOOHV,local,1227
2018,MKKIL2,replace,528
2018,Z4GACS,matrix,525
2018,CTWLJA,local,461
2016,XTO8SK,local,461
2018,CTWLJA,summarize,293
2016,XTO8SK,summarize,293
2018,CTWLJA,generate,264
2016,XTO8SK,generate,264
2018,DCYDHS,replace,219
2018,WW8FEY,generate,213
2015,29293,logit,206
2017,HEOFUS,generate,205
2012,Q4RHOP,generate,196
2018,VPK7BX,xtreg,186
2018,VPK7BX,estimates:store,178
2017,EMTSV8,generate,175
2012,0KHVQZ,replace,172
2018,UE44I9,probit,170
2015,29290,simqi,168
2018,Z4GACS,regress,165
2018,Z4GACS,foreach,165
2018,Z4GACS,lincom,165
2017,ZWOOHV,xi,160
2019,HQ2ZKH,matrix,158
2018,UE44I9,outreg2,152
2013,JN1VBB,summarize,150
2013,D9VAFL,replace,148
2019,BJX91O,replace,125
2018,O3KPOQ,label,114
2015,29290,setx,112
2018,RK0HIF,matrix,112
2017,EMTSV8,estadd,112
2016,YDCL7Z,setx,110
2017,WDXEXO,oprobit,110
2016,SR5KBE,generate,105
2018,CTWLJA,display,102
2016,XTO8SK,display,102
2018,IRKZUZ,streg,100
2017,HEOFUS,replace,93
2018,GBNGDF,logit,92
2015,29289,replace,90
2018,T8UFYI,test,90
2014,25769,logit,89
2018,MKKIL2,logit,84
2018,RAV9OA,regress,84
2019,QIFE4H,estimates:store,81
2010,LNIGQY,generate,80
2012,Q4RHOP,scalar,80
2015,29291,xtreg,78
2018,T73AGU,replace,78
2019,QIFE4H,generate,77
2013,WKI9Z1,arima,76
2012,UQKOHY,stcox,75
2015,29531,generate,74
2018,5WUKVH,setx,74
2017,EMTSV8,unique,74
2015,29531,probit,72
2018,FOWP6Q,estimates:store,72
2016,SR5KBE,scalar,70
2014,25831,local,69
2018,UCO1ZT,estimates:store,69
2016,TFRJOU,scalar,67
2010,LNIGQY,replace,66
2018,FOWP6Q,xtpcse,66
2018,CTWLJA,logit,66
2013,23094,drop,66
2016,XTO8SK,logit,66
2014,25831,matrix,65
2018,CTWLJA,estimates:store,64
2016,XTO8SK,estimates:store,64
2018,UCO1ZT,nbreg,63
2018,CTWLJA,gr_edit,63
2018,5WUKVH,logit,63
2018,5WUKVH,simqi,63
2016,XTO8SK,gr_edit,63
2018,SJN8ZE,xtivreg2,62
2016,I2BUGZ,label,62
2016,YLTERL,summarize,61
2015,29293,drop,60
2018,8ZFFWE,graph,60
2011,WHLV6J,tabulate,59
2012,0KHVQZ,generate,59
2016,TFRJOU,xtscc,59
2016,I2BUGZ,replace,59
2015,29335,setx,58
2015,29335,simqi,58
2018,FOWP6Q,label,58
2018,VPK7BX,generate,58
2013,TV9OP6,simqi,57
2019,QIFE4H,estimates:table,57
2015,29293,outreg2,56
2018,RK0HIF,irf,56
2018,OQPGPZ,outreg2,56
2017,EMTSV8,scalar,55
2019,BJX91O,destring,54
2016,PT1Q5I,xtunitroot,54
2013,WQVVDV,generate,53
2016,TFRJOU,generate,53
2016,SR5KBE,replace,53
2017,ERJSIE,xtgee,53
2014,25576,outreg2,52
2018,FOWP6Q,set,52
2018,CTWLJA,egen,52
2018,CTWLJA,_pctile,52
2013,C7OPJH,setx,52
2016,XTO8SK,egen,52
2016,XTO8SK,_pctile,52
2016,TFRJOU,summarize,52
2017,EMTSV8,replace,52
2018,QOISN3,xtscc,51
2018,Z4GACS,graph,51
2018,CTWLJA,post,51
2016,XTO8SK,post,51
2018,CTWLJA,drop,50
2018,OQPGPZ,probit,50
2017,HMPWIH,display,50
2018,KJVJUW,eststo,49
2013,WKI9Z1,irf,49
2015,29293,lroc,48
2015,29293,predict,48
2018,VPK7BX,xtset,48
2018,OQPGPZ,estimates:stats,48
2018,TISGBQ,logit,48
2018,TISGBQ,outreg2,48
2019,QIFE4H,treatreg,48
2016,BELVAD,estimates:store,48
2016,YLTERL,xtreg,48
2015,29531,setx,47
2018,FOWP6Q,drop,47
2018,CTWLJA,use,47
2016,XTO8SK,use,47
2016,I2BUGZ,generate,47
2015,29289,generate,46
2018,HHWFBA,logit,46
2011,WHLV6J,simqi,46
2016,XTO8SK,drop,46
2018,0I3LBI,local,45
2018,85BB3C,generate,45
2018,Z4GACS,generate,45
2013,ZJB8W4,generate,45
2012,HSLZCJ,ivreg2,44
2016,SR5KBE,label,44
2016,YLTERL,logit,44
2018,FOWP6Q,foreach,43
2011,WHLV6J,generate,43
2019,HQ2ZKH,local,43
2017,MEPAHF,margins,43
2018,GE7RTH,local,42
2018,UE44I9,generate,42
2018,QOISN3,xtabond2,42
2018,XI4YKD,cmp,42
2018,FOWP6Q,generate,42
2018,GBNGDF,foreach,42
2015,29289,label,41
2018,WW8FEY,replace,41
2016,I2BUGZ,xtreg,41
2018,MKKIL2,predict,40
2018,MKKIL2,drop,40
2018,UE44I9,scalar,40
2018,WW8FEY,predict,40
2018,OQPGPZ,replace,40
2012,HSLZCJ,outreg2,40
2017,EMTSV8,matrix,40
2017,ZWOOHV,generate,40
2018,DCYDHS,eststo,39
2018,0I3LBI,parmest,39
2018,UCO1ZT,scalar,39
2018,T73AGU,generate,39
2018,YKTVMS,stset,39
2018,T8UFYI,tobit,39
2018,5WNUK2,stset,39
2015,29335,estsimp,38
2018,KPKZTM,plot,38
2018,GE7RTH,graph,38
2012,0KHVQZ,probit,38
2017,EMTSV8,set,38
2017,ZWOOHV,global,38
2018,0I3LBI,logit,37
2018,C8FMWZ,dursel,37
2018,VPK7BX,set,37
2018,VPK7BX,scalar,37
2012,0KHVQZ,outreg,37
2016,TFRJOU,xtpcse,37
2015,29529,xtscc,36
2015,29289,ttest,36
2018,WW8FEY,scalar,36
2018,CTWLJA,set,36
2018,VPK7BX,label,36
2018,TISGBQ,setx,36
2013,JN1VBB,relogit,36
2016,XTO8SK,set,36
2016,BELVAD,regress,36
2018,DCYDHS,nbreg,35
2018,MKKIL2,generate,35
2018,T73AGU,graph,35
2018,CTWLJA,label,35
2019,HQ2ZKH,generate,35
2016,XTO8SK,label,35
2016,66RBZS,logit,35
2015,29293,generate,34
2018,FEMVRV,rename,34
2019,HQ2ZKH,display,34
2017,EMTSV8,use,34
2017,EMTSV8,rename,34
2015,29290,generate,33
2018,VPK7BX,estout,33
2018,VPK7BX,nlcom,33
2018,0HST44,regress,33
2018,LNMEXL,stcox,32
2018,SJN8ZE,xtabond2,32
2018,UE44I9,use,32
2018,UE44I9,summarize,32
2018,RK0HIF,set,32
2018,RK0HIF,dfuller,32
2018,RK0HIF,pperron,32
2018,CTWLJA,sort,32
2018,5VVOFN,xtreg,32
2018,OQPGPZ,generate,32
2018,GKYOCZ,replace,32
2012,UCJUKO,label,32
2016,XTO8SK,sort,32
2016,YDCL7Z,generate,32
2014,25831,heckprob,31
2018,WW8FEY,use,31
2018,WW8FEY,set,31
2018,FOWP6Q,use,31
2018,FOWP6Q,esttab,31
2013,UIHGSJ,zinb,31
2012,FNSYRB,regress,31
2014,25831,estimates:store,30
2010,LNIGQY,drop,30
2018,Z4GACS,list,30
2018,Z4GACS,label,30
2018,WW8FEY,probit,30
2018,VPK7BX,use,30
2018,VPK7BX,testparm,30
2018,VPK7BX,gr_edit,30
2018,OQPGPZ,lincom,30
2018,TISGBQ,simqi,30
2015,29539,logit,29
2018,FOWP6Q,tsset,29
2018,FOWP6Q,graph,29
2018,YKTVMS,stcox,29
2018,5WNUK2,stcox,29
2013,BEEQAV,logit,29
2012,0IFEFS,nbreg,29
2016,LOZBTA,xtpcse,29
2016,SR5KBE,graph,29
2016,66RBZS,display,29
2017,EMTSV8,estat,29
2017,WDXEXO,esttab,29
2015,29531,simqi,28
2018,OJNZEY,oneway,28
2018,C8FMWZ,generate,28
2018,RK0HIF,svar,28
2018,5ZYTII,oneway,28
2018,LFZ33L,outreg2,28
2019,QIFE4H,regress,28
2012,UQKOHY,outreg2,28
2012,Q4RHOP,regress,28
2017,ZWOOHV,use,28
2014,25831,probit,27
2015,29539,setx,27
2018,QOISN3,generate,27
2018,NSWGCR,ologit,27
2018,GKYOCZ,generate,27
2018,HHWFBA,setx,27
2013,TRBONG,xtreg,27
2016,LOZBTA,xtgls,27
2017,EMTSV8,drop,27
2017,WDXEXO,eststo,27
2017,WDXEXO,drop,27
2014,25831,foreach,26
2010,ZBI7C9,setx,26
2010,ZBI7C9,simqi,26
2015,29336,logit,26
2018,0I3LBI,drop,26
2018,UVTZZV,xtnbreg,26
2018,NSWGCR,estimates:store,26
2018,NSWGCR,setx,26
2018,CTWLJA,drawnorm,26
2013,C7OPJH,estsimp,26
2013,C7OPJH,simqi,26
2013,23094,test,26
2012,Q4RHOP,egen,26
2016,XTO8SK,drawnorm,26
2016,66RBZS,estimates:store,26
2017,EMTSV8,tabulate,26
2017,EMTSV8,xttobit,26
2014,25831,scalar,25
2018,7JKLBO,prtest,25
2018,T73AGU,twoway,25
2018,GBNGDF,global,25
2018,FEMVRV,label,25
2013,KQWP8T,label,25
2012,OP5PHF,scalar,25
2017,WDXEXO,gologit2,25
2015,29293,roccomp,24
2015,29531,summarize,24
2018,YUMXFF,xtabond2,24
2018,LNMEXL,drop,24
2018,LNMEXL,estat,24
2018,QOISN3,estimates:sto,24
2018,EJEKTY,newey,24
2018,8ZFFWE,margins,24
2018,8ZFFWE,marginsplot,24
2018,OFOYCZ,estat,24
2018,OQPGPZ,predict,24
2018,NGXNSK,newey,24
2011,WHLV6J,logit,24
2013,C7OPJH,drop,24
2013,WQVVDV,streg,24
2013,23094,setx,24
2013,23094,simqi,24
2013,G1HIKX,mfx,24
2012,0IFEFS,generate,24
2017,WDXEXO,generate,24
2015,29292,generate,23
2018,R9MMAT,xtgee,23
2011,WHLV6J,setx,23
2012,Q4RHOP,replace,23
2016,TFRJOU,replace,23
2016,YDCL7Z,simqi,23
2016,SR5KBE,local,23
2017,ERJSIE,margins,23
2010,LNIGQY,logit,22
2018,0I3LBI,label,22
2018,UVTZZV,set,22
2018,T73AGU,egen,22
2018,WW8FEY,clear,22
2018,HHWFBA,simqi,22
2011,WHLV6J,drop,22
2013,23094,outreg2,22
2013,D9VAFL,generate,22
2012,Q4RHOP,more,22
2016,YLTERL,xtlogit,22
2017,ZWOOHV,logit,22
2015,29531,drop,21
2015,29536,probit,21
2018,APDIE6,spreg,21
2018,R9MMAT,margins,21
2018,0I3LBI,generate,21
2018,OFOYCZ,xtreg,21
2018,HHWFBA,set,21
2012,HSLZCJ,label,21
2016,I2BUGZ,graph,21
2017,EMTSV8,tsset,21
2017,ZWOOHV,margins,21
2010,LNIGQY,local,20
2015,29293,cpr,20
2015,29537,prvalue,20
2015,29536,generate,20
2018,7JKLBO,replace,20
2018,O3KPOQ,generate,20
2018,MKKIL2,xtile,20
2018,MKKIL2,forvalues,20
2018,MKKIL2,roctab,20
2018,UE44I9,replace,20
2018,GBNGDF,xtset,20
2018,GKYOCZ,drop,20
2018,GKYOCZ,xtlogit,20
2018,0HST44,global,20
2011,WHLV6J,summarize,20
2013,23095,estimates:store,20
2019,HQ2ZKH,global,20
2012,HSLZCJ,xtile,20
2012,HSLZCJ,tabulate,20
2012,HSLZCJ,oprobit,20
2012,HSLZCJ,predict,20
2012,HSLZCJ,ivhettest,20
2012,HSLZCJ,ivendog,20
2012,Q4RHOP,matrix,20
2016,RYLICX,regress,20
