title,href,date
Colonial legacy and foreign aid: Decomposing the colonial bias,/dataset.xhtml?persistentId=doi:10.7910/DVN/PAHRCK,"Mar 19, 2019"
The Rise of the Islamic State and Changing Patterns of Cooperation in the Middle East,/dataset.xhtml?persistentId=doi:10.7910/DVN/64PBG7,"Mar 8, 2019"
UN Troop Deployment and Preventing Violence Against Civilians in Darfur,/dataset.xhtml?persistentId=doi:10.7910/DVN/2YFNRD,"Mar 8, 2019"
The Catalytic Effect of IMF Lending: Evidence from Sectoral FDI Data,/dataset.xhtml?persistentId=doi:10.7910/DVN/QIFE4H,"Mar 8, 2019"
Translating CAMEO Verbs for Automated Coding of Event Data,/dataset.xhtml?persistentId=doi:10.7910/DVN/EAL0CY,"Mar 8, 2019"
Treatment Format and External Validity in International Relations Experiments,/dataset.xhtml?persistentId=doi:10.7910/DVN/CXMSA0,"Mar 8, 2019"
The political economy of labor market deregulation during IMF interventions,/dataset.xhtml?persistentId=doi:10.7910/DVN/HQ2ZKH,"Mar 8, 2019"
"Foreign Terrorist Organization Designation, International Cooperation, and Terrorism",/dataset.xhtml?persistentId=doi:10.7910/DVN/TWFHVL,"Mar 8, 2019"
Civilian Self-Defense Militias in Civil War 	,/dataset.xhtml?persistentId=doi:10.7910/DVN/BJX91O,"Mar 8, 2019"
Replication Data for: The Dollar and the Demand for Protection,/dataset.xhtml?persistentId=doi:10.7910/DVN/85ZEPY,"Oct 28, 2018"
Replication Data for: Civil War Mediation and Integration into Global Value Chains,/dataset.xhtml?persistentId=doi:10.7910/DVN/TMB5YV,"Sep 30, 2018"
Replication Data for: Explaining the Number of Rebel Groups in Civil Wars,/dataset.xhtml?persistentId=doi:10.7910/DVN/OYORNJ,"Sep 28, 2018"
Replication Data for: Nowhere to Go: Why do Some Civil Wars Generate More Refugees than Others?,/dataset.xhtml?persistentId=doi:10.7910/DVN/UVTZZV,"Sep 28, 2018"
Replication Data for: `The War Will Come to Your Street': Explaining Geographic Variation in Terrorism by Rebel Groups,/dataset.xhtml?persistentId=doi:10.7910/DVN/DCYDHS,"Sep 21, 2018"
Replication Data for: Introducing the African Relational Pro-Government Militia (PGM) Dataset,/dataset.xhtml?persistentId=doi:10.7910/DVN/AWPDFW,"Sep 21, 2018"
"Replication Data for: Economics, Security, and Individual-level Preferences for Trade Agreements",/dataset.xhtml?persistentId=doi:10.7910/DVN/0HST44,"Sep 20, 2018"
Replication Data for: Security-Civil Liberties Trade-offs: International Cooperation in Extraordinary Rendition,/dataset.xhtml?persistentId=doi:10.7910/DVN/RTB67K,"Sep 15, 2018"
"Replication Data for: Food, State Power, and Rebellion: The Case of Maize",/dataset.xhtml?persistentId=doi:10.7910/DVN/N9TTIA,"Sep 15, 2018"
"Replication Data for: “Any Press is Good Press?”: Rebel Political Wings, Media Freedom, and Terrorism in Civil Wars",/dataset.xhtml?persistentId=doi:10.7910/DVN/E1UVAW,"Sep 15, 2018"
Replication Data for: The Psychological Effects of State Socialization: IGO Membership Loss and Respect for Human Rights,/dataset.xhtml?persistentId=doi:10.7910/DVN/G76EDS,"Sep 15, 2018"
 Age Structure and Political Violence: A Re-Assessment of the ‘Youth Bulge’ Hypothesis,/dataset.xhtml?persistentId=doi:10.7910/DVN/2LY2WB,"Sep 15, 2018"
