title,href,date,filename,file_href
Colonial legacy and foreign aid: Decomposing the colonial bias,/dataset.xhtml?persistentId=doi:10.7910/DVN/PAHRCK,"Mar 19, 2019",0_master.R,/file.xhtml?persistentId=doi:10.7910/DVN/PAHRCK/LPWFWY&version=1.0
Colonial legacy and foreign aid: Decomposing the colonial bias,/dataset.xhtml?persistentId=doi:10.7910/DVN/PAHRCK,"Mar 19, 2019",10_FigureA7-A10b_spec2.R,/file.xhtml?persistentId=doi:10.7910/DVN/PAHRCK/2EJ8OK&version=1.0
Colonial legacy and foreign aid: Decomposing the colonial bias,/dataset.xhtml?persistentId=doi:10.7910/DVN/PAHRCK,"Mar 19, 2019",11_descriptive.R,/file.xhtml?persistentId=doi:10.7910/DVN/PAHRCK/VI2JV6&version=1.0
Colonial legacy and foreign aid: Decomposing the colonial bias,/dataset.xhtml?persistentId=doi:10.7910/DVN/PAHRCK,"Mar 19, 2019",1_SimulatedData.R,/file.xhtml?persistentId=doi:10.7910/DVN/PAHRCK/FMAETC&version=1.0
Colonial legacy and foreign aid: Decomposing the colonial bias,/dataset.xhtml?persistentId=doi:10.7910/DVN/PAHRCK,"Mar 19, 2019",2_Table2a-withoutC.R,/file.xhtml?persistentId=doi:10.7910/DVN/PAHRCK/26YLPY&version=1.0
Colonial legacy and foreign aid: Decomposing the colonial bias,/dataset.xhtml?persistentId=doi:10.7910/DVN/PAHRCK,"Mar 19, 2019",3_Table2b-withC.R,/file.xhtml?persistentId=doi:10.7910/DVN/PAHRCK/PR4UQL&version=1.0
Colonial legacy and foreign aid: Decomposing the colonial bias,/dataset.xhtml?persistentId=doi:10.7910/DVN/PAHRCK,"Mar 19, 2019",4_TableA3a-withoutC.R,/file.xhtml?persistentId=doi:10.7910/DVN/PAHRCK/DGXEFZ&version=1.0
Colonial legacy and foreign aid: Decomposing the colonial bias,/dataset.xhtml?persistentId=doi:10.7910/DVN/PAHRCK,"Mar 19, 2019",5_TableA3b-withC.R,/file.xhtml?persistentId=doi:10.7910/DVN/PAHRCK/I1MIUR&version=1.0
Colonial legacy and foreign aid: Decomposing the colonial bias,/dataset.xhtml?persistentId=doi:10.7910/DVN/PAHRCK,"Mar 19, 2019",6_FigureA4-A5_nevercolonized.R,/file.xhtml?persistentId=doi:10.7910/DVN/PAHRCK/Z0THKU&version=1.0
Colonial legacy and foreign aid: Decomposing the colonial bias,/dataset.xhtml?persistentId=doi:10.7910/DVN/PAHRCK,"Mar 19, 2019",7_TableA4a_nonlogged.R,/file.xhtml?persistentId=doi:10.7910/DVN/PAHRCK/3IVHFI&version=1.0
The Rise of the Islamic State and Changing Patterns of Cooperation in the Middle East,/dataset.xhtml?persistentId=doi:10.7910/DVN/64PBG7,"Mar 8, 2019",1 - Run GBME analysis.R,/file.xhtml?persistentId=doi:10.7910/DVN/64PBG7/CK4KY0&version=1.0
The Rise of the Islamic State and Changing Patterns of Cooperation in the Middle East,/dataset.xhtml?persistentId=doi:10.7910/DVN/64PBG7,"Mar 8, 2019",2 - Latent Space Plots plus Normalized Distance.R,/file.xhtml?persistentId=doi:10.7910/DVN/64PBG7/V5UKJQ&version=1.0
The Rise of the Islamic State and Changing Patterns of Cooperation in the Middle East,/dataset.xhtml?persistentId=doi:10.7910/DVN/64PBG7,"Mar 8, 2019",3 - Change Figures.R,/file.xhtml?persistentId=doi:10.7910/DVN/64PBG7/UNPPQU&version=1.0
The Rise of the Islamic State and Changing Patterns of Cooperation in the Middle East,/dataset.xhtml?persistentId=doi:10.7910/DVN/64PBG7,"Mar 8, 2019",4 - regression.R,/file.xhtml?persistentId=doi:10.7910/DVN/64PBG7/YUHOE1&version=1.0
The Rise of the Islamic State and Changing Patterns of Cooperation in the Middle East,/dataset.xhtml?persistentId=doi:10.7910/DVN/64PBG7,"Mar 8, 2019",A-Af-Sim,/file.xhtml?persistentId=doi:10.7910/DVN/64PBG7/332T2W&version=1.0
The Rise of the Islamic State and Changing Patterns of Cooperation in the Middle East,/dataset.xhtml?persistentId=doi:10.7910/DVN/64PBG7,"Mar 8, 2019",A-Be-Sim,/file.xhtml?persistentId=doi:10.7910/DVN/64PBG7/EEC35X&version=1.0
The Rise of the Islamic State and Changing Patterns of Cooperation in the Middle East,/dataset.xhtml?persistentId=doi:10.7910/DVN/64PBG7,"Mar 8, 2019",after.tab,/file.xhtml?persistentId=doi:10.7910/DVN/64PBG7/VKWJVF&version=1.0
The Rise of the Islamic State and Changing Patterns of Cooperation in the Middle East,/dataset.xhtml?persistentId=doi:10.7910/DVN/64PBG7,"Mar 8, 2019",baseline-eigen.R,/file.xhtml?persistentId=doi:10.7910/DVN/64PBG7/E2DMQR&version=1.0
The Rise of the Islamic State and Changing Patterns of Cooperation in the Middle East,/dataset.xhtml?persistentId=doi:10.7910/DVN/64PBG7,"Mar 8, 2019",before.tab,/file.xhtml?persistentId=doi:10.7910/DVN/64PBG7/AIVX2U&version=1.0
The Rise of the Islamic State and Changing Patterns of Cooperation in the Middle East,/dataset.xhtml?persistentId=doi:10.7910/DVN/64PBG7,"Mar 8, 2019",coopDV.tab,/file.xhtml?persistentId=doi:10.7910/DVN/64PBG7/BY5J2T&version=1.0
UN Troop Deployment and Preventing Violence Against Civilians in Darfur,/dataset.xhtml?persistentId=doi:10.7910/DVN/2YFNRD,"Mar 8, 2019",final_darfur_dataset.csv,/file.xhtml?persistentId=doi:10.7910/DVN/2YFNRD/3A2O6H&version=1.0
UN Troop Deployment and Preventing Violence Against Civilians in Darfur,/dataset.xhtml?persistentId=doi:10.7910/DVN/2YFNRD,"Mar 8, 2019",unamid_analysis_final_script_2.1.2019.txt,/file.xhtml?persistentId=doi:10.7910/DVN/2YFNRD/BHR3Z5&version=1.0
The Catalytic Effect of IMF Lending: Evidence from Sectoral FDI Data,/dataset.xhtml?persistentId=doi:10.7910/DVN/QIFE4H,"Mar 8, 2019",II_IMF Secotral FDI_Data Stata 13 format.tab,/file.xhtml?persistentId=doi:10.7910/DVN/QIFE4H/QPNREG&version=1.0
The Catalytic Effect of IMF Lending: Evidence from Sectoral FDI Data,/dataset.xhtml?persistentId=doi:10.7910/DVN/QIFE4H,"Mar 8, 2019",II_IMF Secotral FDI_do file.do,/file.xhtml?persistentId=doi:10.7910/DVN/QIFE4H/SCNXNL&version=1.0
