year,dataset,command,count
2015,29293,logit,206
2018,VPK7BX,xtreg,186
2018,UE44I9,probit,170
2018,Z4GACS,regress,165
2017,WDXEXO,oprobit,110
2018,IRKZUZ,streg,100
2018,GBNGDF,logit,92
2014,25769,logit,89
2018,MKKIL2,logit,84
2018,RAV9OA,regress,84
2015,29291,xtreg,78
2013,WKI9Z1,arima,76
2012,UQKOHY,stcox,75
2015,29531,probit,72
2018,FOWP6Q,xtpcse,66
2018,CTWLJA,logit,66
2016,XTO8SK,logit,66
2018,UCO1ZT,nbreg,63
2018,5WUKVH,logit,63
2018,SJN8ZE,xtivreg2,62
2017,ERJSIE,xtgee,53
2018,OQPGPZ,probit,50
2018,TISGBQ,logit,48
2016,YLTERL,xtreg,48
2018,HHWFBA,logit,46
2012,HSLZCJ,ivreg2,44
2016,YLTERL,logit,44
2018,QOISN3,xtabond2,42
2018,XI4YKD,cmp,42
2016,I2BUGZ,xtreg,41
2018,T8UFYI,tobit,39
2015,29335,estsimp,38
2012,0KHVQZ,probit,38
2018,0I3LBI,logit,37
2012,0KHVQZ,outreg,37
2016,TFRJOU,xtpcse,37
2013,JN1VBB,relogit,36
2016,BELVAD,regress,36
2018,DCYDHS,nbreg,35
2016,66RBZS,logit,35
2018,0HST44,regress,33
2018,LNMEXL,stcox,32
2018,SJN8ZE,xtabond2,32
2018,5VVOFN,xtreg,32
2014,25831,heckprob,31
2013,UIHGSJ,zinb,31
2012,FNSYRB,regress,31
2018,WW8FEY,probit,30
2015,29539,logit,29
2018,YKTVMS,stcox,29
2018,5WNUK2,stcox,29
2013,BEEQAV,logit,29
2012,0IFEFS,nbreg,29
2016,LOZBTA,xtpcse,29
2018,RK0HIF,svar,28
2019,QIFE4H,regress,28
2012,Q4RHOP,regress,28
2014,25831,probit,27
2018,NSWGCR,ologit,27
2013,TRBONG,xtreg,27
2016,LOZBTA,xtgls,27
2015,29336,logit,26
2018,UVTZZV,xtnbreg,26
2013,C7OPJH,estsimp,26
2017,EMTSV8,xttobit,26
2017,WDXEXO,gologit2,25
2018,YUMXFF,xtabond2,24
2018,EJEKTY,newey,24
2018,NGXNSK,newey,24
2011,WHLV6J,logit,24
2013,WQVVDV,streg,24
2018,R9MMAT,xtgee,23
2010,LNIGQY,logit,22
2016,YLTERL,xtlogit,22
2017,ZWOOHV,logit,22
2015,29536,probit,21
2018,APDIE6,spreg,21
2018,OFOYCZ,xtreg,21
2018,GKYOCZ,xtlogit,20
2012,HSLZCJ,oprobit,20
2016,RYLICX,regress,20
2014,25577,xtreg,19
2018,LFZ33L,tobit,19
2017,IZ1ZCK,xtreg,19
2010,KUUULZ,stcox,18
2015,29333,xtpcse,18
2018,O3KPOQ,regress,18
2018,E1UVAW,nbreg,18
2018,GKYOCZ,xtmelogit,18
2018,KJVJUW,relogit,18
2018,QXCD4U,cmp,18
2013,KQWP8T,logit,18
2011,GD0P0G,streg,17
2013,ZJB8W4,regress,17
2019,HQ2ZKH,xtreg,17
2012,0KHVQZ,biprobit,17
2015,29292,logit,16
2018,V5P0SM,xtgee,16
2011,ABI4XR,probit,16
2013,23095,regress,16
2013,23094,btscs,16
2019,HQ2ZKH,probit,16
2012,GMBFFE,streg,16
2012,UCJUKO,logit,16
2018,C8FMWZ,streg,15
2018,VPK7BX,regress,15
2018,KJVJUW,heckprob,15
2013,ZJB8W4,probit,15
2013,TV9OP6,nbreg,15
2013,EUW3XV,xtreg,15
2013,G1HIKX,nbreg,15
2012,HSLZCJ,xtmixed,15
2018,OJNZEY,regress,14
2018,5ZYTII,regress,14
2018,VPK7BX,probit,14
2018,OYORNJ,poisson,14
2018,K97TFY,streg,14
2013,CRQLIU,logit,14
2017,EPBIDE,zinb,14
2014,25576,xtnbreg,13
2014,25576,zinb,13
2014,25576,xtgee,13
2014,25576,relogit,13
2018,85BB3C,regress,13
2018,GKYOCZ,probit,13
2017,HEOFUS,xtpcse,13
2014,25574,logit,12
2015,29528,stcox,12
2015,29267,probit,12
2018,0I3LBI,xtlogit,12
2018,SJN8ZE,xtreg,12
2018,NKOGN5,logit,12
2018,HHWFBA,logistic,12
2018,PIPV3O,xtreg,12
2011,P1H0IM,xtpcse,12
2013,UIHGSJ,xtnbreg,12
2013,23094,probit,12
2013,23092,probit,12
2012,W7YMZC,probit,12
2012,FIJCKJ,xtpcse,12
2016,BELVAD,ivregress,12
2016,QMLLSF,nbreg,12
2017,EMTSV8,tobit,12
2017,ZWOOHV,regress,12
2015,29534,regress,11
2015,29534,ivreg2,11
2018,FOWP6Q,interflex,11
2018,RXWV0T,xtpcse,11
2018,TSRO60,regress,11
2018,KJVJUW,logit,11
2018,FEMVRV,heckprob,11
2019,TWFHVL,xtregar,11
2016,W9OUV3,regress,11
2016,SR5KBE,xtpcse,11
2014,25574,heckprob,10
2010,LNIGQY,regress,10
2015,29290,logit,10
2015,29331,xtreg,10
2018,KPKZTM,xtreg,10
2018,VPK7BX,reg3,10
2013,SCDCTZ,xtreg,10
2013,23094,biprobit,10
2013,D9VAFL,xtreg,10
2016,RYLICX,logit,10
2016,TFRJOU,xtreg,10
2016,YDCL7Z,oprobit,10
2017,EMTSV8,xtreg,10
2017,HMPWIH,melogit,10
2014,25573,logit,9
2015,29333,tobit,9
2018,ZPWJJH,xtreg,9
2018,NRTKNI,xtgls,9
2011,Z9RJHS,stcox,9
2013,C7OPJH,logit,9
2017,MEPAHF,mlogit,9
2017,MEPAHF,logit,9
2017,WDXEXO,regress,9
2017,ZWOOHV,ologit,9
2017,ZWOOHV,mlogit,9
2015,29341,logit,8
2015,29288,logit,8
2015,29293,ologit,8
2015,29083,nbreg,8
2015,29531,estsimp,8
2015,29340,logit,8
2015,29339,logit,8
2018,UVTZZV,zinb,8
2018,V5P0SM,nbreg,8
2018,RK0HIF,var,8
2018,CTWLJA,xtreg,8
2018,OFOYCZ,ivregress,8
2018,LIYMSO,logit,8
2018,OQPGPZ,relogit,8
2018,WBAK4E,ml,8
2018,PIPV3O,xtabond,8
2013,HWGWG7,ivreg2,8
2013,KQWP8T,newey,8
2012,OP5PHF,probit,8
2016,XTO8SK,xtreg,8
2016,0LKYBK,probit,8
2017,J9OAUX,probit,8
2017,HMPWIH,mixed,8
2014,25769,relogit,7
2018,8ZFFWE,logit,7
2018,FEMVRV,regress,7
2016,0Y8WNA,xtgee,7
2015,29290,estsimp,6
2015,29538,biprobit,6
2018,85BB3C,oprobit,6
2018,SJN8ZE,probit,6
2018,XI4YKD,xtlogit,6
2018,FOWP6Q,xtregar,6
2018,GBNGDF,xtlogit,6
2018,CZGS8E,stcox,6
2018,IRKZUZ,stcox,6
2018,LFZ33L,regress,6
2018,TISGBQ,estsimp,6
2013,UIHGSJ,nbreg,6
2013,WKI9Z1,var,6
2013,WKI9Z1,vargranger,6
2013,CWZJLG,xtpcse,6
2013,T1SHGU,probit,6
2013,T1SHGU,biprobit,6
2019,HQ2ZKH,cmp,6
2017,EMTSV8,regress,6
2014,25773,regress,5
2010,AVHTOB,nbreg,5
2015,29530,logit,5
2015,29538,nbreg,5
2015,29539,xtlogit,5
2015,29539,relogit,5
2018,HHWFBA,estsimp,5
2018,FEMVRV,probit,5
2013,8PKAI0,regress,5
2013,23095,xtpcse,5
2013,TV9OP6,estsimp,5
2012,HSLZCJ,nbreg,5
2012,0KHVQZ,xtlogit,5
2017,LAU3HB,regress,5
2015,29537,logit,4
2015,29538,poisson,4
2015,29538,xtnbreg,4
2015,29086,sureg,4
2015,29336,xtlogit,4
2015,29292,xtlogit,4
2018,YUMXFF,sureg,4
2018,SSCBY5,probit,4
2018,UCO1ZT,logit,4
2018,WW8FEY,btscs,4
2018,GBNGDF,melogit,4
2018,5VVOFN,xtivreg,4
2018,OFOYCZ,xtgls,4
2018,KJVJUW,hetprob,4
2011,Z9RJHS,probit,4
2011,CKTLVF,stcox,4
2013,8PKAI0,stcox,4
2013,23094,estsimp,4
2013,KQWP8T,oprobit,4
2013,G1HIKX,regress,4
2013,23092,regress,4
2019,HQ2ZKH,regress,4
2012,GMBFFE,stcox,4
2016,YDCL7Z,cmp,4
2016,YLTERL,xtgls,4
2010,ZBI7C9,probit,3
2010,ZBI7C9,heckprob,3
2015,29335,nbreg,3
2018,GE7RTH,regress,3
2018,MKKIL2,biprobit,3
2018,UCO1ZT,glm,3
2018,VPK7BX,hetregress,3
2018,VPK7BX,impute,3
2018,VPK7BX,xtpcse,3
2018,VPK7BX,bootstrap:xtreg,3
2018,GKYOCZ,estsimp,3
2018,GKYOCZ,mlogit,3
2018,LFZ33L,stcox,3
2018,LFZ33L,reg3hdfe,3
2018,T8UFYI,regress,3
2018,HHWFBA,impute,3
2018,QXCD4U,logit,3
2011,WHLV6J,estsimp,3
2012,GMBFFE,ologit,3
2012,GMBFFE,xtreg,3
2012,FNSYRB,outreg,3
2012,UQKOHY,streg,3
2012,0KHVQZ,regress,3
2014,25576,logit,2
2010,LNIGQY,btscs,2
2010,LNIGQY,estsimp,2
2015,29335,logit,2
2015,29537,btscs,2
2015,29287,logit,2
2015,29538,logit,2
2015,29538,sartsel,2
2015,29268,heckprob,2
2015,29268,estsimp,2
2015,29540,estsimp,2
2015,29539,estsimp,2
2015,29330,regress,2
2015,29536,xtprobit,2
2015,29532,logit,2
2015,29532,biprobit,2
2018,OJNZEY,xtreg,2
2018,LNMEXL,streg,2
2018,DCYDHS,regress,2
2018,DCYDHS,zinb,2
2018,0I3LBI,btscs,2
2018,UVTZZV,nbreg,2
2018,UVTZZV,xtreg,2
2018,UVTZZV,xtpcse,2
2018,E1UVAW,estsimp,2
2018,NSWGCR,estsimp,2
2018,WW8FEY,logit,2
2018,5ZYTII,xtreg,2
2018,EJEKTY,xtpcse,2
2018,CTWLJA,nbreg,2
2018,VPK7BX,btscs,2
2018,OYORNJ,regress,2
2018,LIYMSO,xtreg,2
2018,GKYOCZ,logit,2
2018,GKYOCZ,btscs,2
2018,NGXNSK,xtpcse,2
2018,5WUKVH,biprobit,2
