year,command,count
2017,regress,195
2018,generate,157
2017,recode,119
2017,generate,116
2019,tabulate,111
2018,label,96
2016,regress,88
2017,replace,85
2017,tabulate,83
2017,label,83
2018,ta,81
2018,recode,79
2016,generate,70
2017,logit,58
2018,logit,54
2019,rename,54
2018,summarize,45
2018,replace,36
2017,margins,35
2017,estimates:store,34
2017,summarize,33
2018,foreach,30
2016,label,28
2017,fitstat,28
2019,replace,27
2015,margins,26
2015,marginsplot,26
2017,rename,26
2015,regress,24
2019,generate,24
2016,scalar,24
2015,replace,23
2016,esttab,21
2018,tabulate,20
2018,list,19
2018,use,17
2018,margins,17
2019,summarize,17
2016,eststo,17
2017,eststo,17
2018,drop,16
2019,lincom,16
2019,post,16
2016,xtmixed,16
2015,predict,15
2018,graph,15
2018,regress,15
2016,drop,15
2017,esttab,15
2018,glm,14
2016,graph,14
2018,egen,13
2017,set,13
2016,estat,12
2015,xtmixed,11
2018,marginsplot,11
2018,estimates:store,11
2019,use,11
2016,xtmelogit,11
2016,xtmrho,11
2017,egen,11
2018,eststo,10
2016,margins,10
2017,use,10
2017,graph,10
2018,save,9
2018,esttab,9
2018,set,9
2017,coefplot,9
2015,scatter,8
2016,summarize,8
2016,matrix,8
2016,recode,8
2016,estimates:store,8
2018,alpha,7
2018,xtset,7
2018,xtreg,7
2018,global,7
2018,estat,7
2019,twoway,7
2019,histogram,7
2016,logit,7
2015,ciplot,6
2018,collapse,6
2018,merge,6
2018,sort,6
2018,fitstat,6
2018,lfit,6
2019,drop,6
2019,foreach,6
2019,xtreg,6
2016,use,6
2016,replace,6
2017,clogit,6
2017,clear,6
2017,forvalues,6
2018,ttest,5
2019,label,5
2016,set,5
2017,sktest,5
2015,generate,4
2015,drop,4
2015,esttab,4
2018,correlate,4
2018,xtgee,4
2018,tab1,4
2019,tempname,4
2019,erase,4
2019,postfile,4
2019,xtpcse,4
2019,outreg,4
2019,postclose,4
2019,margins,4
2016,mlogit,4
2016,nbreg,4
2016,xtreg,4
2016,marginsplot,4
2016,gendummies,4
2017,ta,4
2017,ologit,4
2017,keep,4
2017,fvset,4
2017,mlogit,4
2015,mean,3
2018,rename,3
2018,xtgls,3
2018,pwcorr,3
2018,sem,3
2019,set,3
2019,collapse,3
2019,save,3
2019,graph,3
2019,fracreg,3
2016,estout,3
2017,tab1,3
2015,use,2
2015,ta,2
2015,eststo,2
2015,mlrsq,2
2015,graph,2
2018,codebook,2
2018,scheme,2
2018,xtile,2
2018,twoway,2
2018,keep,2
2018,form,2
2019,pwcorr,2
2019,tsline,2
2019,findit,2
2019,xtset,2
2019,marginsplot,2
2019,xtlogit,2
2016,keep,2
2016,tabulate,2
2016,rename,2
2016,tabstat,2
2017,listcoef,2
2017,pwcorr,2
2015,qnorm,1
2015,pwcorr,1
2015,estat,1
2015,set,1
2015,twoway,1
2015,list,1
2015,table,1
2018,factor,1
2018,outreg2,1
2018,lmcol,1
2018,tsset,1
2018,xtserial,1
2018,local,1
2018,display,1
2018,lrtest,1
2018,xtpcse,1
2018,xtmixed,1
2018,coefplot,1
2018,preserve,1
2018,restore,1
2018,version,1
2018,log,1
2018,nlogit,1
2018,spmap,1
2018,histogram,1
2019,tabstat,1
2019,scatter,1
2019,tsset,1
2019,merge,1
2019,keep,1
2019,polychoric,1
2019,display,1
2019,global,1
2019,matrix,1
2019,factormat,1
2019,factortest,1
2019,rotate,1
2019,predict,1
2019,alpha,1
2016,clear,1
2016,parmest,1
2016,twoway,1
2016,encode,1
2016,destring,1
2016,merge,1
2016,format,1
2016,collapse,1
2016,version,1
2016,contrast,1
2017,drop,1
2017,cd,1
2017,correlate,1
2017,alpha,1
2017,outreg2,1
2017,marginsplot,1
2017,histogram,1
2017,version,1
