title,href,date,filename,file_href
Replication Data for: Post-Cold War autocratization: Trends and patterns of regime change opposite to democratization,/dataset.xhtml?persistentId=doi:10.7910/DVN/0ZRPLH,"May 15, 2019",Cassani-Tomini_PostColdWarAutocratization_Appendix.pdf,/file.xhtml?persistentId=doi:10.7910/DVN/0ZRPLH/8KW8PU&version=1.0
Replication Data for: Black knight as a strategic choice? Causes and modes of Russia’s support to the authoritarianism in Southern Caucasus,/dataset.xhtml?persistentId=doi:10.7910/DVN/TDMMEX,"May 14, 2019",Table 1.docx,/file.xhtml?persistentId=doi:10.7910/DVN/TDMMEX/7KAEDA&version=1.0
Replication Data for: Black knight as a strategic choice? Causes and modes of Russia’s support to the authoritarianism in Southern Caucasus,/dataset.xhtml?persistentId=doi:10.7910/DVN/TDMMEX,"May 14, 2019",Table 2.docx,/file.xhtml?persistentId=doi:10.7910/DVN/TDMMEX/EF2AP9&version=1.0
Replication Data for: Building a Federal State: Phases and Moments of Spanish Regional (De)Centralization,/dataset.xhtml?persistentId=doi:10.7910/DVN/XZCUV9,"Mar 22, 2019",coaliciones.xlsx,/file.xhtml?persistentId=doi:10.7910/DVN/XZCUV9/WSESGW&version=1.0
Replication Data for Candidate Selection Methods and Electoral Performance in Comparative Perspective,/dataset.xhtml?persistentId=doi:10.7910/DVN/MAUSTE,"Mar 22, 2019",appendix_IPSR_Vicentini.tab,/file.xhtml?persistentId=doi:10.7910/DVN/MAUSTE/OFIHCT&version=1.0
Replication Data for: The role of the Italian Constitutional Court in the policy agenda. Persistence and change between the First and Second Republic.,/dataset.xhtml?persistentId=doi:10.7910/DVN/L55WPK,"Mar 22, 2019",agenda_trends vers.13.tab,/file.xhtml?persistentId=doi:10.7910/DVN/L55WPK/EDG60O&version=1.1
Replication Data for: The role of the Italian Constitutional Court in the policy agenda. Persistence and change between the First and Second Republic.,/dataset.xhtml?persistentId=doi:10.7910/DVN/L55WPK,"Mar 22, 2019",dataset for dataverse vers.13.tab,/file.xhtml?persistentId=doi:10.7910/DVN/L55WPK/QVGCA8&version=1.1
Replication Data for: The role of the Italian Constitutional Court in the policy agenda. Persistence and change between the First and Second Republic.,/dataset.xhtml?persistentId=doi:10.7910/DVN/L55WPK,"Mar 22, 2019",dataset laws.tab,/file.xhtml?persistentId=doi:10.7910/DVN/L55WPK/JYIF6E&version=1.1
Replication Data for: The role of the Italian Constitutional Court in the policy agenda. Persistence and change between the First and Second Republic.,/dataset.xhtml?persistentId=doi:10.7910/DVN/L55WPK,"Mar 22, 2019",dataset_Figure6.tab,/file.xhtml?persistentId=doi:10.7910/DVN/L55WPK/HMS8FR&version=1.1
Replication Data for: The role of the Italian Constitutional Court in the policy agenda. Persistence and change between the First and Second Republic.,/dataset.xhtml?persistentId=doi:10.7910/DVN/L55WPK,"Mar 22, 2019",dataset_Figures2_3.tab,/file.xhtml?persistentId=doi:10.7910/DVN/L55WPK/FDKMU5&version=1.1
Replication Data for: The role of the Italian Constitutional Court in the policy agenda. Persistence and change between the First and Second Republic.,/dataset.xhtml?persistentId=doi:10.7910/DVN/L55WPK,"Mar 22, 2019",dofile_Figure1.do,/file.xhtml?persistentId=doi:10.7910/DVN/L55WPK/HINPFO&version=1.1
