year,dataset,command,count
2017,ITP8S4,regress,191
2016,BMEFM3,regress,72
2017,VZLBUZ,logit,42
2018,HOIEOZ,logit,38
2015,3CIIM0,regress,21
2016,T86LPW,regress,16
2017,ITP8S4,logit,16
2018,IEGKGO,glm,14
2016,BMEFM3,xtmixed,12
2015,2CJUAX,xtmixed,11
2016,AGTZ36,xtmelogit,11
2018,CM0BMK,logit,9
2018,N1BGHI,xtreg,7
2018,HOIEOZ,regress,7
2018,0LN6PR,logit,7
2016,XR9Q6S,logit,7
2018,HOIEOZ,sem,6
2019,0BQX6X,xtreg,6
2017,K3E6O1,clogit,6
2018,XGYF0P,xtgee,4
2018,XGYF0P,regress,4
2018,YUXH4H,regress,4
2019,0X41KG,xtpcse,4
2019,0X41KG,outreg,4
2016,XBXBMG,nbreg,4
2016,NJRZ7I,xtreg,4
2016,N0NVSP,xtmixed,4
2017,EXSNA4,ologit,4
2017,VZLBUZ,mlogit,4
2018,XGYF0P,xtgls,3
2016,RWGETW,mlogit,3
2017,VZLBUZ,regress,3
2015,ZMZDHG,regress,2
2019,YLFS09,xtlogit,2
2015,2CJUAX,regress,1
2018,XGYF0P,xtpcse,1
2018,XGYF0P,xtmixed,1
2016,WDQJCO,mlogit,1
2017,4DNIIJ,regress,1
