year,command,count
2018,replace,10814
2018,generate,4808
2018,drop,1713
2017,replace,1551
2017,generate,1397
2018,scalar,1308
2018,logit,1251
2018,regress,1151
2018,xtreg,1149
2018,local,944
2018,use,911
2017,scalar,900
2018,label,857
2018,matrix,812
2018,tabulate,732
2018,rename,731
2018,setx,648
2018,simqi,617
2018,foreach,609
2018,display,548
2019,estadd,529
2018,xtlogit,525
2017,regress,513
2018,summarize,511
2018,estimates:store,502
2018,set,473
2019,xtreg,472
2017,label,451
2018,save,441
2017,logit,432
2018,margins,429
2018,sort,424
2017,simqi,419
2017,outreg2,399
2018,graph,394
2018,egen,384
2018,predict,369
2017,local,357
2018,tobit,345
2018,marginsplot,340
2018,clear,337
2018,xtpcse,335
2018,stcox,319
2018,probit,319
2018,test,318
2018,outreg2,318
2018,keep,293
2017,estimates:store,276
2018,xtset,266
2017,tabulate,266
2017,drop,252
2018,merge,247
2017,xtreg,246
2017,summarize,242
2017,clemao1,242
2018,log,241
2018,lincom,240
2017,probit,235
2017,global,224
2017,streg,217
2017,use,211
2017,clemio1,209
2017,egen,198
2017,stcox,194
2017,display,186
2019,generate,183
2019,replace,173
2018,erase,169
2017,setx,165
2017,margins,160
2017,graph,160
2018,mfx,153
2017,stset,146
2018,eststo,145
2018,if,144
2018,count,143
2018,run,142
2018,mlogit,140
2018,oprobit,140
2018,_pctile,138
2018,cd,138
2018,global,138
2018,nbreg,131
2017,ttest,128
2018,twoway,125
2018,est2vec,123
2018,areg,120
2007,logit,119
2017,_pctile,117
2018,ologit,112
2017,lincom,108
2018,forvalues,106
2017,test,105
2018,stset,104
2018,constraint,102
2018,tsset,98
2018,streg,98
2019,drop,97
2018,estat,96
2017,xtset,96
2018,list,95
2017,xtgee,92
2017,matrix,91
2018,xtnbreg,89
2017,set,88
2017,eststo,87
2018,append,85
2018,prvalue,85
2009,simqi,85
2008,generate,85
2018,estout,84
2019,regress,84
2017,sort,84
2018,estsimp,81
2018,ttest,81
2017,mfx,81
2017,xtpcse,80
2009,setx,79
2018,esttab,76
2017,clear,76
2018,xtgee,75
2018,move,75
2018,outreg,74
2017,recode,73
2017,foreach,70
2018,program,69
2019,save,69
2017,rename,69
2018,recode,68
2018,insheet,68
2007,clear,66
2018,notes,65
2007,drop,64
2007,regress,64
2019,foreach,63
2008,matrix,62
2018,for,61
2019,esttab,60
2019,eststo,60
2019,rename,56
2017,xtprobit,56
2017,psmatch2,56
2018,preserve,55
2017,oprobit,55
2017,esttab,55
2017,post,55
2018,names,54
2018,stphtest,54
2007,use,54
2018,xtivreg2,53
2019,label,53
2017,count,52
2017,estsimp,52
2017,nbreg,52
2018,table,51
2018,duplicates,51
2019,use,51
2017,preserve,51
2017,twoway,50
2018,firthlogit,49
2007,generate,49
2018,restore,48
2018,poisson,48
2017,praccum,48
2018,do,47
2017,keep,46
2017,drawnorm,46
2017,postfile,46
2017,tempname,46
2017,postclose,46
2018,version,45
2018,mkdir,45
2018,newey,45
2019,xtivreg2,45
2017,restore,45
2017,while,45
2009,lincom,44
2007,xtpcse,44
2019,scalar,44
2017,postutil,43
2009,prvalue,42
2008,outreg,42
2019,logit,42
2019,probit,42
2017,xtregar,42
2019,setx,39
2019,simqi,39
2019,keep,39
2018,collapse,38
2018,end,38
2018,tabstat,37
2017,estout,37
2018,relogit,35
2018,tempname,35
2017,tsset,35
2007,simqi,34
2007,probit,34
2008,ologit,34
2017,log,34
2017,forvalues,34
2018,compress,33
2017,estat,33
2018,estimates:table,32
2018,quietly,32
2018,ml,32
2007,estat,32
2007,version,32
2007,stcox,32
2007,stphtest,32
2008,oprobit,32
2018,outtex,31
2018,qnorm,31
2007,set,31
2017,prvalue,30
2018,heckprob,29
2019,local,29
2018,while,28
2018,l1vars,28
2018,rownames,28
2018,xtprobit,28
2008,svmat,28
2017,save,28
2017,merge,28
2017,xtmixed,28
2018,interact,27
2008,stcox,27
2018,mimpacts_intwatsca,26
2018,$,26
2018,sts,26
2007,fitstat,26
2017,estadd,26
2017,cmp,25
2018,mat2txt,24
2018,mibeta,24
2018,axis,24
2018,stopifnot,24
2018,print,24
2018,distance,24
2018,weights,24
2017,predict,24
2017,xtfevd,24
2017,xtabond2,24
2017,xtgls,24
2018,estimates:sto,23
2019,display,23
2017,marginsplot,23
2017,xtlogit,23
2017,lroc,23
2017,glm,23
2018,reg2hdfe,22
2018,plot,22
2018,correlate,22
2007,setx,22
2007,replace,22
2008,xtpcse,22
2019,egen,22
2019,erase,22
2019,run,22
2017,estimates:restore,22
2018,stcurve,21
2017,cd,21
2018,tempvar,20
2018,miest,20
2018,logistic,20
2018,try,20
2008,predict,20
2019,clear,20
2019,tabulate,20
2018,fitstat,19
2018,drawnorm,19
2018,pre,19
2018,destring,19
2008,use,19
2008,summarize,19
2019,set,19
2019,oprobit,19
2019,margins,19
2017,xtivreg2,19
2018,coefplot,18
2018,library,18
2018,dim,18
2018,scatter,18
2018,inre,18
2018,listcoef,18
2018,ivreg2,18
2018,return,18
2018,order,18
2018,query,18
2008,xtgee,18
2019,merge,18
2017,correlate,18
2017,collapse,18
2017,xtpmg,18
2017,tobit,18
2018,svmat,17
2018,xi3,17
2018,tempfile,17
2018,xtivreg,17
2018,ipolate,17
2007,summarize,17
2008,stset,17
2019,summarize,17
2017,macro,17
2018,pwcorr,16
2018,glm,16
2018,postfile,16
2018,post,16
2018,postclose,16
2018,saveold,16
2018,more,16
2018,Table,16
2018,dat,16
2018,ftmp,16
2018,ftmp2,16
2018,abline,16
2018,xdiffs,16
2018,ixnay,16
2018,edit,16
2007,areg,16
2008,regress,16
2017,estimates:clear,16
2018,est2tex,15
2018,btscs,15
2018,estimates:drop,15
2018,pause,15
2018,meqrlogit,15
2008,save,15
2008,sort,15
2019,xi,15
2019,marginsplot,15
2017,heckman,15
2018,reg3,14
2018,cmp,14
2018,mimpacts_trd2imf,14
2018,postutil,14
2018,levelsof,14
2008,keep,14
2008,test,14
2008,tsset,14
2019,append,14
2019,edit,14
2017,program,14
2017,gllamm,14
2017,uniteffxRE,14
2018,histogram,13
2018,heckman,13
2018,reghdfe,13
2017,grinter,13
2017,centile,13
2018,exit,12
2018,mean,12
2018,par,12
2018,head,12
2018,X1,12
2018,X2,12
2018,tvar,12
2018,X3,12
2018,mvrs,12
2018,X,12
2018,trtnms,12
2018,ctlnms,12
2018,cbind,12
2009,probit,12
2009,tabulate,12
2007,tabulate,12
2007,predict,12
2007,mfx,12
2008,append,12
2008,drop,12
2019,_pctile,12
2019,mkdir,12
2017,version,12
2017,edit,12
2017,pause,12
2017,ranksum,12
2018,stdes,11
2018,levels,11
2018,simulate,11
2018,biprobit,11
2018,regsave,11
2008,set,11
2019,duplicates,11
2019,xtscc,11
2017,stcurve,11
2017,tssmooth,11
2018,line,10
2018,mkmat,10
2018,reshape,10
2018,prtab,10
2018,praccum,10
2018,source,10
2007,biprobit,10
2008,xtgls,10
2019,levelsof,10
2017,xtscc,10
2017,exit,10
2018,pwd,9
2018,hausman,9
2018,tssmooth,9
2018,prtest,9
