title,href,date
"Replication Data for: Coup-Proofing in the Shadow of Intervention: Alliances, Moral Hazard, and Violence in Authoritarian Regimes",/dataset.xhtml?persistentId=doi:10.7910/DVN/2IO3DL,"May 10, 2019"
Replication Data for: Moral Hazard and Financial Crises: Evidence from American Troop Deployments,/dataset.xhtml?persistentId=doi:10.7910/DVN/O7WKNO,"May 3, 2019"
"The Legacy Of Wartime Violence on Intimate-Partner Abuse: Microlevel Evidence from Peru, 1980-2009",/dataset.xhtml?persistentId=doi:10.7910/DVN/GFBDQO,"May 3, 2019"
Symposium: The Constraining Effect of Arms Control Treaties,/dataset.xhtml?persistentId=doi:10.7910/DVN/QPQBFB,"Apr 19, 2019"
The Politics of Trade Agreement Design: Revisiting the Depth-Flexibility Nexus,/dataset.xhtml?persistentId=doi:10.7910/DVN/3XQJU5,"Apr 19, 2019"
"Sanctions, Uncertainty, and Leader Tenure",/dataset.xhtml?persistentId=doi:10.7910/DVN/TTPOJB,"Apr 19, 2019"
"What Makes an Ex-Combatant Happy? A Micro-Analysis of Disarmament, Demobilization, and Reintegration in South Sudan",/dataset.xhtml?persistentId=doi:10.7910/DVN/SVOKWW,"Apr 19, 2019"
War and the Sectoral Distribution of Wealth: Evidence from United States Firms,/dataset.xhtml?persistentId=doi:10.7910/DVN/5LOHS5,"Apr 19, 2019"
Dictators and Death: Casualty Sensitivity of Autocracies in Militarized Interstate Disputes,/dataset.xhtml?persistentId=doi:10.7910/DVN/RBQZVS,"Apr 19, 2019"
The Psychological Logic of Peace Summits: How Empathy Shapes Outcomes of Diplomatic Negotiations,/dataset.xhtml?persistentId=doi:10.7910/DVN/G6PAPV,"Apr 19, 2019"
"Keeping the Schools Open While the Troops are Away: Regime Type, Interstate War, and Government Spending",/dataset.xhtml?persistentId=doi:10.7910/DVN/JXJ9MV,"Apr 19, 2019"
"Networks as Channels of Policy Diffusion: Explaining Worldwide Changes in Capital Taxation, 1998–2006",/dataset.xhtml?persistentId=doi:10.7910/DVN/WGEAK6,"Apr 19, 2019"
Rewards for Ratification: Payoffs for Participating in the International Human Rights Regime?,/dataset.xhtml?persistentId=doi:10.7910/DVN/PSOFAU,"Apr 19, 2019"
When Will States Strike First? Battlefield Advantages and Rationalist War,/dataset.xhtml?persistentId=doi:10.7910/DVN/P3SPTY,"Apr 19, 2019"
Symposium: Popular Culture Matters,/dataset.xhtml?persistentId=doi:10.7910/DVN/OEBTZA,"Mar 7, 2019"
"Entry, Vulnerability, and Trade Policy: Why Some Autocrats Like International Trade",/dataset.xhtml?persistentId=doi:10.7910/DVN/M3CIGK,"Aug 15, 2018"
Human Rights and Democratic Arms Transfers: Rhetoric Versus Reality with Different Types of Major Weapon Systems,/dataset.xhtml?persistentId=doi:10.7910/DVN/BEOQV2,"Aug 14, 2018"
"Selecting for Shame: The Monitoring of Workers’ Rights by the International Labour Organization, 1989 to 2011",/dataset.xhtml?persistentId=doi:10.7910/DVN/FSKY7K,"Aug 14, 2018"
Resisting Rights to Renounce Imperialism: East African Churches’ Strategic Symbolic Resistance to LGBTQ Inclusion,/dataset.xhtml?persistentId=doi:10.7910/DVN/DVMT2R,"Aug 14, 2018"
The Value of Precision in Probability Assessment: Evidence from a Large-Scale Geopolitical Forecasting Tournament,/dataset.xhtml?persistentId=doi:10.7910/DVN/D9FAZL,"Aug 14, 2018"
The Intertemporal Tradeoff in Mobilizing Support for War,/dataset.xhtml?persistentId=doi:10.7910/DVN/YGKKRU,"Aug 14, 2018"
"Political Relations, Leader Stability, and Economic Coercion",/dataset.xhtml?persistentId=doi:10.7910/DVN/BEAPLB,"Aug 13, 2018"
Monopoly Rents and Foreign Direct Investment in Fixed Assets,/dataset.xhtml?persistentId=doi:10.7910/DVN/2NDL6R,"Aug 13, 2018"
"Intra-Industry Trade, Global Value Chains, and Preferential Tariff Liberalization",/dataset.xhtml?persistentId=doi:10.7910/DVN/JOBDDI,"Aug 13, 2018"
"How to Keep Officers in the Barracks: Causes, Agents, and Types of Military Coups",/dataset.xhtml?persistentId=doi:10.7910/DVN/N1DE4Q,"Aug 13, 2018"
Mass Media and the Diffusion of Collective Action in Authoritarian Regimes: The June 1953 East German Uprising,/dataset.xhtml?persistentId=doi:10.7910/DVN/56L9JP,"Aug 13, 2018"
"State Capacity, Insurgency, and Civil War: A Disaggregated Analysis",/dataset.xhtml?persistentId=doi:10.7910/DVN/G8AF5G,"Aug 13, 2018"
Cleansing the Caliphate: Insurgent Violence against Sexual Minorities,/dataset.xhtml?persistentId=doi:10.7910/DVN/VMOCHO,"Aug 13, 2018"
Bypass Aid and Unrest in Autocracies,/dataset.xhtml?persistentId=doi:10.7910/DVN/3YK0HL,"Aug 12, 2018"
"Voters Get What They Want (When They Pay Attention): Human Rights, Policy Benefits, and Foreign Aid",/dataset.xhtml?persistentId=doi:10.7910/DVN/TLBTYD,"Aug 12, 2018"
Apples and Dragon Fruits: The Determinants of Aid and Other Forms of State Financing from China to Africa,/dataset.xhtml?persistentId=doi:10.7910/DVN/RTFF2X,"Aug 12, 2018"
A Comparative Analysis of Inequality and Redistribution in Democracies,/dataset.xhtml?persistentId=doi:10.7910/DVN/EM3QGY,"Aug 12, 2018"
Elections and Capital Flight: Evidence from Africa,/dataset.xhtml?persistentId=doi:10.7910/DVN/4L80PR,"Aug 12, 2018"
The Rise Predicts the Fall: How the Method of Leader Entry Affects the Method of Leader Removal in Dictatorships,/dataset.xhtml?persistentId=doi:10.7910/DVN/B47FTE,"Aug 12, 2018"
The Things They Carried: Generational Effects of the Vietnam War on Elite Opinion,/dataset.xhtml?persistentId=doi:10.7910/DVN/2AV2CC,"Aug 12, 2018"
The New Public Address System: Why Do World Leaders Adopt Social Media?,/dataset.xhtml?persistentId=doi:10.7910/DVN/TF046M,"Aug 12, 2018"
