title,href,date,filename,file_href
"Replication Data for: Coup-Proofing in the Shadow of Intervention: Alliances, Moral Hazard, and Violence in Authoritarian Regimes",/dataset.xhtml?persistentId=doi:10.7910/DVN/2IO3DL,"May 10, 2019",coupproof_appendix.pdf,/file.xhtml?persistentId=doi:10.7910/DVN/2IO3DL/H9BBRE&version=1.0
"Replication Data for: Coup-Proofing in the Shadow of Intervention: Alliances, Moral Hazard, and Violence in Authoritarian Regimes",/dataset.xhtml?persistentId=doi:10.7910/DVN/2IO3DL,"May 10, 2019",interplotISQ.R,/file.xhtml?persistentId=doi:10.7910/DVN/2IO3DL/OGWXXG&version=1.0
"Replication Data for: Coup-Proofing in the Shadow of Intervention: Alliances, Moral Hazard, and Violence in Authoritarian Regimes",/dataset.xhtml?persistentId=doi:10.7910/DVN/2IO3DL,"May 10, 2019",newdata.tab,/file.xhtml?persistentId=doi:10.7910/DVN/2IO3DL/HUKI7F&version=1.0
"Replication Data for: Coup-Proofing in the Shadow of Intervention: Alliances, Moral Hazard, and Violence in Authoritarian Regimes",/dataset.xhtml?persistentId=doi:10.7910/DVN/2IO3DL,"May 10, 2019",purgecivilwartenure.do,/file.xhtml?persistentId=doi:10.7910/DVN/2IO3DL/6GD8IM&version=1.0
Replication Data for: Moral Hazard and Financial Crises: Evidence from American Troop Deployments,/dataset.xhtml?persistentId=doi:10.7910/DVN/O7WKNO,"May 3, 2019",AklinKernData.tab,/file.xhtml?persistentId=doi:10.7910/DVN/O7WKNO/EYWXDW&version=1.0
Replication Data for: Moral Hazard and Financial Crises: Evidence from American Troop Deployments,/dataset.xhtml?persistentId=doi:10.7910/DVN/O7WKNO,"May 3, 2019",AklinKernReplication.do,/file.xhtml?persistentId=doi:10.7910/DVN/O7WKNO/STVUZC&version=1.0
Replication Data for: Moral Hazard and Financial Crises: Evidence from American Troop Deployments,/dataset.xhtml?persistentId=doi:10.7910/DVN/O7WKNO,"May 3, 2019",AklinKernReplicationReadMe.txt,/file.xhtml?persistentId=doi:10.7910/DVN/O7WKNO/BFB8VX&version=1.0
"The Legacy Of Wartime Violence on Intimate-Partner Abuse: Microlevel Evidence from Peru, 1980-2009",/dataset.xhtml?persistentId=doi:10.7910/DVN/GFBDQO,"May 3, 2019",Replication_data_Ostby_etal_ISQ_2018.dta,/file.xhtml?persistentId=doi:10.7910/DVN/GFBDQO/GXF7UN&version=2.0
"The Legacy Of Wartime Violence on Intimate-Partner Abuse: Microlevel Evidence from Peru, 1980-2009",/dataset.xhtml?persistentId=doi:10.7910/DVN/GFBDQO,"May 3, 2019",Replication_Ostby_etal_ISQ_2018.do,/file.xhtml?persistentId=doi:10.7910/DVN/GFBDQO/3SAKPX&version=2.0
Symposium: The Constraining Effect of Arms Control Treaties,/dataset.xhtml?persistentId=doi:10.7910/DVN/QPQBFB,"Apr 19, 2019",ISQ Fuhrmann and Lupu Symposium.pdf,/file.xhtml?persistentId=doi:10.7910/DVN/QPQBFB/NQXKOI&version=1.0
The Politics of Trade Agreement Design: Revisiting the Depth-Flexibility Nexus,/dataset.xhtml?persistentId=doi:10.7910/DVN/3XQJU5,"Apr 19, 2019",BacciniDu╠êrElsig_SupplementaryFile.pdf,/file.xhtml?persistentId=doi:10.7910/DVN/3XQJU5/LLEX52&version=1.0
The Politics of Trade Agreement Design: Revisiting the Depth-Flexibility Nexus,/dataset.xhtml?persistentId=doi:10.7910/DVN/3XQJU5,"Apr 19, 2019",Flexibility_Depth_ISQ.do,/file.xhtml?persistentId=doi:10.7910/DVN/3XQJU5/8DCGQJ&version=1.0
The Politics of Trade Agreement Design: Revisiting the Depth-Flexibility Nexus,/dataset.xhtml?persistentId=doi:10.7910/DVN/3XQJU5,"Apr 19, 2019",Flexibility_Depth_ISQ.dta,/file.xhtml?persistentId=doi:10.7910/DVN/3XQJU5/CSEQZX&version=1.0
"Sanctions, Uncertainty, and Leader Tenure",/dataset.xhtml?persistentId=doi:10.7910/DVN/TTPOJB,"Apr 19, 2019",primary.tab,/file.xhtml?persistentId=doi:10.7910/DVN/TTPOJB/SRXSWL&version=1.0
"Sanctions, Uncertainty, and Leader Tenure",/dataset.xhtml?persistentId=doi:10.7910/DVN/TTPOJB,"Apr 19, 2019",primary_results.R,/file.xhtml?persistentId=doi:10.7910/DVN/TTPOJB/GUKPTL&version=1.0
"Sanctions, Uncertainty, and Leader Tenure",/dataset.xhtml?persistentId=doi:10.7910/DVN/TTPOJB,"Apr 19, 2019",robustness.R,/file.xhtml?persistentId=doi:10.7910/DVN/TTPOJB/F686DH&version=1.0
"Sanctions, Uncertainty, and Leader Tenure",/dataset.xhtml?persistentId=doi:10.7910/DVN/TTPOJB,"Apr 19, 2019",robustness_checks.tab,/file.xhtml?persistentId=doi:10.7910/DVN/TTPOJB/O1O49T&version=1.0
"What Makes an Ex-Combatant Happy? A Micro-Analysis of Disarmament, Demobilization, and Reintegration in South Sudan",/dataset.xhtml?persistentId=doi:10.7910/DVN/SVOKWW,"Apr 19, 2019",phayal_etal_appendix.docx,/file.xhtml?persistentId=doi:10.7910/DVN/SVOKWW/NXWKSP&version=1.0
"What Makes an Ex-Combatant Happy? A Micro-Analysis of Disarmament, Demobilization, and Reintegration in South Sudan",/dataset.xhtml?persistentId=doi:10.7910/DVN/SVOKWW,"Apr 19, 2019",phayal_etal_ISQ.do,/file.xhtml?persistentId=doi:10.7910/DVN/SVOKWW/AJWLXG&version=1.0
"What Makes an Ex-Combatant Happy? A Micro-Analysis of Disarmament, Demobilization, and Reintegration in South Sudan",/dataset.xhtml?persistentId=doi:10.7910/DVN/SVOKWW,"Apr 19, 2019",phayal_etal_ISQ.tab,/file.xhtml?persistentId=doi:10.7910/DVN/SVOKWW/7XEVBF&version=1.0
War and the Sectoral Distribution of Wealth: Evidence from United States Firms,/dataset.xhtml?persistentId=doi:10.7910/DVN/5LOHS5,"Apr 19, 2019",Replication_RawData.tab,/file.xhtml?persistentId=doi:10.7910/DVN/5LOHS5/PTX9ZH&version=1.0
War and the Sectoral Distribution of Wealth: Evidence from United States Firms,/dataset.xhtml?persistentId=doi:10.7910/DVN/5LOHS5,"Apr 19, 2019",Replication_STATADoFile.do,/file.xhtml?persistentId=doi:10.7910/DVN/5LOHS5/JE5MRS&version=1.0
Dictators and Death: Casualty Sensitivity of Autocracies in Militarized Interstate Disputes,/dataset.xhtml?persistentId=doi:10.7910/DVN/RBQZVS,"Apr 19, 2019",ISQ_Final_Supporting_Information_Final.docx,/file.xhtml?persistentId=doi:10.7910/DVN/RBQZVS/R3TQN4&version=1.0
Dictators and Death: Casualty Sensitivity of Autocracies in Militarized Interstate Disputes,/dataset.xhtml?persistentId=doi:10.7910/DVN/RBQZVS,"Apr 19, 2019",Sirin_and_Koch_Final_ISQ_Dataset_Final.tab,/file.xhtml?persistentId=doi:10.7910/DVN/RBQZVS/AAJOPF&version=1.0
Dictators and Death: Casualty Sensitivity of Autocracies in Militarized Interstate Disputes,/dataset.xhtml?persistentId=doi:10.7910/DVN/RBQZVS,"Apr 19, 2019",Sirin_and_Koch_ISQ_Final_Do_File_Final.do,/file.xhtml?persistentId=doi:10.7910/DVN/RBQZVS/IIXEHG&version=1.0
The Psychological Logic of Peace Summits: How Empathy Shapes Outcomes of Diplomatic Negotiations,/dataset.xhtml?persistentId=doi:10.7910/DVN/G6PAPV,"Apr 19, 2019",sqw034_Supp.pdf,/file.xhtml?persistentId=doi:10.7910/DVN/G6PAPV/ETFPJW&version=1.0
Rewards for Ratification: Payoffs for Participating in the International Human Rights Regime?,/dataset.xhtml?persistentId=doi:10.7910/DVN/PSOFAU,"Apr 19, 2019",0_make aid data.do,/file.xhtml?persistentId=doi:10.7910/DVN/PSOFAU/CTEDGS&version=1.0
Rewards for Ratification: Payoffs for Participating in the International Human Rights Regime?,/dataset.xhtml?persistentId=doi:10.7910/DVN/PSOFAU,"Apr 19, 2019",0_make aid data_ALT.do,/file.xhtml?persistentId=doi:10.7910/DVN/PSOFAU/P8XHNL&version=1.0
