year,dataset,command,count
2018,XICFI5,xtreg,592
2019,O7WKNO,xtreg,439
2018,XICFI5,logit,434
2018,XICFI5,regress,368
2018,XICFI5,xtlogit,288
2017,EYCE4O,regress,277
2018,REAYUP,tobit,271
2017,USQH7D,logit,258
2018,NRQFDQ,regress,195
2017,USQH7D,streg,191
2018,CTMZX8,xtlogit,187
2017,ZZZPM7,probit,142
2018,YETMOY,xtreg,120
2018,BEOQV2,ologit,100
2018,7N6ZEX,xtpcse,90
2018,DVK8OP,regress,90
2018,XICFI5,areg,89
2007,PK48VY,logit,86
2018,AKM97Q,xtreg,81
2018,XICFI5,xtnbreg,73
2018,XICFI5,tobit,71
2018,BTCLRP,xtreg,70
2018,JERCL1,regress,67
2018,NKIRJ5,logit,66
2018,HFIJ07,xtpcse,65
2017,LBXXFE,stcox,64
2017,USQH7D,stcox,63
2018,MCU7GO,stcox,62
2018,UR5TNI,probit,62
2018,NKIRJ5,mlogit,61
2018,BXEBPQ,xtpcse,60
2018,I8XQPM,xtreg,56
2017,EYCE4O,psmatch2,56
2017,2QG92Y,xtprobit,54
2018,N1DE4Q,outreg,52
2018,SYYEVW,logit,50
2018,RESQGA,logit,47
2018,CISIP2,nbreg,46
2018,NGD6P6,probit,45
2018,61HQCY,xtgee,45
2019,O7WKNO,xtivreg2,45
2018,0COWAL,stcox,44
2018,N1DE4Q,probit,44
2018,B6TN91,logit,43
2018,1G1COY,regress,42
2018,6HDOGE,oprobit,42
2019,O7WKNO,regress,42
2019,O7WKNO,probit,42
2018,XY2TUK,logit,41
2017,MNP61X,xtreg,40
2017,ZZZPM7,xtreg,40
2018,LCLJTT,logit,39
2017,NYBSMR,xtpcse,39
2017,EYCE4O,oprobit,39
2018,DGVYLR,regress,38
2017,NSDEJD,stcox,38
2017,5WAFF0,regress,37
2018,BMXZLE,logit,36
2007,IG1WQN,regress,36
2019,5LOHS5,regress,36
2007,O352HJ,logit,33
2019,RBQZVS,xtreg,33
2018,4L80PR,regress,32
2018,68IBOR,logit,32
2018,VFNSX6,regress,32
2018,HFIJ07,xtreg,32
2018,NFIALV,ml,32
2007,6CMHW7,stcox,32
2017,RXQO8P,xtreg,32
2017,OOBN39,xtreg,32
2018,CHEEWL,logit,31
2018,ULAVUA,stcox,31
2018,LCLJTT,firthlogit,30
2018,61HQCY,newey,30
2017,2QG92Y,xtreg,30
2017,ZFBES1,xtpcse,30
2017,RFB60P,xtgee,30
2017,RFB60P,xtregar,30
2018,X2MB9M,stcox,29
2018,Y2EMIO,logit,29
2018,TF046M,stcox,29
2018,TYZK9Z,streg,29
2017,FUJGY1,logit,29
2018,RTFF2X,regress,28
2018,DGVYLR,probit,28
2007,3U6XTH,regress,28
2017,P0TZCE,regress,28
2017,NFMGFD,probit,28
2018,50NQLW,logit,27
2008,ORTPNR,stcox,27
2017,2QG92Y,xtgee,27
2018,KERCCN,xtlogit,26
2007,HR9GDW,xtpcse,26
2007,XCCACE,probit,26
2017,1R5N32,logit,26
2017,WY9SUD,logit,26
2017,5KJ80Q,probit,26
2018,DUFHM1,stcox,25
2018,BOZ0QO,xtivreg2,25
2018,GLEY3J,oprobit,25
2017,VDSNFL,cmp,25
2018,2QS4R8,logit,24
2018,RHLJCR,logit,24
2018,RLCGG9,nbreg,24
2018,JRGEMU,mlogit,24
2017,ZDADTB,xtabond2,24
2017,3KIQAW,regress,24
2017,TPAB95,xtgls,24
2018,VMOCHO,logit,23
2018,SEJBJU,logit,23
2018,CTMZX8,regress,23
2018,M8ZMYB,xtreg,23
2019,O7WKNO,logit,23
2017,RWHDIJ,logit,23
2017,JIQOXQ,regress,23
2018,YETMOY,reg2hdfe,22
2018,CTMZX8,xtprobit,22
2008,41MI2U,ologit,22
2017,OSLJ2Z,xtmixed,22
2018,UHE8TY,logit,21
2018,GFXLI7,xtreg,21
2018,BOHZ2R,probit,21
2008,9JGNGZ,outreg,21
2008,1GDHUK,outreg,21
2017,2QG92Y,estsimp,21
