title,href,date
"Factors influencing the career preferences of medical students and interns: a cross-sectional, questionnaire-based survey from India",/dataset.xhtml?persistentId=doi:10.7910/DVN/5DN39N,"May 26, 2019"
Perceptions of the educational environment among undergraduate physical therapy students in a competency-based curriculum at the University of Chile,/dataset.xhtml?persistentId=doi:10.7910/DVN/ZRABRB,"May 7, 2019"
Development and validation of the Hocus Focus Magic Performance Evaluation Scale for health professions personnel,/dataset.xhtml?persistentId=doi:10.7910/DVN/2DHW1G,"Apr 16, 2019"
An expert-led and artificial intelligence (AI) system-assisted tutoring course to improve the confidence of Chinese medical interns in suturing and ligature skills: a prospective pilot study,/dataset.xhtml?persistentId=doi:10.7910/DVN/WMFPJ8,"Apr 16, 2019"
Attitudes toward rehabilitating inmates among occupational therapy students in the United States,/dataset.xhtml?persistentId=doi:10.7910/DVN/XVUMRK,"Apr 4, 2019"
Preadmission predictors of graduation success from a physical therapy education program in the United States,/dataset.xhtml?persistentId=doi:10.7910/DVN/44MVBT,"Mar 13, 2019"
Comparison of the effects of simulated patient clinical skill training and student roleplay on objective structured clinical examination performance among medical students in Australia,/dataset.xhtml?persistentId=doi:10.7910/DVN/DO34NS,"Feb 10, 2019"
The relationship of examinees’ individual characteristics and perceived acceptability of smart device-based testing to test scores on the practice test of the Korea Emergency Medicine Technician Licensing Examination,/dataset.xhtml?persistentId=doi:10.7910/DVN/UUIC8V,"Jan 29, 2019"
Personality-oriented job analysis to identify non-cognitive factors predictive of performance in a doctor of physical therapy program in the United States,/dataset.xhtml?persistentId=doi:10.7910/DVN/POGIMX,"Jan 14, 2019"
An innovative resident-driven mortality case review curriculum to teach and drive system-based practice improvements in the United States,/dataset.xhtml?persistentId=doi:10.7910/DVN/FABH69,"Jan 6, 2019"
Integrated clinical experience with concurrent problem-based learning is associated with improved clinical reasoning among physical therapy students in the United States,/dataset.xhtml?persistentId=doi:10.7910/DVN/VCFDR0,"Jan 6, 2019"
The effects of an empathy role-playing program for operating room nursing students,/dataset.xhtml?persistentId=doi:10.7910/DVN/LG8UPQ,"Jan 6, 2019"
Comparison of the level of cognitive processing between case-based items and non-case-based items on the Interuniversity Progress Test of Medicine in the Netherlands,/dataset.xhtml?persistentId=doi:10.7910/DVN/U3TNY6,"Jan 6, 2019"
Benefits of focus group discussions beyond online surveys in course evaluations by medical students in the United States: A qualitative study,/dataset.xhtml?persistentId=doi:10.7910/DVN/ZFKN5R,"Oct 29, 2018"
Dental students’ learning attitudes and perceptions of YouTube as a lecture video hosting platform in a flipped classroom in Korea,/dataset.xhtml?persistentId=doi:10.7910/DVN/LTDX5Q,"Oct 14, 2018"
Agreement between 2 raters’ evaluations of a traditional prosthodontic practical exam integrated with directly observed procedural skills in Egypt,/dataset.xhtml?persistentId=doi:10.7910/DVN/8MTQZI,"Oct 14, 2018"
"Learning through multiple lenses: analysis of self, peer, near-peer, and faculty assessments of a clinical history-taking task in Australia",/dataset.xhtml?persistentId=doi:10.7910/DVN/LXPAOL,"Oct 3, 2018"
Evaluation of non-cognitive traits of doctor of physical therapy learners in the United States,/dataset.xhtml?persistentId=doi:10.7910/DVN/Y75CP2,"Oct 2, 2018"
The implementation and evaluation of an e-Learning training module for observed structured  clinical examination (OSCE) raters in Canada,/dataset.xhtml?persistentId=doi:10.7910/DVN/RBL9MV,"Oct 2, 2018"
"Examiner seniority and experience are associated with bias when scoring communication, but not examination, skills in objective structured clinical examinations (OSCEs) in Australia",/dataset.xhtml?persistentId=doi:10.7910/DVN/PBNE4K,"Aug 20, 2018"
Proposal for improving the education and licensing examination for medical record administrators in Korea,/dataset.xhtml?persistentId=doi:10.7910/DVN/S5NTZJ,"Aug 15, 2018"
