title,href,date,filename,file_href
"Factors influencing the career preferences of medical students and interns: a cross-sectional, questionnaire-based survey from India",/dataset.xhtml?persistentId=doi:10.7910/DVN/5DN39N,"May 26, 2019",JEEHP-19-021_6_22.xlsx,/file.xhtml?persistentId=doi:10.7910/DVN/5DN39N/DKFPNH&version=1.0
Perceptions of the educational environment among undergraduate physical therapy students in a competency-based curriculum at the University of Chile,/dataset.xhtml?persistentId=doi:10.7910/DVN/ZRABRB,"May 7, 2019",Jeehp_16_9_raw data.xls,/file.xhtml?persistentId=doi:10.7910/DVN/ZRABRB/TY98E1&version=1.0
Development and validation of the Hocus Focus Magic Performance Evaluation Scale for health professions personnel,/dataset.xhtml?persistentId=doi:10.7910/DVN/2DHW1G,"Apr 16, 2019",Jeehp_16_8_raw data.xlsx,/file.xhtml?persistentId=doi:10.7910/DVN/2DHW1G/SWBIB6&version=1.0
An expert-led and artificial intelligence (AI) system-assisted tutoring course to improve the confidence of Chinese medical interns in suturing and ligature skills: a prospective pilot study,/dataset.xhtml?persistentId=doi:10.7910/DVN/WMFPJ8,"Apr 16, 2019",Jeehp_16_7_raw data.xlsx,/file.xhtml?persistentId=doi:10.7910/DVN/WMFPJ8/AFCHZ7&version=1.0
Attitudes toward rehabilitating inmates among occupational therapy students in the United States,/dataset.xhtml?persistentId=doi:10.7910/DVN/XVUMRK,"Apr 4, 2019",Jeehp_16_6_raw data.tab,/file.xhtml?persistentId=doi:10.7910/DVN/XVUMRK/EDV0MA&version=1.0
Preadmission predictors of graduation success from a physical therapy education program in the United States,/dataset.xhtml?persistentId=doi:10.7910/DVN/44MVBT,"Mar 13, 2019",Jeehp_16_5_raw data.tab,/file.xhtml?persistentId=doi:10.7910/DVN/44MVBT/MRPDWE&version=1.0
Comparison of the effects of simulated patient clinical skill training and student roleplay on objective structured clinical examination performance among medical students in Australia,/dataset.xhtml?persistentId=doi:10.7910/DVN/DO34NS,"Feb 10, 2019",Jeehp_16_3_raw data.xls,/file.xhtml?persistentId=doi:10.7910/DVN/DO34NS/1FBRHM&version=1.0
The relationship of examinees’ individual characteristics and perceived acceptability of smart device-based testing to test scores on the practice test of the Korea Emergency Medicine Technician Licensing Examination,/dataset.xhtml?persistentId=doi:10.7910/DVN/UUIC8V,"Jan 29, 2019",Jeehp_15_33_raw data.xlsx,/file.xhtml?persistentId=doi:10.7910/DVN/UUIC8V/XY01VE&version=1.0
Personality-oriented job analysis to identify non-cognitive factors predictive of performance in a doctor of physical therapy program in the United States,/dataset.xhtml?persistentId=doi:10.7910/DVN/POGIMX,"Jan 14, 2019",Jeehp_15_34_Raw data.xlsx,/file.xhtml?persistentId=doi:10.7910/DVN/POGIMX/B2WXQX&version=1.0
An innovative resident-driven mortality case review curriculum to teach and drive system-based practice improvements in the United States,/dataset.xhtml?persistentId=doi:10.7910/DVN/FABH69,"Jan 6, 2019",Jeehp_15_31_raw data.xlsx,/file.xhtml?persistentId=doi:10.7910/DVN/FABH69/6R64WS&version=1.0
Integrated clinical experience with concurrent problem-based learning is associated with improved clinical reasoning among physical therapy students in the United States,/dataset.xhtml?persistentId=doi:10.7910/DVN/VCFDR0,"Jan 6, 2019",jeehp-15-30_raw data.xlsx,/file.xhtml?persistentId=doi:10.7910/DVN/VCFDR0/ZVLNX8&version=1.0
The effects of an empathy role-playing program for operating room nursing students,/dataset.xhtml?persistentId=doi:10.7910/DVN/LG8UPQ,"Jan 6, 2019",jeehp-15-29_raw data.xlsx,/file.xhtml?persistentId=doi:10.7910/DVN/LG8UPQ/JREJRU&version=1.0
Comparison of the level of cognitive processing between case-based items and non-case-based items on the Interuniversity Progress Test of Medicine in the Netherlands,/dataset.xhtml?persistentId=doi:10.7910/DVN/U3TNY6,"Jan 6, 2019",jeehp-15-28_raw data.tab,/file.xhtml?persistentId=doi:10.7910/DVN/U3TNY6/6SCQZF&version=1.0
Benefits of focus group discussions beyond online surveys in course evaluations by medical students in the United States: A qualitative study,/dataset.xhtml?persistentId=doi:10.7910/DVN/ZFKN5R,"Oct 29, 2018",Jeehp_15_25_raw data.tab,/file.xhtml?persistentId=doi:10.7910/DVN/ZFKN5R/AVITST&version=1.0
Dental students’ learning attitudes and perceptions of YouTube as a lecture video hosting platform in a flipped classroom in Korea,/dataset.xhtml?persistentId=doi:10.7910/DVN/LTDX5Q,"Oct 14, 2018",Jeehp_15_24_raw data_upload.tab,/file.xhtml?persistentId=doi:10.7910/DVN/LTDX5Q/TYWJUD&version=1.0
Agreement between 2 raters’ evaluations of a traditional prosthodontic practical exam integrated with directly observed procedural skills in Egypt,/dataset.xhtml?persistentId=doi:10.7910/DVN/8MTQZI,"Oct 14, 2018",Jeehp_15_23_raw data.tab,/file.xhtml?persistentId=doi:10.7910/DVN/8MTQZI/4ZHJQ6&version=1.0
"Learning through multiple lenses: analysis of self, peer, near-peer, and faculty assessments of a clinical history-taking task in Australia",/dataset.xhtml?persistentId=doi:10.7910/DVN/LXPAOL,"Oct 3, 2018",Jeehp_15_22_raw data.tab,/file.xhtml?persistentId=doi:10.7910/DVN/LXPAOL/STJCRO&version=1.0
Evaluation of non-cognitive traits of doctor of physical therapy learners in the United States,/dataset.xhtml?persistentId=doi:10.7910/DVN/Y75CP2,"Oct 2, 2018",Jeehp_15_19_raw data.xlsx,/file.xhtml?persistentId=doi:10.7910/DVN/Y75CP2/JZ8K9V&version=1.0
The implementation and evaluation of an e-Learning training module for observed structured  clinical examination (OSCE) raters in Canada,/dataset.xhtml?persistentId=doi:10.7910/DVN/RBL9MV,"Oct 2, 2018",Jeehp_15_18_August 6_supple 5 Results of Online OSCE Training Survey (English and French combined).xlsx,/file.xhtml?persistentId=doi:10.7910/DVN/RBL9MV/K7GJCI&version=1.0
The implementation and evaluation of an e-Learning training module for observed structured  clinical examination (OSCE) raters in Canada,/dataset.xhtml?persistentId=doi:10.7910/DVN/RBL9MV,"Oct 2, 2018",Jeehp_15_18_August 6_supple Results of In-Person OSCE Training Survey (English).xlsx,/file.xhtml?persistentId=doi:10.7910/DVN/RBL9MV/ZDB0HS&version=1.0
The implementation and evaluation of an e-Learning training module for observed structured  clinical examination (OSCE) raters in Canada,/dataset.xhtml?persistentId=doi:10.7910/DVN/RBL9MV,"Oct 2, 2018",Jeehp_15_18_August 6_supple Results of In-Person OSCE Training Survey (French).xlsx,/file.xhtml?persistentId=doi:10.7910/DVN/RBL9MV/BURDWX&version=1.0
"Examiner seniority and experience are associated with bias when scoring communication, but not examination, skills in objective structured clinical examinations (OSCEs) in Australia",/dataset.xhtml?persistentId=doi:10.7910/DVN/PBNE4K,"Aug 20, 2018",Jeehp_15_17_raw data_Data JEEHP Examiner study__17-07-18.tab,/file.xhtml?persistentId=doi:10.7910/DVN/PBNE4K/TH96KQ&version=1.0
Proposal for improving the education and licensing examination for medical record administrators in Korea,/dataset.xhtml?persistentId=doi:10.7910/DVN/S5NTZJ,"Aug 15, 2018",Jeehp_15_16_raw data.xlsx,/file.xhtml?persistentId=doi:10.7910/DVN/S5NTZJ/AKWHCY&version=1.0
Trainee perceptions of a group-based standardized patient training for challenging behavioral health scenarios in the United States,/dataset.xhtml?persistentId=doi:10.7910/DVN/DQQ39A,"Jun 21, 2018",Jeehp_15_15_June 11_raw data.tab,/file.xhtml?persistentId=doi:10.7910/DVN/DQQ39A/KZ6VW2&version=1.0
Post-hoc simulation study of computerized adaptive testing for the Korean Medical Licensing Examination,/dataset.xhtml?persistentId=doi:10.7910/DVN/PETWZF,"May 28, 2018",Jeehp_15_14_raw data.txt,/file.xhtml?persistentId=doi:10.7910/DVN/PETWZF/QQMZIF&version=1.0
Experiences with a graduate course on sex and gender medicine in Korea,/dataset.xhtml?persistentId=doi:10.7910/DVN/73YOBZ,"May 16, 2018",Jeehp_15_13_raw data.tab,/file.xhtml?persistentId=doi:10.7910/DVN/73YOBZ/CNWUD7&version=1.0
"Motivational profiles and their relationships with basic psychological needs, academic performance, study strategies, self-esteem, and vitality in dental students in Chile",/dataset.xhtml?persistentId=doi:10.7910/DVN/SHNVHF,"Apr 24, 2018",Jeehp_15_11_raw data.xlsx,/file.xhtml?persistentId=doi:10.7910/DVN/SHNVHF/Q8SHLV&version=1.0
Evaluation of a systematic career coaching program for medical students in Korea using the Career Readiness Inventory,/dataset.xhtml?persistentId=doi:10.7910/DVN/03BW6X,"Apr 24, 2018",Jeehp_15_10_Raw data.xlsx,/file.xhtml?persistentId=doi:10.7910/DVN/03BW6X/9SAQ9Y&version=1.0
"Distribution and academic significance of learning approaches among pre-clinical medical students at Trinity School of Medicine, St Vincent and the Grenadines ",/dataset.xhtml?persistentId=doi:10.7910/DVN/BVYQBN,"Apr 16, 2018",Jeehp_15_9_Supple2_Raw data.xlsx,/file.xhtml?persistentId=doi:10.7910/DVN/BVYQBN/C72BEJ&version=1.0
"Do learning style preferences  inﬂuence academic performance among dental students in Isfahan, Iran?",/dataset.xhtml?persistentId=doi:10.7910/DVN/WFBF0U,"Apr 8, 2018",Jeehp_15_8_raw data.xlsx,/file.xhtml?persistentId=doi:10.7910/DVN/WFBF0U/B9TOQB&version=1.0
Formative feedback from the first-person perspective using Google Glass in a family medicine objective structured clinical examination station in the United States,/dataset.xhtml?persistentId=doi:10.7910/DVN/PWOY48,"Mar 14, 2018",Jeehp_15_5_Raw data.xls,/file.xhtml?persistentId=doi:10.7910/DVN/PWOY48/MTPE4L&version=1.0
"Authenticity, acceptability, and feasibility of a hybrid gynecology station for the Papanicolaou test as part of a clinical skills examination in Korea",/dataset.xhtml?persistentId=doi:10.7910/DVN/FECNDV,"Mar 6, 2018",Jeehp_15_4_Raw data.xls,/file.xhtml?persistentId=doi:10.7910/DVN/FECNDV/UZ8TXH&version=1.0
Pediatric residents’ attitudes towards and experiences with collaboration with primary and secondary schools in the United States,/dataset.xhtml?persistentId=doi:10.7910/DVN/7FC9XY,"Feb 5, 2018",Jeehp-15-3 _January 29_raw data.xlsx,/file.xhtml?persistentId=doi:10.7910/DVN/7FC9XY/D1YI0Z&version=1.0
Interesting statistics regarding the papers published in Journal of Educational Evaluation for Health Professions in 2017,/dataset.xhtml?persistentId=doi:10.7910/DVN/S9FG5U,"Jan 11, 2018",Jeehp_14_36_raw data_ara.tab,/file.xhtml?persistentId=doi:10.7910/DVN/S9FG5U/8NF1V7&version=1.0
"Contributions of psychological needs, self-compassion, leisure-time exercise, and achievement goals to academic engagement and exhaustion of Canadian medical students",/dataset.xhtml?persistentId=doi:10.7910/DVN/JHZDLR,"Jan 7, 2018",Jeehp_15_2_raw data.xlsx,/file.xhtml?persistentId=doi:10.7910/DVN/JHZDLR/YEFLBL&version=1.0
Measurement of clinical empathy using Jefferson Scale of Empathy – Student Version in medical students in India,/dataset.xhtml?persistentId=doi:10.7910/DVN/LOGUCL,"Jan 7, 2018",Jeehp_14_33_raw data.xlsx,/file.xhtml?persistentId=doi:10.7910/DVN/LOGUCL/LZUDUD&version=1.0
Usefulness of DETECT program to assess internal structure of dimensionality in simulated data and results of Korean Nursing Licensing Examination,/dataset.xhtml?persistentId=doi:10.7910/DVN/O3NUPJ,"Jan 7, 2018",Jeehp_14_32_raw data.dat,/file.xhtml?persistentId=doi:10.7910/DVN/O3NUPJ/89A539&version=1.0
Reach of Spanish-language YouTube videos on physical examinations for medical education,/dataset.xhtml?persistentId=doi:10.7910/DVN/H5STPK,"Dec 18, 2017",Jeehp_14_31_raw data(1).xls,/file.xhtml?persistentId=doi:10.7910/DVN/H5STPK/GF55MK&version=1.0
Reach of Spanish-language YouTube videos on physical examinations for medical education,/dataset.xhtml?persistentId=doi:10.7910/DVN/H5STPK,"Dec 18, 2017",Jeehp_14_31_raw data(2).xls,/file.xhtml?persistentId=doi:10.7910/DVN/H5STPK/3RDGQC&version=1.0
Reach of Spanish-language YouTube videos on physical examinations for medical education,/dataset.xhtml?persistentId=doi:10.7910/DVN/H5STPK,"Dec 18, 2017",Jeehp_14_31_raw data(3).xls,/file.xhtml?persistentId=doi:10.7910/DVN/H5STPK/KWDYHD&version=1.0
Reach of Spanish-language YouTube videos on physical examinations for medical education,/dataset.xhtml?persistentId=doi:10.7910/DVN/H5STPK,"Dec 18, 2017",Jeehp_14_31_raw data(4).xls,/file.xhtml?persistentId=doi:10.7910/DVN/H5STPK/O8OTPH&version=1.0
Efficacy of an asynchronous electronic curriculum in emergency medicine education in the United States,/dataset.xhtml?persistentId=doi:10.7910/DVN/GEIBIA,"Dec 17, 2017",Jeehp_14_29_raw data.tab,/file.xhtml?persistentId=doi:10.7910/DVN/GEIBIA/ED2FJV&version=1.0
