year,dataset,command,count
2016,C7RRCX,xtreg,124
2016,C7RRCX,test,110
2016,WAQWHC,regress,72
2015,5GLF9A,xtgls,60
2015,5GLF9A,local,48
2016,FCMOFF,set,47
2016,LN5BK6,test,40
2016,UMCCYB,melogit,32
2016,LN5BK6,mean,28
2018,W4WE3X,mixed,26
2016,FCMOFF,ivreg2,24
2018,W4WE3X,margins,23
2016,C7RRCX,xtunitroot,22
2015,TZ5MOZ,newey,19
2015,5GLF9A,generate,17
2015,5GLF9A,matrix,16
2015,5GLF9A,foreach,16
2016,FCMOFF,ologit,16
2016,UMCCYB,meologit,16
2016,LN5BK6,generate,15
2016,LN5BK6,recode,15
2016,OYZFRY,ologit,14
2016,4OWQTP,zinb,10
2016,UMCCYB,generate,10
2017,9GHQSH,margins,9
2015,5GLF9A,post,8
2015,QJGKBT,margins,8
2015,QJGKBT,ivregress,8
2016,FCMOFF,bioprobit,8
2017,9GHQSH,test,8
2014,26485,ologit,7
2015,TZ5MOZ,outreg2,7
2017,9GHQSH,lincom,7
2014,26485,xtpcse,6
2015,QJGKBT,estat,6
2016,DAFQ9M,mlogit,6
2016,DAFQ9M,tabulate,5
2017,9GHQSH,estimates:res,5
2015,5GLF9A,postfile,4
2015,5GLF9A,postclose,4
2015,5GLF9A,use,4
2015,5GLF9A,twoway,4
2015,QJGKBT,summarize,4
2015,QJGKBT,bioprobit,4
2018,W4WE3X,regress,4
2016,UMCCYB,tabulate,4
2017,9GHQSH,global,4
2017,9GHQSH,egen,4
2017,9GHQSH,summarize,4
2017,9GHQSH,tabulate,4
2016,4OWQTP,summarize,3
2016,UMCCYB,replace,3
2016,UMCCYB,graph,3
2016,UMCCYB,margins,3
2016,UMCCYB,marginsplot,3
2016,OYZFRY,mchange,3
2016,OYZFRY,margins,3
2016,OYZFRY,marginsplot,3
2017,9GHQSH,local,3
2017,LJVZRA,xtnbreg,3
2014,26485,use,2
2014,26485,version,2
2014,26485,set,2
2015,5GLF9A,drop,2
2015,5GLF9A,replace,2
2015,QJGKBT,set,2
2015,QJGKBT,correlate,2
2015,QJGKBT,collin,2
2018,W4WE3X,summarize,2
2016,DAFQ9M,margins,2
2016,FCMOFF,summarize,2
2016,FCMOFF,correlate,2
2016,FCMOFF,collin,2
2016,OYZFRY,set,2
2017,9GHQSH,correlate,2
2017,9GHQSH,esttab,2
2017,LJVZRA,graph,2
2014,26485,predict,1
2014,26485,dotplot,1
2014,26485,prchange,1
2015,QJGKBT,graph,1
2015,QJGKBT,regress,1
2018,W4WE3X,clear,1
2018,W4WE3X,set,1
2018,W4WE3X,use,1
2018,W4WE3X,sort,1
2016,WAQWHC,summarize,1
2016,DAFQ9M,foreach,1
2016,DAFQ9M,factor,1
2016,DAFQ9M,rotate,1
2016,FCMOFF,log,1
2016,UMCCYB,cd,1
2016,UMCCYB,use,1
2016,UMCCYB,recode,1
2016,OYZFRY,version,1
2016,OYZFRY,use,1
2016,C7RRCX,xtset,1
2017,9GHQSH,set,1
2017,9GHQSH,use,1
2017,9GHQSH,regress,1
2017,9GHQSH,xtmixed,1
2017,9GHQSH,estat,1
2017,9GHQSH,estimates:replay,1
2017,9GHQSH,scalar,1
2017,9GHQSH,generate,1
2017,9GHQSH,xtile,1
2017,9GHQSH,drop,1
2017,9GHQSH,marginsplot,1
2017,9GHQSH,graph,1
2017,LJVZRA,histogram,1
2017,LJVZRA,marginsplot,1
