title,href,date
Online appendix for: Designing truth: Facilitating perpetrator testimony at truth commissions,/dataset.xhtml?persistentId=doi:10.7910/DVN/QHXXXN,"May 23, 2019"
"Replication data for: ""Foreign Direct Investment and Repression: An Analysis Across Industry Sectors""",/dataset.xhtml?persistentId=doi:10.7910/DVN/WHCZJR,"Mar 19, 2018"
"Replication data for: ""Does Might Make Right or Fight? Military Capacity, Democracy, and Human Rights, 1975 to 2010""",/dataset.xhtml?persistentId=doi:10.7910/DVN/JMNXSW,"Mar 19, 2018"
Replication data for: Setting the agenda: Social influence in the effects of the Human Rights Committee in Latin America and Central and Eastern Europe,/dataset.xhtml?persistentId=doi:10.7910/DVN/W4WE3X,"Mar 19, 2018"
Replication data for: Is Standing for Women a Stand Against Terrorism? Exploring the Connection Between Women's Rights and Terrorism,/dataset.xhtml?persistentId=doi:10.7910/DVN/LJVZRA,"Jul 1, 2017"
"Replication data for: [""Rights Trap or Amplifier? Crime and Attitudes Towards Local Human Rights Organizations in Mexico.""",/dataset.xhtml?persistentId=doi:10.7910/DVN/9GHQSH,"Jul 1, 2017"
Replication data for: “Local Resources for Local Rights? The Mumbai Fundraiser’s Dilemma”,/dataset.xhtml?persistentId=doi:10.7910/DVN/Q3ILYR,"Jul 1, 2017"
"Replication data for: ""A Neglected Nexus: Human Rights and Public Perceptions."" ",/dataset.xhtml?persistentId=doi:10.7910/DVN/IANAA8,"Jul 1, 2017"
"Replication data for ""Domestic Law and Human Rights Treaty Commitments: The Convention Against Torture""",/dataset.xhtml?persistentId=doi:10.7910/DVN/CMINUQ,"Mar 8, 2017"
"Replication data and online appendix for: Public Opinion on Human Rights in Putin-era Russia: Continuities, Changes, and Sources of Variation",/dataset.xhtml?persistentId=doi:10.7910/DVN/DAFQ9M,"Dec 4, 2016"
"Replication data for: ""More than a Word? 'Genocide,' Holocaust Analogies and Public Opinion in the United States""",/dataset.xhtml?persistentId=doi:10.7910/DVN/LN5BK6,"Dec 4, 2016"
Replication data for: Mainstreaming Disability in the United Nations Treaty Bodies,/dataset.xhtml?persistentId=doi:10.7910/DVN/LELNOW,"Dec 4, 2016"
Replication data for: The Construction of Human Rights Actorhood: Findings from the Korean General Social Survey,/dataset.xhtml?persistentId=doi:10.7910/DVN/H8CLAT,"Dec 4, 2016"
Replication data for: Examining the Indivisibility of Human Rights: A Statistical Analysis ,/dataset.xhtml?persistentId=doi:10.7910/DVN/C7RRCX,"Dec 4, 2016"
Replication data for:How Protest Affects Opinions of Peaceful Demonstration and Expression Rights,/dataset.xhtml?persistentId=doi:10.7910/DVN/UMCCYB,"Dec 4, 2016"
Replication Data for: The power of international criminal courts: Strategic behavior and accountability networks,/dataset.xhtml?persistentId=doi:10.7910/DVN/Y4JATX,"Dec 4, 2016"
"Replication Data for: Institutionalized Autocracies, Policy Interdependence and Labor Rights",/dataset.xhtml?persistentId=doi:10.7910/DVN/5ZXHV7,"Dec 1, 2016"
Replication data for:  Does Constitutionalizing Economic and Social Rights Promote Their Fulfillment?,/dataset.xhtml?persistentId=doi:10.7910/DVN/WAQWHC,"Apr 17, 2016"
Replication data for: Who Cares About Human Rights? Public Opinion about Human Rights Foreign Policy,/dataset.xhtml?persistentId=doi:10.7910/DVN/LW2KXB,"Mar 29, 2016"
Replication Data for: NGOs Invite Attention: From the UN Commission on Human Rights to the UN Human Rights Council,/dataset.xhtml?persistentId=doi:10.7910/DVN/4OWQTP,"Mar 29, 2016"
Replication data for: News about Her: The Effects of Media Freedom and Internet Access on Women’s Rights,/dataset.xhtml?persistentId=doi:10.7910/DVN/OYZFRY,"Mar 29, 2016"
Replication data for:  “The International Human Rights Regime and the Strategic Shift to Forced Disappearance.”,/dataset.xhtml?persistentId=doi:10.7910/DVN/FCMOFF,"Mar 24, 2016"
Replication data for: Explaining Support for Human Rights Protections: A Judicial Role?,/dataset.xhtml?persistentId=doi:10.7910/DVN/EJ8MS6,"Sep 21, 2015"
Replication data for: Does Social Spending Add Substance to Formal Rights?,/dataset.xhtml?persistentId=doi:10.7910/DVN/5GLF9A,"Sep 21, 2015"
Replication data for: De Facto Judicial Independence and Physical Integrity Rights ,/dataset.xhtml?persistentId=doi:10.7910/DVN/QJGKBT,"Jul 16, 2015"
Replication data for:“Force Multipliers”: Conditional Effectiveness of Military and INGO Human Security Interventions.,/dataset.xhtml?persistentId=doi:10.7910/DVN/TZ5MOZ,"Jul 8, 2015"
Replication data for: Aiding Labor: Foreign Aid and the Promotion of Labor Rights in LDCs.,/dataset.xhtml?persistentId=doi:10.7910/DVN/BXFTCZ,"Jul 8, 2015"
"Replication data for: No News Is Good News: Human Rights Coverage in the American Print Media, 1980-2000.",/dataset.xhtml?persistentId=doi:10.7910/DVN/NMIVPK,"Jul 8, 2015"
UNCHR Voting data (sessions 52-61),/dataset.xhtml?persistentId=doi:10.7910/DVN/28053,"Dec 15, 2014"
"Replication data for: State Capacity, Democracy, and the Violation of Personal Integrity Rights",/dataset.xhtml?persistentId=doi:10.7910/DVN/26485,"Jun 9, 2014"
