title,href,date,filename,file_href
Online appendix for: Designing truth: Facilitating perpetrator testimony at truth commissions,/dataset.xhtml?persistentId=doi:10.7910/DVN/QHXXXN,"May 23, 2019",Appendices.pdf,/file.xhtml?persistentId=doi:10.7910/DVN/QHXXXN/SBRWMA&version=1.0
"Replication data for: ""Foreign Direct Investment and Repression: An Analysis Across Industry Sectors""",/dataset.xhtml?persistentId=doi:10.7910/DVN/WHCZJR,"Mar 19, 2018",JHR_Replication.R,/file.xhtml?persistentId=doi:10.7910/DVN/WHCZJR/G2BRPJ&version=1.0
"Replication data for: ""Foreign Direct Investment and Repression: An Analysis Across Industry Sectors""",/dataset.xhtml?persistentId=doi:10.7910/DVN/WHCZJR,"Mar 19, 2018",JHR_Replication_Notes.pdf,/file.xhtml?persistentId=doi:10.7910/DVN/WHCZJR/S31JRB&version=1.0
"Replication data for: ""Foreign Direct Investment and Repression: An Analysis Across Industry Sectors""",/dataset.xhtml?persistentId=doi:10.7910/DVN/WHCZJR,"Mar 19, 2018",replicationdata.Rdata,/file.xhtml?persistentId=doi:10.7910/DVN/WHCZJR/6CEHGP&version=1.0
"Replication data for: ""Foreign Direct Investment and Repression: An Analysis Across Industry Sectors""",/dataset.xhtml?persistentId=doi:10.7910/DVN/WHCZJR,"Mar 19, 2018",Variable_Codebook.xlsx,/file.xhtml?persistentId=doi:10.7910/DVN/WHCZJR/QUWUSJ&version=1.0
"Replication data for: ""Does Might Make Right or Fight? Military Capacity, Democracy, and Human Rights, 1975 to 2010""",/dataset.xhtml?persistentId=doi:10.7910/DVN/JMNXSW,"Mar 19, 2018",Cole_replication_data (1).tab,/file.xhtml?persistentId=doi:10.7910/DVN/JMNXSW/1XIPNT&version=1.0
"Replication data for: ""Does Might Make Right or Fight? Military Capacity, Democracy, and Human Rights, 1975 to 2010""",/dataset.xhtml?persistentId=doi:10.7910/DVN/JMNXSW,"Mar 19, 2018",ONLINE APPENDIX (1).docx,/file.xhtml?persistentId=doi:10.7910/DVN/JMNXSW/BTEE78&version=1.0
Replication data for: Setting the agenda: Social influence in the effects of the Human Rights Committee in Latin America and Central and Eastern Europe,/dataset.xhtml?persistentId=doi:10.7910/DVN/W4WE3X,"Mar 19, 2018",On-line Appendix AnayaNunezPonde JHR.pdf,/file.xhtml?persistentId=doi:10.7910/DVN/W4WE3X/Z3F50Q&version=1.0
Replication data for: Setting the agenda: Social influence in the effects of the Human Rights Committee in Latin America and Central and Eastern Europe,/dataset.xhtml?persistentId=doi:10.7910/DVN/W4WE3X,"Mar 19, 2018",Replication do file AnayaNunezPonce JHR.do,/file.xhtml?persistentId=doi:10.7910/DVN/W4WE3X/AO4DCN&version=1.0
Replication data for: Setting the agenda: Social influence in the effects of the Human Rights Committee in Latin America and Central and Eastern Europe,/dataset.xhtml?persistentId=doi:10.7910/DVN/W4WE3X,"Mar 19, 2018",Replication_data_set_AnayaNunezPonce_JHR.tab,/file.xhtml?persistentId=doi:10.7910/DVN/W4WE3X/YVHMHH&version=1.0
Replication data for: Is Standing for Women a Stand Against Terrorism? Exploring the Connection Between Women's Rights and Terrorism,/dataset.xhtml?persistentId=doi:10.7910/DVN/LJVZRA,"Jul 1, 2017",jfh_replicationdataset (2).dta,/file.xhtml?persistentId=doi:10.7910/DVN/LJVZRA/RLL6HF&version=1.0
Replication data for: Is Standing for Women a Stand Against Terrorism? Exploring the Connection Between Women's Rights and Terrorism,/dataset.xhtml?persistentId=doi:10.7910/DVN/LJVZRA,"Jul 1, 2017",jhr_replicationcode (2).do,/file.xhtml?persistentId=doi:10.7910/DVN/LJVZRA/FAXEUC&version=1.0
"Replication data for: [""Rights Trap or Amplifier? Crime and Attitudes Towards Local Human Rights Organizations in Mexico.""",/dataset.xhtml?persistentId=doi:10.7910/DVN/9GHQSH,"Jul 1, 2017",Crow JHR Online Appendices.docx,/file.xhtml?persistentId=doi:10.7910/DVN/9GHQSH/HU9JGM&version=1.0
"Replication data for: [""Rights Trap or Amplifier? Crime and Attitudes Towards Local Human Rights Organizations in Mexico.""",/dataset.xhtml?persistentId=doi:10.7910/DVN/9GHQSH,"Jul 1, 2017",crow_jhr_final.do,/file.xhtml?persistentId=doi:10.7910/DVN/9GHQSH/65D0NT&version=1.0
"Replication data for: [""Rights Trap or Amplifier? Crime and Attitudes Towards Local Human Rights Organizations in Mexico.""",/dataset.xhtml?persistentId=doi:10.7910/DVN/9GHQSH,"Jul 1, 2017",Final Models and Stats_Replication in Stata.txt,/file.xhtml?persistentId=doi:10.7910/DVN/9GHQSH/EZMOZD&version=1.0
"Replication data for: [""Rights Trap or Amplifier? Crime and Attitudes Towards Local Human Rights Organizations in Mexico.""",/dataset.xhtml?persistentId=doi:10.7910/DVN/9GHQSH,"Jul 1, 2017",mam14.dta,/file.xhtml?persistentId=doi:10.7910/DVN/9GHQSH/9Y7KCA&version=1.0
