year,dataset,command,count
2017,WDRHTS,generate,2266
2018,ZUICBB,recode,1985
2017,WDRHTS,replace,1526
2017,ELWP8V,replace,1067
2017,WDRHTS,rename,1047
2019,N4RK1D,gr_edit,995
2019,DWOBT4,mean,844
2019,N4RK1D,rdrobust,812
2017,WDRHTS,egen,734
2018,SFTMNO,replace,620
2019,N4RK1D,scalar,620
2019,N4RK1D,foreach,541
2017,RQFCQH,estadd,472
2019,N4RK1D,replace,441
2016,VVCGN3,replace,436
2015,EP7DXB,scalar,435
2019,PLS50O,generate,416
2017,OOLFGP,tabout,405
2018,5H1HFF,estadd,381
2015,AOL6XC,replace,376
2019,N4RK1D,generate,373
2016,VVCGN3,label,370
2018,QNMUA1,replace,354
2019,RQZWE6,replace,338
2017,XAWZVS,summarize,338
2018,E852VT,khb,335
2018,E852VT,probit,335
2018,8OKVHY,generate,320
2018,XONPX2,estimates:store,314
2015,AOL6XC,label,299
2019,N4RK1D,forvalues,285
2018,ZFQMCP,regress,282
2019,V83FXD,replace,275
2018,O4P8J1,replace,267
2019,BQGWYI,generate,265
2018,E852VT,mlogit,263
2018,YAGHTA,matrix,260
2019,BQGWYI,reghdfe,260
2018,ZFQMCP,replace,256
2019,N4RK1D,regsave,242
2019,M3O9O6,replace,230
2017,XAWZVS,ttest,221
2017,IZC5P1,eststo,216
2019,DWOBT4,ttest,214
2016,BYFTMD,local,213
2017,VS3CG6,xtreg,207
2015,28930,local,204
2017,WDRHTS,local,204
2017,92SKA2,generate,204
2018,YAGHTA,local,200
2019,N4RK1D,graph,199
2017,6NSLSM,ttest,196
2018,ZFQMCP,generate,192
2018,8OKVHY,replace,188
2018,XONPX2,replace,186
2017,IZC5P1,xtreg,185
2017,92SKA2,for,182
2015,EP7DXB,generate,180
2018,NMCOBF,replace,177
2015,VR12G4,label,176
2016,BYFTMD,label,175
2018,8OKVHY,foreach,174
2018,VRMH3I,generate,173
2018,ZFQMCP,outreg2,173
2019,N4RK1D,keep,171
2016,BYFTMD,generate,171
2018,NMCOBF,matrix,170
2018,SFTMNO,label,167
2016,VVCGN3,generate,166
2017,TNWENH,regress,158
2016,CMUYCM,replace,157
2016,CMUYCM,foreach,155
2019,N4RK1D,matrix,154
2017,1GLFE1,generate,154
2017,7Q9ZSR,generate,154
2017,5AN3RU,regress,154
2019,9TFMSG,graph,153
2018,NMCOBF,generate,151
2018,NMCOBF,local,151
2017,VS3CG6,estimates:store,149
2018,XONPX2,xtreg,146
2019,V83FXD,setx,144
2015,AOL6XC,generate,142
2019,U07SDB,replace,142
2017,4G2DBT,global,141
2018,E852VT,generate,140
2015,OB00VG,replace,139
2015,Q0XAPV,logit,139
2018,1CKNTW,matrix,138
2017,CLMQ8E,generate,138
2019,ZK7QPH,regress,136
2018,ARMDLY,for,134
2019,N4RK1D,use,134
2018,XONPX2,label,133
2019,V83FXD,test,132
2017,7Q9ZSR,replace,132
2019,V83FXD,generate,131
2015,28930,display,130
2018,8OKVHY,estimates:store,129
2017,4G2DBT,file,128
2017,MP1NSJ,xtreg,128
2018,8OKVHY,oprobit,127
2018,1CKNTW,local,126
2016,BYFTMD,recode,125
2018,VRMH3I,ttest,123
2019,V83FXD,tabstat,121
2016,JOXCZY,ttest,121
2016,CMUYCM,generate,120
2017,OOLFGP,replace,120
2019,BQGWYI,areg,119
2017,5AN3RU,estimates:store,118
2017,EVYI2H,label,118
2015,29101,logit,117
2018,TTK06U,xtreg,116
2018,9WNYEU,recode,116
2018,5H1HFF,xtreg,115
2018,5H1HFF,eststo,115
2018,SFTMNO,generate,115
2017,TLBBUX,replace,115
2018,E2OS8R,eststo,114
2018,8OKVHY,tabulate,114
2019,PLS50O,replace,113
2017,RQFCQH,summarize,113
2015,HL0OUD,generate,111
2018,YAGHTA,replace,111
2019,DXGVAW,replace,110
2016,CWQYIB,replace,110
2017,CLMQ8E,replace,109
2017,OAGZZD,replace,109
2015,EP7DXB,egen,108
2015,EP7DXB,_pctile,108
2015,29101,test,108
2018,ZFQMCP,ivreg,108
2016,L17KS1,xtivreg2,108
2016,BYFTMD,replace,108
2016,A2EIZC,ivregress,108
2015,UE1JXM,regress,106
2018,46RXC8,ttest,105
2018,KJ6X76,ml,105
2015,VR12G4,xtreg,104
2018,XSCFX5,generate,104
2016,KC73TR,file,104
2017,WZE08F,tabulate,104
2018,XSCFX5,replace,103
2018,XONPX2,generate,102
2017,VAY7ZQ,estadd,102
2018,9WNYEU,replace,101
2018,CJBG5J,use,101
2018,8OKVHY,egen,101
2017,AE5BPK,gr_edit,101
2017,RQFCQH,egen,101
2015,HL0OUD,local,100
2018,VRMH3I,recode,100
2017,WZE08F,ttest,100
2018,O4P8J1,rename,99
2018,8OKVHY,drop,99
2019,DWOBT4,tabulate,99
2018,KJ6X76,generate,98
2018,ZFQMCP,margins,96
2017,OOLFGP,fastgini,96
2017,EKNEIH,regress,96
2017,IO89OI,tabulate,96
2019,U07SDB,generate,95
2017,OOLFGP,generate,95
2018,8OKVHY,summarize,94
2019,V83FXD,simqi,94
2019,N4RK1D,summarize,94
2018,SFTMNO,local,93
2017,TLBBUX,tabulate,93
2015,29427,local,90
2015,29117,recode,90
2015,29231,regress,90
2015,WFVMKD,replace,90
2019,N4RK1D,putexcel,90
2017,1U5WZT,generate,90
2017,OAGZZD,generate,90
2017,WDRHTS,drop,89
2015,WFVMKD,generate,88
2018,ROUWNS,generate,88
2019,N4RK1D,egen,88
2019,SXLXNV,tabulate,88
2019,GWD4HA,outreg2,87
2017,EKNEIH,local,87
2017,CLMQ8E,regress,87
2016,GMWOY6,label,86
2017,4G2DBT,estadd,86
2018,8OKVHY,predict,85
2016,JOXCZY,ranksum,85
2017,OAGZZD,regress,85
2019,V83FXD,tabulate,84
2015,Q0XAPV,replace,83
2018,O4P8J1,xtpcse,82
2019,BQGWYI,replace,82
2019,GWD4HA,regress,81
2018,ZUICBB,rename,80
2018,YAGHTA,label,80
2018,WUOAB7,regress,80
2017,4G2DBT,generate,80
2017,7Q9ZSR,label,80
2017,F1VLBI,ivreg2,80
2017,92SKA2,tabulate,80
2015,WBBAE3,generate,79
2018,IUB62M,replace,79
2015,29231,label,78
2019,9TFMSG,twoway,78
2017,4G2DBT,areg,78
2018,ZUICBB,generate,77
2018,QJ9E9M,estadd,77
2018,IUB62M,generate,77
2017,AE5BPK,generate,77
2015,29179,replace,76
2015,6IO5ET,estimates:store,76
2018,E2OS8R,reghdfe,76
2018,YCQCWJ,replace,76
2016,UFNXMK,regress,76
2017,VAY7ZQ,summarize,76
2015,29101,estimates:store,75
2019,N4RK1D,rdplot,75
2018,ROUWNS,replace,74
2018,S2Y1PA,global,73
2015,CVBXQX,matrix,72
2018,ZFQMCP,foreach,72
2018,1CKNTW,if,72
2017,UV7ZPZ,generate,72
2015,GLA1FB,ologit,71
2015,XTQJEN,matrix,71
2015,6IO5ET,svy:oprobit,71
2018,XONPX2,regress,71
2018,VSXTFS,label,71
2018,Y1EUAY,recode,71
2019,LEKKGT,regress,71
2017,WDRHTS,clear,71
2015,EWW2GX,regress,70
2015,29231,replace,70
2016,LGDIZD,local,70
2018,HK213D,replace,69
2018,KSWI03,cgmreg,69
2019,UQVN70,eststo,69
2019,U07SDB,regress,69
2019,M3O9O6,label,69
2019,PLS50O,summarize,69
2017,XNHHDO,logit,69
2015,YJMGPP,rdrobust,68
2015,28930,regress,68
2018,GS8IFM,estadd,68
2016,BYFTMD,rename,68
2016,BYFTMD,include,68
2017,WDRHTS,graph,68
2017,R677HD,lincom,68
2015,WBBAE3,logit,67
2018,O4P8J1,generate,67
2018,ROFNV2,generate,67
2017,UV7ZPZ,label,67
2018,LXIBYP,meqrlogit,66
2017,LDRTZI,matrix,66
2018,CJBG5J,preserve,65
2018,CJBG5J,restore,65
2016,L8YLCJ,local,65
2016,GMWOY6,generate,65
2017,OOLFGP,egen,65
2018,HK213D,recode,64
2018,KSWI03,graph,64
2018,VRMH3I,outreg2,64
2018,1CKNTW,estadd,64
2018,XHBJLO,graph,64
2017,WDRHTS,use,64
2015,ECIZHV,regress,63
2015,DGHX1E,estimates:store,63
2018,KSWI03,margins,63
2019,V83FXD,ttesti,63
2017,QV7AJH,global,63
2018,YCQCWJ,generate,62
2018,MZHZYQ,matrix,62
2015,Q0XAPV,drop,61
2018,KSWI03,marginsplot,61
2018,XONPX2,logit,61
2018,T8VCOF,mean,61
2019,PLS50O,nlcl,61
2019,PLS50O,eststo,61
2017,JSDUTQ,replace,61
2017,LDRTZI,regress,61
2015,AOL6XC,summarize,60
2015,CVBXQX,outreg2,60
2018,XONPX2,lincom,60
2018,VRMH3I,regress,60
2018,ZFQMCP,test,60
2018,G4XAGY,regress,60
2018,XHBJLO,margins,60
2019,RQZWE6,generate,60
2019,GBZZXL,regress,60
2016,WM6JE5,scalar,60
2016,CWQYIB,generate,60
2017,01LN9W,replace,60
2015,6IO5ET,recode,59
2018,NK4SQT,regress,59
2018,5H1HFF,generate,59
2018,ARMDLY,foreach,59
2017,VS3CG6,restore,59
2017,1GLFE1,replace,59
2017,4G2DBT,local,59
2017,WDRHTS,while,59
2018,I72HB0,regress,58
2018,MLFYNX,xtreg,58
2018,G4XAGY,outreg2,58
2018,NMCOBF,foreach,58
2019,C8DCCW,estimates:store,58
2016,BYFTMD,keep,58
2017,VS3CG6,preserve,58
2017,RQFCQH,drop,58
2017,IUJPYK,label,57
2017,LJVBT6,generate,57
2017,EVYI2H,generate,57
2015,AOL6XC,corrci,56
2015,29231,generate,56
2018,ARMDLY,regress,56
2018,AK10AT,matrix,56
2018,CJBG5J,logit,56
2018,8OKVHY,margins,56
2019,IIE50D,generate,56
2017,SIUR6A,generate,56
2018,VRMH3I,label,55
2018,ROUWNS,estout,55
2018,P1PEGO,estimates:store,55
2018,MZHZYQ,rename,55
2018,E852VT,recode,55
2018,NMCOBF,forvalues,55
2018,XTS8IE,estimates:store,55
2018,8YPPLM,generate,55
2015,29179,use,54
2018,ZLUQPL,tabstat,54
2018,KJ6X76,estimates:store,54
2018,9WNYEU,generate,54
2018,YAGHTA,regress,54
2018,XHBJLO,marginsplot,54
2018,ZSB0BL,local,54
2019,UQVN70,edvreg,54
2015,WFVMKD,recode,53
2018,NK4SQT,estimates:store,53
2018,I72HB0,generate,53
2018,SFTMNO,rename,53
2017,WDRHTS,label,53
2017,SNQG8P,replace,53
2017,92SKA2,recode,53
2015,29117,xtmelogit,52
2018,1CKNTW,generate,52
2019,BQGWYI,preserve,52
2019,BQGWYI,restore,52
2019,LEKKGT,summarize,52
2019,PLS50O,drop,52
2017,VS3CG6,use,52
2017,WDRHTS,outreg2,52
2015,DGHX1E,logit,51
2019,BQGWYI,drop,51
2019,IIE50D,eststo,51
2016,KC73TR,areg,51
2015,OB00VG,generate,50
2015,WFVMKD,margins,50
2015,29179,label,50
2018,E2OS8R,estadd,50
2018,KJ6X76,set,50
2018,ZSB0BL,generate,50
2018,SFTMNO,foreach,50
2019,9TFMSG,replace,50
2016,LGDIZD,outreg2,50
2017,4G2DBT,cd,50
2017,CLMQ8E,rename,50
2017,TLBBUX,recode,50
2017,Q5M4UQ,replace,50
2018,7UBRAC,estimates:store,49
2018,1CKNTW,replace,49
2018,PNYLIY,generate,49
2018,SDXJUV,regress,49
2019,IIE50D,nbreg,49
2019,IIE50D,summarize,49
2019,IIE50D,margins,49
2017,RQFCQH,local,49
2017,XNHHDO,estimates:sto,49
2015,ER3D0H,gsem,48
2018,ROFNV2,replace,48
2019,GWD4HA,ttest,48
2019,N4RK1D,append,48
2019,9TFMSG,generate,48
2019,9TFMSG,local,48
2016,BYFTMD,drop,48
2016,VVCGN3,tabulate,48
2016,VVCGN3,matrix,48
2017,WDRHTS,matrix,48
2017,SNQG8P,regress,48
2015,29231,drop,47
2018,ROUWNS,tabulate,47
2018,XSCFX5,tabulate,47
2018,UNWIHE,generate,47
2018,KGK9QO,summarize,47
2018,Y1EUAY,generate,47
2019,DUW1QY,replace,47
2016,GMWOY6,replace,47
2017,VS3CG6,save,47
2017,VS3CG6,parmest,47
2015,29117,estat,46
2015,PYWNTB,estadd,46
2018,ZLUQPL,replace,46
2018,1CKNTW,estout,46
2018,P1PEGO,estimates:table,46
2019,N4RK1D,rd,46
2019,PLS50O,forvalues,46
2017,VS3CG6,append,46
2017,WDRHTS,tempname,46
2017,WDRHTS,postfile,46
2017,WDRHTS,post,46
2017,WDRHTS,postclose,46
2015,Q0XAPV,label,45
2015,29179,stcox,45
2019,SXLXNV,ttesti,45
2019,85RL5E,xtreg,45
2016,8LDZFF,outreg2,45
2017,WDRHTS,save,45
2017,WDRHTS,summarize,45
2015,6IO5ET,estimates:table,44
2016,6WBQ7U,generate,44
2017,UOABFB,margins,44
2017,UOABFB,marginsplot,44
2018,X2JEXD,generate,43
