title,href,date,description,keywords
Reputation and Organizational Politics: Inside the EU Commission,/dataset.xhtml?persistentId=doi:10.7910/DVN/DXGVAW,"May 3, 2019","The replication data contains the data and do-file necessary to replicate the results presented in ""Reputation and Organizational Politics: Inside the European Commission"" by Jens Blom-Hansen and Daniel Finke, forthcoming in the Journal of Politics. Corresponding Author: Jens Blom-Hansen, jbh@ps.au.dk. The raw data is a report of the activities recorded in the CIS-net data base operated by the European Commission in 2015 and 2016 (cisnet20152016_jop.dta). The CIS-net data base is further described in the article. (2018-08-13)","European Union, public administration, European Commission, internal coordination"
Replication Data for: Projecting confidence: How the probabilistic horserace confuses and demobilizes the public,/dataset.xhtml?persistentId=doi:10.7910/DVN/TRIEF2,"May 1, 2019","Recent years have seen a dramatic change in horserace coverage of elections in the U.S.---shifting focus from late-breaking poll numbers to sophisticated meta-analytic forecasts that emphasize candidates' chance of victory. Could this shift in the political information environment affect election outcomes? We use experiments to show that forecasting increases certainty about an election's outcome, confuses many, and decreases turnout. Furthermore, we show that election forecasting has become prominent in the media, particularly in outlets with liberal audiences, and show that such coverage tends to more strongly affect the candidate who is ahead---raising questions about whether they contributed to Trump's victory over Clinton in 2016. We bring empirical evidence to this question, using ANES data to show that Democrats and Independents expressed unusual confidence in a decisive 2016 election outcome---and that the same measure of confidence is associated with lower reported turnout.",
Replication Data for: Does Campaign Spending Affect Election Outcomes? New Evidence from Transaction-Level Disbursement Data,/dataset.xhtml?persistentId=doi:10.7910/DVN/YWONK4,"May 1, 2019",Replication Data (STATA) and .do files for replication (2019-04-30),
Replication Data for: Does Police Repression Spur Everyday Cooperation: Evidence from Urban India,/dataset.xhtml?persistentId=doi:10.7910/DVN/GWD4HA,"May 1, 2019",Replication Data for: Does Police Repression Spur Everyday Cooperation: Evidence from Urban India (2019-05-01),
Replication Data for: From Political Mobilization to Electoral Participation:Turnout in Barcelona in the 1930s,/dataset.xhtml?persistentId=doi:10.7910/DVN/C8DCCW,"May 1, 2019","This article examines the process of electoral mobilization that follows the extension of voting rights to low-income citizens. We take advantage of a historically unique panel data set of official registers that include individual voting roll-calls as well as individual demographics of almost 25,000 electors in Barcelona in the 1930s, matched with relevant precinct-level socio-economic, political and geographical data. We show that voting was driven by the direct mobilization strategies developed by political parties and by those social organizations, such as trade unions, that encompassed an important part of society. This was the case especially among unskilled workers and in areas with a high density of working class voters. We also show that turnout was shaped by indirect channels, such as the social networks in which partisan ideas and organizations were embedded. To identify the mobilizational effects of organizations we rely on a variety of strategies, including a sharp, short-term change in anarchist trade union's electoral strategies. (2019-04-19)",
Replication Data for: Politicians as Party Hacks: Party Loyalty and Public Distrust in Politicians,/dataset.xhtml?persistentId=doi:10.7910/DVN/LEKKGT,"May 1, 2019","Replication data for ""Politicians as Party Hacks: Party Loyalty and Public Distrust in Politicians."" Includes raw data, replication code, and readme file with additional information. (2019-04-23)","political trust, representative style, political representation"
Replication Data for: Building Parties from City Hall: Party Membership and Municipal Government in Brazil,/dataset.xhtml?persistentId=doi:10.7910/DVN/TXFTKV,"May 1, 2019","Replication data and R code for ""Building Parties from City Hall: Party Membership and Municipal Government in Brazil.""",
A Dynamic Model of Primaries,/dataset.xhtml?persistentId=doi:10.7910/DVN/19FSQZ,"Apr 25, 2019","Replication materials for the empirics and all graphs in ""A Dynamic Model of Primaries."" (2018-04-11)",
Replication Data for: Information Technology and Political Engagement: Mixed Evidence from Uganda,/dataset.xhtml?persistentId=doi:10.7910/DVN/GBR02C,"Apr 21, 2019",Replication Data for: Information Technology and Political Engagement: Mixed Evidence from Uganda (2019-04-05),
Replication Data for National and Subnational Identification in the Syrian Civil War,/dataset.xhtml?persistentId=doi:10.7910/DVN/DMWWS5,"Apr 21, 2019","Replication data for ""National and Subnational Identification in the Syrian Civil War."" Includes raw data, questionnaire, and replication code in R. (2019-04-16)","civil war, framing, identity, Syria"
