year,dataset,command,count
2019,N4RK1D,rdrobust,812
2018,E852VT,probit,335
2018,ZFQMCP,regress,282
2018,E852VT,mlogit,263
2019,BQGWYI,reghdfe,260
2017,VS3CG6,xtreg,207
2017,IZC5P1,xtreg,185
2017,TNWENH,regress,158
2017,5AN3RU,regress,154
2018,XONPX2,xtreg,146
2015,Q0XAPV,logit,139
2019,ZK7QPH,regress,136
2017,MP1NSJ,xtreg,128
2018,8OKVHY,oprobit,127
2019,BQGWYI,areg,119
2015,29101,logit,117
2018,TTK06U,xtreg,116
2018,5H1HFF,xtreg,115
2018,ZFQMCP,ivreg,108
2016,L17KS1,xtivreg2,108
2016,A2EIZC,ivregress,108
2015,UE1JXM,regress,106
2018,KJ6X76,ml,105
2015,VR12G4,xtreg,104
2017,EKNEIH,regress,96
2015,29231,regress,90
2017,CLMQ8E,regress,87
2017,OAGZZD,regress,85
2018,O4P8J1,xtpcse,82
2019,GWD4HA,regress,81
2018,WUOAB7,regress,80
2017,F1VLBI,ivreg2,80
2017,4G2DBT,areg,78
2018,E2OS8R,reghdfe,76
2016,UFNXMK,regress,76
2015,GLA1FB,ologit,71
2015,6IO5ET,svy:oprobit,71
2018,XONPX2,regress,71
2019,LEKKGT,regress,71
2015,EWW2GX,regress,70
2018,KSWI03,cgmreg,69
2019,U07SDB,regress,69
2017,XNHHDO,logit,69
2015,YJMGPP,rdrobust,68
2015,28930,regress,68
2015,WBBAE3,logit,67
2018,LXIBYP,meqrlogit,66
2015,ECIZHV,regress,63
2018,XONPX2,logit,61
2017,LDRTZI,regress,61
2018,VRMH3I,regress,60
2018,G4XAGY,regress,60
2019,GBZZXL,regress,60
2018,NK4SQT,regress,59
2018,I72HB0,regress,58
2018,MLFYNX,xtreg,58
2018,ARMDLY,regress,56
2018,CJBG5J,logit,56
2018,YAGHTA,regress,54
2019,UQVN70,edvreg,54
2015,29117,xtmelogit,52
2015,DGHX1E,logit,51
2016,KC73TR,areg,51
2015,AOL6XC,sem,50
2018,SDXJUV,regress,49
2019,IIE50D,nbreg,49
2015,ER3D0H,gsem,48
2017,SNQG8P,regress,48
2019,N4RK1D,rd,46
2015,29179,stcox,45
2019,85RL5E,xtreg,45
2017,RQFCQH,regress,42
2018,P1PEGO,svy:oprobit,41
2018,XTS8IE,regress,41
2018,7UBRAC,xtreg,40
2016,PTOYUX,logit,40
2017,IUJPYK,outreg,40
2017,WM0XNF,probit,40
2018,KGZGLT,clogit,39
2018,QJ9E9M,areg,39
2016,LGDIZD,regress,39
2017,V9QSWK,logit,39
2019,QNCRWS,regress,38
2018,XHBJLO,mlogit,37
2018,ZSB0BL,areg,36
2018,SFTMNO,regress,36
2019,C8DCCW,regress,36
2017,IUJPYK,logit,36
2017,R163AN,regress,36
2017,WDRHTS,regress,35
2015,ASKRHF,streg,34
2018,V3DHAS,melogit,34
2018,LXIBYP,mixed,34
2016,CSHNIS,regress,34
2016,UFNXMK,ivreg,33
2018,QJ9E9M,regress,32
2018,GS8IFM,stcox,32
2018,HVHUIP,ologit,32
2019,9TFMSG,regress,30
2017,SEXLPX,xtpcse,30
2017,F1VLBI,xtivreg2,30
2017,RQFCQH,areg,30
2017,C6XJAT,stcox,30
