year,dataset,command,count
2013,2013,constraint,1614
2014,Replication McManus 2014_x,margins,675
2019,DownloadFile.ashx?id=99&type=replicationfile_x,matrix,624
2014,Replication Smith 2014_x,label,611
2016,Aila M Matanock_x,replace,552
2004,file46000_rosenblum_and_salehyan_jpr_04_x,generate,520
2014,Replication Smith 2014_x,replace,482
2015,Hillesund 2015 replication_x,replace,458
2009,kochdurationreplication_x,generate,450
2017,Ursula Daxecker & Brandon C Prins_x,generate,400
2009,Replication Regan Frank Aydin_x,replace,342
2014,Replication Smith 2014_x,generate,340
2017,Ursula Daxecker & Brandon C Prins_x,drop,292
2014,"Conrad, Haglund & Moore 2014 replication_x",matrix,279
2016,Ruloff & Findley 2016 replication_x,replace,276
2012,Cuesta_Alda_2012_x,recode,268
2012,Cuesta_Alda_2012_x,generate,266
2015,Ruhe 2015 replication_x,generate,256
2013,Goldsmith et al 2013 replication_x,set,250
2013,Goldsmith et al 2013 replication_x,probit,248
2014,Replication Smith 2014_x,drop,232
2013,Goldsmith et al 2013 replication_x,predict,232
2013,Goldsmith et al 2013 replication_x,roctab,231
2014,Regan and Meachum 2014 replication_x,replace,220
2012,"Deiwiks, Cederman and Gleditsch rep data_x",generate,220
2018,DownloadFile.ashx?id=9&type=replicationfile_x,replace,214
2017,"Rosella Cappella Zielinski, Benjamin O Fordham & Kaija E Schilde_x",replace,213
2010,Replication Hegre_x,generate,211
2016,Christian Houle_x,logit,210
2014,Brysk and Mehta 2014 replication_x,outreg2,203
2013,Erickson 2013 replication_x,scalar,202
2010,Replication Hegre_x,replace,197
2013,2013,generate,197
2017,"Stefano Costalli, Luigi Moretti & Costantino Pischedda_x",local,196
2016,"Markus Bayer, Felix S Bethke & Daniel Lambach_x",replace,194
2014,Replication Smith 2014_x,rename,190
2013,Goldsmith et al 2013 replication_x,drop,189
2012,Koubi et al. 49(1) Replication_x,drop,187
2014,Sullivan 2014 replication & appendix_x,replace,182
2011,Mousseau - Replication data 48(1)_x,replace,180
2017,Ursula Daxecker & Brandon C Prins_x,recode,180
2017,Ursula Daxecker & Brandon C Prins_x,brier,180
2015,Ruhe 2015 replication_x,replace,173
2017,"Gerald Schneider, Maya Hadar & Naomi Bosler_x",generate,170
2012,Cuesta_Alda_2012_x,replace,161
2014,Bartusevicius 2014 replication_x,setx,160
2004,file46000_rosenblum_and_salehyan_jpr_04_x,xtpcse,160
2012,Koubi et al. 49(1) Replication_x,generate,159
2014,Miller and Ritter 2014 replication_x,replace,158
2015,Hillesund 2015 replication_x,generate,151
2013,2013,regress,148
