year,dataset,command,count
2013,Goldsmith et al 2013 replication_x,probit,248
2016,Christian Houle_x,logit,210
2004,file46000_rosenblum_and_salehyan_jpr_04_x,xtpcse,160
2013,2013,regress,148
2014,Replication McManus 2014_x,oprobit,145
2011,Epifanio_replication_x,ologit,112
2018,DownloadFile.ashx?id=31&type=replicationfile_x,logit,93
2014,Bartusevicius 2014 replication_x,logit,88
2014,Miller and Ritter 2014 replication_x,probit,86
2018,DownloadFile.ashx?id=36&type=replicationfile_x,regress,78
2018,DownloadFile.ashx?id=23&type=replicationfile_x,relogit,75
2014,Brysk and Mehta 2014 replication_x,oprobit,72
2019,DownloadFile.ashx?id=98&type=replicationfile_x,logit,68
2017,Ursula Daxecker & Brandon C Prins_x,nbreg,67
2017,"Rosella Cappella Zielinski, Benjamin O Fordham & Kaija E Schilde_x",xtreg,66
2002,Replication Neumayer_x,dprobit,65
2017,Susanne Schaftenaar_x,mlogit,64
2009,Replication Englehart_x,ologit,63
2018,DownloadFile.ashx?id=51&type=replicationfile_x,logit,60
2008,Replication Glassmyer_x,logit,58
2014,Brysk and Mehta 2014 replication_x,dprobit,57
2014,Brysk and Mehta 2014 replication_x,regress,56
2008,Replication Desiree Nilsson_x,stcox,56
2012,Shirkey Replication Data_x,streg,56
2008,file50984_data_and_appxerika_x,logit,55
2014,Eck 2014 replication_x,logit,54
2010,Reuveny Replication 47(6)_x,regress,54
2018,DownloadFile.ashx?id=38&type=replicationfile_x,logit,54
2018,DownloadFile.ashx?id=55&type=replicationfile_x,nbreg,54
2008,Replication Goldsmith_x,xtgee,54
2016,Matthew Isaacs_x,logit,52
2014,Koubi and Bohmelt 2014 replication_x,probit,49
2015,"Joshi, Maloy & Peterson 2015 replication_x",xtlogit,49
2015,Elfversson 2015 replication_x,logit,46
2018,DownloadFile.ashx?id=45&type=replicationfile_x,xtreg,46
2014,Voors & Bulte 2014 replication JPR_x,regress,44
2013,Wallace 2013 replication_x,relogit,42
2008,Replication Indra De Soysa_x,outreg,42
2015,Ruhe 2015 replication_x,logit,41
2015,De Juan & Bank 2015 replication_x,xtlogit,40
2009,Replication Cuenca_x,regress,40
2019,DownloadFile.ashx?id=78&type=replicationfile_x,logit,40
2018,DownloadFile.ashx?id=15&type=replicationfile_x,nbreg,39
2009,costofshamedata_x,xtreg,39
2013,Clayton 2013 replication_x,sartsel,39
2016,Scott J Cook & Burcu Savun_x,logit,39
2014,Wright2014_JPR Replication Data & Appendix_x,ologit,38
2012,Devitt and Tol 49(1) replication_x,logit,38
2009,costofshamedata_x,outreg,37
2016,"Balcells, Daniels & Escriba-Folch 2016 replication_x",nbreg,37
2016,DownloadFile.ashx?id=37&type=replicationfile_x,logit,37
2014,Replication Smith 2014_x,ivprobit,36
2014,Brysk and Mehta 2014 replication_x,tobit,36
2015,Zellman 2015 replication_x,regress,36
2011,Replication data Neumayer 48(1)_x,nbreg,36
2019,DownloadFile.ashx?id=75&type=replicationfile_x,logit,36
2019,DownloadFile.ashx?id=95&type=replicationfile_x,regress,36
2012,JPR Replication Materials Taydas and Peksen_x,logit,35
2016,Christian Houle_x,regress,35
2016,Ruloff & Findley 2016 replication_x,stcox,35
2017,Efe Tokdemir_x,ologit,35
2016,Hannah Smidt_x,nbreg,34
2016,Matthew Kroenig_x,stcox,34
2017,Ore David Koren & Benjamin E Bago_x,zinb,34
2010,Replication Shellman_x,var,33
2019,DownloadFile.ashx?id=64&type=replicationfile_x,logit,33
2012,Henne_2012_x,heckprob,33
2016,Hugh Ward & Han Dorussen_x,xtregar,33
2016,Hugh Ward & Han Dorussen_x,outreg,33
2016,"Markus Bayer, Felix S Bethke & Daniel Lambach_x",stcox,33
2002,Replication Neumayer_x,regress,32
2018,DownloadFile.ashx?id=13&type=replicationfile_x,arima,32
2006,Replication Krustev_x,stcox,31
2019,DownloadFile.ashx?id=96&type=replicationfile_x,nbreg,31
2017,"Gerald Schneider, Maya Hadar & Naomi Bosler_x",regress,31
2014,Replication Barry et al. 2014_x,nbreg,30
2014,Sullivan 2014 replication & appendix_x,regress,30
