year,dataset,command,count
2011,ZFGUY0,local,13821
2011,ZFGUY0,scalar,9612
2018,RAUIHG,scalar,9326
2011,ZFGUY0,matrix,3558
2011,ZFGUY0,generate,3483
2018,RAUIHG,summarize,3150
2018,RAUIHG,egen,1890
2010,YDYAZG,generate,1358
2015,VAKZ2G,scalar,1160
2011,ZFGUY0,drawnorm,1074
2011,ZFGUY0,xtfevd,1056
2010,09YAWL,replace,917
2018,RAUIHG,generate,886
2011,ZFGUY0,regress,807
2014,V3OMR2,replace,774
2011,ZFGUY0,set,768
2011,ZFGUY0,program,762
2011,ZFGUY0,summarize,759
2018,RAUIHG,estimates:store,756
2011,ZFGUY0,tempvar,756
2011,ZFGUY0,egen,705
2011,ZFGUY0,drop,693
2018,RAUIHG,replace,659
2018,RAUIHG,xtreg,630
2011,R14RGH,local,627
2018,RAUIHG,local,513
2011,ZFGUY0,predict,507
2011,ZFGUY0,clear,458
2011,ZFGUY0,mata,454
2011,ZFGUY0,tempname,453
2011,HUPTER,label,453
2011,ZFGUY0,xtreg,444
2011,ZFGUY0,version,391
2011,ZFGUY0,end,391
2011,ZFGUY0,postfile,384
2011,ZFGUY0,post,384
2011,ZFGUY0,postclose,384
2018,U0TYY3,putexcel,381
2011,ZFGUY0,postutil,381
2011,ZFGUY0,quietly,381
2011,ZFGUY0,forvalues,381
2011,ZFGUY0,expand,381
2011,ZFGUY0,sort,381
2011,ZFGUY0,tsset,381
2018,RAUIHG,twoway,378
2018,RAUIHG,graph,378
2018,RAUIHG,hausman,378
2011,R14RGH,generate,375
2017,346Y30,gr_edit,341
2014,V3OMR2,generate,332
2018,RAUIHG,regress,315
2011,ZFGUY0,xthtaylor,312
2011,ZFGUY0,fevdht1,312
2011,ZFGUY0,test,300
2011,ZFGUY0,ereturn,276
2011,HUPTER,generate,274
2014,M3GYD0,generate,258
2014,24094,pwcorr,252
2014,XJSD0V,replace,246
2011,R14RGH,rename,240
2011,R14RGH,save,228
2011,R14RGH,display,227
2011,HUPTER,drop,222
2011,R14RGH,use,220
2011,R14RGH,drop,216
2017,AKHHHF,generate,210
2017,AKHHHF,replace,204
2011,HUPTER,replace,196
2014,HJCPDK,generate,194
2010,YDYAZG,svyoprobit,180
2014,HJCPDK,replace,175
2015,29603,matrix,154
2015,VAKZ2G,regress,150
2011,R14RGH,summarize,149
2010,09YAWL,meancalc,147
2011,HUPTER,rename,142
2017,346Y30,mean,139
2014,XJSD0V,generate,137
2011,R14RGH,replace,136
2014,XJSD0V,svy:regress,135
2014,V3OMR2,recode,133
2011,R14RGH,sort,132
2011,HUPTER,sort,129
2018,RAUIHG,set,127
2018,RAUIHG,clear,127
2015,28662,generate,126
2018,RAUIHG,program,126
2018,RAUIHG,tempname,126
2018,RAUIHG,postfile,126
2018,RAUIHG,drawnorm,126
2018,RAUIHG,tempvar,126
2018,RAUIHG,xtabond,126
2018,RAUIHG,xtregar,126
2018,RAUIHG,post,126
2018,RAUIHG,postclose,126
2017,4J48AX,generate,126
2017,AKHHHF,sort,125
2011,HUPTER,tabulate,124
2014,XJSD0V,svy:logit,122
2014,V3OMR2,tabulate,120
2014,V3OMR2,label,120
2014,M3GYD0,tabulate,120
2011,R14RGH,set,118
2015,VAKZ2G,predict,112
2015,VAKZ2G,generate,110
2018,RAUIHG,matrix,110
2015,VAKZ2G,replace,109
2018,RAUIHG,tsset,108
2014,M3GYD0,label,107
2010,YDYAZG,log,106
2011,8EYYA2,matrix,104
2017,AKHHHF,matrix,104
2017,4J48AX,local,103
2011,HUPTER,local,101
2018,9YCVJC,generate,100
2015,FSNGNP,generate,96
2017,346Y30,estimates:store,96
2014,23025,test,90
2018,U0TYY3,oneway,90
2018,W4TXDU,local,90
2017,Q0IXQY,generate,89
2010,YDYAZG,recode,84
2010,YDYAZG,svyprobit,84
2011,8EYYA2,local,84
2018,9YCVJC,scalar,83
2015,VAKZ2G,arfima,82
2018,RAUIHG,drop,81
2018,RAUIHG,sort,81
2018,ILTOGF,matrix,81
2014,YUN5CA,generate,79
2018,Q1V0OG,drop,77
2014,M3GYD0,matrix,74
2015,FSNGNP,drop,74
2011,KUE8ZX,generate,74
2015,28662,return,73
2015,FSNGNP,predict,72
2015,29603,local,72
2011,FVOUZ0,generate,72
2011,ZFGUY0,fevdse1,70
2011,HUPTER,logit,70
2011,ZFGUY0,collapse,69
2011,ZFGUY0,use,69
2015,28662,replace,68
2018,ILTOGF,generate,68
2017,AKHHHF,local,68
2018,Q1V0OG,label,67
2014,EMUICK,replace,66
2018,TGFAOH,ranksum,66
2018,TGFAOH,ttest,66
2018,TGFAOH,generate,66
2014,22893,ta,65
2014,HJCPDK,egen,65
2018,RAUIHG,use,65
2011,R14RGH,while,65
2016,SJ2RP1,local,65
2014,V3OMR2,svy:proportion,64
2014,M3GYD0,replace,64
2011,HUPTER,summarize,64
2016,TVNVN3,generate,64
2010,09YAWL,scalar,63
2018,RAUIHG,postutil,63
2018,RAUIHG,version,63
2018,RAUIHG,quietly,63
2018,RAUIHG,forvalues,63
2018,RAUIHG,expand,63
2018,RAUIHG,xtset,63
2018,RAUIHG,capture,63
2018,RAUIHG,prais,63
2018,RAUIHG,end,63
2018,RAUIHG,fe_ovb1,63
2014,V3OMR2,prtesti,62
2015,FSNGNP,keep,62
2018,RAUIHG,append,62
2018,Q1V0OG,generate,62
2011,HUPTER,save,61
2017,AKHHHF,timer,60
2014,23170,replace,59
2015,VAKZ2G,display,59
2015,29603,graph,59
2011,R14RGH,keep,58
2011,HUPTER,log,58
2014,THJYQR,matrix,56
2015,FSNGNP,save,56
2016,SJ2RP1,texdoc,55
2014,V3OMR2,svy:mean,54
2014,23025,replace,54
2011,HUPTER,set,54
2017,AKHHHF,regress,54
2018,W4TXDU,matrix,53
2011,R14RGH,merge,53
2014,V3OMR2,summarize,52
2014,YUN5CA,recode,52
2011,HUPTER,use,52
2015,29603,generate,51
2011,HUPTER,estimates:store,50
2016,SJ2RP1,estimates:sto,50
2011,HUPTER,compress,49
2011,DIDNXD,generate,47
2014,V3OMR2,graph,46
2010,KVL45X,generate,46
2014,V3OMR2,ksmirnov,45
2017,AKHHHF,eststo,45
2010,KVL45X,replace,44
2017,AKHHHF,graph,44
2018,ILTOGF,replace,43
2011,HUPTER,merge,43
2014,23025,estimates:store,42
2014,EMUICK,generate,42
2014,M3GYD0,local,42
2011,8EYYA2,st_matrix,42
2017,AKHHHF,set,42
2017,AKHHHF,twoway,42
2010,HUXDGD,swilk,41
2015,VAKZ2G,use,41
2018,9YCVJC,matrix,41
2016,UO5WQ4,matrix,41
2017,Q0IXQY,local,41
2014,23170,use,40
2015,FSNGNP,log,40
2015,4K4VTC,tabulate,40
2015,29603,ereturn,40
2017,4J48AX,graph,40
2014,V3OMR2,rename,39
2014,24094,regress,38
2010,09YAWL,matrix,38
2015,FSNGNP,use,38
2018,9YCVJC,regress,38
2016,OZ7YZ1,drop,38
2011,HUPTER,predict,37
2017,AKHHHF,forvalues,37
2014,V3OMR2,proportion,36
2014,M3GYD0,rename,36
2014,HJCPDK,local,36
2010,HUXDGD,sktest,36
2015,FSNGNP,logit,36
2015,FSNGNP,count,36
2015,VAKZ2G,summarize,36
2011,ZFGUY0,replace,36
2011,FVOUZ0,csgof,36
2016,Q7V70C,egen,36
2017,4J48AX,egen,36
2014,23025,svy:proportion,35
2010,KVL45X,matrix,35
2011,HUPTER,foreach,35
2014,DWA3NY,drop,34
2014,25719,regress,34
2014,M3GYD0,drop,34
2018,U0TYY3,display,34
2016,SJ2RP1,foreach,34
2016,SJ2RP1,generate,34
2016,SJ2RP1,nlcom,34
2017,AKHHHF,drop,33
2014,23170,generate,32
2014,M3GYD0,erase,32
2018,MLYNX0,generate,32
2018,ILTOGF,timer,32
2011,R14RGH,if,32
2016,SJ2RP1,matrix,32
2017,4J48AX,twoway,32
2017,Q0IXQY,replace,32
2017,4J48AX,drop,31
2014,23025,svy:regress,30
2014,23025,suest,30
2014,25719,ttest,30
2010,IGWWFE,generate,30
2015,VAKZ2G,global,30
2015,VAKZ2G,set,30
2018,9YCVJC,estimates:store,30
2018,ILTOGF,ereturn,30
2016,QXCFO2,generate,30
2010,HUXDGD,generate,29
2011,KUE8ZX,summarize,29
2016,OZ7YZ1,replace,29
2014,27564,recode,28
2014,EMUICK,set,28
2014,EMUICK,return,28
2014,M3GYD0,use,28
2010,HUXDGD,predict,28
2015,29603,mata,28
2018,Q1V0OG,saveold,28
2011,R14RGH,append,28
2011,R14RGH,continue,28
2016,UO5WQ4,local,28
2016,567RS6,replace,28
2017,AKHHHF,tabulate,28
2014,23025,generate,27
2014,23025,parmest,27
2014,27564,replace,27
2014,KLW6KY,predictnl,27
2010,TS0UJQ,rename,27
2011,ZFGUY0,st_view,27
2017,AKHHHF,foreach,27
2014,1V0FCS,matrix,26
2014,YUN5CA,ttesti,26
2014,XJSD0V,label,26
2014,DE2PLL,generate,26
2015,FSNGNP,clear,26
2015,28662,summarize,26
2018,Q1V0OG,xtreg,26
2011,R14RGH,clear,26
2011,R14RGH,tabulate,26
2011,8EYYA2,generate,26
2014,YUN5CA,replace,25
2015,29603,global,25
2018,Q1V0OG,keep,25
2011,R14RGH,duplicates,25
2011,HUPTER,do,25
2011,KUE8ZX,save,25
2017,4J48AX,save,25
2017,4J48AX,forvalues,25
2014,22893,label,24
2010,YDYAZG,replace,24
2010,HUXDGD,hettest,24
2015,VAKZ2G,tsset,24
2018,U0TYY3,esizei,24
2018,Q1V0OG,use,24
2011,R14RGH,tempfile,24
2011,HUPTER,order,24
2011,FVOUZ0,ttest,24
2016,Q7V70C,keep,24
2017,4J48AX,keep,24
2017,AKHHHF,rename,24
2014,V3OMR2,ci,23
2014,DWA3NY,rm,23
2014,22893,replace,23
2014,M3GYD0,regress,23
2015,VAKZ2G,test,23
2018,TGFAOH,return,23
2018,W4TXDU,while,23
2016,SJ2RP1,if,23
2014,V3OMR2,kdensity,22
2010,09YAWL,generate,22
2015,FSNGNP,replace,22
2015,INGQYA,local,22
2015,29603,mkmat,22
2018,Q1V0OG,regress,22
2018,3IWTGB,replace,22
2011,R14RGH,relogitq,22
2011,8EYYA2,rdob,22
2016,TVNVN3,matrix,22
2017,Q0IXQY,foreach,22
2014,23025,recode,21
2014,M3GYD0,outreg2,21
2010,HUXDGD,regress,21
2010,KVL45X,local,21
2018,U0TYY3,regress,21
2018,W4TXDU,svmat,21
2011,R14RGH,tempname,21
2011,R14RGH,postfile,21
2011,R14RGH,post,21
2011,R14RGH,postclose,21
2011,HUPTER,version,21
2011,HUPTER,clear,21
2011,HUPTER,macro,21
2017,4J48AX,set,21
2017,Q0IXQY,drop,21
2014,V3OMR2,destring,20
2014,1V0FCS,save,20
2014,DWA3NY,generate,20
2014,23170,scalar,20
2014,M3GYD0,save,20
2015,INGQYA,if,20
2015,29603,drop,20
2015,29603,forvalues,20
2018,9YCVJC,summarize,20
2018,MLYNX0,regress,20
2018,ILTOGF,eststo,20
2011,HUPTER,exit,20
2011,HUPTER,xtgee,20
2011,8EYYA2,display,20
2014,24274,graph,19
2014,M3GYD0,sort,19
2014,THJYQR,regress,19
2014,THJYQR,replace,19
2014,HJCPDK,set,19
2010,KVMF0H,generate,19
2010,09YAWL,do,19
2018,MLYNX0,replace,19
2011,R14RGH,cd,19
2011,HUPTER,probit,19
2011,HUPTER,append,19
2016,QXCFO2,svy:mean,19
2014,1V0FCS,simulate,18
2014,1V0FCS,local,18
2014,23170,drop,18
2014,23170,twoway,18
2014,M3GYD0,keep,18
2015,FSNGNP,summarize,18
2015,FSNGNP,forvalues,18
2015,FSNGNP,bsample,18
2015,FSNGNP,egen,18
2015,FSNGNP,duplicates,18
2015,FSNGNP,append,18
2015,FSNGNP,_pctile,18
2015,FSNGNP,return,18
2015,29603,table,18
2015,29603,label,18
2018,ILTOGF,esttab,18
2018,ILTOGF,local,18
2018,Q1V0OG,scalar,18
2011,R14RGH,cross,18
2016,OZ7YZ1,order,18
2016,TVNVN3,local,18
2016,Q7V70C,foreach,18
2016,Q7V70C,use,18
2016,SJ2RP1,forv,18
2016,SJ2RP1,estimates:clear,18
2017,Q0IXQY,forvalues,18
2014,27564,generate,17
2014,DWA3NY,recode,17
2014,HJCPDK,while,17
2015,VAKZ2G,cd,17
2015,VAKZ2G,matrix,17
2018,U0TYY3,summarize,17
2018,U0TYY3,outreg2,17
2018,W4TXDU,set,17
2018,Q1V0OG,clear,17
2011,HUPTER,parmest,17
2016,SJ2RP1,estimates:restore,17
2016,SJ2RP1,else,17
2016,SJ2RP1,display,17
2017,4J48AX,do,17
2017,Q0IXQY,set,17
2017,AKHHHF,egen,17
2014,V3OMR2,keep,16
2014,DWA3NY,save,16
2014,M3GYD0,foreach,16
2014,M3GYD0,qreg,16
2014,22908,tabulate,16
2014,22908,egen,16
2014,IVOFSM,generate,16
2010,YDYAZG,set,16
2015,INGQYA,reshape,16
2015,29603,svmat,16
2018,W4TXDU,return,16
2018,Q1V0OG,ta,16
2018,3IWTGB,generate,16
2011,HUPTER,egen,16
2011,KUE8ZX,matrix,16
2016,J7HUX3,generate,16
2016,OZ7YZ1,recode,16
2016,TVNVN3,scalar,16
2016,TVNVN3,twoway,16
2017,4J48AX,replace,16
2017,Q0IXQY,clear,16
2017,AKHHHF,use,16
2017,AKHHHF,summarize,16
2014,DWA3NY,use,15
2014,YUN5CA,regress,15
2014,YUN5CA,logit,15
2014,22893,regress,15
2014,23170,recode,15
2014,23170,egen,15
2014,IVOFSM,replace,15
2010,09YAWL,display,15
2015,VAKZ2G,tempname,15
2015,VAKZ2G,postfile,15
2015,VAKZ2G,quietly,15
2015,VAKZ2G,forvalues,15
2015,VAKZ2G,post,15
2015,VAKZ2G,postclose,15
2011,R14RGH,stack,15
2011,R14RGH,foreach,15
2011,KUE8ZX,use,15
2011,DIDNXD,replace,15
2011,8EYYA2,regress,15
2011,8EYYA2,if,15
2016,TVNVN3,yline,15
2016,FMH2IR,tabulate,15
2017,AKHHHF,display,15
2017,AKHHHF,tsset,15
2017,AKHHHF,clear,15
2017,AKHHHF,ereturn,15
2014,V3OMR2,drop,14
2014,V3OMR2,save,14
2014,23025,drop,14
2014,EMUICK,clear,14
2014,22893,recode,14
2014,THJYQR,lincom,14
2010,YDYAZG,oprobit,14
2010,KVL45X,global,14
2015,INGQYA,generate,14
2015,29603,scalar,14
2011,HUPTER,stcox,14
2019,SVAONZ,scalar,14
2016,CRLKIF,codebook,14
2016,OZ7YZ1,generate,14
2017,S9G9XS,replace,14
2017,4J48AX,grc1leg,14
2017,4J48AX,use,14
2017,AKHHHF,keep,14
2014,V3OMR2,use,13
2014,V3OMR2,egen,13
2014,DWA3NY,sort,13
2014,23170,keep,13
2014,23170,mse,13
2014,23170,relcor,13
2014,THJYQR,foreach,13
2010,09YAWL,initvar,13
2015,INGQYA,summarize,13
2018,ILTOGF,svmat,13
2018,3IWTGB,use,13
2011,ZFGUY0,st_matrix,13
2011,R14RGH,relogit,13
2011,R14RGH,quietly,13
2016,TVNVN3,graph,13
2016,QXCFO2,svy:proportion,13
2016,SJ2RP1,fre,13
2014,23025,svy:logit,12
2014,27564,label,12
2014,DWA3NY,egen,12
2014,EMUICK,drop,12
2014,EMUICK,regress,12
2014,EMUICK,predict,12
2014,EMUICK,program,12
2014,EMUICK,scalar,12
2014,EMUICK,list,12
2014,YUN5CA,tabulate,12
2014,23170,program,12
2014,23170,save,12
2014,M3GYD0,program,12
2014,HJCPDK,sort,12
2014,24094,lincom,12
2010,KVL45X,program,12
2015,INGQYA,graph,12
2018,TGFAOH,oneway,12
2018,9YCVJC,local,12
2018,Q1V0OG,set,12
2011,HUPTER,twoway,12
2011,HUPTER,estout,12
2011,KUE8ZX,twoway,12
2011,8EYYA2,else,12
2011,8EYYA2,predict,12
2011,FVOUZ0,summarize,12
2016,OZ7YZ1,egen,12
2016,EBBP1O,local,12
2016,QXCFO2,replace,12
2016,QXCFO2,teffects,12
2016,QXCFO2,predict,12
2016,Q7V70C,local,12
2016,Q7V70C,sort,12
2016,Q7V70C,list,12
2016,SJ2RP1,program,12
2016,SJ2RP1,addbox,12
2016,UO5WQ4,if,12
2017,4J48AX,scalar,12
2017,4J48AX,count,12
2017,4J48AX,clear,12
2017,4J48AX,survsim,12
2017,4J48AX,stset,12
2017,4J48AX,scurve_tvc,12
2017,4J48AX,append,12
2017,4J48AX,lpoly,12
2014,23025,estimates:clear,11
2014,M3GYD0,egen,11
2014,M3GYD0,graph,11
2014,HJCPDK,keep,11
2014,22908,histogram,11
2014,PWU257,generate,11
2010,09YAWL,reshape,11
2010,09YAWL,regress,11
2015,28662,matrix,11
2015,29603,use,11
2015,29603,program,11
2015,29603,replace,11
2015,29603,rename,11
2015,29603,twoway,11
2018,TGFAOH,ttesti,11
2018,TGFAOH,drop,11
2018,U0TYY3,tabulate,11
2018,9YCVJC,drop,11
2018,ILTOGF,summarize,11
2011,R14RGH,compress,11
2011,R14RGH,levels,11
2016,SJ2RP1,estread,11
2016,SJ2RP1,summarize,11
2014,V3OMR2,append,10
2014,23170,loneway,10
2014,23170,correlate,10
2014,23170,districtns,10
2014,THJYQR,mat2txt,10
2015,28662,ml,10
2015,VAKZ2G,dfuller,10
2015,INGQYA,keep,10
2015,29603,if,10
2018,9YCVJC,graph,10
2018,9YCVJC,estimates:table,10
2018,ILTOGF,use,10
2018,ILTOGF,foreach,10
2018,ILTOGF,estadd,10
2011,ZFGUY0,void,10
2011,HUPTER,ipolate,10
2011,HUPTER,unab,10
2011,KUE8ZX,clear,10
2016,OZ7YZ1,tabulate,10
2016,OZ7YZ1,id,10
2016,QXCFO2,local,10
2016,SJ2RP1,estimates:store,10
2016,SJ2RP1,keep,10
2016,UO5WQ4,regress,10
2017,S9G9XS,label,10
2017,Q0IXQY,use,10
2014,23170,if,9
2014,23170,foreach,9
2014,M3GYD0,merge,9
2014,M3GYD0,histogram,9
2014,HJCPDK,use,9
2014,DE2PLL,replace,9
2014,KLW6KY,nl,9
2010,KVL45X,ml,9
2010,KVL45X,display,9
2010,09YAWL,version,9
2010,09YAWL,getstde,9
2015,28662,clear,9
2015,28662,graph,9
2015,INGQYA,set,9
2015,29603,set,9
2015,29603,spreg,9
2018,ILTOGF,tabulate,9
2018,ILTOGF,rename,9
2018,ILTOGF,keep,9
2018,W4TXDU,rename,9
2018,Q1V0OG,outreg2,9
2018,Q1V0OG,cd,9
2011,R14RGH,logit,9
2011,HUPTER,list,9
2011,HUPTER,erase,9
2011,KUE8ZX,replace,9
2011,TMWJYL,generate,9
2016,EBBP1O,if,9
2016,SJ2RP1,end,9
2016,SJ2RP1,mean,9
2016,UO5WQ4,ereturn,9
2017,Q0IXQY,save,9
2017,Q0IXQY,egen,9
2017,AKHHHF,gsort,9
2017,AKHHHF,save,9
2017,AKHHHF,esttab,9
2014,1V0FCS,forvalues,8
2014,1V0FCS,generate,8
2014,EMUICK,use,8
2014,EMUICK,tabulate,8
2014,EMUICK,local,8
2014,EMUICK,save,8
2014,EMUICK,summarize,8
2014,23170,collapse,8
2014,23170,merge,8
2014,M3GYD0,wtlowess,8
2014,HJCPDK,matrix,8
2014,HJCPDK,_dots,8
2014,HJCPDK,drop,8
2014,22908,generate,8
2014,IVOFSM,use,8
2010,IGWWFE,use,8
2015,VAKZ2G,prais,8
2015,4K4VTC,ttest,8
2015,29603,end,8
2018,9YCVJC,replace,8
2018,ILTOGF,cd,8
2018,W4TXDU,program,8
2018,W4TXDU,drop,8
2018,W4TXDU,summarize,8
2018,Q1V0OG,egen,8
2011,HUPTER,correlate,8
2011,HUPTER,reshape,8
2011,KUE8ZX,stset,8
2011,KUE8ZX,append,8
2011,TMWJYL,replace,8
2011,FVOUZ0,log,8
2011,FVOUZ0,label,8
2011,FVOUZ0,destring,8
2016,OZ7YZ1,merge,8
2016,TVNVN3,log,8
2016,SJ2RP1,graph,8
2016,SJ2RP1,esttab,8
2016,SJ2RP1,recode,8
2016,SJ2RP1,label,8
2016,SJ2RP1,preserve,8
2016,SJ2RP1,restore,8
2016,UO5WQ4,program,8
2016,UO5WQ4,compareregs,8
2017,4J48AX,stcox,8
2017,4J48AX,estat,8
2014,V3OMR2,set,7
2014,V3OMR2,compress,7
2014,23025,use,7
2014,23025,tabulate,7
2014,23025,rename,7
2014,23025,append,7
2014,DWA3NY,merge,7
2014,DWA3NY,codebook,7
2014,EMUICK,HL_spcorr_p,7
2014,YUN5CA,ci,7
2014,23170,summarize,7
2014,M3GYD0,forvalues,7
2014,PWU257,regress,7
2010,IGWWFE,save,7
2015,INGQYA,foreach,7
2015,29603,syntax,7
2018,R7AQT1,graph,7
2018,W4TXDU,clear,7
2018,W4TXDU,regress,7
2018,3IWTGB,saveold,7
2011,R14RGH,setx,7
2011,HUPTER,keep,7
2011,KUE8ZX,stcox,7
2011,KUE8ZX,sort,7
2011,8EYYA2,tempvar,7
2011,8EYYA2,mata,7
2011,TMWJYL,drop,7
2016,J7HUX3,twoway,7
2016,CRLKIF,mdesc,7
2016,OZ7YZ1,use,7
2016,OZ7YZ1,sort,7
2016,OZ7YZ1,genD,7
2016,QXCFO2,areg,7
2016,SJ2RP1,drop,7
2016,SJ2RP1,estwrite,7
2016,SJ2RP1,rename,7
2016,SJ2RP1,rrlogit,7
2017,346Y30,tabulate,7
2017,Q0IXQY,tw,7
2017,Q0IXQY,graph,7
2017,Q0IXQY,keep,7
2014,23025,log,6
2014,23025,encode,6
2014,DWA3NY,replace,6
2014,EMUICK,syntax,6
2014,EMUICK,drawnorm,6
2014,EMUICK,ivregress,6
2014,EMUICK,end,6
2014,EMUICK,simulate,6
2014,EMUICK,graph,6
2014,24274,width,6
2014,22893,generate,6
2014,23170,end,6
2014,23170,predict,6
2014,IRX5WN,setx,6
2014,IRX5WN,simqi,6
2014,M3GYD0,end,6
2014,M3GYD0,matlist,6
2014,THJYQR,jadjust,6
2014,THJYQR,restrictacme,6
2014,HJCPDK,mixlpred2,6
2014,HJCPDK,save,6
2014,22908,replace,6
2014,LNAQQF,ivregress,6
2014,LNAQQF,estat,6
2014,IVOFSM,egen,6
2010,YDYAZG,clear,6
2010,YDYAZG,use,6
2010,IGWWFE,global,6
2010,IGWWFE,loop,6
2010,HUXDGD,log,6
2010,KVMF0H,scalar,6
2010,KVL45X,version,6
2010,KVL45X,tabulate,6
2010,KVL45X,end,6
2010,KVL45X,while,6
2010,09YAWL,postfile,6
2010,09YAWL,post,6
2010,09YAWL,postclose,6
2015,28662,set,6
2015,28662,log,6
2015,28662,program,6
2015,28662,twoway,6
2015,VAKZ2G,ivreg2,6
2015,VAKZ2G,ivregress,6
2015,VAKZ2G,estimates:store,6
2015,INGQYA,use,6
2015,29603,save,6
2018,9YCVJC,twoway,6
2018,ILTOGF,mean,6
2018,ILTOGF,estat,6
2018,W4TXDU,estimates:store,6
2018,W4TXDU,if,6
2018,W4TXDU,mkmat,6
2018,Q1V0OG,replace,6
2011,ZFGUY0,O2,6
2011,HUPTER,histogram,6
2011,HUPTER,describe,6
2011,HUPTER,move,6
2011,HUPTER,preserve,6
2011,HUPTER,restore,6
2011,KUE8ZX,drawnorm,6
2011,KUE8ZX,tabulate,6
2011,8EYYA2,summarize,6
2011,8EYYA2,count,6
2011,8EYYA2,function,6
2011,8EYYA2,allv,6
2011,8EYYA2,nc,6
