title,href,date
Replication Data for: Measurement Error and the Specification of the Weights Matrix in Spatial Regression Models,/dataset.xhtml?persistentId=doi:10.7910/DVN/W9DGRR,"May 18, 2019"
Replication Data for: How to assess power law behavior using stochastic process methods: A note of caution,/dataset.xhtml?persistentId=doi:10.7910/DVN/8DWAZW,"May 17, 2019"
Replication Data for: Measuring the Competitiveness of Elections,/dataset.xhtml?persistentId=doi:10.7910/DVN/FYRQQE,"May 16, 2019"
Corrected Standard Errors with Clustered Data,/dataset.xhtml?persistentId=doi:10.7910/DVN/NQIFWB,"May 14, 2019"
Word Embeddings for the Analysis of Ideological Placement in Parliamentary Corpora,/dataset.xhtml?persistentId=doi:10.7910/DVN/K0OYQF,"May 5, 2019"
Replication Data for: A bracketing relationship between difference-in-differences and lagged-dependent-variable adjustment,/dataset.xhtml?persistentId=doi:10.7910/DVN/2F8CWX,"May 1, 2019"
Replication Data for: Unexpected Event during Surveys Design: Promise and Pitfalls for Causal Inference,/dataset.xhtml?persistentId=doi:10.7910/DVN/RDIIVL,"May 1, 2019"
"Replication Data for: Castanho Silva and Littvay, ""Comparative Research Is Harder than we Thought: Regional Differences in Experts' Understanding of Electoral Integrity Questions""",/dataset.xhtml?persistentId=doi:10.7910/DVN/HG2CAJ,"May 1, 2019"
Replication Data for: Discrete Choice Data with Unobserved Heterogeneity: A Conditional Binary Quantile Model,/dataset.xhtml?persistentId=doi:10.7910/DVN/1WZCEA,"May 1, 2019"
Replication Data for: A Timely Intervention: Tracking the Changing Meanings of Political Concepts with Word Vectors,/dataset.xhtml?persistentId=doi:10.7910/DVN/CGNX3M,"Apr 5, 2019"
Replication Data for: List Experiments with Measurement Error,/dataset.xhtml?persistentId=doi:10.7910/DVN/L3GWNP,"Mar 31, 2019"
Replication Data for:  Predicting Partisan Responsiveness: A Probabilistic Text Mining Time-Series Approach,/dataset.xhtml?persistentId=doi:10.7910/DVN/TBW4Y4,"Feb 25, 2019"
Replication Data for: Ecological Regression with Partial Identification,/dataset.xhtml?persistentId=doi:10.7910/DVN/W7KZVL,"Feb 25, 2019"
Replication Data for: A Bayesian Split Population Survival Model for Duration Data With Misclassified Failure Events,/dataset.xhtml?persistentId=doi:10.7910/DVN/ILZHUR,"Feb 5, 2019"
Replication Data for: Why Propensity Scores Should Not Be Used for Matching,/dataset.xhtml?persistentId=doi:10.7910/DVN/A9LZNV,"Jan 28, 2019"
Measuring Geographic Distribution for Political Research,/dataset.xhtml?persistentId=doi:10.7910/DVN/DKY4DY,"Jan 19, 2019"
Replication Data for: Bias in self-reported voting and how it distorts turnout models: disentangling nonresponse bias and overreporting among Danish voters,/dataset.xhtml?persistentId=doi:10.7910/DVN/PNPR8C,"Jan 16, 2019"
Replication Data for: Predicting Network Events to Assess Goodness of Fit of Relational Event Models,/dataset.xhtml?persistentId=doi:10.7910/DVN/GM5SYQ,"Jan 14, 2019"
Replication Data for: Estimating  grouped data  models with a binary dependent   variable and fixed effect via logit vs OLS: the impact of dropped units,/dataset.xhtml?persistentId=doi:10.7910/DVN/SVAONZ,"Jan 14, 2019"
Replication Data for: Modeling Context-Dependent Latent Effect Heterogeneity,/dataset.xhtml?persistentId=doi:10.7910/DVN/WB9XLZ,"Jan 13, 2019"
Replication Data for: The Sensitivity of Spatial Regression Models to Network Misspecification,/dataset.xhtml?persistentId=doi:10.7910/DVN/NAJIKB,"Jan 13, 2019"
Replication Data for: Relaxing the No Liars Assumption in List Experiment Analyses,/dataset.xhtml?persistentId=doi:10.7910/DVN/DFRSKZ,"Jan 11, 2019"
"Replication Data for: Dynamic Ecological Inference for Time-Varying Population Distributions Based on Sparse, Irregular, and Noisy Marginal Data",/dataset.xhtml?persistentId=doi:10.7910/DVN/YPMVMH,"Jan 9, 2019"
"Replication Data for: Measuring Polarisation with Text Analysis - Evidence from the UK House of Commons, 1811-2015",/dataset.xhtml?persistentId=doi:10.7910/DVN/HHOIA4,"Dec 12, 2018"
"Replication Data for: ""Testing the Validity of Automatic Speech Recognition for Political Text Analysis"" by Sven-Oliver Proksch, Christopher Wratil and Jens Wäckerle",/dataset.xhtml?persistentId=doi:10.7910/DVN/PGQY2F,"Dec 11, 2018"
Replication Data for: A Bounds Approach to Inference Using the Long Run Multiplier,/dataset.xhtml?persistentId=doi:10.7910/DVN/4RCPSE,"Dec 7, 2018"
Replication Data for: Improving Supreme Court Forecasting Using Boosted Desicion Trees,/dataset.xhtml?persistentId=doi:10.7910/DVN/JJCXTH,"Nov 19, 2018"
Replication Data for: A Local Structure Graph Model: Modeling Formation of Network Edges as a Function of Other Edges,/dataset.xhtml?persistentId=doi:10.7910/DVN/CU0V56,"Oct 29, 2018"
Replication Data for: Hierarchical Item Response Models for Analyzing Public Opinion,/dataset.xhtml?persistentId=doi:10.7910/DVN/HCSQBD,"Oct 29, 2018"
Replication Data for: Exploring the Dynamics of Latent Variable Models,/dataset.xhtml?persistentId=doi:10.7910/DVN/SSLCFF,"Oct 28, 2018"
Replication Data for: A Note on Dropping Experimental Subjects who Fail a Manipulation Check,/dataset.xhtml?persistentId=doi:10.7910/DVN/GXXYMH,"Oct 24, 2018"
Replication Data for: Paying Attention to Inattentive Survey Respondents,/dataset.xhtml?persistentId=doi:10.7910/DVN/TUUYLQ,"Sep 28, 2018"
Replication Data for: Replications in Context: A Framework for Evaluating New Methods in Quantitative Political Science,/dataset.xhtml?persistentId=doi:10.7910/DVN/ADJWFS,"Sep 11, 2018"
Replication Data for: What Can Instrumental Variables Tell Us About Nonresponse in Household Surveys and Political Polls?,/dataset.xhtml?persistentId=doi:10.7910/DVN/ILTOGF,"Sep 9, 2018"
Replication Materials for: Can non-experts really emulate statistical learning methods?,/dataset.xhtml?persistentId=doi:10.7910/DVN/KT20FE,"Aug 27, 2018"
Replication Data for: A Regression-with-Residuals Method for Estimating Controlled Direct Effects,/dataset.xhtml?persistentId=doi:10.7910/DVN/BPU1XG,"Aug 23, 2018"
Replication Data for: Forecasting Elections in Multi-Party Systems: A Bayesian Approach Combining Polls and Fundamentals,/dataset.xhtml?persistentId=doi:10.7910/DVN/MLYNX0,"Aug 21, 2018"
Replication Data for: How Much Should We Trust Estimates from Multiplicative Interaction Models? Simple Tools to Improve Empirical Practice,/dataset.xhtml?persistentId=doi:10.7910/DVN/Q1V0OG,"Jul 28, 2018"
Replication Data for: Inferential Approaches for Network Analysis. AMEN for Latent Factor Models,/dataset.xhtml?persistentId=doi:10.7910/DVN/H31DZG,"Jul 27, 2018"
Emotional Arousal Predicts Voting on the U.S. Supreme Court,/dataset.xhtml?persistentId=doi:10.7910/DVN/JFU71R,"Jul 25, 2018"
Replication Data for: The External Validity of College Student Subject Pools in Experimental Research:  A Cross-Sample Comparison of Treatment Effect Heterogeneity,/dataset.xhtml?persistentId=doi:10.7910/DVN/U0TYY3,"Jul 23, 2018"
Replication Data for: How Cross-Validation Can Go Wrong and What to Do About it.,/dataset.xhtml?persistentId=doi:10.7910/DVN/Y9KMJW,"Jul 19, 2018"
"Replication Materials for ""Comparing Random Forest with Logistic Regression for Predicting Class-Imbalanced Civil War Onset Data: A Comment""",/dataset.xhtml?persistentId=doi:10.7910/DVN/UIUYGY,"Jul 19, 2018"
Replication Data for: Modeling Asymmetric Relationships from Symmetric Networks,/dataset.xhtml?persistentId=doi:10.7910/DVN/VFDCJV,"Jun 20, 2018"
Replication Data for: Measurement Uncertainty in Spatial Models: A Bayesian Dynamic Measurement Model,/dataset.xhtml?persistentId=doi:10.7910/DVN/ICTG9Z,"Jun 6, 2018"
"Replication Data for: Messy Data, Robust Inference? Navigating Obstacles to Inference with bigKRLS",/dataset.xhtml?persistentId=doi:10.7910/DVN/CYYLOK,"May 29, 2018"
Replication Data for: Are Papers Written by Women Authors Cited Less Frequently?,/dataset.xhtml?persistentId=doi:10.7910/DVN/PCYBPY,"May 21, 2018"
Replication Data for: IRT models for expert-coded panel data,/dataset.xhtml?persistentId=doi:10.7910/DVN/KGP01E,"May 4, 2018"
"Replication script for Iacus, King, Porro (2018), ""A Theory of Statistical Inference for Matching Methods in Causal Research""",/dataset.xhtml?persistentId=doi:10.7910/DVN/AOY452,"May 4, 2018"
Replication Data for: Estimating Smooth Country-Year Panels of Public Opinion,/dataset.xhtml?persistentId=doi:10.7910/DVN/A47LUM,"May 4, 2018"
Replication Data for: Why Does the ANES Overestimate Voter Turnout?,/dataset.xhtml?persistentId=doi:10.7910/DVN/NQVP7K,"May 1, 2018"
Replication Data for: No Longer Lost in Translation: Evidence that Google Translate Works for Comparative Bag-of-Words Text Applications,/dataset.xhtml?persistentId=doi:10.7910/DVN/VKMY6N,"Apr 14, 2018"
Replication Data for: Ideological Scaling of Social Media Users. A Dynamic Lexicon Approach,/dataset.xhtml?persistentId=doi:10.7910/DVN/0ZCBTB,"Apr 9, 2018"
Replication Data for: A Multinomial Framework for Ideal Point Estimation,/dataset.xhtml?persistentId=doi:10.7910/DVN/LD0ITE,"Apr 9, 2018"
A Note on Listwise Deletion versus Multiple Imputation,/dataset.xhtml?persistentId=doi:10.7910/DVN/NDTR8K,"Mar 30, 2018"
Replication Data for: Detecting Heterogeneity and Inferring Latent Roles in Longitudinal Networks,/dataset.xhtml?persistentId=doi:10.7910/DVN/TWHEZ9,"Mar 23, 2018"
Replication Data for: Not so Harmless After All: The Fixed-Effects Model,/dataset.xhtml?persistentId=doi:10.7910/DVN/RAUIHG,"Mar 22, 2018"
Replication Data for: Using electromagnetic signal propagation models for radio and television broadcasts: An introduction,/dataset.xhtml?persistentId=doi:10.7910/DVN/OZ6VYD,"Mar 19, 2018"
Replication Data for: Regression Discontinuity with Multiple Running Variables Allowing Partial Effects,/dataset.xhtml?persistentId=doi:10.7910/DVN/9YCVJC,"Mar 12, 2018"
Replication Data for: Analyzing Causal Mechanisms in Survey Experiments,/dataset.xhtml?persistentId=doi:10.7910/DVN/KHE44F,"Mar 9, 2018"
Replication Data for: Gendered Citation Patterns across Political Science  and Social Science Methodology Fields,/dataset.xhtml?persistentId=doi:10.7910/DVN/R7AQT1,"Mar 8, 2018"
Replication Data for: Information and its Presentation: Treatment Effects in Low-information vs. High-information Experiments,/dataset.xhtml?persistentId=doi:10.7910/DVN/TGFAOH,"Mar 8, 2018"
Replication Data for: 'Information Equivalence in Survey Experiments',/dataset.xhtml?persistentId=doi:10.7910/DVN/KVZXE8,"Feb 22, 2018"
Replication Data for: Waking Up the Golden Dawn: Does Exposure to the Refugee Crisis Increase Support for Extreme-right Parties?,/dataset.xhtml?persistentId=doi:10.7910/DVN/3IWTGB,"Feb 9, 2018"
Replication Data for: On the Use and Abuse of Spatial Instruments,/dataset.xhtml?persistentId=doi:10.7910/DVN/W4TXDU,"Jan 25, 2018"
Machine Learning Human Rights and Wrongs: How the Successes and Failures of Supervised Learning Algorithms Can Inform the Debate About Information Effects,/dataset.xhtml?persistentId=doi:10.7910/DVN/IDXGOH,"Jan 23, 2018"
"Replication Data for: ""Estimating Spatial Preferences from Votes and Text""",/dataset.xhtml?persistentId=doi:10.7910/DVN/AGUVBE,"Jan 4, 2018"
Replication Data for: Measuring Voters' Multidimensional Policy Preferences with Conjoint Analysis: Application to Japan's 2014 Election,/dataset.xhtml?persistentId=doi:10.7910/DVN/KUMMUJ,"Dec 1, 2017"
Replication Data for: Worth Weighting? How to Think About and Use Weights in Survey Experiments,/dataset.xhtml?persistentId=doi:10.7910/DVN/52UGJT,"Nov 16, 2017"
Replication Data for: Realists and Idealists in QCA,/dataset.xhtml?persistentId=doi:10.7910/DVN/WM3X3D,"Nov 14, 2017"
"Replication Data for: Text Preprocessing For Unsupervised Learning: Why It Matters, When It Misleads, And What To Do About It",/dataset.xhtml?persistentId=doi:10.7910/DVN/XRR0HM,"Nov 8, 2017"
Replication Data for: Nonparametric Ideal-Point Estimation and Inference,/dataset.xhtml?persistentId=doi:10.7910/DVN/WIRN6R,"Oct 24, 2017"
Replication Data for: Labels vs. Pictures: Treatment-Mode Effects in Experiments About Discrimination,/dataset.xhtml?persistentId=doi:10.7910/DVN/DFEH8S,"Oct 13, 2017"
Replication Data for: A New Approach for Developing Neutral Redistricting Plans ,/dataset.xhtml?persistentId=doi:10.7910/DVN/R9GKJA,"Oct 3, 2017"
When Can Multiple Imputation Improve Regression Estimates?,/dataset.xhtml?persistentId=doi:10.7910/DVN/S9G9XS,"Oct 1, 2017"
Replication Data for: Game Changers: Detecting Shifts in Overdispersed Count Data,/dataset.xhtml?persistentId=doi:10.7910/DVN/SKGWTS,"Sep 7, 2017"
Replication Data for: Classification Accuracy as a Substantive Quantity of Interest: Measuring Polarization in Westminster Systems,/dataset.xhtml?persistentId=doi:10.7910/DVN/YTPJ1N,"Sep 5, 2017"
Replication Data for: The Number of Choice Tasks and Survey Satisficing in Conjoint Experiments,/dataset.xhtml?persistentId=doi:10.7910/DVN/TLPMVI,"Aug 21, 2017"
Replication Data for: Quantifying change over time: Interpreting time-varying effects in duration analyses,/dataset.xhtml?persistentId=doi:10.7910/DVN/4J48AX,"Aug 14, 2017"
Replication Data for: Flexible Causal Inference for Political Science,/dataset.xhtml?persistentId=doi:10.7910/DVN/DXDQV3,"Aug 7, 2017"
"Replication Data for: List Experiment Design, Non-Strategic Respondent Error, and Item Count Technique Estimators",/dataset.xhtml?persistentId=doi:10.7910/DVN/ELHTWJ,"Aug 7, 2017"
Replication Data for: Modeling Guessing Components in the Measurement of Political Knowledge,/dataset.xhtml?persistentId=doi:10.7910/DVN/80WUQB,"Jul 21, 2017"
Replication Data for: Power and false negatives in Qualitative Comparative Analysis (QCA),/dataset.xhtml?persistentId=doi:10.7910/DVN/UNHYMP,"Jun 9, 2017"
"Replication Data for ""Using Split Samples to Improve Inference on Causal Effects""",/dataset.xhtml?persistentId=doi:10.7910/DVN/Q0IXQY,"May 25, 2017"
Replication Data for: Unifying the Study of Asymmetric Hypotheses,/dataset.xhtml?persistentId=doi:10.7910/DVN/9NXGHP,"May 11, 2017"
Replication Data for: Randomization Inference with Rainfall Data: Using Historical Weather Patterns for Variance Estimation,/dataset.xhtml?persistentId=doi:10.7910/DVN/RJF61A,"May 5, 2017"
Replication Data for: Modeling Unobserved Heterogeneity in Social Networks with the Frailty Exponential Random Graph Model,/dataset.xhtml?persistentId=doi:10.7910/DVN/K3D1M2,"Apr 21, 2017"
"Replication Data for: The Design of Field Experiments With Survey Outcomes: A Framework for Selecting More Efficient, Robust, and Ethical Designs",/dataset.xhtml?persistentId=doi:10.7910/DVN/EEP5MT,"Mar 26, 2017"
Replication Data for Estimating Heterogeneous Treatment Effects and the Effects of Heterogeneous Treatments with Ensemble Methods,/dataset.xhtml?persistentId=doi:10.7910/DVN/BQMLQW,"Mar 15, 2017"
Replication Data for: The potential of online sampling for studying political activists around the world and across time,/dataset.xhtml?persistentId=doi:10.7910/DVN/346Y30,"Feb 15, 2017"
Replication Data for: Transformation-Induced Bias,/dataset.xhtml?persistentId=doi:10.7910/DVN/CYXFB8,"Feb 6, 2017"
Disasters and Elections: Estimating the Net Effect of Damage and Relief in Historical Perspective,/dataset.xhtml?persistentId=doi:10.7910/DVN/AKHHHF,"Jan 18, 2017"
Replication Data for: Geo-Nested Analysis: Mixed-Methods Research with Spatially Dependent Data,/dataset.xhtml?persistentId=doi:10.7910/DVN/HRLHA4,"Dec 31, 2016"
Replication Data for: The Statistical Analysis of Misreporting on Sensitive Survey Questions,/dataset.xhtml?persistentId=doi:10.7910/DVN/PZKBUX,"Dec 20, 2016"
