year,dataset,command,count
2011,ZFGUY0,regress,807
2018,RAUIHG,xtreg,630
2011,ZFGUY0,xtreg,444
2018,RAUIHG,regress,315
2011,ZFGUY0,xthtaylor,312
2018,RAUIHG,xtabond,252
2015,VAKZ2G,regress,150
2014,XJSD0V,svy:regress,135
2018,RAUIHG,xtregar,126
2014,XJSD0V,svy:logit,122
2011,HUPTER,logit,70
2017,AKHHHF,regress,54
2014,24094,regress,38
2018,9YCVJC,regress,38
2015,FSNGNP,logit,36
2014,25719,regress,34
2014,23025,svy:regress,30
2018,Q1V0OG,xtreg,26
2014,M3GYD0,regress,23
2018,Q1V0OG,regress,22
2010,HUXDGD,regress,21
2018,U0TYY3,regress,21
2018,MLYNX0,regress,20
2011,HUPTER,xtgee,20
2014,THJYQR,regress,19
2011,HUPTER,probit,19
2014,M3GYD0,qreg,16
2014,YUN5CA,regress,15
2014,YUN5CA,logit,15
2014,22893,regress,15
2011,8EYYA2,regress,15
2010,YDYAZG,oprobit,14
2011,HUPTER,stcox,14
2011,R14RGH,relogit,13
2014,23025,svy:logit,12
2014,EMUICK,regress,12
2010,09YAWL,regress,11
2015,28662,ml,10
2016,UO5WQ4,regress,10
2014,KLW6KY,nl,9
2010,KVL45X,ml,9
2015,29603,spreg,9
2011,R14RGH,logit,9
2017,4J48AX,stcox,8
2014,PWU257,regress,7
2018,W4TXDU,regress,7
2011,KUE8ZX,stcox,7
2016,QXCFO2,areg,7
2014,EMUICK,ivregress,6
2014,LNAQQF,ivregress,6
2015,VAKZ2G,ivreg2,6
2015,VAKZ2G,ivregress,6
2016,QXCFO2,logit,6
2016,SJ2RP1,nl,6
2016,UO5WQ4,areg,6
2014,V3OMR2,probit,5
2015,28662,probit,5
2015,29603,ml,5
2018,ILTOGF,ivregress,5
2018,Q1V0OG,xtpcse,5
2011,DIDNXD,nl,5
2014,EMUICK,ivreg2,4
2014,23170,regress,4
2014,IRX5WN,logit,4
2014,HJCPDK,mixlogit,4
2015,PPPKMF,xtreg,4
2018,W4TXDU,ivreg,4
2018,3IWTGB,xtreg,4
2016,CRLKIF,xtpcse,4
2016,CRLKIF,xtreg,4
2016,CRLKIF,xtivreg,4
2016,567RS6,regress,4
2017,S9G9XS,regress,4
2014,IRX5WN,estsimp,3
2014,XJSD0V,regress,3
2014,22908,logit,3
2014,DE2PLL,nl,3
2015,29603,streg,3
2018,ILTOGF,logit,3
2018,W4TXDU,ivregress,3
2018,Q1V0OG,areg,3
2011,HUPTER,btscs,3
2019,SVAONZ,regress,3
2014,LITWQ9,regress,2
2014,23170,xtmixed,2
2010,KVMF0H,biprobit,2
2015,28662,logit,2
2018,R7AQT1,logit,2
2018,MLYNX0,xtreg,2
2018,ILTOGF,regress,2
2016,J7HUX3,rdrobust,2
2016,OMJYE5,logit,2
2017,Q0IXQY,regress,2
2014,HJCPDK,clogit,1
2014,ESQZJU,regress,1
2014,IVOFSM,dprobit,1
2010,TS0UJQ,regress,1
2015,INGQYA,regress,1
2018,TGFAOH,mlogit,1
2018,Q1V0OG,xtregar,1
2011,HUPTER,regress,1
2011,TMWJYL,regress,1
2011,TMWJYL,xtreg,1
2019,SVAONZ,logit,1
2016,J7HUX3,regress,1
2016,J7HUX3,ivregress,1
2016,J7HUX3,ivreg2,1
2016,OMJYE5,xtgee,1
2017,4J48AX,btscs,1
2017,4J48AX,probit,1
