year,dataset,command,count
2016,5VJF4S,scalar,620
2018,L4XKEZ,replace,612
2018,L4XKEZ,label,553
2018,L4XKEZ,margins,410
2018,XBWR8N,matrix,407
2018,ISJPJN,replace,363
2017,SGKPSH,tabulate,330
2018,L4XKEZ,graph,318
2017,9DAQH4,generate,313
2018,L4XKEZ,generate,301
2018,L4XKEZ,rename,287
2018,L4XKEZ,logit,283
2017,LTJIDX,label,270
2018,EXISK5,sureg,267
2016,T5FLOH,replace,255
2016,V9DNG8,generate,252
2019,8WCOCN,replace,239
2016,T5FLOH,label,235
2016,5VJF4S,generate,227
2017,9DAQH4,clogit,208
2018,XCLNIE,replace,193
2018,L4XKEZ,parmest,192
2016,V9DNG8,recode,190
2018,QHMXAQ,svy:tabulate,188
2019,T4GBDS,replace,187
2019,88AACL,replace,183
2017,OBGAHG,regress,179
2018,XCLNIE,generate,178
2018,L4XKEZ,marginsplot,174
2017,9DAQH4,scalar,168
2016,V9DNG8,replace,167
2018,MT7XU0,replace,166
2017,9DAQH4,replace,162
2017,SGKPSH,generate,159
2017,9DAQH4,program,156
2017,LTJIDX,generate,148
2016,V9DNG8,tabulate,143
2017,9DAQH4,return,136
2018,92ELXT,prvalue,132
2018,0AX8T1,local,129
2017,SGKPSH,recode,127
2017,OBGAHG,generate,124
2015,MCMKKT,label,118
2018,LAYMOS,outsum,116
2017,OBGAHG,test,114
2017,OBGAHG,replace,112
2018,L4XKEZ,testparm,111
2018,XCLNIE,regress,111
2019,T4GBDS,generate,111
2018,BMTO0R,regress,110
2017,SGKPSH,replace,105
2016,BP5G4Q,recode,104
2019,JXJ0ZS,replace,103
2019,R9PGXI,areg,97
2018,L4XKEZ,eststo,96
2019,YDC4XD,lincom,96
2018,L4XKEZ,summarize,95
2016,T5FLOH,regress,95
2019,JXJ0ZS,estimates:store,94
2018,59F366,use,93
2015,MCMKKT,generate,92
2018,XBWR8N,regress,91
2018,MT7XU0,generate,90
2016,D155SP,generate,86
2017,DY1282,label,86
2016,BP5G4Q,generate,85
2017,9DAQH4,end,85
2015,12SK8B,matrix,84
2019,T89O95,margins,76
2019,JXJ0ZS,mixed,75
2018,L4XKEZ,foreach,74
2018,L4XKEZ,regress,74
2018,QHMXAQ,test,72
2018,0AX8T1,estadd,72
2016,UYUZYA,ttest,72
2017,OBGAHG,summarize,71
2017,9DAQH4,drop,71
2016,D155SP,replace,69
2017,9DAQH4,preserve,69
2018,BMTO0R,estimates:store,68
2018,ZX4HGA,ttest,68
2019,T4GBDS,recode,67
2016,5VJF4S,replace,67
2018,L4XKEZ,estimates:store,66
2018,MS0NFV,ttest,66
2018,QHMXAQ,replace,66
2019,YDC4XD,replace,63
2016,T5FLOH,eststo,61
2018,59F366,replace,60
2018,LAYMOS,outreg2,60
2018,LAYMOS,lincom,60
2019,JXJ0ZS,prvalue,60
2016,C5OXWN,generate,60
2016,DIIQF7,lincom,60
2019,8WCOCN,generate,59
2017,9DAQH4,recode,59
2018,L4XKEZ,tabulate,58
2016,5VJF4S,display,57
2016,5VJF4S,egen,57
2016,5VJF4S,_pctile,57
2018,L4XKEZ,recode,56
2016,T5FLOH,tabulate,56
2017,SGKPSH,estimates:store,56
2017,SGKPSH,margins,56
2018,L4XKEZ,esttab,55
2015,2B9T2H,tabulate,54
2017,WYTRZC,label,54
2017,WYTRZC,replace,54
2019,T4GBDS,estimates:store,53
2018,SWORPS,xtreg,52
2016,T5FLOH,margins,52
2015,MCMKKT,rename,51
2018,SVGV76,label,51
2016,V9DNG8,label,51
2016,C5OXWN,scalar,51
2017,SGKPSH,regress,51
2015,MCMKKT,replace,50
2018,4SIEEF,xtmixed,50
2016,T5FLOH,generate,50
2016,T5FLOH,estimates:store,49
2017,OBGAHG,recode,49
2018,L4XKEZ,interflex,48
2018,L4XKEZ,estadd,48
2018,L4XKEZ,addplot,48
2018,JC2QJ0,ttest,48
2016,5VJF4S,graph,48
2016,MBAVJW,local,48
2017,LTJIDX,replace,48
2017,9DAQH4,summarize,48
2018,5JS2AB,generate,47
2017,9DAQH4,tabulate,47
2017,9DAQH4,bootstrap:bsmf,47
2015,2B9T2H,regress,46
2019,88AACL,generate,46
2015,MFJMQN,generate,45
2018,CFEIEQ,tabulate,45
2018,2ZEVWT,replace,45
2019,8WCOCN,regress,45
2016,NW4LIO,egen,45
2017,DY1282,generate,45
2018,5JS2AB,replace,44
2018,BMTO0R,margins,43
2019,YDC4XD,estimates:store,43
2018,YXGVBT,for,42
2019,JXJ0ZS,summarize,42
2016,NW4LIO,generate,41
2018,BMTO0R,egen,40
2018,RYJK3W,generate,40
2019,GZRCCJ,replace,40
2018,L4XKEZ,mvdecode,39
2018,XCLNIE,recode,39
2018,LAYMOS,regress,39
2019,JXJ0ZS,logit,39
2018,BMTO0R,summarize,38
2018,2ZEVWT,quietly,38
2018,XBWR8N,margins,38
2019,YDC4XD,regress,38
2016,5VJF4S,local,38
2018,0AX8T1,generate,37
2018,0AX8T1,file,37
2019,R9PGXI,regress,37
2016,XIPZQT,svy:mean,37
2016,XIPZQT,lincom,37
2018,L4XKEZ,set,36
2018,EXISK5,regress,36
2018,2ZEVWT,eststo,36
2018,COZN1F,regress,36
2018,6FBXGL,svy:logit,36
2016,D155SP,twoway,36
2018,MT7XU0,drop,35
2019,GZRCCJ,estimates:store,35
2017,OBGAHG,suest,35
2018,ISJPJN,generate,34
2016,D155SP,label,34
2017,HRUGSI,generate,34
2017,OBGAHG,eststo,34
2018,5JS2AB,tabulate,33
2019,T4GBDS,xtreg,33
2015,12SK8B,eststo,32
2018,LQQ5FE,ttest,32
2018,ZX4HGA,logit,32
2018,ZX4HGA,margins,32
2016,EXVUEA,outreg2,32
2017,HZBYG7,summarize,32
2017,NM7VK7,mean,32
2017,OBGAHG,tabulate,32
2017,OBGAHG,egen,32
2017,OBGAHG,oneway,32
2015,MFJMQN,replace,31
2015,MCMKKT,foreach,31
2018,59F366,tabulate,31
2018,SVGV76,replace,31
2019,T4GBDS,lincomest,31
2019,JXJ0ZS,regress,31
2016,T5FLOH,esttab,31
2016,5VJF4S,set,31
2017,DY1282,move,31
2017,SGKPSH,marginsplot,31
2018,8AJYXZ,regress,30
2017,SHADUV,regress,30
2017,LTJIDX,notes,30
2015,12SK8B,regress,29
2018,ISJPJN,tabulate,29
2019,GZRCCJ,regress,29
2016,5VJF4S,drop,29
2018,L4XKEZ,clear,28
2018,BMTO0R,ttest,28
2018,59F366,logit,28
2016,NW4LIO,replace,28
2015,MCMKKT,regress,27
2018,CTAY6U,replace,27
2018,5JS2AB,ttest,27
2018,0AX8T1,margins,27
2019,T89O95,ologit,27
2016,NW4LIO,logit,27
2017,DY1282,rename,27
2017,LTJIDX,egen,27
2018,XCLNIE,egen,26
2018,59F366,margins,26
2018,SWORPS,preserve,26
2018,SWORPS,restore,26
2018,XBWR8N,coefplot,26
2019,GZRCCJ,generate,26
2017,LTJIDX,count,26
2018,COZN1F,tabulate,25
