title,href,date
Replication Data for: Political Considerations in Nonpolitical Decisions:  A Conjoint Analysis of Roommate Choice,/dataset.xhtml?persistentId=doi:10.7910/DVN/GUATS6,"May 25, 2019"
"Replication Data for: Contentious Federalism: Sheriffs, state legislatures, and political violence in the American West",/dataset.xhtml?persistentId=doi:10.7910/DVN/MPLQUI,"May 23, 2019"
Replication Data for: Friends from Across the Aisle,/dataset.xhtml?persistentId=doi:10.7910/DVN/GZRCCJ,"May 12, 2019"
"Replication Data for ""Opinion Shift and Stability: The Information Environment and Long-Lasting Opposition to Trump's Muslim Ban""",/dataset.xhtml?persistentId=doi:10.7910/DVN/NNXBHP,"May 6, 2019"
Replication Data for: Self-Awareness of Political Knowledge,/dataset.xhtml?persistentId=doi:10.7910/DVN/UBQYXT,"Apr 11, 2019"
How Labor Unions Increase Political Knowledge: Evidence from the United States,/dataset.xhtml?persistentId=doi:10.7910/DVN/BRJNBS,"Apr 8, 2019"
Replication Data for: Racial isolation drives racial voting: New evidence from South Africa,/dataset.xhtml?persistentId=doi:10.7910/DVN/R9PGXI,"Apr 8, 2019"
"Replication Data for ""The Democratic Consequences of Anti-Immigrant Elite Rhetoric: A Mixed Methods Study of Immigrants’ Political Belonging""",/dataset.xhtml?persistentId=doi:10.7910/DVN/YXWASQ,"Mar 21, 2019"
"Replication Data for ""Real Solutions for Fake News? Measuring the Effectiveness of General Warnings and Fact-Check Tags in Reducing Belief in False Stories on Social Media""",/dataset.xhtml?persistentId=doi:10.7910/DVN/YDC4XD,"Mar 21, 2019"
"Replication Data for: ""Partisanship, political awareness, and retrospective evaluations, 1956-2016""",/dataset.xhtml?persistentId=doi:10.7910/DVN/59NTIL,"Mar 5, 2019"
Replication Data for: Compassionate Democrats and Tough Republicans: How Ideology Shapes Partisan Stereotypes,/dataset.xhtml?persistentId=doi:10.7910/DVN/T4GBDS,"Feb 22, 2019"
"Replication data for ""Judicial Institutions and the Political Economy of Retirements""",/dataset.xhtml?persistentId=doi:10.7910/DVN/WFRUXM,"Feb 8, 2019"
