year,dataset,command,count
2018,L4XKEZ,logit,283
2018,EXISK5,sureg,267
2017,9DAQH4,clogit,208
2017,OBGAHG,regress,179
2018,XCLNIE,regress,111
2018,BMTO0R,regress,110
2019,R9PGXI,areg,97
2016,T5FLOH,regress,95
2018,XBWR8N,regress,91
2019,JXJ0ZS,mixed,75
2018,L4XKEZ,regress,74
2018,SWORPS,xtreg,52
2017,SGKPSH,regress,51
2018,4SIEEF,xtmixed,50
2018,L4XKEZ,interflex,48
2015,2B9T2H,regress,46
2019,8WCOCN,regress,45
2018,LAYMOS,regress,39
2019,JXJ0ZS,logit,39
2019,YDC4XD,regress,38
2019,R9PGXI,regress,37
2018,EXISK5,regress,36
2018,COZN1F,regress,36
2018,6FBXGL,svy:logit,36
2019,T4GBDS,xtreg,33
2018,ZX4HGA,logit,32
2019,JXJ0ZS,regress,31
2018,8AJYXZ,regress,30
2017,SHADUV,regress,30
2015,12SK8B,regress,29
2019,GZRCCJ,regress,29
2018,59F366,logit,28
2015,MCMKKT,regress,27
2019,T89O95,ologit,27
2016,NW4LIO,logit,27
2016,BP5G4Q,ologit,25
2017,NM7VK7,regress,25
2018,LAYMOS,ologit,24
2017,HRUGSI,regress,24
2018,H6DWAO,regress,22
2019,T4GBDS,regress,22
2015,MCMKKT,outreg,21
2018,6IRW0N,oprobit,20
2016,V9DNG8,regress,20
2017,XZJP2J,regress,20
2017,HZBYG7,xtmixed,20
2017,UYUU9G,regress,20
2018,0AX8T1,logit,19
2017,WYTRZC,regress,19
2018,QHMXAQ,svy:logit,18
2018,O9UVFU,xtlogit,18
2018,LQQ5FE,logit,18
2016,SING1G,logit,18
2017,C3RSF5,xtmelogit,17
2018,ZX4HGA,ologit,16
2017,VXVBNI,logit,16
2018,59F366,asclogit,15
2019,YKDXJL,probit,15
2018,EDEJND,ologit,14
2016,EXVUEA,areg,14
2017,DY1282,regress,14
2018,PVIGW1,mixed,13
2019,JXJ0ZS,melogit,13
2016,EXVUEA,regress,13
2015,MFJMQN,regress,12
2018,LAYMOS,mlogit,12
2018,QHMXAQ,svy:regress,12
2018,6IRW0N,regress,12
2018,E4I6ZV,regress,12
2016,5VJF4S,logit,12
2017,B3YH3T,xtreg,12
2017,WKQTNZ,regress,12
2017,NM7VK7,tobit,12
2017,KGUTGA,ologit,12
2017,LK5ARP,regress,11
2018,RYJK3W,ologit,10
2019,USP7LQ,regress,10
2019,VYGJAM,logit,10
2019,BRJNBS,regress,10
2019,8WCOCN,logit,10
2018,4SIEEF,xtlogit,9
2018,PVIGW1,regress,9
2018,Z0F7KO,regress,9
2016,D155SP,svy:regress,9
2017,DY1282,logit,9
2017,NPQ3FB,regress,9
2017,9DAQH4,regress,9
2015,2B9T2H,probit,8
2018,URJM7O,gsem,8
2018,JC2QJ0,anova,8
2018,CFEIEQ,logit,8
2016,P9SUH8,regress,8
2016,XIPZQT,svy:ologit,8
2016,NW4LIO,svy:logit,8
2015,12SK8B,logit,7
2018,PVIGW1,ologit,7
2018,PVIGW1,meologit,7
2018,XBWR8N,tobit,7
2018,XBWR8N,ologit,7
2019,YDC4XD,oprob,7
2016,CEAAAT,probit,7
2015,2B9T2H,oprobit,6
2018,PVIGW1,meqrpoisson,6
2018,SWORPS,regress,6
2018,LQQ5FE,regress,6
2018,E4I6ZV,areg,6
2019,YXWASQ,xtreg,6
2019,JXJ0ZS,meologit,6
2019,GZRCCJ,svy:sem,6
2019,WFRUXM,stcox,6
2016,NW4LIO,regress,6
2016,NW4LIO,ivregress,6
2016,C5OXWN,regress,6
2017,QZVK4B,mixed,6
2017,VXVBNI,areg,6
2017,HZBYG7,xtmelogit,6
2018,URJM7O,xtmixed,5
2018,PVIGW1,melogit,5
2018,CTAY6U,regress,5
2018,COZN1F,anova,5
2018,Z0F7KO,probit,5
2018,92ELXT,probit,5
2018,8AJYXZ,logit,5
2019,YKDXJL,regress,5
2019,USP7LQ,logit,5
2016,T5FLOH,logit,5
2016,MBAVJW,regress,5
2017,SGKPSH,logit,5
2015,12SK8B,xtlogit,4
2015,12SK8B,xtreg,4
2018,URJM7O,regress,4
2018,BMTO0R,logit,4
2018,XCLNIE,ologit,4
2018,PVIGW1,logit,4
2018,PVIGW1,poisson,4
2018,5JS2AB,probit,4
2018,RYJK3W,regress,4
2018,RYJK3W,logit,4
2018,0AX8T1,melogit,4
2018,6FBXGL,relogit,4
2018,SVGV76,mlogit,4
2019,YDC4XD,xtreg,4
2019,R9PGXI,ivreg2,4
2019,8WCOCN,ologit,4
2019,8WCOCN,poisson,4
2016,UYUZYA,regress,4
2016,CEAAAT,glm,4
2017,QZVK4B,regress,4
2015,B9OYRP,svy:regress,3
2015,B9OYRP,regress,3
2018,2ZEVWT,svy:mprobit,3
2018,5JS2AB,oprobit,3
2018,Z0F7KO,mlogit,3
2018,92ELXT,regress,3
2016,T5FLOH,ologit,3
2016,D155SP,svy:probit,3
2016,BP5G4Q,logit,3
2017,OBGAHG,mlogit,3
2015,MCMKKT,mlogit,2
2018,URJM7O,logit,2
2018,URJM7O,sem,2
2018,59F366,clogit,2
2018,CTAY6U,mlogit,2
2018,2ZEVWT,mprobit,2
2018,QHMXAQ,svy:ologit,2
2018,QHMXAQ,regress,2
2018,RYJK3W,sem,2
2018,O9UVFU,regress,2
2018,M0NGKW,logistic,2
2018,ISJPJN,mlogit,2
2018,HMYNRV,logit,2
2019,T89O95,logit,2
2016,UYUZYA,mlogit,2
2016,CEAAAT,oprobit,2
2016,C5OXWN,probit,2
2016,BP5G4Q,estsimp,2
2016,EXVUEA,mlogit,2
2016,EXVUEA,xtmixed,2
