year,command,count
2018,generate,14801
2018,global,12809
2017,label,12577
2018,mycmd,11675
2018,replace,10390
2018,foreach,8471
2018,matrix,8203
2018,drop,6393
2018,local,6309
2017,generate,4937
2018,if,4863
2018,mata,4806
2018,forvalues,3837
2018,use,3504
2018,mycmd1,3322
2018,rename,3297
2019,generate,3203
2017,replace,3091
2018,save,3053
2018,egen,3003
2019,replace,2775
2018,regress,2697
2017,rename,2660
2018,summarize,2417
2018,sort,2385
2017,local,2283
2019,local,2189
2018,keep,2140
2018,set,1817
2018,program,1759
2018,svmat,1603
2017,drop,1558
2019,drop,1471
2018,merge,1384
2017,foreach,1338
2018,test,1262
2018,estimates:store,1260
2018,suest,1217
2018,display,1184
2017,matrix,1179
2018,areg,1124
2018,gettoken,1105
2017,global,1095
2018,label,1091
2018,predict,1052
2019,rename,1007
2019,foreach,998
2017,keep,959
2018,else,956
2018,end,926
2017,use,918
2018,preserve,893
2018,restore,891
2019,keep,891
2018,estadd,874
2018,file,869
2018,mac,861
2017,summarize,847
2019,scalar,794
2017,save,792
2019,estadd,771
2018,tabulate,770
2018,estat,758
2018,syntax,752
2019,label,748
2017,regress,744
2019,summarize,743
2018,svy:mean,708
2017,display,695
2018,mkmat,690
2017,file,675
2018,testparm,629
2017,egen,627
2019,merge,556
2019,use,551
2019,matrix,549
2018,randcmdc,530
2019,regress,513
2019,save,485
2016,regress,475
2017,graph,475
2018,collapse,468
2019,global,454
2017,assert,454
2017,set,452
2019,if,451
2017,program,450
2017,if,439
2017,merge,428
2017,outreg2,423
2019,sort,422
2017,end,415
2017,scalar,398
2019,estimates:store,382
2018,cd,379
2018,estimates:clear,372
2018,graph,361
2018,capture,359
2018,clear,357
2019,graph,355
2018,erase,349
2018,log,349
2019,egen,349
2017,testgood,333
2017,estadd,322
2018,scalar,310
2018,aorder,308
2017,clear,306
2017,forvalues,302
2019,set,300
2017,tabulate,299
2018,tempfile,298
2018,estimates:sto,280
2019,tabulate,279
2018,probit,275
2018,append,274
2018,quietly,274
2019,preserve,271
2019,clear,270
2017,xtreg,269
2016,summarize,267
2019,restore,262
2018,joinby,258
2017,test,256
2018,corr_svy,249
2017,collapse,243
2017,tempfile,235
2018,for,224
2019,forvalues,223
2017,reghdfe,217
2017,predict,212
2018,reghdfe,209
2019,esttab,209
2019,do,208
2019,display,204
2018,do,199
2018,twoway,198
2017,preserve,196
2017,restore,193
2017,areg,192
2018,esttab,189
2017,append,188
2019,areg,185
2018,estimates:res,171
2019,collapse,168
2019,tempfile,168
2019,include,167
2018,duplicates,166
2018,xtreg,165
2017,mata,163
2018,outreg2,161
2018,count,159
2017,twoway,157
2018,eststo,156
2017,do,156
2018,format,154
2018,exit,153
2019,else,153
2017,log,153
2017,storedresults,151
2018,unab,149
2017,esttab,141
2018,insheet,135
2019,reghdfe,135
2019,program,133
2017,estimates:sto,133
2018,reshape,130
2018,pe,130
2019,outreg2,127
2018,destring,126
2018,estimates:restore,126
2019,saveold,123
2019,ritest,123
2018,bsample,122
2018,include,121
2019,log,121
2019,cd,117
2019,reshape,113
2019,destring,112
2019,test,112
2017,cd,112
2018,compress,111
2018,assert,111
2019,twoway,111
2019,assert,108
2018,tempvar,107
2017,insheet,105
2018,order,104
2019,predict,102
2019,import,100
2017,timer,100
2018,suestsa,99
2017,count,98
2017,recode,98
2017,sort,97
2017,testbad,97
2018,heckman,96
2019,erase,95
2017,reshape,95
2017,preliminaries,95
2018,dprobit,94
2019,recode,93
2019,compress,92
2017,svmat,92
2017,version,92
2019,duplicates,91
2019,end,91
2018,mkdir,89
2018,putexcel,89
2018,_eststo,89
2019,count,88
2016,scalar,88
2017,adopath,88
2017,estimates:store,87
2018,gsort,85
2017,xtivreg2,84
2017,erase,83
2017,plotcoeffs,83
2018,xtset,81
2017,outreg,81
2017,destring,80
2018,ivreg2,78
2018,estimates:r,78
2018,timer,78
2018,import,77
2018,lincom,76
2018,fanreg,76
2017,else,74
2017,exit,73
2018,logit,72
2018,tempname,72
2018,outsheet,71
2019,logit,70
2017,joinby,70
2018,y,69
2018,gmm,68
2019,forv,68
2018,xtile,67
2019,insheet,67
2017,run,67
2018,brl,66
2018,ivreg,65
2018,table,65
2019,append,65
2019,format,65
2019,order,64
2017,syntax,64
2017,eststo,64
2017,main,64
2019,eststo,63
2017,meprobit,63
2018,checkmfx,62
2018,x_ols,62
2018,tabstat,61
2018,post,61
2017,import,61
2018,list,58
2018,tsset,58
2018,mlogit,58
2018,estimates:drop,58
2017,quietly,58
2017,cnreg,57
2018,bootstrap:regress,56
2019,usd2014,56
2016,use,56
2018,suests1a,55
2019,tostring,55
2017,duplicates,54
2017,sysuse,54
2018,ereturn,53
2018,postclose,53
2019,listtex,53
2017,ttest,53
2017,forv,52
2017,letter_grade,51
2018,levelsof,49
2019,margins,49
2018,interactdd,48
2019,syntax,48
2018,tobit,47
2018,recode,47
2017,cgmreg,47
2018,postfile,46
2018,timestamp,45
2018,export,44
2017,codebook,44
2017,rdrobust,44
2017,lhs_win,44
2017,args,43
2018,lpoly,42
2019,gsort,42
2017,notrim,42
2019,p_values,41
2018,confirm,39
2018,args,39
2018,estpost,39
2018,makex,39
2018,correlate,38
2019,post,38
2018,ttest,37
2018,estout,37
2019,xtile,37
2017,ivreg2,37
2017,tw,37
2018,R,36
2018,line,36
2019,winzorize_by_year,36
2016,display,36
2017,xtile,36
2017,format,36
2017,describe,36
2017,combine_2way,36
2019,adopath,35
2019,table,35
2017,tsset,35
2018,tw,34
2019,copy,34
2017,trim_cons,34
2017,margins,33
2017,cscript,33
2017,_vassert,33
2018,intreg,32
2018,oprobit,32
2018,range,32
2017,so,32
2017,fvunab,32
2018,putexcel_wrapper,31
2018,putexcel_wrapper_cv,31
2017,export,31
2017,dist_mod1,31
2017,dist_thresh1,31
2018,qreg,30
2017,xtset,30
2018,fpihat,29
2018,pfixdrop,29
2019,rm,29
2019,fill_tables,29
2017,cls,29
2018,tostring,28
2018,tenancytable,28
2016,global,28
2017,encode,28
2017,outsheet,28
2017,build_recode_template,28
2017,select_observations,28
2017,boottest,28
2018,ds,27
2018,fpit,27
2018,dydx,27
2017,test_run,27
2018,_pctile,26
2018,macro,26
2019,outfile,26
2017,tempvar,26
2018,while,25
2018,interactd,25
2018,saveold,25
2017,histogram,25
2017,gmm,25
2018,e,24
2018,t,24
2018,renpfix,24
2018,zscore,24
2018,cameronHet,24
2018,pr,24
2018,tsls,24
2019,cross,24
2019,encode,24
2017,list,24
2017,table,24
2017,basic_assertion,24
2017,center_estimates,24
2017,$,24
2017,merge_2way,24
2018,renvars,23
2019,tsset,23
2017,levelsof,23
2017,group_create,23
2017,group_svmat,23
2018,add_stats,22
2019,mkmat,22
2016,generate,22
2017,odbc,22
2017,net,22
2017,min_dist,22
2017,check_missing,22
2017,rename_final_out,22
2018,yy,21
2018,xx,21
2018,b,21
2018,expand,21
2018,tssmooth,21
2019,ivregress,21
2019,quietly,21
2019,tabstat,21
2017,aivreg,21
2017,setup_data,21
2017,mkdir,21
2018,distance1,20
2018,T_x_distance1,20
2018,histogram,20
2019,file,20
2019,scatter,20
2017,gr_edit,20
2017,confirm,20
2017,matrix_to_txt,20
2017,ado,20
2017,fereg,20
2017,regs_discon,20
2017,var_assign,20
2018,count_obs,19
2018,tokenize,19
2018,myuse,19
2019,return,19
2019,matrix_to_txt,19
2019,counts,19
2017,while,19
2017,ta,19
2017,cross,19
2017,probit,19
2018,binscatter,18
2018,MATfpihat,18
2019,correlate,18
2019,gen_working_data,18
2016,replace,18
2017,Store,18
2017,tempname,18
2017,for,18
2017,rename_2vars,18
2018,meadjusted,17
2018,version,17
2018,tsline,17
2019,codebook,17
2019,main_columns,17
2017,TABLE_TE1,17
2017,unique,17
2017,infile,17
2019,binscatter,16
2019,export,16
2019,xtreg,16
2019,xttest0,16
2019,feologit_buc2,16
2016,foreach,16
2016,twoway,16
2017,order,16
2017,lowess,16
2017,rmdir,16
2017,clean_up,16
2017,pause,16
2017,pr,16
2017,mixed,16
2018,run,15
2018,svyset,15
2018,sa,15
2018,anylinegraph,15
2019,browse,15
2017,ereturn,15
2017,newey,15
2017,postfile,15
2017,post,15
2017,postclose,15
2017,test_run_nc,15
2017,_pctile,15
2017,var_assign_inter,15
2017,group_inter_rename,15
2018,discard,14
2018,T,14
2019,isid,14
2017,return,14
2017,reghdfe_absorb,14
2018,adopath,13
2018,sig,13
2018,eps,13
2018,st_addvar,13
2018,st_store,13
2018,ssc,13
2019,estimates:restore,13
2019,levelsof,13
2019,permutation_test,13
2016,label,13
2017,compress,13
2017,correlate,13
2017,tostring,13
2017,estimates:restore,13
2017,binscatter,13
2017,xtrClusterWildBoot,13
2018,sigma,12
2018,pca,12
2018,encode,12
2018,suests,12
2018,varfpi,12
2018,fpt,12
2018,nearmrg,12
2018,teffects,12
2019,meqrpoisson,12
2019,desc,12
2019,svmat,12
2019,continue,12
2019,main,12
2016,set,12
2016,return,12
2017,qreg,12
2017,bsample,12
2017,lpoly,12
2017,setup_main_dataset,12
2017,query,12
2017,ds,12
2017,sensitivity_matrix,12
2017,ftools,12
2017,estimates:clear,12
2018,suestsb,11
2018,suests1b,11
2018,window,11
2018,DYNbias,11
2018,FPPbias,11
2018,Vfpihat,11
2018,sdfpi,11
2018,error,11
2018,qbys,11
2018,distinct,11
2018,myanontop,11
2019,estpost,11
2019,tssmooth,11
2017,hazard_by_group,11
2017,mkmat,11
2017,scatter,11
2017,rd_plot,11
2018,treat2,10
2018,robustness,10
2018,var,10
2018,vfpihat,10
2018,rm,10
2018,d,10
2018,_dots,10
2019,tempname,10
2019,binned_scatter,10
2019,kdensity,10
2019,ivreg,10
2019,lincom,10
2019,xtset,10
2019,ameans,10
2019,version,10
2019,loadglob,10
2016,clear,10
2016,local,10
2017,infix,10
2017,discard,10
2017,combine_3way,10
2017,fico_create,10
2017,fico_svmat,10
2018,JK,9
2018,scatter,9
2018,alpha,9
2018,rho,9
2018,st_matrix,9
2018,unique,9
2018,cgmwildboot,9
2018,tabMe,9
2018,standardize_cmag,9
2018,clonevar,9
2019,histogram,9
2019,ksmirnov,9
2019,ttest,9
2019,outsheet,9
2019,compare,9
2017,expand,9
2017,tabstat,9
2017,estimates:drop,9
2017,ivregress,9
2017,xtitle,9
2017,lpattern,9
2017,save_data,9
2017,mvtest,9
2017,mean,9
2017,rdbwselect,9
2017,winsor2,9
2018,ologit,8
2018,gcollapse,8
2018,local_projection,8
2018,ESSratio1,8
2018,pause,8
2018,xtsemipar,8
2018,svmat2,8
2018,tenancytablebounds,8
2019,gen_aff,8
2019,estimates:clear,8
2019,list,8
2019,eret,8
2016,tabulate,8
2017,desc,8
2017,prepare_figures_data,8
2017,prepare_param_sensitivity,8
2017,checkdims,8
2017,shell,8
2018,winsor,7
2018,input,7
2018,reg_n_rick_n_graph_construction,7
2018,T_x_dem,7
2019,gen_var,7
2019,joinby,7
2019,distinct,7
2019,wfall_summary,7
2019,balancetable,7
2019,complier_mean,7
2019,compute_share,7
2016,log,7
2017,tokenize,7
2017,create_data,7
2017,estimate_model,7
2017,write_results,7
2017,datasignature,7
2017,setup_dataset,7
2017,gsort,7
2017,timeit,7
2017,merge_3way,7
2017,browse,7
2018,a1,6
2018,tt,6
2018,bootstrap:qreg,6
2018,suests1,6
2018,coefplot,6
2018,pwcorr,6
2018,spearman,6
2018,newey,6
2018,grc1leg,6
2018,ESSratio2_xREB,6
2018,sureg,6
2019,run,6
2019,postfile,6
2019,postclose,6
2019,winsor2,6
2019,proc_pred_vars,6
2019,summ_IRS,6
2019,window,6
2019,grc1leg2,6
2019,maptile,6
2019,graph_export_convert,6
2016,graph,6
2017,vsssfz,6
2017,make_plot,6
2017,split,6
2017,macro,6
2017,ipolate,6
2017,smpl,6
2017,bootstrap:regress,6
2017,rdob,6
2018,xtivreg2,5
2018,mycmd2,5
2018,bootstrap,5
2018,cumul,5
2018,tset,5
2018,integ,5
2018,maptile,5
2018,tenancyindextable,5
2019,tokenize,5
2019,AR_CI,5
2019,ppml,5
2019,geoinpoly,5
2019,my_ptest,5
2019,sub_figuredata,5
2016,des,5
2016,program,5
2017,parmest,5
2017,lincom,5
2017,prepare_matrix_data,5
2017,build_data,5
2017,noisily,5
2017,clonevar,5
2017,cou,5
2017,st_view,5
2017,conf,5
2017,rename_3vars,5
2018,zscore1,4
2018,xtmixed,4
2018,lowrex,4
2018,cnreg,4
2018,oprob,4
2018,isid,4
2018,errorsummarystats,4
2018,continue,4
2018,prtest,4
2018,reg_n_graph_degrees_jobs,4
2018,beta,4
2018,legend,4
2018,psmatch2,4
2018,frmttable,4
2018,forv,4
2018,pscore,4
2018,estimates:replay,4
2018,lassoShooting,4
2018,freduse,4
2018,joint_fig,4
2018,mycollapseexport,4
2019,expand,4
2019,gen_specialty,4
2019,ssc,4
2019,net,4
2019,capture,4
2019,inspect,4
2019,markout,4
2019,pca,4
2019,lpoly,4
2019,grc1leg,4
2019,rwolf,4
2019,shell,4
2019,bootstrap:iterations,4
2019,leebounds,4
2019,labmask,4
2016,testparm,4
2016,suest,4
2016,test,4
2016,end,4
2017,marksample,4
2017,markout,4
2017,TABLE_TE2,4
2017,ssc,4
2017,rego,4
2017,outtable,4
2017,prepare_data,4
2017,maxmem,4
2017,runchecks,4
2017,checkdta,4
2017,setup_import_dataset,4
2017,extend_main_dataset,4
2017,help,4
2017,setup_using_datasets,4
2017,make_dot_plot,4
2017,graph_param_sensitivity,4
2017,import_raw_data,4
2017,run_linear_gmm,4
2017,run_linear_gmm_with_instr,4
2017,make_graph,4
2017,RunOnce,4
2017,GenerateID,4
2017,char,4
2017,twowayset,4
2017,projvar,4
2017,makestars,4
2017,regs_paas,4
2017,testparm,4
2017,bootstrap:qreg,4
2017,winsor,4
2018,ccc,3
2018,recalculate,3
2018,decode,3
2018,storemeans,3
2018,des,3
2018,sca,3
2018,prepare_collapse_data,3
2018,reg_n_graph_construction,3
2018,se,3
2018,kdensity,3
2018,pstest,3
2019,mkspline,3
2019,gen_util_expend,3
2019,while,3
2019,disp_sumstats,3
2019,gen_ruc_memspec,3
2019,collapse_by_ruc_member,3
2019,infix,3
2019,fillin,3
2019,sub_figures,3
2019,geodist,3
2019,carryforward,3
2019,iterations,3
2019,bootstrap_pvalue,3
2019,timer,3
2016,version,3
2016,insheet,3
2016,keep,3
2016,expand,3
2016,general_health,3
2016,totyrs_enrolled,3
2016,total_hours,3
2016,selfemp_hrs7_total_ALL,3
2016,num_meals_yesterday,3
2016,earnings_nonag_total_ALL,3
2016,ln_emp_salary_total,3
2016,estimates:store,3
2016,dprobit,3
2016,nbreg,3
2017,median,3
2017,texsave,3
2017,cuts_fe,3
2017,xtivreg,3
2017,test_datasignature,3
2017,plot_misspec,3
2017,mmerge,3
2017,regsave,3
2017,input,3
2017,group3hdfe,3
2017,rebuild_git,3
2017,which,3
2017,regs_geo,3
2017,d,3
2017,cumul,3
2017,estimates:save,3
2017,sleep,3
2018,bootstrap:probit,2
2018,mfx,2
2018,mvencode,2
2018,desc,2
2018,ta,2
2018,impute,2
2018,xtprobit,2
2018,codebook,2
2018,ftest_gender,2
2018,maptile2,2
2018,cleantab1,2
2018,cleantab2,2
2018,interaction,2
2018,notes,2
2018,bdyn,2
2018,bfpp,2
2018,arch,2
2018,b0,2
2018,b1,2
2018,b2,2
2018,e0_sq,2
2018,sig0,2
2018,ESSratio2,2
2018,listtex,2
2018,tab1,2
2018,ivregress,2
2018,tabmiss,2
2018,stack,2
2018,revlist,2
2018,cpigen,2
2018,ylabel,2
2018,unzipfile,2
2018,browse,2
2018,findit,2
2018,store_regular,2
2018,total,2
2018,ksmirnov,2
2018,pctile,2
2018,clttest,2
2018,mean,2
2018,DCdensity,2
2018,infile,2
2018,recode_census,2
2018,infix,2
2018,save_chart,2
2018,parmest,2
2018,fcollapse,2
2018,groups,2
2018,maptile_install,2
2018,fsum,2
2018,listtab,2
2018,bootstrap:ivqte,2
2019,suest,2
2019,ivreg2,2
2019,macro,2
2019,qqplot,2
2019,prep_resid,2
2019,ds,2
2019,matlist,2
2019,xpose,2
2019,tempvar,2
2019,regsave,2
2019,estout,2
2019,rmdir,2
2019,split,2
2019,marksample,2
2019,bsample,2
2019,ipolate,2
