title,href,date
Replication Data for: 'Food Deserts and the Causes of Nutritional Inequality',/dataset.xhtml?persistentId=doi:10.7910/DVN/MSOBYI,"May 11, 2019"
Replication Data for: 'Take-up and Targeting: Experimental Evidence from SNAP',/dataset.xhtml?persistentId=doi:10.7910/DVN/8AWKIL,"Apr 27, 2019"
"Replication Data for: 'The Rate of Return on Everything, 1870-2015'",/dataset.xhtml?persistentId=doi:10.7910/DVN/GGDQGJ,"Mar 26, 2019"
"Replication Data for: 'Trade, Merchants, and the Lost Cities of the Bronze Age'",/dataset.xhtml?persistentId=doi:10.7910/DVN/P81WBZ,"Mar 13, 2019"
"Replication Data for: 'Inputs, Incentives, and Complementarities in Education: Experimental Evidence from Tanzania'",/dataset.xhtml?persistentId=doi:10.7910/DVN/AKVGQ7,"Mar 10, 2019"
Replication Data for: 'Who Profits from Patents? Rent-Sharing at Innovative Firms',/dataset.xhtml?persistentId=doi:10.7910/DVN/HMFYON,"Mar 6, 2019"
Replication Data for: 'Implicit Stereotypes: Evidence from Teachers' Gender Bias',/dataset.xhtml?persistentId=doi:10.7910/DVN/OVWRFS,"Feb 24, 2019"
"Replication Data for: 'Ever Failed, Try Again, Succeed Better: Results from a Randomized Educational Intervention on Grit'",/dataset.xhtml?persistentId=doi:10.7910/DVN/SAVGAL,"Feb 5, 2019"
Replication Data for: 'Industry Input in Policy Making: Evidence from Medicare',/dataset.xhtml?persistentId=doi:10.7910/DVN/NIBLSO,"Jan 26, 2019"
Replication Data for: 'Protests as Strategic Games: Experimental Evidence from Hong Kong's Antiauthoritarian Movement',/dataset.xhtml?persistentId=doi:10.7910/DVN/GVOMUR,"Jan 16, 2019"
"Replication Data for: ""The More We Die, the More We Sell? A Simple Test of the Home-Market Effect""",/dataset.xhtml?persistentId=doi:10.7910/DVN/DKWB2P,"Jan 15, 2019"
Replication Data for: 'Strategic Default in the International Coffee Market',/dataset.xhtml?persistentId=doi:10.7910/DVN/CMBISS,"Jan 14, 2019"
Replication Data for: 'Exchange Arrangements Entering the 21st Century: Which Anchor Will Hold?',/dataset.xhtml?persistentId=doi:10.7910/DVN/IDEXPY,"Dec 29, 2018"
"Replication Data for: 'Kinship, Cooperation, and the Evolution of Moral Systems'",/dataset.xhtml?persistentId=doi:10.7910/DVN/JX1OIU,"Dec 26, 2018"
Replication Data for: 'Sell Low and Buy High: Arbitrage and Local Price Effects in Kenyan Markets',/dataset.xhtml?persistentId=doi:10.7910/DVN/C8UMQP,"Dec 23, 2018"
Replication Data for: 'Firming Up Inequality',/dataset.xhtml?persistentId=doi:10.7910/DVN/QVVHOM,"Dec 7, 2018"
"Replication Data for: ""Global Evidence on Economic Preferences""",/dataset.xhtml?persistentId=doi:10.7910/DVN/HH8DV4,"Dec 5, 2018"
Replication Data for: 'The Unequal Gains from Product Innovations: Evidence from the U.S. Retail Sector',/dataset.xhtml?persistentId=doi:10.7910/DVN/JXGYOB,"Nov 26, 2018"
Replication Data for: 'Household Time Use Among Older Couples: Evidence and Implications for Labor Supply Parameters',/dataset.xhtml?persistentId=doi:10.7910/DVN/KWNCND,"Nov 26, 2018"
Replication Data for: 'Who Becomes an Inventor in America? The Importance of Exposure to Innovation',/dataset.xhtml?persistentId=doi:10.7910/DVN/UITDYS,"Nov 15, 2018"
Replication Data for: 'Channeling Fisher: Randomization Tests and the Statistical Insignificance of Seemingly Significant Experimental Results',/dataset.xhtml?persistentId=doi:10.7910/DVN/JX6HCJ,"Nov 15, 2018"
"Replication Data for: 'The Mission: Human Capital Transmission, Economic Persistence, and Culture in South America'",/dataset.xhtml?persistentId=doi:10.7910/DVN/ML1155,"Nov 6, 2018"
Replication Data for: 'Forward and Spot Exchange Rates in a Multi-currency World',/dataset.xhtml?persistentId=doi:10.7910/DVN/XETZ8B,"Oct 30, 2018"
Replication Data for: 'The Elusive Costs of Inflation: Price Dispersion during the U.S. Great Inflation',/dataset.xhtml?persistentId=doi:10.7910/DVN/JOZY2I,"Oct 16, 2018"
Replication Data for: 'Excess Sensitivity of High-Income Consumers',/dataset.xhtml?persistentId=doi:10.7910/DVN/4PJ6GS,"Oct 16, 2018"
Replication Data for: 'Busting the ‘Princelings’:  The Campaign against Corruption in China’s Primary Land Market',/dataset.xhtml?persistentId=doi:10.7910/DVN/XW6OJT,"Oct 15, 2018"
Replication Data for: 'Moral Hazard: Experimental Evidence from Tenancy Contracts',/dataset.xhtml?persistentId=doi:10.7910/DVN/XCB9F9,"Sep 24, 2018"
Replication Data for: 'From Hyperinflation to Stable Prices: Argentina's Evidence on Menu Cost Models',/dataset.xhtml?persistentId=doi:10.7910/DVN/C8ZOAS,"Sep 17, 2018"
Replication Data for: 'Regional Heterogeneity and the Refinancing Channel of Monetary Policy',/dataset.xhtml?persistentId=doi:10.7910/DVN/GETNJK,"Sep 6, 2018"
Replication Data for: 'The Price Ain't Right? Hospital Prices and Health Spending on the Privately Insured',/dataset.xhtml?persistentId=doi:10.7910/DVN/ERXASS,"Aug 17, 2018"
Replication Data for: 'Consequences of the Clean Water Act and the Demand for Water Quality',/dataset.xhtml?persistentId=doi:10.7910/DVN/2JRHN6,"Aug 2, 2018"
Replication Data for: 'The Macro Effects of Unemployment Benefit Extensions: A Measurement Error Approach',/dataset.xhtml?persistentId=doi:10.7910/DVN/DVGSZS,"Jul 31, 2018"
Replication Data for: 'What Do Exporters Know?',/dataset.xhtml?persistentId=doi:10.7910/DVN/WRSSWP,"Jun 22, 2018"
Replication Data for: 'High-Frequency Identification of Monetary Non-Neutrality: The Information Effect',/dataset.xhtml?persistentId=doi:10.7910/DVN/HZOXKN,"May 31, 2018"
Replication Data for: 'Racial Bias in Bail Decisions',/dataset.xhtml?persistentId=doi:10.7910/DVN/REUOXC,"May 22, 2018"
Replication Data for: 'Religious Competition and Reallocation: The Political Economy of Secularization in the Protestant Reformation',/dataset.xhtml?persistentId=doi:10.7910/DVN/QULALN,"May 18, 2018"
Replication Data for: 'Political Advertising and Election Results',/dataset.xhtml?persistentId=doi:10.7910/DVN/KE9TEQ,"Apr 21, 2018"
Replication Data for: 'Marginal Tax Rates and Income: New Time Series Evidence',/dataset.xhtml?persistentId=doi:10.7910/DVN/RJIUNE,"Apr 10, 2018"
Replication Code for: 'The Impacts of Neighborhoods on Intergenerational Mobility I: Childhood Exposure Effects' and 'The Impacts of Neighborhoods on Intergenerational Mobility II: County-Level Estimates',/dataset.xhtml?persistentId=doi:10.7910/DVN/CEMFTJ,"Jan 24, 2018"
Replication Data for: 'Do Energy Efficiency Investments Deliver? Evidence from the Weatherization Assistance Program',/dataset.xhtml?persistentId=doi:10.7910/DVN/OJFYSR,"Jan 22, 2018"
Replication Data for: 'Divergent Paths: A New Perspective on Earnings Differences between Black and White Men since 1940',/dataset.xhtml?persistentId=doi:10.7910/DVN/NDPRGO,"Jan 18, 2018"
Replication Data for: 'The Macroeconomic Effects of Government Asset Purchases: Evidence from Postwar US Housing Credit Policy',/dataset.xhtml?persistentId=doi:10.7910/DVN/Y954OM,"Jan 7, 2018"
Replication Data for: 'Ranking Firms According to Revealed Preference',/dataset.xhtml?persistentId=doi:10.7910/DVN/DBITKA,"Dec 30, 2017"
Replication Data for: 'Interfirm Relationships and Business Performance',/dataset.xhtml?persistentId=doi:10.7910/DVN/5ZX8ZI,"Dec 11, 2017"
