title,href,date,filename,file_href
Replication Data for: 'Food Deserts and the Causes of Nutritional Inequality',/dataset.xhtml?persistentId=doi:10.7910/DVN/MSOBYI,"May 11, 2019",Analysis.zip,/file.xhtml?persistentId=doi:10.7910/DVN/MSOBYI/UPBYTS&version=1.1
Replication Data for: 'Food Deserts and the Causes of Nutritional Inequality',/dataset.xhtml?persistentId=doi:10.7910/DVN/MSOBYI,"May 11, 2019",Replication Instructions.txt,/file.xhtml?persistentId=doi:10.7910/DVN/MSOBYI/YEIXVW&version=1.1
Replication Data for: 'Take-up and Targeting: Experimental Evidence from SNAP',/dataset.xhtml?persistentId=doi:10.7910/DVN/8AWKIL,"Apr 27, 2019",bos_analysis.do,/file.xhtml?persistentId=doi:10.7910/DVN/8AWKIL/6TTJMF&version=1.0
Replication Data for: 'Take-up and Targeting: Experimental Evidence from SNAP',/dataset.xhtml?persistentId=doi:10.7910/DVN/8AWKIL,"Apr 27, 2019",exhibits_appendix.do,/file.xhtml?persistentId=doi:10.7910/DVN/8AWKIL/SHUVYT&version=1.0
Replication Data for: 'Take-up and Targeting: Experimental Evidence from SNAP',/dataset.xhtml?persistentId=doi:10.7910/DVN/8AWKIL,"Apr 27, 2019",exhibits_compliers.do,/file.xhtml?persistentId=doi:10.7910/DVN/8AWKIL/KAWLZX&version=1.0
Replication Data for: 'Take-up and Targeting: Experimental Evidence from SNAP',/dataset.xhtml?persistentId=doi:10.7910/DVN/8AWKIL,"Apr 27, 2019",exhibits_compliers_AT_NT.do,/file.xhtml?persistentId=doi:10.7910/DVN/8AWKIL/RVLZI5&version=1.0
Replication Data for: 'Take-up and Targeting: Experimental Evidence from SNAP',/dataset.xhtml?persistentId=doi:10.7910/DVN/8AWKIL,"Apr 27, 2019",exhibits_compliers_NT_C.do,/file.xhtml?persistentId=doi:10.7910/DVN/8AWKIL/CMPX7R&version=1.0
Replication Data for: 'Take-up and Targeting: Experimental Evidence from SNAP',/dataset.xhtml?persistentId=doi:10.7910/DVN/8AWKIL,"Apr 27, 2019",exhibits_figures.do,/file.xhtml?persistentId=doi:10.7910/DVN/8AWKIL/TAUOZU&version=1.0
Replication Data for: 'Take-up and Targeting: Experimental Evidence from SNAP',/dataset.xhtml?persistentId=doi:10.7910/DVN/8AWKIL,"Apr 27, 2019",exhibits_main.do,/file.xhtml?persistentId=doi:10.7910/DVN/8AWKIL/AKPQ7D&version=1.0
Replication Data for: 'Take-up and Targeting: Experimental Evidence from SNAP',/dataset.xhtml?persistentId=doi:10.7910/DVN/8AWKIL,"Apr 27, 2019",f-stat.do,/file.xhtml?persistentId=doi:10.7910/DVN/8AWKIL/EEXYCH&version=1.0
