year,dataset,command,count
2018,JX6HCJ,regress,1913
2018,JX6HCJ,areg,756
2016,ZNSY5O,regress,475
2018,JX6HCJ,probit,248
2019,OVWRFS,areg,172
2017,PI7RWJ,reghdfe,155
2018,JX6HCJ,xtreg,150
2018,C8UMQP,regress,139
2019,GVOMUR,regress,132
2017,5ZX8ZI,xtreg,128
2017,VUUZJK,regress,118
2018,C8UMQP,areg,116
2018,REUOXC,regress,105
2017,VUUZJK,xtreg,105
2018,CEMFTJ,regress,97
2018,JX6HCJ,heckman,96
2018,JX6HCJ,dprobit,94
2018,CEMFTJ,areg,92
2018,XETZ8B,regress,90
2019,AKVGQ7,regress,87
2019,SAVGAL,regress,86
2017,FEDKGY,xtivreg2,83
2018,ERXASS,reghdfe,82
2017,1HUQRM,areg,77
2018,C8UMQP,fanreg,76
2018,ML1155,regress,74
2018,KE9TEQ,reghdfe,74
2018,JX6HCJ,logit,72
2017,MO6RJT,regress,72
2018,KE9TEQ,areg,71
2018,XETZ8B,gmm,68
2019,SAVGAL,logit,67
2018,JX6HCJ,ivreg,65
2018,JX1OIU,regress,65
2017,WCHA2J,meprobit,63
2018,ML1155,x_ols,62
2019,HMFYON,reghdfe,60
2018,JX6HCJ,mlogit,58
2017,UXMULN,regress,58
2017,LLARSN,regress,57
2017,DWPXXT,cnreg,57
2019,MSOBYI,regress,56
2017,PI7RWJ,regress,56
2018,HZOXKN,regress,55
2017,VPHMNT,regress,54
2017,PI7RWJ,areg,52
2019,8AWKIL,regress,49
2017,TNCU8K,outreg,49
2018,JX6HCJ,bootstrap:regress,48
2018,HH8DV4,regress,48
2019,DKWB2P,reghdfe,48
2018,JX6HCJ,tobit,47
2017,TNCU8K,cgmreg,46
2017,O0FPHS,rdrobust,44
2018,REUOXC,ivreg2,38
2017,WCHA2J,regress,38
2017,LD67JZ,reghdfe,37
2017,CYPKZH,regress,36
2017,FEDKGY,regress,34
2017,IPIBQP,regress,34
2017,O0FPHS,regress,33
2018,JX6HCJ,intreg,32
2019,HMFYON,regress,32
2017,5ZX8ZI,regress,32
2017,F4WUD6,outreg,32
2017,F4WUD6,regress,32
2018,UITDYS,regress,30
2019,OVWRFS,regress,30
2018,XW6OJT,reghdfe,28
2018,XW6OJT,oprobit,28
2018,NDPRGO,qreg,27
2018,ML1155,probit,27
2018,OJFYSR,areg,27
2017,LLARSN,gmm,25
2019,P81WBZ,regress,24
2019,MSOBYI,reghdfe,24
2017,KHNXYJ,reghdfe,22
2019,GVOMUR,ivregress,21
2017,O0FPHS,ivreg2,20
2017,WCHA2J,probit,19
2018,GETNJK,regress,18
2018,GETNJK,reghdfe,18
2018,XCB9F9,areg,18
2017,TJ0NZZ,areg,18
2017,MTVM5O,areg,18
2018,OJFYSR,regress,17
2019,NIBLSO,regress,17
2019,HMFYON,xtreg,16
2017,GDFBG1,regress,16
2017,PI7RWJ,xtreg,16
2017,DWPXXT,regress,16
2017,WCHA2J,mixed,16
2018,NDPRGO,regress,15
2018,C8UMQP,ivreg2,15
2017,FEDKGY,newey,15
2018,XETZ8B,ivreg2,14
2018,4PJ6GS,areg,14
2017,DUPJLM,regress,14
2017,CYPKZH,areg,14
2018,KE9TEQ,xtreg,12
2019,HMFYON,meqrpoisson,12
2017,TJ0NZZ,regress,12
2017,MLOGDL,regress,12
2019,MSOBYI,areg,11
2017,UXMULN,qreg,11
2018,XETZ8B,var,10
2019,HMFYON,ivreg,10
2017,PI7RWJ,ivreg2,9
2018,JX6HCJ,ologit,8
2018,UITDYS,areg,8
2018,JX1OIU,bootstrap:regress,8
2018,2JRHN6,areg,8
2017,MTVM5O,ivreg2,8
2017,FEDKGY,ivregress,7
2017,MTVM5O,regress,7
2017,CYPKZH,xtreg,7
2017,WCHA2J,xtreg,7
2018,JX6HCJ,bootstrap:qreg,6
2018,HZOXKN,newey,6
2018,QULALN,areg,6
2018,JX1OIU,areg,6
2018,REUOXC,sureg,6
2018,GETNJK,ivreg2,6
2017,LLARSN,areg,6
2017,MLOGDL,bootstrap:regress,6
