,ajps,jop,the_review
areg,0.01399825021872266,0,0.028700906344410877
clogit,0,0.00911214953271028,0
estsimp,0,0,0.07603222557905337
eststo:areg,0,0.015654205607476636,0.03172205438066465
eststo:logit,0,0.016588785046728973,0
eststo:quietly:areg,0,0,0.0649546827794562
eststo:quietly:regress,0,0,0.09214501510574018
eststo:quietly:xi:regress,0,0,0.06545820745216516
eststo:regress,0.010498687664041995,0.044626168224299066,0.12134944612286001
eststo:xi:regress,0,0,0.012084592145015106
eststo:xi:xtivreg2,0,0,0.017623363544813697
ivreg,0,0.025233644859813085,0
ivreg2,0.01399825021872266,0,0
logit,0.05074365704286964,0.034813084112149534,0.07603222557905337
melogit,0.017497812773403325,0.009579439252336449,0
meologit,0,0,0.015105740181268883
mixed,0.02712160979877515,0,0.014098690835850957
ml,0,0.02453271028037383,0
mlogit,0.01399825021872266,0.07757009345794393,0
ologit,0,0.014018691588785047,0
oprobit,0.015748031496062992,0.037149532710280375,0
probit,0.014873140857392825,0.0838785046728972,0.015105740181268883
psmatch2,0,0,0.02769385699899295
quietly:eststo:xi:xtreg,0,0,0.02416918429003021
quietly:logit,0.015748031496062992,0,0
quietly:regress,0.011373578302712161,0.021962616822429906,0
quietly:xtreg,0.008748906386701663,0.026869158878504672,0
rdrobust,0,0,0.015105740181268883
reghdfe,0,0.01542056074766355,0.012588116817724069
regress,0.34820647419072615,0.25957943925233645,0.10976837865055387
stcox,0.03062117235345582,0,0
svy:logit,0.02099737532808399,0,0
svy:ologit,0.010498687664041995,0,0
svy:oprobit,0,0.016822429906542057,0
xi:regress,0.0726159230096238,0,0.0377643504531722
xi:xtpcse,0,0.018691588785046728,0
xi:xtreg,0,0.028037383177570093,0
xtlogit,0.05336832895888014,0,0
xtmelogit,0.010498687664041995,0,0
xtreg,0.16185476815398075,0.06214953271028038,0.015105740181268883
other,0.07699037620297444,0.15771028037383172,0.12739174219536764
