journal,year,command,count
xps,2019,regress,362
xps,2018,regress,218
xps,2017,regress,180
xps,2017,svy:regress,51
xps,2018,ologit,28
xps,2017,svy:logit,25
xps,2018,probit,22
xps,2017,logit,17
xps,2018,mlogit,13
xps,2018,logit,13
xps,2018,outreg,12
xps,2019,xtreg,12
xps,2019,mlogit,10
xps,2019,anova,7
xps,2019,xttobit,7
xps,2017,ivreg2,7
xps,2019,logit,6
xps,2017,anova,5
xps,2018,oprobit,4
xps,2018,xtreg,4
xps,2018,areg,4
xps,2017,xtreg,4
xps,2018,poisson,3
xps,2019,tobit,3
xps,2018,dprobit2,2
xps,2019,ologit,2
xps,2017,tobit,2
xps,2017,mlogit,2
xps,2017,mixed,2
xps,2019,probit,1
xps,2019,oprobit,1
xps,2019,xtmixed,1
xps,2019,xtlogit,1
xps,2019,gsem,1
xps,2017,estsimp,1
xps,2017,impute,1
xps,2017,ologit,1
JPublicPolicy,2017,reghdfe,212
JPublicPolicy,2018,xtreg,100
JPublicPolicy,2018,regress,97
JPublicPolicy,2018,poisson,68
JPublicPolicy,2018,heckman,67
JPublicPolicy,2018,logit,46
JPublicPolicy,2019,nbreg,32
JPublicPolicy,2017,regress,32
JPublicPolicy,2018,ologit,31
JPublicPolicy,2016,xtpcse,30
JPublicPolicy,2017,newey,29
JPublicPolicy,2016,logit,25
JPublicPolicy,2018,xtgls,24
JPublicPolicy,2017,xtnbreg,22
JPublicPolicy,2019,regress,18
JPublicPolicy,2017,xtpcse,18
JPublicPolicy,2018,nbreg,17
JPublicPolicy,2018,probit,15
JPublicPolicy,2018,gologit2,12
JPublicPolicy,2017,meologit,11
JPublicPolicy,2018,gnbreg,10
JPublicPolicy,2019,logit,8
JPublicPolicy,2019,estsimp,8
JPublicPolicy,2016,regress,8
JPublicPolicy,2017,logit,8
JPublicPolicy,2019,ologit,6
JPublicPolicy,2018,meologit,5
JPublicPolicy,2019,poisson,5
JPublicPolicy,2018,xtprobit,3
JPublicPolicy,2018,tobit,3
JPublicPolicy,2016,xtreg,3
JPublicPolicy,2017,xtregar,3
JPublicPolicy,2018,oprobit,2
JPublicPolicy,2018,xtpcse,2
JPublicPolicy,2018,mlogit,2
JPublicPolicy,2019,gnbreg,2
JPublicPolicy,2016,etregress,2
JPublicPolicy,2019,anova,1
BJPolS,2017,regress,1414
BJPolS,2018,regress,657
BJPolS,2017,xtreg,312
BJPolS,2016,xtreg,249
BJPolS,2017,stcox,230
BJPolS,2016,xtabond2,223
BJPolS,2017,xtpcse,180
BJPolS,2018,xtpcse,176
BJPolS,2018,logit,168
BJPolS,2017,logit,165
BJPolS,2015,regress,152
BJPolS,2017,ologit,144
BJPolS,2017,xtabond,116
BJPolS,2019,xtmixed,108
BJPolS,2019,xtreg,106
BJPolS,2017,nbreg,105
BJPolS,2017,rdrobust,99
BJPolS,2015,xtnbreg,97
BJPolS,2019,logit,96
BJPolS,2018,stcox,86
BJPolS,2018,xtreg,83
BJPolS,2016,regress,77
BJPolS,2017,mixed,72
BJPolS,2017,meologit,67
BJPolS,2017,outreg,64
BJPolS,2015,areg,63
BJPolS,2017,melogit,49
BJPolS,2018,oprobit,47
BJPolS,2018,probit,47
BJPolS,2017,probit,47
BJPolS,2016,logit,46
BJPolS,2017,sem,46
BJPolS,2016,svy:regress,44
BJPolS,2015,logit,43
BJPolS,2019,regress,41
BJPolS,2017,xtmelogit,41
BJPolS,2019,probit,38
BJPolS,2018,xtivreg2,37
BJPolS,2019,areg,35
BJPolS,2017,newey,35
BJPolS,2018,xtmixed,24
BJPolS,2018,clogit,23
BJPolS,2015,xtreg,22
BJPolS,2017,glm,22
BJPolS,2015,svy:regress,21
BJPolS,2015,streg,20
BJPolS,2017,areg,20
BJPolS,2017,mlogit,20
BJPolS,2017,xtmixed,18
BJPolS,2015,xtlogit,17
BJPolS,2017,gllamm,16
BJPolS,2016,xtmixed,15
BJPolS,2017,version:mlogit,14
BJPolS,2017,oprobit,12
BJPolS,2017,ivregress,12
BJPolS,2017,xtlogit,12
BJPolS,2018,nbreg,11
BJPolS,2016,probit,11
BJPolS,2017,xtgee,11
BJPolS,2017,clogit,10
BJPolS,2015,gsem,9
BJPolS,2019,rd,9
BJPolS,2017,xtdpd,9
BJPolS,2017,mprobit,9
BJPolS,2018,edvreg,8
BJPolS,2018,heckprob,8
BJPolS,2018,firthlogit,8
BJPolS,2019,tobit,8
BJPolS,2016,areg,8
BJPolS,2017,bootstrap:indireff,8
BJPolS,2015,estsimp,7
BJPolS,2017,reg3hdfe,7
BJPolS,2015,ologit,6
BJPolS,2015,clogit,6
BJPolS,2018,ologit,6
BJPolS,2018,estsimp,6
BJPolS,2017,xtgls,6
BJPolS,2017,cmp,6
BJPolS,2016,xtologit,5
BJPolS,2016,mixed,5
BJPolS,2017,xtologit,5
BJPolS,2015,xtmelogit,4
BJPolS,2019,nbreg,4
BJPolS,2019,heckman,4
BJPolS,2016,relogit,4
BJPolS,2016,ivreg2,4
BJPolS,2016,xtivreg2,4
BJPolS,2016,svy:logit,4
BJPolS,2015,probit,3
BJPolS,2015,relogit,3
BJPolS,2018,bootstrap:cmp,3
BJPolS,2018,cmp,3
BJPolS,2018,gllamm,3
BJPolS,2019,melogit,3
BJPolS,2016,estsimp,3
BJPolS,2016,xtlogit,3
BJPolS,2017,estsimp,3
BJPolS,2017,tobit,3
BJPolS,2017,impute,3
BJPolS,2017,btscs,3
BJPolS,2015,hetprob,2
BJPolS,2015,sureg,2
BJPolS,2018,impute,2
BJPolS,2018,xtivreg,2
BJPolS,2018,sem,2
BJPolS,2018,mlogit,2
BJPolS,2019,bootstrap:xtmixed,2
BJPolS,2016,rd,2
BJPolS,2016,ivregress,2
BJPolS,2017,rd,2
BJPolS,2017,poisson,2
BJPolS,2017,version:logit,2
BJPolS,2017,version:probit,2
BJPolS,2017,arima,2
BJPolS,2017,ivreg2,2
BJPolS,2015,reg3,1
BJPolS,2015,impute,1
BJPolS,2018,tobit,1
BJPolS,2018,areg,1
BJPolS,2018,pscore,1
BJPolS,2018,mprobit,1
BJPolS,2019,rdrobust,1
BJPolS,2019,DCdensity,1
ipsr-risp,2017,regress,195
ipsr-risp,2016,regress,88
ipsr-risp,2017,logit,58
ipsr-risp,2018,logit,54
ipsr-risp,2015,regress,24
ipsr-risp,2016,xtmixed,16
ipsr-risp,2018,regress,15
ipsr-risp,2018,glm,14
ipsr-risp,2015,xtmixed,11
ipsr-risp,2016,xtmelogit,11
ipsr-risp,2018,xtreg,7
ipsr-risp,2016,logit,7
ipsr-risp,2018,sem,6
ipsr-risp,2019,xtreg,6
ipsr-risp,2017,clogit,6
ipsr-risp,2018,xtgee,4
ipsr-risp,2019,xtpcse,4
ipsr-risp,2019,outreg,4
ipsr-risp,2016,mlogit,4
ipsr-risp,2016,nbreg,4
ipsr-risp,2016,xtreg,4
ipsr-risp,2017,ologit,4
ipsr-risp,2017,mlogit,4
ipsr-risp,2018,xtgls,3
ipsr-risp,2019,xtlogit,2
ipsr-risp,2018,xtpcse,1
ipsr-risp,2018,xtmixed,1
polbehavior,2018,regress,624
polbehavior,2017,regress,429
polbehavior,2018,logit,412
polbehavior,2018,sureg,268
polbehavior,2019,regress,228
polbehavior,2017,clogit,208
polbehavior,2016,regress,158
polbehavior,2015,regress,117
polbehavior,2019,areg,97
polbehavior,2018,ologit,83
polbehavior,2019,mixed,75
polbehavior,2019,logit,67
polbehavior,2016,logit,66
polbehavior,2018,xtmixed,55
polbehavior,2018,svy:logit,54
polbehavior,2018,xtreg,54
polbehavior,2018,interflex,48
polbehavior,2019,xtreg,43
polbehavior,2017,logit,32
polbehavior,2019,ologit,31
polbehavior,2016,ologit,28
polbehavior,2018,xtlogit,27
polbehavior,2018,mlogit,24
polbehavior,2018,oprobit,23
polbehavior,2017,xtmelogit,23
polbehavior,2015,outreg,21
polbehavior,2017,xtmixed,21
polbehavior,2018,asclogit,15
