journal,year,command,num_datasets
BJPolS,2015,areg,3
BJPolS,2015,clogit,1
BJPolS,2015,estsimp,2
BJPolS,2015,gsem,1
BJPolS,2015,hetprob,1
BJPolS,2015,impute,1
BJPolS,2015,logit,5
BJPolS,2015,ologit,1
BJPolS,2015,probit,2
BJPolS,2015,reg3,1
BJPolS,2015,regress,4
BJPolS,2015,relogit,1
BJPolS,2015,streg,1
BJPolS,2015,sureg,1
BJPolS,2015,svy:regress,2
BJPolS,2015,xtlogit,2
BJPolS,2015,xtmelogit,1
BJPolS,2015,xtnbreg,1
BJPolS,2015,xtreg,2
BJPolS,2016,areg,1
BJPolS,2016,estsimp,1
BJPolS,2016,ivreg2,1
BJPolS,2016,ivregress,1
BJPolS,2016,logit,4
BJPolS,2016,mixed,1
BJPolS,2016,probit,2
BJPolS,2016,rd,1
BJPolS,2016,regress,10
BJPolS,2016,relogit,1
BJPolS,2016,svy:logit,1
BJPolS,2016,svy:regress,2
BJPolS,2016,xtabond2,2
BJPolS,2016,xtivreg2,1
BJPolS,2016,xtlogit,1
BJPolS,2016,xtmixed,1
BJPolS,2016,xtologit,1
BJPolS,2016,xtreg,5
BJPolS,2017,areg,2
BJPolS,2017,arima,1
BJPolS,2017,bootstrap:indireff,1
BJPolS,2017,btscs,2
BJPolS,2017,clogit,2
BJPolS,2017,cmp,1
BJPolS,2017,estsimp,2
BJPolS,2017,gllamm,1
BJPolS,2017,glm,1
BJPolS,2017,impute,2
BJPolS,2017,ivreg2,1
BJPolS,2017,ivregress,4
BJPolS,2017,logit,14
BJPolS,2017,melogit,1
BJPolS,2017,meologit,1
BJPolS,2017,mixed,4
BJPolS,2017,mlogit,3
BJPolS,2017,mprobit,1
BJPolS,2017,nbreg,2
BJPolS,2017,newey,1
BJPolS,2017,ologit,3
BJPolS,2017,oprobit,3
BJPolS,2017,outreg,2
BJPolS,2017,poisson,1
BJPolS,2017,probit,4
BJPolS,2017,rd,1
BJPolS,2017,rdrobust,1
BJPolS,2017,reg3hdfe,1
BJPolS,2017,regress,34
BJPolS,2017,sem,4
BJPolS,2017,stcox,4
BJPolS,2017,tobit,2
BJPolS,2017,version:logit,1
BJPolS,2017,version:mlogit,1
BJPolS,2017,version:probit,1
BJPolS,2017,xtabond,2
BJPolS,2017,xtdpd,1
BJPolS,2017,xtgee,2
BJPolS,2017,xtgls,1
BJPolS,2017,xtlogit,2
BJPolS,2017,xtmelogit,2
BJPolS,2017,xtmixed,1
BJPolS,2017,xtologit,1
BJPolS,2017,xtpcse,6
BJPolS,2017,xtreg,12
BJPolS,2018,areg,1
BJPolS,2018,bootstrap:cmp,1
BJPolS,2018,clogit,2
BJPolS,2018,cmp,1
BJPolS,2018,edvreg,1
BJPolS,2018,estsimp,2
BJPolS,2018,firthlogit,1
BJPolS,2018,gllamm,1
BJPolS,2018,heckprob,1
BJPolS,2018,impute,2
BJPolS,2018,logit,8
BJPolS,2018,mlogit,1
BJPolS,2018,mprobit,1
BJPolS,2018,nbreg,1
BJPolS,2018,ologit,1
BJPolS,2018,oprobit,3
BJPolS,2018,probit,4
BJPolS,2018,pscore,1
BJPolS,2018,regress,16
BJPolS,2018,sem,1
BJPolS,2018,stcox,1
BJPolS,2018,tobit,1
BJPolS,2018,xtivreg,1
BJPolS,2018,xtivreg2,1
BJPolS,2018,xtmixed,2
BJPolS,2018,xtpcse,2
BJPolS,2018,xtreg,4
BJPolS,2019,DCdensity,1
BJPolS,2019,areg,3
BJPolS,2019,bootstrap:xtmixed,1
BJPolS,2019,heckman,1
BJPolS,2019,logit,1
BJPolS,2019,melogit,1
BJPolS,2019,nbreg,1
BJPolS,2019,probit,1
BJPolS,2019,rd,1
BJPolS,2019,rdrobust,1
BJPolS,2019,regress,4
BJPolS,2019,tobit,1
BJPolS,2019,xtmixed,1
BJPolS,2019,xtreg,3
FPA,2010,estsimp,1
FPA,2010,heckman,1
FPA,2010,heckprob,2
FPA,2010,logit,1
FPA,2010,mlogit,1
FPA,2010,outreg,1
FPA,2010,probit,1
FPA,2010,relogit,1
FPA,2010,xtivreg2,1
FPA,2010,xtlogit,1
FPA,2016,anova,1
FPA,2016,arch,1
FPA,2016,areg,1
FPA,2016,biprobit,1
FPA,2016,btscs,1
FPA,2016,cmp,2
FPA,2016,estsimp,6
FPA,2016,heckman,2
FPA,2016,heckprob,1
FPA,2016,hetprob,1
FPA,2016,impute,1
FPA,2016,ivreg2,1
FPA,2016,logit,12
FPA,2016,mlogit,1
FPA,2016,nbreg,2
FPA,2016,ologit,4
FPA,2016,oprobit,2
FPA,2016,outreg,1
FPA,2016,poisson,1
FPA,2016,probit,6
FPA,2016,reg3,3
FPA,2016,regress,7
FPA,2016,relogit,4
FPA,2016,stcox,1
FPA,2016,svy:logit,1
FPA,2016,svy:mlogit,1
FPA,2016,svy:probit,1
FPA,2016,tobit,1
FPA,2016,xtgee,2
FPA,2016,xtivreg2,2
FPA,2016,xtpcse,2
FPA,2016,xtreg,6
FPA,2016,xttobit,1
FPA,2016,zinb,1
FPA,2017,heckprob,1
FPA,2017,logit,1
FPA,2018,estsimp,1
FPA,2018,logit,3
FPA,2018,probit,1
FPA,2018,stcox,1
JPublicPolicy,2016,etregress,1
JPublicPolicy,2016,logit,2
