year,command,count
2018,replace,328
2018,generate,145
2018,tabulate,81
2018,outreg2,79
2018,estimates:store,78
2018,lincom,72
2018,summarize,63
2018,ttest,60
2018,simqi,53
2018,ivregress,52
2018,esttab,50
2018,matrix,47
2018,label,43
2018,graph,42
2018,regress,39
2018,recode,39
2018,margins,34
2018,oprobit,34
2018,use,33
2018,reghdfe,31
2018,clear,28
2018,unique,26
2018,xtreg,25
2018,erase,24
2018,logit,24
2018,drop,22
2018,global,21
2018,foreach,19
2018,xtlogit,19
2018,xtset,17
2018,prtest,17
2018,predict,14
2018,twoway,14
2018,line,14
2018,probit,13
2018,set,11
2018,alpha,11
2018,log,11
2018,ccode,11
2018,setx,11
2018,mlogit,9
2018,bootstrap:_b,9
2018,asclogit,8
2018,estimates:restore,8
2018,ologit,8
2018,correlate,7
2018,areg,7
2018,marginsplot,7
2018,cd,6
2018,sort,6
2018,keep,6
2018,hotelling,6
2018,save,5
2018,order,5
2018,xtile,5
2018,svyset,5
2018,xtabond2,5
2018,table,5
2018,merge,4
2018,ereturn,4
2018,svy:tabulate,4
2018,svmat,4
2018,local,4
2018,forvalues,4
2018,xtivreg2,4
2018,d,3
2018,nbreg,3
2018,rename,3
2018,xtunitroot,3
2018,lrtest,3
2018,import,3
2018,encode,3
2018,coefplot,3
2018,pwcorr,3
2018,estat,3
2018,ranksum,3
2018,collapse,2
2018,eclplot,2
2018,factor,2
2018,tsset,2
2018,mn3c,2
2018,mn4c,2
2018,mn5c,2
2018,mean,2
2018,egen,2
2018,reshape,2
2018,estsimp,2
2018,listcoef,2
2018,anova,2
2018,duplicates,1
2018,describe,1
2018,standard2,1
2018,subj,1
2018,pairgov,1
2018,tab2,1
2018,pair,1
2018,year,1
2018,svy:oprobit,1
2018,bootstrap:longrun,1
2018,xtsum,1
2018,ssc,1
2018,m1c,1
2018,m2d,1
2018,mncf3,1
2018,mncf4,1
2018,mncf5,1
2018,mn3,1
2018,mn4,1
2018,mn5,1
2018,bn3ac,1
2018,bn3bc,1
2018,bn4ac,1
2018,bn4bc,1
2018,bn5ac,1
2018,bn5bc,1
2018,preserve,1
2018,restore,1
2018,xtpcse,1
2018,format,1
2018,destring,1
2018,tab1,1
2018,grc1leg,1
2018,oneway,1
