title,href,date
"Replication Data for: Person-Positivity Bias, Social Category Labels, and Attitudes toward Gays and Lesbians",/dataset.xhtml?persistentId=doi:10.7910/DVN/NAKSU2,"May 22, 2019"
"Replication Data for: ""Explaining the end of Spanish exceptionalism and electoral support for Vox",/dataset.xhtml?persistentId=doi:10.7910/DVN/7SECSL,"Apr 29, 2019"
Replication Data for: Choosing the crook: A conjoint experiment on voting for corrupt politicians,/dataset.xhtml?persistentId=doi:10.7910/DVN/HOSWS7,"Apr 26, 2019"
Replication Data for: Did State Responses to Automation Matter for Voters?,/dataset.xhtml?persistentId=doi:10.7910/DVN/MR1QW3,"Mar 22, 2019"
Replication Data for: Do Electronic Devices in Face-to-Face Interviews Change Survey Behavior?,/dataset.xhtml?persistentId=doi:10.7910/DVN/NMTCUS,"Mar 14, 2019"
"Replication Data for: ""Fait accompli, or live to fight another day? Deterring and surviving coups in authoritarian regimes""",/dataset.xhtml?persistentId=doi:10.7910/DVN/ULLGEK,"Feb 26, 2019"
Replication Data for: A New Dataset of Dutch and Danish Party Congress Speeches,/dataset.xhtml?persistentId=doi:10.7910/DVN/UODSVV,"Feb 19, 2019"
"Replication Data for: ""Reality and risk: a refutation of S. Rendon's analysis of the Peruvian Truth and Reconciliation Commission's mortality study""",/dataset.xhtml?persistentId=doi:10.7910/DVN/KZWPM5,"Feb 7, 2019"
"Replication Data for: ""Capturing Correctly: A Reanalysis of the Indirect Capture-Recapture Methods in the Peruvian Truth and Reconciliation Commission""",/dataset.xhtml?persistentId=doi:10.7910/DVN/8NXK2Y,"Jan 10, 2019"
"The Geography of Money and Politics in the U.S.: Population Density, Social Networks and Political Contributions",/dataset.xhtml?persistentId=doi:10.7910/DVN/XGUAZV,"Jan 8, 2019"
Replication Data for: Explaining the Salience of Anti-Elitism and Reducing Political Corruption for Political Parties in Europe with the 2014 Chapel Hill Expert Survey Data,/dataset.xhtml?persistentId=doi:10.7910/DVN/Z02C8Y,"Jan 8, 2019"
Replication Data for Reassessing the Fulfillment of Alliance Commitments in War,/dataset.xhtml?persistentId=doi:10.7910/DVN/68HD2N,"Jan 8, 2019"
"Replication Data for: ""Policy Preferences in a Post-War Environment""",/dataset.xhtml?persistentId=doi:10.7910/DVN/XHDOZU,"Jan 8, 2019"
Replication Data for: Batons and Ballots: The Effectiveness of State Violence in Fighting Against Catalan Separatism,/dataset.xhtml?persistentId=doi:10.7910/DVN/DDIWGS,"Jan 8, 2019"
Replication Data for: Assessing the Contextual Stability of Moral Foundations: Evidence from a Survey Experiment,/dataset.xhtml?persistentId=doi:10.7910/DVN/4QCWML,"Jan 8, 2019"
Replication Data for: Public Support for Latin American Presidents: The Cyclical Model in Comparative Perspective,/dataset.xhtml?persistentId=doi:10.7910/DVN/PQB8F8,"Jan 8, 2019"
Replication Data for 'Taking the Time? Explaining Effortful Participation among Low-Cost Online Survey Participants',/dataset.xhtml?persistentId=doi:10.7910/DVN/YZJXUH,"Jan 8, 2019"
"Nothing to Fear? Anxiety, Numeracy, and Demographic Perceptions",/dataset.xhtml?persistentId=doi:10.7910/DVN/M2U0KV,"Jan 8, 2019"
Replication Data for: Who Sees an Hourglass? Assessing Citizens’ Perception of Local Economic Inequality,/dataset.xhtml?persistentId=doi:10.7910/DVN/7P2GSV,"Jan 8, 2019"
"Replication Data for: ""Historical Knowledge and National Identity: Evidence from China""",/dataset.xhtml?persistentId=doi:10.7910/DVN/GJNJZE,"Jan 8, 2019"
Replication Data for: The Direct and Moderating Effects of Mass Shooting Anxiety on Political and Policy Attitudes,/dataset.xhtml?persistentId=doi:10.7910/DVN/XCKXVZ,"Jan 8, 2019"
Replication Data for: Making Comprehensible Speeches When Your Constituents Need It,/dataset.xhtml?persistentId=doi:10.7910/DVN/XEE99U,"Jan 8, 2019"
Replication Data for: The Direct and Moderating Effects of Mass Shooting Anxiety on Political and Policy Attitudes,/dataset.xhtml?persistentId=doi:10.7910/DVN/K37OJN,"Jan 8, 2019"
"Replication Data for ""Help is Close at Hand? Proximity and the Effectiveness of Peacekeepers.""",/dataset.xhtml?persistentId=doi:10.7910/DVN/FMOSHH,"Jan 8, 2019"
"Replication Data for: ""In the Wake of a Terrorist Attack, Do Americans’ Attitudes Toward Muslims Decline?""",/dataset.xhtml?persistentId=doi:10.7910/DVN/ZAP6KU,"Jan 8, 2019"
Replication Data for: Estimating Incumbency Effects Using Regression Discontinuity Design,/dataset.xhtml?persistentId=doi:10.7910/DVN/JSOWUR,"Jan 8, 2019"
